Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,66.70,66.70,66.70,66.70,000,66.70
2012-12-24,66.50,66.90,65.90,66.70,636700,66.70
2012-12-21,67.90,68.45,65.80,66.20,1151100,66.20
2012-12-20,69.45,69.45,67.70,68.35,1279000,68.35
2012-12-19,68.10,70.80,68.10,69.60,4431700,69.60
2012-12-18,67.40,68.40,65.25,67.60,2302500,67.60
2012-12-17,67.10,67.90,66.65,67.10,1567100,67.10
2012-12-14,66.75,67.35,65.55,66.55,2606000,66.55
2012-12-13,69.65,71.15,65.60,66.15,4437400,66.15
2012-12-12,68.55,70.10,67.20,69.05,3167900,69.05
2012-12-11,71.50,73.25,67.35,68.25,6052500,68.25
2012-12-10,68.15,71.90,67.60,71.45,7279300,71.45
2012-12-07,66.85,69.80,66.45,67.50,3270800,67.50
2012-12-06,67.40,67.80,65.50,66.35,1357100,66.35
2012-12-05,67.55,68.95,66.50,66.90,2123000,66.90
2012-12-04,69.85,70.95,66.25,66.65,4204300,66.65
2012-12-03,66.35,70.80,63.55,69.30,8962800,69.30
2012-11-30,65.00,68.30,63.40,66.00,3961500,66.00
2012-11-29,62.20,66.40,62.15,64.55,3851900,64.55
2012-11-28,61.75,61.75,61.75,61.75,000,61.75
2012-11-27,63.40,64.50,61.15,61.75,1796300,61.75
2012-11-26,59.05,63.95,58.60,62.60,4956700,62.60
2012-11-23,55.35,59.90,54.60,58.70,1329800,58.70
2012-11-22,55.40,56.40,55.00,55.15,443600,55.15
2012-11-21,55.65,56.50,54.70,55.50,421100,55.50
2012-11-20,57.00,57.60,54.80,55.20,440000,55.20
2012-11-19,56.00,58.20,55.55,57.00,677200,57.00
2012-11-16,59.80,59.80,56.00,56.55,829500,56.55
2012-11-15,62.10,64.80,58.10,58.75,4722000,58.75
2012-11-14,59.20,59.20,59.20,59.20,000,59.20
2012-11-13,59.20,59.20,59.20,59.20,000,59.20
2012-11-12,55.65,63.20,55.25,59.20,2096800,59.20
2012-11-09,57.30,57.50,55.05,55.25,352800,55.25
2012-11-08,55.70,57.00,55.45,56.45,392700,56.45
2012-11-07,55.60,57.30,54.90,56.55,589100,56.55
2012-11-06,56.00,56.20,55.15,55.50,223700,55.50
2012-11-05,56.80,57.40,55.25,55.75,183600,55.75
2012-11-02,56.35,57.50,56.35,56.85,261800,56.85
2012-11-01,55.15,56.60,55.15,56.35,287800,56.35
2012-10-31,54.20,54.95,52.80,54.65,225900,54.65
2012-10-30,54.50,57.00,53.20,53.90,476200,53.90
2012-10-29,57.10,57.50,55.15,55.45,257800,55.45
2012-10-26,58.25,58.25,58.25,58.25,000,58.25
2012-10-25,59.40,59.95,58.05,58.25,229000,58.25
2012-10-24,59.50,59.50,59.50,59.50,000,59.50
2012-10-23,59.75,60.10,59.05,59.50,194500,59.50
2012-10-22,58.20,60.20,58.20,59.75,409400,59.75
2012-10-19,60.95,61.00,59.10,59.35,447100,59.35
2012-10-18,59.30,61.30,57.80,60.80,753200,60.80
2012-10-17,61.00,61.70,58.40,58.70,741100,58.70
2012-10-16,59.00,62.90,58.55,60.55,2645600,60.55
2012-10-15,57.20,58.80,56.80,58.25,300400,58.25
2012-10-12,57.15,59.00,56.70,57.05,523000,57.05
2012-10-11,57.30,57.85,56.50,57.15,283500,57.15
2012-10-10,57.05,58.30,56.05,57.15,385400,57.15
2012-10-09,55.50,58.40,55.25,57.15,359500,57.15
2012-10-08,57.25,58.00,56.50,57.05,340300,57.05
2012-10-05,57.70,58.75,55.10,57.00,589100,57.00
2012-10-04,59.20,59.75,56.80,57.35,691300,57.35
2012-10-03,58.90,60.60,58.10,58.95,1258700,58.95
2012-10-02,57.90,57.90,57.90,57.90,000,57.90
2012-10-01,55.95,58.40,55.00,57.90,1317000,57.90
2012-09-28,56.45,57.00,55.00,55.55,937900,55.55
2012-09-27,53.55,56.95,53.50,55.40,626400,55.40
2012-09-26,53.60,54.75,53.30,53.90,345900,53.90
2012-09-25,55.45,55.70,53.60,54.10,404700,54.10
2012-09-24,53.35,56.15,52.50,54.65,800500,54.65
2012-09-21,52.90,57.20,52.65,54.10,4572800,54.10
2012-09-20,49.70,53.80,49.20,52.80,1430500,52.80
2012-09-19,50.95,50.95,50.95,50.95,000,50.95
2012-09-18,49.10,52.00,48.70,50.95,966400,50.95
2012-09-17,47.25,49.60,47.25,49.00,678000,49.00
2012-09-14,46.60,51.00,46.55,47.25,594000,47.25
2012-09-13,46.15,47.40,46.00,46.10,225000,46.10
2012-09-12,46.30,47.00,45.60,46.00,111900,46.00
2012-09-11,45.70,46.40,45.15,46.00,121500,46.00
2012-09-10,44.25,46.70,44.25,45.60,85200,45.60
2012-09-07,46.45,47.20,45.90,46.55,241500,46.55
2012-09-06,46.10,46.45,45.75,45.95,119400,45.95
2012-09-05,45.10,46.75,45.00,46.10,165600,46.10
2012-09-04,45.70,46.00,45.35,45.65,108900,45.65
2012-09-03,45.35,46.40,45.25,45.55,121800,45.55
2012-08-31,45.15,47.00,44.20,45.60,274500,45.60
2012-08-30,44.05,48.30,42.70,45.15,291100,45.15
2012-08-29,45.60,45.95,43.50,43.70,231300,43.70
2012-08-28,46.10,46.65,45.05,45.30,178100,45.30
2012-08-27,47.25,48.05,46.10,46.75,195700,46.75
2012-08-24,48.75,49.00,47.30,47.65,188800,47.65
2012-08-23,49.30,49.55,48.55,48.75,166500,48.75
2012-08-22,49.40,49.80,48.70,49.15,175300,49.15
2012-08-21,49.25,50.40,49.20,49.65,221000,49.65
2012-08-20,49.70,49.70,49.70,49.70,000,49.70
2012-08-17,50.00,51.50,49.35,49.70,234900,49.70
2012-08-16,50.20,50.75,49.75,50.00,222000,50.00
2012-08-15,49.95,49.95,49.95,49.95,000,49.95
2012-08-14,48.95,50.40,48.60,49.95,381200,49.95
2012-08-13,49.00,49.20,47.55,48.85,501500,48.85
2012-08-10,50.30,50.55,49.25,49.60,237300,49.60
2012-08-09,51.25,51.70,50.15,50.30,250200,50.30
2012-08-08,52.00,52.10,51.10,51.20,209400,51.20
2012-08-07,51.85,52.60,51.10,51.40,381800,51.40
2012-08-06,52.50,53.00,51.50,52.00,891500,52.00
2012-08-03,50.15,52.40,45.00,52.00,455900,52.00
2012-08-02,52.05,52.70,51.50,52.00,493900,52.00
2012-08-01,50.20,52.55,50.00,51.80,895500,51.80
2012-07-31,51.00,51.10,49.85,50.15,477100,50.15
2012-07-30,50.50,51.20,49.80,50.25,625600,50.25
2012-07-27,51.65,52.55,49.45,49.80,652400,49.80
2012-07-26,52.05,52.70,50.75,50.95,450200,50.95
2012-07-25,53.50,53.50,51.00,52.30,384900,52.30
2012-07-24,53.40,54.40,53.40,53.70,279900,53.70
2012-07-23,54.10,54.30,53.05,53.20,297400,53.20
2012-07-20,55.20,55.65,54.10,54.60,347700,54.60
2012-07-19,57.05,57.25,54.90,55.25,429600,55.25
2012-07-18,55.80,57.25,54.50,56.45,543700,56.45
2012-07-17,57.90,58.45,54.55,55.75,354500,55.75
2012-07-16,59.20,59.30,57.20,57.65,338900,57.65
2012-07-13,60.50,60.85,58.30,58.60,671500,58.60
2012-07-12,59.50,61.60,58.70,60.05,2771000,60.05
2012-07-11,59.00,60.25,57.85,58.70,886000,58.70
2012-07-10,58.55,61.20,58.25,59.55,1069800,59.55
2012-07-09,60.00,60.15,58.10,58.45,725400,58.45
2012-07-06,62.55,63.80,59.30,60.25,2828200,60.25
2012-07-05,55.90,62.85,55.90,61.90,6167600,61.90
2012-07-04,54.85,56.20,54.70,55.05,626600,55.05
2012-07-03,54.85,55.65,54.00,54.45,401500,54.45
2012-07-02,54.90,54.90,53.60,54.50,259200,54.50
2012-06-29,52.25,54.20,52.25,53.95,577400,53.95
2012-06-28,52.80,52.85,52.00,52.15,205800,52.15
2012-06-27,52.90,53.00,52.05,52.35,211600,52.35
2012-06-26,52.60,53.05,51.60,52.15,257600,52.15
2012-06-25,52.50,54.00,52.50,52.70,397100,52.70
2012-06-22,52.80,53.30,52.15,52.50,302800,52.50
2012-06-21,52.20,53.85,52.20,53.25,413100,53.25
2012-06-20,53.85,54.10,52.60,52.80,255200,52.80
2012-06-19,52.85,54.20,52.00,53.25,336000,53.25
2012-06-18,54.75,56.50,52.60,52.95,432600,52.95
2012-06-15,54.85,55.50,54.45,54.75,196200,54.75
2012-06-14,55.45,56.35,54.10,54.25,137700,54.25
2012-06-13,56.70,56.70,55.30,55.60,316700,55.60
2012-06-12,54.20,55.85,53.50,55.45,364100,55.45
2012-06-11,54.95,55.90,54.00,54.25,425400,54.25
2012-06-08,55.50,56.25,53.90,54.20,617500,54.20
2012-06-07,56.75,56.75,55.10,55.30,242600,55.30
2012-06-06,54.50,55.95,53.60,55.10,386700,55.10
2012-06-05,53.50,54.35,53.10,53.35,210700,53.35
2012-06-04,53.60,53.90,51.75,52.80,209900,52.80
2012-06-01,53.40,56.00,53.05,53.50,286200,53.50
2012-05-31,52.20,53.95,50.10,53.55,568200,53.55
2012-05-30,56.00,56.80,54.10,54.85,334000,54.85
2012-05-29,56.85,58.20,56.50,57.25,778300,57.25
2012-05-28,51.95,56.45,51.55,56.00,1198000,56.00
2012-05-25,51.65,52.80,51.05,51.70,257000,51.70
2012-05-24,53.00,53.00,50.20,51.35,266900,51.35
2012-05-23,51.00,51.25,49.55,50.75,177100,50.75
2012-05-22,52.80,53.35,51.50,51.80,211400,51.80
2012-05-21,51.75,53.00,51.75,52.20,225200,52.20
2012-05-18,51.00,51.95,50.55,51.60,270600,51.60
2012-05-17,52.20,52.90,50.50,51.55,230500,51.55
2012-05-16,52.50,52.65,50.95,51.80,332300,51.80
2012-05-15,52.00,53.75,51.10,53.00,325100,53.00
2012-05-14,55.00,55.45,52.10,52.70,321700,52.70
2012-05-11,59.35,59.35,52.70,54.15,430600,54.15
2012-05-10,55.80,57.35,55.50,55.75,292800,55.75
2012-05-09,58.25,58.45,55.25,55.90,504300,55.90
2012-05-08,61.15,61.15,58.00,58.50,445200,58.50
2012-05-07,58.50,59.40,55.25,58.85,594800,58.85
2012-05-04,61.00,61.30,58.60,59.10,453300,59.10
2012-05-03,63.00,64.50,60.85,61.10,315200,61.10
2012-05-02,64.40,65.00,62.80,63.10,361500,63.10
2012-05-01,63.70,63.70,63.70,63.70,000,63.70
2012-04-30,63.55,64.95,62.90,64.05,675400,64.05
2012-04-27,62.45,65.20,61.90,63.00,1132500,63.00
2012-04-26,63.25,63.90,60.15,61.30,1649900,61.30
2012-04-25,64.15,64.75,62.20,63.30,955000,63.30
2012-04-24,63.50,65.50,62.15,64.00,845200,64.00
2012-04-23,68.00,68.80,62.55,63.30,1152200,63.30
2012-04-20,70.10,71.35,65.00,67.10,1283800,67.10
2012-04-19,68.30,71.75,68.30,71.15,671300,71.15
2012-04-18,72.50,73.15,70.50,70.95,607800,70.95
2012-04-17,72.50,73.85,70.30,72.20,1380800,72.20
2012-04-16,71.00,73.45,70.50,71.75,1227100,71.75
2012-04-13,74.95,75.25,71.05,71.40,982400,71.40
2012-04-12,74.75,76.15,73.20,74.45,1328800,74.45
2012-04-11,73.65,74.85,72.70,74.20,1820900,74.20
2012-04-10,73.80,75.65,71.35,74.25,2424800,74.25
2012-04-09,74.75,79.20,71.90,74.20,8660900,74.20
2012-04-06,75.70,75.70,75.70,75.70,000,75.70
2012-04-05,75.70,75.70,75.70,75.70,000,75.70
2012-04-04,71.00,76.65,69.75,75.70,4346500,75.70
2012-04-03,71.50,73.25,70.75,71.50,2274700,71.50
2012-04-02,68.00,71.70,65.50,70.30,3910600,70.30
2012-03-30,58.50,69.65,58.50,67.95,9056500,67.95
2012-03-29,61.00,61.70,56.30,58.30,1887800,58.30
2012-03-28,64.55,66.30,61.40,62.10,1112400,62.10
2012-03-27,67.90,68.80,64.05,64.75,952800,64.75
2012-03-26,68.50,69.00,65.55,66.20,455000,66.20
2012-03-23,69.00,69.70,67.15,67.70,653400,67.70
2012-03-22,70.70,70.70,68.05,68.45,614700,68.45
2012-03-21,69.90,70.70,68.45,70.20,381600,70.20
2012-03-20,67.10,69.95,66.90,69.15,459600,69.15
2012-03-19,68.95,73.00,67.20,68.05,284600,68.05
2012-03-16,70.70,71.20,67.00,67.80,836400,67.80
2012-03-15,71.40,72.35,69.70,70.15,464200,70.15
2012-03-14,73.50,74.00,70.70,72.10,683600,72.10
2012-03-13,73.80,74.25,72.55,72.75,532800,72.75
2012-03-12,71.80,73.90,71.50,72.80,1089400,72.80
2012-03-09,69.90,70.80,69.55,70.50,435900,70.50
2012-03-08,72.20,72.20,72.20,72.20,000,72.20
2012-03-07,68.75,70.80,67.05,68.35,824800,68.35
2012-03-06,69.00,71.00,67.00,69.10,1155900,69.10
2012-03-05,72.15,72.50,69.05,69.90,876600,69.90
2012-03-02,73.25,74.75,71.00,72.20,1772300,72.20
2012-03-01,75.00,75.00,71.05,72.20,1062400,72.20
2012-02-29,74.85,76.10,73.00,74.35,1777700,74.35
2012-02-28,70.95,75.40,70.30,73.75,3810000,73.75
2012-02-27,69.05,72.25,68.60,69.95,4006400,69.95
2012-02-24,69.50,70.75,65.20,69.80,4318500,69.80
2012-02-23,61.55,66.25,60.30,64.85,3502900,64.85
2012-02-22,64.50,65.05,61.50,61.75,2209200,61.75
2012-02-21,66.00,66.90,63.30,64.85,1958600,64.85
2012-02-20,65.25,65.25,65.25,65.25,000,65.25
2012-02-17,66.70,67.85,64.50,65.25,1518200,65.25
2012-02-16,64.00,67.55,62.60,66.70,2165500,66.70
2012-02-15,62.00,69.00,58.20,64.25,5724800,64.25
2012-02-14,64.00,65.30,63.00,64.00,1404500,64.00
2012-02-13,67.00,67.80,63.55,64.00,2092200,64.00
2012-02-10,68.30,70.00,66.10,67.30,3798500,67.30
2012-02-09,58.00,69.00,57.50,67.50,10978300,67.50
2012-02-08,57.15,58.20,56.00,57.70,1163100,57.70
2012-02-07,56.50,63.70,54.75,55.95,2215300,55.95
2012-02-06,58.00,59.20,55.00,56.20,2337700,56.20
2012-02-03,57.00,58.45,54.25,57.35,562000,57.35
2012-02-02,60.50,60.90,56.80,57.40,782300,57.40
2012-02-01,59.60,60.00,57.20,58.25,718600,58.25
2012-01-31,55.00,60.10,55.00,59.65,641700,59.65
2012-01-30,60.45,60.70,54.90,55.80,765700,55.80
2012-01-27,60.80,62.00,60.30,60.50,439500,60.50
2012-01-26,60.45,60.45,60.45,60.45,000,60.45
2012-01-25,59.95,61.10,59.70,60.45,724200,60.45
2012-01-24,59.00,60.50,57.15,59.50,1070700,59.50
2012-01-23,57.70,60.00,57.70,58.80,798400,58.80
2012-01-20,54.95,60.05,54.10,57.70,2482500,57.70
2012-01-19,54.50,55.45,53.30,53.85,248900,53.85
2012-01-18,55.00,55.50,52.00,52.55,408000,52.55
2012-01-17,54.95,55.75,53.60,54.75,450000,54.75
2012-01-16,54.50,55.10,51.55,53.90,405200,53.90
2012-01-13,54.50,55.90,53.70,54.75,393300,54.75
2012-01-12,52.90,54.70,52.90,53.75,546200,53.75
2012-01-11,51.95,54.00,51.60,52.85,574100,52.85
2012-01-10,50.00,52.40,50.00,51.75,676200,51.75
2012-01-09,48.90,50.00,47.70,49.35,473700,49.35
2012-01-06,47.55,49.45,47.55,48.70,667900,48.70
2012-01-05,48.15,49.45,47.50,48.10,458100,48.10
2012-01-04,49.00,49.00,47.35,48.25,453900,48.25
2012-01-03,45.90,49.25,45.50,48.30,601500,48.30
2012-01-02,45.20,45.50,43.85,45.20,355200,45.20
2011-12-30,43.60,46.10,43.10,44.70,1108800,44.70
2011-12-29,46.50,48.50,41.95,43.60,1701800,43.60
2011-12-28,48.95,48.95,46.00,46.45,446400,46.45
2011-12-27,49.50,50.70,48.00,48.75,394200,48.75
2011-12-26,48.10,51.90,48.00,49.85,733700,49.85
2011-12-23,50.00,51.35,48.40,48.75,244700,48.75
2011-12-22,48.30,49.45,46.30,48.85,390400,48.85
2011-12-21,49.50,51.50,46.55,48.10,389100,48.10
2011-12-20,50.00,50.25,45.60,46.25,595000,46.25
2011-12-19,52.00,52.60,49.15,49.50,459600,49.50
2011-12-16,55.00,55.65,52.00,52.60,452300,52.60
2011-12-15,53.40,54.90,52.70,53.65,324100,53.65
2011-12-14,54.90,57.70,53.65,54.15,682700,54.15
2011-12-13,55.50,56.30,54.40,54.90,405400,54.90
2011-12-12,60.10,60.45,55.50,56.45,674200,56.45
2011-12-09,58.90,61.25,58.25,59.10,3967900,59.10
2011-12-08,54.50,63.20,53.80,59.60,10358600,59.60
2011-12-07,55.40,55.90,54.20,54.55,379200,54.55
2011-12-06,54.50,54.50,54.50,54.50,000,54.50
2011-12-05,55.00,55.70,54.25,54.50,413400,54.50
2011-12-02,54.10,55.50,53.65,55.00,596400,55.00
2011-12-01,54.80,55.50,53.85,54.10,523000,54.10
