Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,177.75,177.75,177.75,177.75,000,177.75
2012-12-24,176.55,179.90,176.50,177.75,175900,177.75
2012-12-21,179.00,180.70,175.00,175.75,930400,175.75
2012-12-20,183.80,188.40,179.00,179.80,316500,179.80
2012-12-19,188.95,191.90,180.10,183.35,379500,183.35
2012-12-18,191.65,194.30,183.00,187.65,244900,187.65
2012-12-17,188.00,193.00,185.00,190.10,114900,190.10
2012-12-14,184.00,191.45,184.00,187.95,123000,187.95
2012-12-13,192.30,193.80,173.50,185.55,142700,185.55
2012-12-12,196.35,197.45,191.25,192.75,124000,192.75
2012-12-11,202.70,208.50,192.40,195.05,275300,195.05
2012-12-10,200.75,203.70,199.25,201.10,49000,201.10
2012-12-07,199.85,204.00,198.10,199.45,193400,199.45
2012-12-06,199.70,203.00,196.10,198.75,69800,198.75
2012-12-05,199.75,203.00,197.00,198.30,48200,198.30
2012-12-04,203.80,203.80,196.25,198.60,41600,198.60
2012-12-03,200.95,204.70,199.00,203.35,111400,203.35
2012-11-30,195.80,203.50,195.80,200.20,191100,200.20
2012-11-29,194.65,198.70,194.00,195.80,100300,195.80
2012-11-28,193.35,193.35,193.35,193.35,000,193.35
2012-11-27,191.30,197.80,169.00,193.35,4002800,193.35
2012-11-26,189.80,192.70,188.40,189.80,42300,189.80
2012-11-23,185.00,190.00,184.75,189.35,97300,189.35
2012-11-22,198.85,199.95,178.10,183.05,153300,183.05
2012-11-21,197.70,199.45,196.20,197.75,44400,197.75
2012-11-20,196.85,200.85,194.05,196.55,43700,196.55
2012-11-19,199.95,202.00,194.00,195.50,41900,195.50
2012-11-16,201.70,204.40,197.55,199.50,104900,199.50
2012-11-15,203.95,203.95,198.50,200.70,25900,200.70
2012-11-14,205.15,205.15,205.15,205.15,000,205.15
2012-11-13,205.15,205.15,205.15,205.15,000,205.15
2012-11-12,198.80,204.00,198.80,202.70,49300,202.70
2012-11-09,204.05,207.45,196.10,198.00,52700,198.00
2012-11-08,204.65,208.00,201.95,206.25,48800,206.25
2012-11-07,202.00,209.50,201.95,206.90,109400,206.90
2012-11-06,201.00,205.40,199.70,202.45,70600,202.45
2012-11-05,196.15,204.00,196.10,201.10,44800,201.10
2012-11-02,203.70,206.45,196.00,197.55,84300,197.55
2012-11-01,190.70,204.40,190.50,201.95,93700,201.95
2012-10-31,194.65,196.45,187.10,191.45,70600,191.45
2012-10-30,204.00,206.50,191.45,193.95,130000,193.95
2012-10-29,206.10,206.95,202.60,204.65,145100,204.65
2012-10-26,205.20,205.20,205.20,205.20,000,205.20
2012-10-25,207.90,216.65,201.50,213.55,296500,213.55
2012-10-24,205.60,205.60,205.60,205.60,000,205.60
2012-10-23,200.00,210.80,199.00,205.60,351800,205.60
2012-10-22,195.80,203.00,194.40,197.65,133500,197.65
2012-10-19,195.60,197.90,193.10,195.55,89400,195.55
2012-10-18,192.35,197.60,191.00,195.35,256800,195.35
2012-10-17,192.40,194.90,191.00,191.05,63700,191.05
2012-10-16,194.05,196.80,188.25,190.80,72900,190.80
2012-10-15,193.10,196.80,191.00,193.65,60800,193.65
2012-10-12,192.30,193.90,190.00,192.75,99300,192.75
2012-10-11,189.65,195.00,186.60,192.55,246800,192.55
2012-10-10,195.10,196.60,188.10,189.65,85800,189.65
2012-10-09,200.80,204.30,194.10,195.70,240600,195.70
2012-10-08,210.35,218.50,197.55,199.45,232400,199.45
2012-10-05,210.75,214.40,202.70,208.20,161600,208.20
2012-10-04,192.40,213.00,192.35,209.00,224800,209.00
2012-10-03,197.65,197.65,190.00,191.85,103500,191.85
2012-10-02,196.30,196.30,196.30,196.30,000,196.30
2012-10-01,200.00,200.00,194.70,196.30,83000,196.30
2012-09-28,196.70,202.40,196.70,200.75,145700,200.75
2012-09-27,199.05,199.05,194.05,195.35,77700,195.35
2012-09-26,195.15,199.70,194.05,198.50,114300,198.50
2012-09-25,192.30,203.80,192.30,196.90,141500,196.90
2012-09-24,192.75,198.00,192.75,193.75,113600,193.75
2012-09-21,185.00,195.00,184.00,192.55,348500,192.55
2012-09-20,182.75,184.80,181.10,183.80,129600,183.80
2012-09-19,185.40,185.40,185.40,185.40,000,185.40
2012-09-18,175.10,187.20,175.10,185.40,332200,185.40
2012-09-17,175.85,179.00,174.05,178.35,115000,178.35
2012-09-14,169.65,175.80,169.35,175.15,265400,175.15
2012-09-13,168.00,169.90,165.75,167.20,125300,167.20
2012-09-12,169.90,171.40,165.35,167.05,105100,167.05
2012-09-11,165.75,171.25,165.75,169.05,103500,169.05
2012-09-10,164.00,167.00,162.50,164.95,343300,164.95
2012-09-07,165.40,168.00,159.70,161.25,68900,161.25
2012-09-06,164.75,166.40,163.05,163.75,12200,163.75
2012-09-05,164.00,167.90,162.60,164.60,17300,164.60
2012-09-04,166.50,166.50,163.10,165.30,23100,165.30
2012-09-03,168.25,170.65,164.70,165.90,23700,165.90
2012-08-31,167.75,169.40,165.15,167.00,60600,167.00
2012-08-30,167.00,170.50,166.45,167.40,104700,167.40
2012-08-29,169.75,172.00,167.00,168.65,103100,168.65
2012-08-28,168.85,171.40,167.50,168.80,161800,168.80
2012-08-27,169.00,173.90,166.55,169.50,212900,169.50
2012-08-24,167.75,169.60,163.95,168.60,89800,168.60
2012-08-23,166.70,172.25,166.25,169.45,287100,169.45
2012-08-22,160.00,167.00,160.00,165.65,84800,165.65
2012-08-21,163.45,166.35,162.90,165.10,249800,165.10
2012-08-20,162.30,162.30,162.30,162.30,000,162.30
2012-08-17,162.05,168.00,161.75,162.30,232100,162.30
2012-08-16,160.65,163.45,160.15,161.90,57400,161.90
2012-08-15,159.50,159.50,159.50,159.50,000,159.50
2012-08-14,164.55,165.90,158.25,159.50,59200,159.50
2012-08-13,160.75,165.65,160.10,164.35,51600,164.35
2012-08-10,167.00,167.00,158.45,159.90,75400,159.90
2012-08-09,162.20,169.85,161.05,167.50,120700,167.50
2012-08-08,166.75,167.80,161.45,162.90,92900,162.90
2012-08-07,158.75,167.30,157.35,166.15,214200,166.15
2012-08-06,158.65,160.50,156.70,158.10,166700,158.10
2012-08-03,158.60,159.10,155.10,156.05,150500,156.05
2012-08-02,157.20,162.30,157.00,159.50,331000,159.50
2012-08-01,146.20,159.70,145.20,157.45,476300,157.45
2012-07-31,147.55,147.55,144.20,145.05,332300,145.05
2012-07-30,147.10,147.90,143.90,145.55,166400,145.55
2012-07-27,149.80,152.95,143.45,145.20,699900,145.20
2012-07-26,153.55,154.45,145.00,147.95,372200,147.95
2012-07-25,157.95,157.95,150.10,153.55,250600,153.55
2012-07-24,159.80,160.00,156.25,157.95,140800,157.95
2012-07-23,161.75,164.80,157.60,158.90,227500,158.90
2012-07-20,166.25,166.85,163.20,164.00,307800,164.00
2012-07-19,166.70,169.00,166.00,166.40,169100,166.40
2012-07-18,169.80,171.60,167.70,168.25,138900,164.75
2012-07-17,173.00,174.40,168.50,168.55,256600,165.04
2012-07-16,166.00,173.80,166.00,171.95,530200,168.37
2012-07-13,165.05,169.00,164.00,165.20,133600,161.76
2012-07-12,167.15,169.25,163.60,164.90,194300,161.47
2012-07-11,166.00,172.60,165.00,167.70,665100,164.21
2012-07-10,159.10,168.00,158.30,165.95,1467900,162.50
2012-07-09,180.00,180.00,155.25,156.80,2522800,153.54
2012-07-06,184.00,184.80,179.45,183.20,102100,179.39
2012-07-05,178.45,186.00,177.00,183.45,356300,179.63
2012-07-04,182.70,183.95,177.10,177.90,167400,174.20
2012-07-03,174.30,182.40,174.30,181.50,479100,177.72
2012-07-02,166.35,175.60,166.30,172.80,647600,169.21
2012-06-29,163.50,166.30,162.50,165.40,330900,161.96
2012-06-28,161.30,166.65,161.15,162.20,210400,158.83
2012-06-27,161.90,163.80,160.50,161.85,147900,158.48
2012-06-26,162.25,164.05,161.30,161.90,88100,158.53
2012-06-25,162.00,167.80,161.60,163.75,194000,160.34
2012-06-22,159.00,162.65,158.50,160.85,104700,157.50
2012-06-21,157.00,162.40,157.00,161.50,172000,158.14
2012-06-20,157.75,162.75,155.10,157.05,162500,153.78
2012-06-19,161.70,161.70,155.30,156.20,218900,152.95
2012-06-18,164.00,167.50,158.70,160.35,128400,157.01
2012-06-15,166.70,170.75,160.50,162.65,197400,159.27
2012-06-14,170.20,172.80,165.20,166.40,158100,162.94
2012-06-13,173.65,176.45,169.60,171.60,220000,168.03
2012-06-12,176.90,176.90,167.85,172.05,302200,168.47
2012-06-11,178.75,184.00,175.15,176.65,86800,172.98
2012-06-08,182.00,182.00,175.30,176.85,111000,173.17
2012-06-07,181.40,184.00,180.30,182.70,27200,178.90
2012-06-06,174.90,181.00,174.65,180.20,30600,176.45
2012-06-05,173.00,179.90,171.00,174.00,112100,170.38
2012-06-04,173.00,176.00,170.15,172.90,148200,169.30
2012-06-01,184.10,184.15,172.50,175.75,91500,172.09
2012-05-31,182.95,188.85,181.00,186.80,16900,182.91
2012-05-30,183.65,188.00,180.10,185.05,18100,181.20
2012-05-29,192.80,193.00,182.00,184.40,47400,180.56
2012-05-28,192.50,196.40,190.00,191.70,23400,187.71
2012-05-25,188.45,195.40,185.40,192.15,80500,188.15
2012-05-24,183.80,189.50,180.50,188.40,55400,184.48
2012-05-23,179.00,184.70,177.35,183.35,31700,179.54
2012-05-22,177.75,188.90,177.75,180.15,59400,176.40
