Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,115.85,115.85,115.85,115.85,000,115.85
2012-12-24,115.85,117.40,114.10,115.85,258300,115.85
2012-12-21,115.70,118.70,114.55,115.40,419800,115.40
2012-12-20,117.00,117.80,114.50,115.55,334900,115.55
2012-12-19,119.50,120.25,117.05,117.75,340400,117.75
2012-12-18,120.95,121.40,117.00,118.50,512500,118.50
2012-12-17,114.50,120.45,113.00,119.45,847200,119.45
2012-12-14,113.00,115.35,112.25,113.40,265500,113.40
2012-12-13,115.00,115.00,112.00,112.50,253000,112.50
2012-12-12,115.10,116.20,113.30,114.05,246100,114.05
2012-12-11,116.10,117.55,113.20,114.85,321300,114.85
2012-12-10,118.50,118.75,114.40,115.90,297300,115.90
2012-12-07,119.95,121.20,117.20,118.10,349200,118.10
2012-12-06,122.70,123.35,116.15,119.50,547100,119.50
2012-12-05,121.55,124.45,121.00,121.85,849400,121.85
2012-12-04,119.80,122.70,118.30,120.55,1132200,120.55
2012-12-03,115.35,120.35,114.50,119.20,1094900,119.20
2012-11-30,116.45,117.00,114.65,115.40,392300,115.40
2012-11-29,115.35,117.95,113.90,115.65,450400,115.65
2012-11-28,114.40,114.40,114.40,114.40,000,114.40
2012-11-27,113.95,115.65,113.10,114.40,451700,114.40
2012-11-26,113.20,114.95,112.00,113.10,438100,113.10
2012-11-23,115.00,116.65,112.20,113.05,422600,113.05
2012-11-22,114.70,117.95,113.95,115.90,1072300,115.90
2012-11-21,113.50,115.35,110.40,113.80,664600,113.80
2012-11-20,115.50,116.75,111.10,113.00,664900,113.00
2012-11-19,113.05,117.40,110.10,115.15,1366200,115.15
2012-11-16,118.40,118.90,111.95,112.75,820100,112.75
2012-11-15,120.00,123.70,116.10,117.75,1644400,117.75
2012-11-14,113.40,113.40,113.40,113.40,000,113.40
2012-11-13,113.40,113.40,113.40,113.40,000,113.40
2012-11-12,109.80,113.95,108.00,113.40,2220700,113.40
2012-11-09,107.00,109.70,106.20,108.80,2277700,108.80
2012-11-08,100.00,107.45,99.20,106.15,2704200,106.15
2012-11-07,99.45,100.80,99.05,100.00,609100,100.00
2012-11-06,99.00,99.85,98.00,98.95,431500,98.95
2012-11-05,97.20,99.95,97.00,98.70,981800,98.70
2012-11-02,100.15,102.40,95.50,96.25,3580800,96.25
2012-11-01,96.00,99.35,94.60,98.40,580300,98.40
2012-10-31,95.35,96.40,94.80,95.55,265600,95.55
2012-10-30,93.80,95.40,93.00,94.85,443800,94.85
2012-10-29,93.00,94.25,91.50,92.55,322200,92.55
2012-10-26,94.30,94.30,94.30,94.30,000,94.30
2012-10-25,95.75,96.45,93.75,94.30,260100,94.30
2012-10-24,95.75,95.75,95.75,95.75,000,95.75
2012-10-23,96.85,97.90,95.55,95.75,324500,95.75
2012-10-22,98.00,98.15,96.25,96.50,275200,96.50
2012-10-19,99.80,101.20,97.00,97.45,347700,97.45
2012-10-18,101.70,101.70,99.35,100.80,485700,100.80
2012-10-17,100.20,101.40,98.05,100.45,792800,100.45
2012-10-16,101.55,103.80,98.55,99.40,1923600,99.40
2012-10-15,97.00,101.70,96.20,100.00,1318300,100.00
2012-10-12,96.30,98.00,96.00,97.05,336700,97.05
2012-10-11,95.35,96.40,94.60,95.80,309400,95.80
2012-10-10,96.30,98.00,94.60,95.25,326400,95.25
2012-10-09,97.10,97.80,95.60,96.10,272500,96.10
2012-10-08,96.05,98.45,95.20,96.20,409800,96.20
2012-10-05,98.15,98.50,94.00,95.60,290800,95.60
2012-10-04,100.35,101.00,97.10,97.70,563500,97.70
2012-10-03,98.05,101.00,98.05,99.40,792800,99.40
2012-10-02,98.05,98.05,98.05,98.05,000,98.05
2012-10-01,97.20,99.40,96.05,98.05,418500,98.05
2012-09-28,96.85,99.40,96.25,96.50,594800,96.50
2012-09-27,97.80,98.45,96.30,96.80,254100,96.80
2012-09-26,99.65,99.70,97.10,97.55,469300,97.55
2012-09-25,96.70,100.70,95.50,99.35,974700,99.35
2012-09-24,100.05,100.50,95.45,96.10,597100,96.10
2012-09-21,100.85,101.60,99.10,99.70,383900,99.70
2012-09-20,101.00,102.40,98.60,100.10,759300,100.10
2012-09-19,101.40,101.40,101.40,101.40,000,101.40
2012-09-18,98.25,101.95,95.45,101.40,1433100,101.40
2012-09-17,104.85,104.85,97.60,98.10,1250300,98.10
2012-09-14,106.30,106.30,103.55,104.15,835700,104.15
2012-09-13,104.65,105.90,102.85,104.95,859300,104.95
2012-09-12,104.35,105.85,102.75,104.85,1098600,103.65
2012-09-11,105.30,105.65,102.75,103.20,752900,102.02
2012-09-10,105.70,107.35,104.55,105.40,1107700,104.19
2012-09-07,104.60,106.45,103.90,104.95,1436600,103.75
2012-09-06,103.25,104.20,101.70,103.60,1071600,102.41
2012-09-05,103.20,105.40,100.60,102.60,1872700,101.43
2012-09-04,101.10,103.90,100.65,102.90,1450200,101.72
2012-09-03,99.20,102.90,99.20,100.15,1471000,99.00
2012-08-31,102.00,102.40,97.50,98.60,1651100,97.47
2012-08-30,99.00,101.30,96.50,99.75,1102300,98.61
2012-08-29,98.15,101.80,98.00,99.85,2120100,98.71
2012-08-28,101.80,105.20,92.25,97.90,5274300,96.78
2012-08-27,95.05,102.55,94.60,101.20,4373500,100.04
2012-08-24,94.10,95.25,92.60,94.40,1202700,93.32
2012-08-23,91.40,94.45,90.10,93.70,1437700,92.63
2012-08-22,93.00,93.50,89.05,89.55,820000,88.53
2012-08-21,93.50,96.30,92.10,92.80,995300,91.74
2012-08-20,93.25,93.25,93.25,93.25,000,92.18
2012-08-17,97.50,99.45,92.45,93.25,1602700,92.18
2012-08-16,94.35,97.80,94.00,97.05,2084100,95.94
2012-08-15,93.65,93.65,93.65,93.65,000,92.58
2012-08-14,90.45,94.20,89.50,93.65,1455100,92.58
2012-08-13,85.90,90.90,85.90,89.50,1704300,88.48
2012-08-10,85.50,87.55,85.10,86.35,592700,85.36
2012-08-09,86.10,88.70,85.05,85.55,956400,84.57
2012-08-08,87.20,88.90,85.10,86.00,1436800,85.02
2012-08-07,81.90,87.65,81.20,86.70,2081700,85.71
2012-08-06,80.00,83.50,80.00,81.40,1453300,80.47
2012-08-03,75.95,82.50,74.25,79.75,3867400,78.84
2012-08-02,78.00,78.90,75.10,76.00,1407000,75.13
2012-08-01,71.60,79.80,71.60,78.90,5252000,78.00
2012-07-31,65.60,73.00,65.00,69.60,1667500,68.80
2012-07-30,64.20,65.70,63.50,65.20,254300,64.45
2012-07-27,66.00,66.95,62.90,63.45,342600,62.72
2012-07-26,67.00,68.20,63.15,64.45,538100,63.71
2012-07-25,65.70,67.75,65.05,66.50,575300,65.74
2012-07-24,65.45,66.75,64.65,65.70,459500,64.95
2012-07-23,67.00,67.30,64.55,64.75,386000,64.01
2012-07-20,67.20,68.90,66.70,67.50,916400,66.73
2012-07-19,67.00,67.75,66.20,66.80,930500,66.04
2012-07-18,61.10,66.70,60.25,65.85,592700,65.10
2012-07-17,62.70,63.45,61.15,61.55,181500,60.85
2012-07-16,63.60,64.90,61.70,62.30,367300,61.59
2012-07-13,64.20,64.45,62.85,63.05,144300,62.33
2012-07-12,64.00,64.50,63.10,63.80,218200,63.07
2012-07-11,65.00,65.80,64.15,64.75,246600,64.01
2012-07-10,65.40,65.75,64.70,65.10,230000,64.35
2012-07-09,65.40,67.35,64.80,65.05,325300,64.31
2012-07-06,68.15,68.30,65.80,66.20,319500,65.44
2012-07-05,68.45,69.45,67.60,68.15,503500,67.37
2012-07-04,68.50,69.60,67.75,68.15,496500,67.37
2012-07-03,68.70,69.35,67.30,67.80,885300,67.02
2012-07-02,65.70,69.00,64.75,67.90,778700,67.12
2012-06-29,65.35,66.10,64.70,65.15,320800,64.40
2012-06-28,65.25,66.45,64.45,64.90,449700,64.16
2012-06-27,62.90,65.90,62.50,64.60,711600,63.86
2012-06-26,64.25,65.00,61.70,62.40,499000,61.69
2012-06-25,66.40,68.10,63.55,64.05,1247500,63.32
2012-06-22,61.50,66.70,60.25,65.70,1816600,64.95
2012-06-21,58.80,62.40,58.60,61.75,1372100,61.04
2012-06-20,54.55,59.25,54.55,58.45,1301300,57.78
2012-06-19,53.50,55.55,52.40,54.55,319000,53.93
2012-06-18,55.35,55.35,52.40,53.40,170600,52.79
2012-06-15,55.15,55.80,54.50,54.80,120100,54.17
2012-06-14,55.00,56.85,54.40,54.70,487000,54.07
2012-06-13,54.00,56.15,53.20,54.65,591200,54.02
2012-06-12,53.40,54.50,52.80,53.50,158300,52.89
2012-06-11,54.45,55.70,53.10,53.35,216300,52.74
2012-06-08,52.90,55.55,52.10,53.80,307600,53.18
2012-06-07,54.75,55.05,52.60,52.95,216200,52.34
2012-06-06,52.00,54.40,51.70,53.85,571800,53.23
2012-06-05,50.95,51.95,49.20,51.45,303500,50.86
2012-06-04,49.40,49.75,48.00,49.10,130200,48.54
2012-06-01,51.00,52.40,49.50,49.85,185900,49.28
2012-05-31,51.30,51.70,50.60,50.80,132900,50.22
2012-05-30,53.30,54.00,51.25,51.75,301100,51.16
2012-05-29,53.50,54.80,52.70,53.60,582800,52.99
2012-05-28,51.50,54.40,50.10,53.30,1071000,52.69
2012-05-25,46.50,52.20,46.00,51.05,1726500,50.47
2012-05-24,46.30,46.70,45.05,46.10,160500,45.57
2012-05-23,45.60,46.80,45.40,45.90,103100,45.37
2012-05-22,46.90,47.40,45.10,45.60,115600,45.08
2012-05-21,46.50,47.60,46.15,46.45,170400,45.92
2012-05-18,44.85,47.60,44.10,46.45,643500,45.92
2012-05-17,45.50,46.30,44.60,45.60,450900,45.08
2012-05-16,43.50,45.80,43.05,44.40,960500,43.89
2012-05-15,42.60,45.15,41.65,43.50,1309900,43.00
2012-05-14,42.20,43.30,41.50,42.50,115000,42.01
2012-05-11,42.00,43.50,38.00,42.00,91900,41.52
2012-05-10,42.40,44.00,42.15,42.75,137400,42.26
2012-05-09,43.00,43.35,41.60,42.10,108000,41.62
2012-05-08,44.00,45.00,42.25,42.70,122000,42.21
2012-05-07,43.10,44.00,41.50,43.85,161400,43.35
2012-05-04,45.80,46.55,43.65,43.90,399700,43.40
2012-05-03,45.60,49.85,45.10,45.50,1431400,44.98
2012-05-02,46.00,46.75,45.50,45.65,42900,45.13
2012-05-01,45.70,45.70,45.70,45.70,000,45.18
2012-04-30,47.50,47.50,45.10,45.55,70200,45.03
2012-04-27,45.70,46.40,44.90,45.45,73300,44.93
2012-04-26,44.50,46.90,44.50,45.35,57300,44.83
2012-04-25,46.85,47.90,46.10,46.35,80200,45.82
2012-04-24,47.20,47.50,46.20,46.55,63200,46.02
2012-04-23,48.80,48.90,47.00,47.15,93700,46.61
2012-04-20,48.70,50.35,48.00,48.40,190700,47.85
2012-04-19,49.10,49.45,48.25,48.50,67100,47.94
2012-04-18,48.95,50.65,48.30,49.05,245800,48.49
2012-04-17,48.90,49.10,48.00,48.80,184300,48.24
2012-04-16,48.65,49.25,48.05,48.35,118300,47.80
2012-04-13,50.10,50.60,48.20,48.50,109400,47.94
2012-04-12,49.95,51.15,49.50,49.80,102900,49.23
2012-04-11,50.40,50.40,49.05,49.35,100900,48.79
2012-04-10,52.75,52.75,50.05,50.45,236500,49.87
2012-04-09,50.10,53.20,49.00,51.45,360900,50.86
2012-04-06,50.10,50.10,50.10,50.10,000,49.53
2012-04-05,50.10,50.10,50.10,50.10,000,49.53
2012-04-04,50.40,51.00,49.30,50.10,95300,49.53
2012-04-03,49.00,51.00,48.50,49.95,242400,49.38
2012-04-02,46.80,49.30,46.45,48.45,223500,47.90
2012-03-30,45.10,46.40,45.10,45.75,83100,45.23
2012-03-29,45.50,45.95,44.25,45.05,102500,44.53
2012-03-28,46.00,46.75,44.75,45.00,73000,44.48
2012-03-27,45.50,47.25,44.50,46.25,272300,45.72
2012-03-26,45.70,46.00,44.55,44.85,49400,44.34
2012-03-23,46.05,47.45,45.50,45.90,53400,45.37
2012-03-22,48.00,48.80,45.75,46.00,139700,45.47
2012-03-21,47.15,48.70,46.15,47.40,550600,46.86
2012-03-20,46.95,47.75,46.20,46.85,63800,46.31
2012-03-19,47.25,49.00,46.60,47.00,110900,46.46
2012-03-16,48.05,49.75,47.20,47.55,125400,47.01
2012-03-15,50.10,50.10,47.20,48.85,171100,48.29
2012-03-14,51.50,51.60,49.75,50.30,128500,49.72
2012-03-13,51.40,51.40,50.15,50.40,258600,49.82
2012-03-12,52.30,52.40,50.25,50.50,162000,49.92
2012-03-09,51.90,52.80,50.35,51.35,132700,50.76
2012-03-08,53.35,53.35,53.35,53.35,000,52.74
2012-03-07,51.00,51.00,48.15,49.95,110400,49.38
2012-03-06,52.80,53.85,50.60,51.10,118000,50.52
2012-03-05,52.95,54.70,52.10,52.75,171100,52.15
2012-03-02,54.35,54.50,52.45,52.75,141700,52.15
2012-03-01,53.20,56.40,52.50,53.35,977800,52.74
2012-02-29,52.20,53.85,51.25,51.75,180200,51.16
2012-02-28,50.00,51.55,49.80,50.80,174800,50.22
2012-02-27,54.05,55.90,48.20,49.15,219100,48.59
2012-02-24,56.70,56.90,54.15,54.55,126800,53.93
2012-02-23,58.00,58.45,55.25,55.75,138300,55.11
2012-02-22,62.00,62.50,57.25,58.00,175400,57.34
2012-02-21,62.25,62.90,60.20,61.55,144800,60.85
2012-02-20,61.85,61.85,61.85,61.85,000,61.14
2012-02-17,64.75,69.50,61.40,61.85,359300,61.14
2012-02-16,60.25,63.40,59.00,62.20,628600,61.49
2012-02-15,60.45,61.40,58.15,59.85,296800,59.17
2012-02-14,60.10,62.50,57.65,59.55,667200,58.87
2012-02-13,62.50,62.80,59.05,59.40,243800,58.72
2012-02-10,61.50,63.80,60.00,60.70,967300,60.01
2012-02-09,55.20,65.95,52.65,60.00,1989200,59.31
2012-02-08,53.60,56.10,53.60,55.20,94400,54.57
2012-02-07,57.20,57.50,53.50,53.95,116100,53.33
2012-02-06,56.50,57.95,54.10,56.80,263900,56.15
2012-02-03,52.60,56.35,51.55,55.45,560600,54.82
2012-02-02,51.95,53.05,51.25,51.70,205200,51.11
2012-02-01,51.75,51.85,50.60,51.40,131600,50.81
2012-01-31,57.90,57.90,51.25,51.75,231800,51.16
2012-01-30,47.80,53.20,47.80,51.00,571300,50.42
2012-01-27,49.05,49.70,48.10,48.50,77000,47.94
2012-01-26,48.80,48.80,48.80,48.80,000,48.24
2012-01-25,47.70,53.00,47.70,48.80,250700,48.24
2012-01-24,46.20,47.70,45.40,47.05,96800,46.51
2012-01-23,46.20,47.50,45.00,46.30,119200,45.77
2012-01-20,48.45,48.45,45.90,46.45,199800,45.92
2012-01-19,47.40,51.45,46.10,47.90,1169800,47.35
2012-01-18,47.15,47.55,45.50,46.30,98100,45.77
2012-01-17,48.50,49.55,46.85,47.15,106300,46.61
2012-01-16,47.80,51.30,46.25,47.55,285200,47.01
2012-01-13,45.50,49.10,45.20,47.80,220800,47.25
2012-01-12,45.50,46.80,44.55,45.00,53300,44.48
2012-01-11,46.40,48.25,45.00,45.65,142700,45.13
2012-01-10,40.35,47.80,40.20,45.85,437700,45.33
2012-01-09,38.60,41.35,38.40,40.55,77000,40.09
2012-01-06,38.40,38.70,37.25,37.95,32400,37.52
2012-01-05,39.20,40.15,38.60,38.85,23700,38.41
2012-01-04,39.75,40.20,39.20,39.55,35100,39.10
2012-01-03,39.40,40.50,39.30,39.60,112400,39.15
2012-01-02,37.30,39.00,36.55,38.40,43100,37.96
2011-12-30,36.10,38.45,35.45,37.15,48600,36.72
2011-12-29,36.40,36.95,36.00,36.20,32200,35.79
2011-12-28,38.00,38.00,36.50,36.60,27200,36.18
2011-12-27,39.90,39.90,38.05,38.25,45300,37.81
2011-12-26,37.00,39.95,36.50,39.55,144400,39.10
2011-12-23,35.60,38.40,35.10,36.95,114400,36.53
2011-12-22,35.40,36.50,34.75,35.05,64500,34.65
2011-12-21,35.80,36.25,35.00,35.85,53900,35.44
2011-12-20,35.10,35.60,34.25,34.80,38300,34.40
2011-12-19,34.80,35.90,33.80,35.10,54600,34.70
2011-12-16,36.00,37.75,34.20,34.80,59200,34.40
2011-12-15,36.25,36.80,34.80,35.40,59900,34.99
2011-12-14,38.00,38.00,36.00,36.50,101300,36.08
2011-12-13,37.50,38.00,36.00,37.45,450600,37.02
2011-12-12,40.40,44.95,36.50,37.00,137900,36.58
2011-12-09,40.00,40.45,39.00,39.25,96400,38.80
2011-12-08,43.00,43.00,40.05,40.25,110400,39.79
2011-12-07,43.05,43.50,42.00,42.60,58000,42.11
2011-12-06,42.90,42.90,42.90,42.90,000,42.41
2011-12-05,42.85,43.90,42.70,42.90,36000,42.41
2011-12-02,44.00,44.00,42.00,43.50,23500,43.00
2011-12-01,44.00,45.00,42.55,42.75,96400,42.26
2011-11-30,44.00,44.90,42.00,42.45,57700,41.96
2011-11-29,46.00,46.45,44.10,44.40,36300,43.89
2011-11-28,50.75,53.75,45.30,45.75,38700,45.23
2011-11-25,44.10,47.00,44.10,46.60,32300,46.07
2011-11-24,45.80,54.50,42.60,45.15,65600,44.63
2011-11-23,44.10,47.90,43.05,45.40,110900,44.88
2011-11-22,46.40,47.90,45.05,45.60,71400,45.08
2011-11-21,45.35,46.90,42.10,44.50,127600,43.99
2011-11-18,42.95,48.40,42.50,45.45,118400,44.93
2011-11-17,42.50,47.40,42.05,42.50,89400,42.01
2011-11-16,42.70,44.80,40.55,42.45,321900,41.96
2011-11-15,45.00,45.00,42.25,42.60,55800,42.11
2011-11-14,45.20,45.40,43.75,44.25,67800,43.74
2011-11-11,49.95,49.95,45.10,45.70,190300,45.18
2011-11-09,49.25,49.45,48.05,48.10,77900,47.55
2011-11-08,50.00,50.50,48.85,49.10,84600,48.54
2011-11-04,50.25,51.50,49.50,49.85,78400,49.28
2011-11-03,51.90,51.90,49.80,50.25,67700,49.67
2011-11-02,51.70,52.05,50.75,51.00,95100,50.42
2011-11-01,52.00,52.50,51.40,51.70,74000,51.11
2011-10-31,54.00,54.10,51.75,51.95,162400,51.36
2011-10-28,54.30,55.50,51.80,52.20,247100,51.60
2011-10-26,53.95,54.30,52.95,54.00,18600,53.38
2011-10-25,54.00,54.05,52.00,52.30,63500,51.70
2011-10-24,55.40,56.00,54.15,54.50,31500,53.88
2011-10-21,56.00,56.00,54.50,55.35,56100,54.72
2011-10-20,56.05,56.05,54.95,55.50,32200,54.86
2011-10-19,56.50,56.75,55.50,55.90,39900,55.26
2011-10-18,57.00,59.40,55.75,56.05,156700,55.41
2011-10-17,59.20,59.65,57.05,57.40,42200,56.74
2011-10-14,59.95,59.95,58.10,58.40,40200,57.73
2011-10-13,60.00,60.15,59.00,59.40,36800,58.72
2011-10-12,61.00,61.60,59.15,59.90,43300,59.21
2011-10-11,62.50,62.90,60.60,60.90,41500,60.20
2011-10-10,58.10,62.00,58.10,61.45,54100,60.75
2011-10-07,59.20,59.70,58.30,58.85,51700,58.18
2011-10-05,58.00,64.35,56.00,58.60,127000,57.93
2011-10-04,59.85,59.85,58.40,58.90,22500,58.23
2011-10-03,57.90,60.50,57.00,58.65,57300,57.98
2011-09-30,59.20,60.00,57.25,57.65,29800,56.99
2011-09-29,58.50,59.60,57.60,58.90,52400,58.23
2011-09-28,61.45,62.00,59.25,59.50,24300,58.82
2011-09-27,64.25,64.25,60.45,60.90,37100,60.20
2011-09-26,61.65,61.95,59.50,60.15,30600,59.46
2011-09-23,62.25,63.50,61.30,61.85,48700,61.14
2011-09-22,65.00,66.00,63.05,63.45,52200,62.72
2011-09-21,64.95,67.60,64.25,66.00,127600,65.24
2011-09-20,65.50,66.20,64.05,64.35,50900,63.61
2011-09-19,64.00,66.00,62.70,65.00,254100,64.26
2011-09-16,64.00,64.10,62.45,62.85,29200,62.13
2011-09-15,63.15,63.90,63.00,63.75,18000,63.02
2011-09-14,63.50,64.55,62.55,62.85,43600,62.13
2011-09-13,63.65,64.50,63.10,63.35,21900,62.62
2011-09-12,64.20,64.40,62.10,63.15,27000,62.43
2011-09-09,65.00,65.10,64.00,64.20,91900,63.47
2011-09-08,65.80,65.85,64.60,64.85,129100,64.11
2011-09-07,65.10,66.00,64.55,64.80,132600,64.06
2011-09-06,67.00,67.00,64.75,64.90,84700,64.16
2011-09-05,67.15,67.80,66.30,66.55,56500,65.79
2011-09-02,68.55,69.45,66.50,67.15,46000,66.38
2011-08-30,69.00,69.90,68.25,68.35,17800,67.57
2011-08-29,69.70,69.80,68.00,68.65,26800,67.86
2011-08-26,66.30,69.50,65.15,68.25,37000,67.47
2011-08-25,70.25,70.30,67.00,68.20,18700,67.42
2011-08-24,67.75,72.90,67.00,68.35,33700,67.57
2011-08-23,68.10,69.40,67.75,68.15,13800,67.37
2011-08-22,69.30,69.70,65.55,67.85,26300,67.07
2011-08-19,64.20,71.80,62.30,68.05,138400,67.27
2011-08-18,69.70,70.55,66.20,67.25,35300,66.48
2011-08-17,71.70,71.70,68.20,69.70,53700,68.90
2011-08-16,74.35,75.35,70.75,71.25,40200,70.43
2011-08-12,75.85,75.85,73.60,73.75,44900,72.91
2011-08-11,75.40,75.90,74.05,75.10,24500,74.24
2011-08-10,78.00,78.00,74.80,75.95,45400,75.08
2011-08-09,75.15,75.90,72.70,74.25,111200,73.40
2011-08-08,81.50,81.75,76.00,77.90,92900,77.01
2011-08-05,81.35,83.45,77.10,82.05,493900,81.11
2011-08-04,82.80,84.35,81.60,83.20,51700,82.25
2011-08-03,83.60,83.60,81.00,81.80,59500,80.86
2011-08-02,87.50,87.50,82.90,84.00,131200,83.04
2011-08-01,90.90,92.35,86.50,86.95,119800,85.95
2011-07-29,89.00,92.90,87.60,89.75,285700,88.72
2011-07-28,90.50,92.55,86.60,89.95,370400,88.92
2011-07-27,90.90,92.30,89.20,90.60,80100,89.56
2011-07-26,92.90,92.90,90.00,90.30,68100,89.27
2011-07-25,92.05,94.15,90.75,91.75,94800,90.70
2011-07-22,95.40,95.80,92.10,92.35,369600,91.29
2011-07-21,90.00,101.85,89.15,94.65,1120900,93.57
2011-07-20,89.50,90.30,88.55,88.90,34600,87.88
2011-07-19,89.55,90.35,89.55,89.90,19100,88.87
2011-07-18,90.30,90.80,89.40,89.95,24300,88.92
2011-07-15,90.10,90.90,89.40,90.05,22700,89.02
2011-07-14,90.45,91.15,89.20,90.10,44800,89.07
2011-07-13,89.00,91.00,89.00,90.45,62000,88.23
