Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,76.00,76.00,76.00,76.00,000,76.00
2012-12-24,76.35,76.90,74.80,76.00,2149200,76.00
2012-12-21,78.60,78.60,75.20,76.05,2210600,76.05
2012-12-20,79.75,80.45,78.20,78.75,2528200,78.75
2012-12-19,79.70,81.45,79.10,79.60,5582200,79.60
2012-12-18,79.75,80.70,78.05,79.45,3989400,79.45
2012-12-17,79.30,80.20,78.50,79.60,2593600,79.60
2012-12-14,78.50,79.50,78.00,78.90,1056700,78.90
2012-12-13,80.10,80.70,78.30,78.65,2625400,78.65
2012-12-12,78.50,79.90,77.30,79.60,2677200,79.60
2012-12-11,80.80,81.00,77.55,78.40,2715200,78.40
2012-12-10,81.50,81.95,79.40,80.80,2114200,80.80
2012-12-07,81.75,82.40,80.30,81.00,2879700,81.00
2012-12-06,80.80,81.90,80.15,81.45,4989700,81.45
2012-12-05,78.50,80.40,78.50,80.05,7195300,80.05
2012-12-04,76.95,78.70,76.70,77.95,5318000,77.95
2012-12-03,78.60,78.90,76.35,76.95,4454600,76.95
2012-11-30,77.50,79.00,76.10,78.40,3830300,78.40
2012-11-29,77.95,80.70,77.55,78.45,9985100,78.45
2012-11-28,77.75,77.75,77.75,77.75,000,77.75
2012-11-27,78.00,79.40,77.35,77.75,3688600,77.75
2012-11-26,73.65,79.20,73.60,77.40,7301600,77.40
2012-11-23,74.00,74.25,73.00,73.45,3030900,73.45
2012-11-22,74.25,74.55,73.10,73.35,2350200,73.35
2012-11-21,74.70,75.25,73.30,74.05,2279100,74.05
2012-11-20,75.80,76.25,73.80,74.50,4631100,74.50
2012-11-19,78.50,78.50,75.05,75.30,2903300,75.30
2012-11-16,79.00,80.35,77.25,78.15,7278200,78.15
2012-11-15,75.50,79.20,75.05,78.70,7612900,78.70
2012-11-14,74.90,74.90,74.90,74.90,000,74.90
2012-11-13,74.90,74.90,74.90,74.90,000,74.90
2012-11-12,75.50,76.20,74.75,74.90,2253000,74.90
2012-11-09,75.90,76.25,74.80,75.40,1951900,75.40
2012-11-08,75.00,76.30,75.00,75.70,2279400,75.70
2012-11-07,75.90,76.50,75.05,76.15,3581000,76.15
2012-11-06,74.55,75.50,74.25,75.25,1731000,75.25
2012-11-05,74.90,75.75,74.30,74.55,1945600,74.55
2012-11-02,76.00,76.10,74.60,74.85,3174200,74.85
2012-11-01,75.70,75.75,74.20,75.00,2828600,75.00
2012-10-31,74.50,75.90,74.50,75.40,5839700,75.40
2012-10-30,72.25,74.60,71.70,74.30,4064000,74.30
2012-10-29,72.55,73.30,71.70,72.15,2217200,72.15
2012-10-26,73.65,73.65,73.65,73.65,000,73.65
2012-10-25,73.20,74.00,71.25,73.65,8255900,73.65
2012-10-24,72.60,72.60,72.60,72.60,000,72.60
2012-10-23,74.10,74.80,72.25,72.60,6905000,72.60
2012-10-22,75.60,75.65,72.70,73.85,7210100,73.85
2012-10-19,78.40,79.10,75.45,75.70,8095600,75.70
2012-10-18,80.55,82.80,77.50,77.90,20950000,77.90
2012-10-17,77.10,81.20,76.45,80.50,5992600,80.50
2012-10-16,76.15,78.25,76.15,76.80,4860200,76.80
2012-10-15,77.85,78.25,75.25,76.15,4833200,76.15
2012-10-12,77.25,79.10,76.80,77.30,3403000,77.30
2012-10-11,80.00,82.40,77.25,77.70,9314400,77.70
2012-10-10,82.90,83.60,79.80,80.10,5931100,80.10
2012-10-09,80.00,83.70,80.00,82.90,4452600,82.90
2012-10-08,81.40,82.00,79.95,80.15,1739700,80.15
2012-10-05,84.85,84.85,80.60,81.05,4022500,81.05
2012-10-04,81.80,84.20,80.80,83.25,5311100,83.25
2012-10-03,82.45,83.85,80.60,81.40,2741500,81.40
2012-10-02,82.05,82.05,82.05,82.05,000,82.05
2012-10-01,81.90,83.60,81.10,82.05,2214000,82.05
2012-09-28,82.80,84.85,82.25,82.55,4839400,82.55
2012-09-27,81.80,82.45,79.65,81.65,5709300,81.65
2012-09-26,77.90,79.60,77.25,79.15,1676100,79.15
2012-09-25,76.00,78.60,75.05,77.85,1175000,77.85
2012-09-24,79.35,80.40,76.55,76.95,2378800,76.95
2012-09-21,79.00,81.00,78.50,79.40,2812100,79.40
2012-09-20,77.75,80.35,77.15,78.05,3023700,78.05
2012-09-19,78.80,78.80,78.80,78.80,000,78.80
2012-09-18,80.75,80.75,76.40,78.80,4483400,78.80
2012-09-17,78.90,83.35,77.60,78.85,7930600,78.85
2012-09-14,75.00,77.20,74.30,76.85,3753500,76.85
2012-09-13,74.25,75.35,73.35,74.05,4477200,74.05
2012-09-12,71.50,73.10,71.15,72.50,2531100,72.50
2012-09-11,72.40,73.20,71.20,71.50,1357500,71.50
2012-09-10,73.90,73.95,71.95,72.40,1019200,72.40
2012-09-07,72.25,73.80,71.40,73.35,2307900,73.35
2012-09-06,70.50,72.15,70.10,71.60,2629500,71.60
2012-09-05,70.45,71.35,69.25,70.45,3349900,70.45
2012-09-04,66.80,70.45,66.30,70.20,3967100,70.20
2012-09-03,65.50,66.70,64.60,66.05,2459400,66.05
2012-08-31,66.15,66.75,63.85,64.40,2798400,64.40
2012-08-30,64.20,66.70,63.30,66.05,1829500,66.05
2012-08-29,68.75,68.75,64.40,65.05,2852600,65.05
2012-08-28,69.10,69.40,67.55,68.30,1285200,68.30
2012-08-27,69.55,71.20,68.75,69.00,1923600,69.00
2012-08-24,70.80,71.35,69.10,69.35,2102800,69.35
2012-08-23,74.00,74.30,70.80,71.20,1848700,71.20
2012-08-22,74.10,75.40,73.00,73.65,1718400,73.65
2012-08-21,73.00,75.05,71.80,74.60,1481100,74.60
2012-08-20,72.95,72.95,72.95,72.95,000,72.95
2012-08-17,74.90,75.00,71.40,72.95,2070800,72.95
2012-08-16,73.50,74.80,72.90,74.45,2192900,74.45
2012-08-15,73.10,73.10,73.10,73.10,000,73.10
2012-08-14,74.15,74.35,72.25,73.10,2147900,73.10
2012-08-13,71.00,73.85,69.65,73.45,2591000,73.45
2012-08-10,70.15,71.35,69.85,71.00,1207300,71.00
2012-08-09,71.00,71.35,69.30,70.40,2537000,70.40
2012-08-08,73.55,74.25,69.70,70.40,3909100,70.40
2012-08-07,71.40,73.75,70.45,72.85,4413000,72.85
2012-08-06,71.65,71.90,70.30,71.35,1514000,71.35
2012-08-03,71.50,71.80,69.85,70.15,2420200,70.15
2012-08-02,71.95,72.90,71.15,71.85,1935200,71.85
2012-08-01,69.85,71.95,68.75,71.65,3127600,71.65
2012-07-31,69.10,70.00,67.85,69.25,2419500,69.25
2012-07-30,67.80,69.25,67.80,68.90,1120900,68.90
2012-07-27,70.00,70.40,67.00,67.65,2116400,67.65
2012-07-26,68.95,70.70,67.00,68.90,6644300,68.90
2012-07-25,67.50,69.25,67.30,68.55,3861000,68.55
2012-07-24,66.85,68.25,66.20,67.95,2381100,67.95
2012-07-23,68.35,69.35,58.00,66.90,4712000,66.90
2012-07-20,71.95,71.95,69.15,69.70,8163200,69.70
2012-07-19,68.95,73.25,67.55,71.15,17969300,71.15
2012-07-18,69.50,69.50,67.05,68.10,1248200,68.10
2012-07-17,69.00,69.75,68.70,69.05,1028300,69.05
2012-07-16,70.05,70.05,68.30,68.80,1521300,68.80
2012-07-13,68.35,69.90,68.20,69.45,2126600,69.45
2012-07-12,68.85,68.90,67.50,68.05,1876400,68.05
2012-07-11,69.60,70.05,69.00,69.40,2071000,69.40
2012-07-10,69.30,70.10,68.70,69.75,1738900,69.75
2012-07-09,70.75,71.50,68.80,69.10,3863000,69.10
2012-07-06,69.30,71.20,68.50,70.65,4400800,70.65
2012-07-05,69.00,69.50,67.70,69.00,2885200,69.00
2012-07-04,65.50,69.45,65.50,69.00,6241500,69.00
2012-07-03,64.75,65.45,64.50,65.15,1849100,65.15
2012-07-02,63.95,65.35,63.10,64.45,2456300,64.45
2012-06-29,62.00,64.10,62.00,63.70,4056800,63.70
2012-06-28,62.30,62.75,61.35,61.70,3110100,61.70
