Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,1052.10,1068.75,1035.85,1041.95,93600,1041.95
2013-01-22,1084.15,1084.15,1055.50,1060.05,71000,1060.05
2013-01-21,1051.45,1074.00,1045.25,1066.85,80400,1066.85
2013-01-18,1058.85,1062.00,1032.00,1051.00,212400,1051.00
2013-01-17,1060.25,1070.00,1050.60,1054.25,127500,1054.25
2013-01-16,1068.75,1079.50,1059.00,1063.75,66100,1063.75
2013-01-15,1065.95,1078.50,1062.05,1068.95,67800,1068.95
2013-01-14,1063.70,1069.95,1055.60,1059.35,82600,1059.35
2013-01-11,1062.05,1079.05,1055.15,1063.30,109300,1063.30
2013-01-10,1086.40,1094.75,1064.85,1069.05,103700,1069.05
2013-01-09,1085.75,1097.00,1080.00,1085.35,120800,1085.35
2013-01-08,1081.25,1098.20,1072.05,1078.20,215300,1078.20
2013-01-07,1096.05,1116.15,1085.85,1094.70,178800,1094.70
2013-01-04,1093.80,1118.75,1081.15,1110.30,277300,1110.30
2013-01-03,1111.95,1112.70,1091.25,1093.70,137900,1093.70
2013-01-02,1107.40,1110.75,1091.00,1105.80,186100,1105.80
2013-01-01,1114.50,1119.30,1095.30,1098.25,67400,1098.25
2012-12-31,1069.55,1116.00,1069.55,1104.40,251300,1104.40
2012-12-28,1092.90,1099.45,1069.15,1078.55,202500,1078.55
2012-12-27,1069.70,1093.90,1045.00,1084.65,1158200,1084.65
2012-12-26,1143.40,1143.40,1055.15,1058.80,149700,1058.80
2012-12-25,1065.65,1065.65,1065.65,1065.65,000,1065.65
2012-12-24,1077.25,1085.05,1061.30,1065.65,171900,1065.65
2012-12-21,1115.65,1119.35,1069.20,1075.50,289600,1075.50
2012-12-20,1114.95,1129.15,1111.00,1119.15,150700,1119.15
2012-12-19,1100.15,1114.00,1086.25,1107.85,192400,1107.85
2012-12-18,1101.80,1104.25,1082.35,1096.90,231900,1096.90
2012-12-17,1138.00,1138.00,1077.10,1096.85,463300,1096.85
2012-12-14,1130.65,1144.00,1122.25,1130.45,133000,1130.45
2012-12-13,1179.95,1180.00,1121.75,1133.30,200500,1133.30
2012-12-12,1163.00,1178.00,1156.50,1174.15,757800,1174.15
2012-12-11,1172.40,1198.00,1156.65,1163.20,137000,1163.20
2012-12-10,1180.15,1188.50,1168.10,1181.85,83300,1181.85
2012-12-07,1162.05,1192.75,1150.00,1181.55,125700,1181.55
2012-12-06,1168.05,1173.90,1145.00,1166.20,256300,1166.20
2012-12-05,1174.05,1177.95,1161.65,1167.05,100600,1167.05
2012-12-04,1174.75,1178.00,1164.10,1171.70,173300,1171.70
2012-12-03,1176.95,1179.00,1162.00,1170.90,216300,1170.90
2012-11-30,1180.25,1234.40,1160.05,1184.90,3530900,1184.90
2012-11-29,1180.20,1198.00,1166.40,1180.70,911500,1180.70
2012-11-28,1177.15,1177.15,1177.15,1177.15,000,1177.15
2012-11-27,1182.00,1189.65,1174.95,1177.15,361200,1177.15
2012-11-26,1172.05,1185.00,1168.00,1177.40,429200,1177.40
2012-11-23,1177.00,1189.40,1168.45,1171.70,226800,1171.70
2012-11-22,1176.45,1185.00,1168.00,1176.00,159300,1176.00
2012-11-21,1161.05,1184.95,1156.20,1174.20,149500,1174.20
2012-11-20,1165.00,1175.00,1152.00,1162.05,111300,1162.05
2012-11-19,1173.40,1177.95,1151.15,1165.75,135500,1165.75
2012-11-16,1197.05,1207.25,1161.45,1171.70,218300,1171.70
2012-11-15,1209.00,1214.35,1183.00,1196.60,566300,1196.60
2012-11-14,1188.50,1188.50,1188.50,1188.50,000,1188.50
2012-11-13,1188.50,1188.50,1188.50,1188.50,000,1188.50
2012-11-12,1160.00,1199.00,1142.70,1188.50,524900,1188.50
2012-11-09,1168.95,1175.00,1152.65,1165.90,307400,1165.90
2012-11-08,1150.05,1169.35,1143.05,1164.40,145000,1164.40
2012-11-07,1147.90,1167.05,1139.00,1160.30,225900,1160.30
2012-11-06,1141.05,1156.45,1128.95,1138.90,475600,1138.90
2012-11-05,1184.00,1193.05,1104.00,1146.80,468500,1146.80
2012-11-02,1207.90,1216.00,1185.20,1193.10,218400,1193.10
2012-11-01,1201.25,1215.00,1170.00,1200.00,280500,1200.00
2012-10-31,1164.95,1201.00,1157.05,1199.15,595700,1199.15
2012-10-30,1163.65,1169.90,1155.20,1160.85,121500,1160.85
2012-10-29,1165.05,1171.00,1148.30,1157.40,198200,1157.40
2012-10-26,1150.95,1150.95,1150.95,1150.95,000,1150.95
2012-10-25,1160.00,1172.00,1144.85,1150.95,353400,1150.95
2012-10-24,1159.55,1159.55,1159.55,1159.55,000,1159.55
2012-10-23,1162.00,1179.00,1155.70,1159.55,178300,1159.55
2012-10-22,1126.65,1167.75,1121.00,0.30,281600,0.30
2012-10-19,1131.30,1143.40,1117.20,1127.40,100300,1127.40
2012-10-18,1128.00,1144.70,1125.00,1136.50,125700,1136.50
2012-10-17,1130.00,1138.65,1121.00,1127.05,129800,1127.05
2012-10-16,1159.90,1159.90,1116.05,1121.00,96600,1121.00
2012-10-15,1198.40,1198.40,1136.30,1139.30,207500,1139.30
2012-10-12,1115.00,1147.00,1115.00,1142.10,230700,1142.10
2012-10-11,1126.00,1133.60,1112.95,1118.25,180500,1118.25
2012-10-10,1139.00,1154.50,1114.50,1124.05,211900,1124.05
2012-10-09,1114.90,1140.15,1098.00,1133.35,176500,1133.35
2012-10-08,1101.00,1122.00,1084.45,1100.35,168400,1100.35
2012-10-05,1135.50,1135.50,1087.45,1095.55,131400,1095.55
2012-10-04,1115.60,1149.25,1115.60,1131.40,389100,1131.40
2012-10-03,1122.30,1143.70,1117.80,1133.00,462800,1133.00
2012-10-02,1122.05,1122.05,1122.05,1122.05,000,1122.05
2012-10-01,1088.85,1124.70,1085.00,1122.05,355100,1122.05
2012-09-28,1071.00,1102.50,1051.05,1082.60,469900,1082.60
2012-09-27,1068.05,1086.00,1062.25,1066.40,349000,1066.40
2012-09-26,1070.00,1078.00,1055.25,1066.50,268200,1066.50
2012-09-25,1045.00,1078.00,1037.10,1063.50,202200,1063.50
2012-09-24,1070.00,1080.90,1025.00,1045.40,568400,1045.40
2012-09-21,1072.00,1087.30,1061.00,1075.40,335600,1075.40
2012-09-20,1100.00,1114.20,1064.50,1071.10,396500,1071.10
2012-09-19,1095.35,1095.35,1095.35,1095.35,000,1095.35
2012-09-18,1085.05,1107.00,1077.00,1095.35,169300,1095.35
2012-09-17,1120.00,1120.00,1060.15,1077.20,518000,1077.20
2012-09-14,1115.00,1130.90,1100.20,1109.40,327500,1109.40
2012-09-13,1140.00,1140.00,1111.00,1117.20,288100,1117.20
2012-09-12,1142.00,1157.35,1128.10,1138.80,273500,1138.80
2012-09-11,1170.85,1170.85,1136.50,1141.80,176500,1141.80
2012-09-10,1169.45,1175.00,1152.55,1158.85,139900,1158.85
2012-09-07,1148.00,1160.00,1136.05,1153.95,216900,1153.95
2012-09-06,1139.05,1143.80,1108.10,1134.90,217200,1134.90
2012-09-05,1092.75,1135.70,1089.25,1120.90,309300,1120.90
2012-09-04,1116.55,1120.00,1070.90,1113.35,560200,1113.35
2012-09-03,1149.30,1149.30,1110.00,1115.55,175100,1115.55
2012-08-31,1122.15,1171.00,1122.15,1139.95,223700,1139.95
2012-08-30,1156.05,1159.80,1142.15,1149.60,196100,1149.60
2012-08-29,1134.95,1159.90,1122.70,1155.50,311600,1155.50
2012-08-28,1199.00,1199.00,1094.95,1130.80,1193400,1130.80
2012-08-27,1186.00,1199.35,1177.10,1187.25,91300,1187.25
2012-08-24,1188.05,1193.50,1170.95,1179.55,110400,1179.55
2012-08-23,1159.95,1201.70,1157.55,1184.10,473900,1184.10
2012-08-22,1177.05,1178.00,1150.25,1153.05,106600,1153.05
2012-08-21,1187.05,1187.05,1168.55,1176.70,141400,1176.70
2012-08-20,1175.30,1175.30,1175.30,1175.30,000,1175.30
2012-08-17,1182.00,1195.50,1169.00,1175.30,328200,1175.30
2012-08-16,1145.85,1176.65,1141.55,1171.10,289100,1171.10
2012-08-15,1141.50,1141.50,1141.50,1141.50,000,1141.50
2012-08-14,1128.35,1158.05,1128.35,1141.50,218000,1141.50
2012-08-13,1128.05,1138.00,1120.00,1133.30,74800,1133.30
2012-08-10,1122.00,1132.35,1116.00,1126.65,127100,1126.65
2012-08-09,1125.05,1125.05,1110.85,1118.40,149600,1118.40
