Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,223.40,223.40,223.40,223.40,000,223.40
2012-12-24,220.90,224.25,219.75,223.40,4490900,223.40
2012-12-21,223.85,227.60,218.75,219.45,8129200,219.45
2012-12-20,224.15,227.55,220.30,225.90,8435500,225.90
2012-12-19,225.35,228.40,223.05,225.30,12355600,225.30
2012-12-18,217.70,224.00,215.50,223.45,7970300,223.45
2012-12-17,218.00,219.70,216.75,217.85,3373500,217.85
2012-12-14,215.60,219.20,215.60,217.35,5232900,217.35
2012-12-13,218.30,220.45,213.35,214.45,6155000,214.45
2012-12-12,219.70,219.75,215.70,217.35,4839900,217.35
2012-12-11,223.00,225.25,214.55,217.85,6688900,217.85
2012-12-10,221.90,225.30,219.70,222.00,7323500,222.00
2012-12-07,227.50,229.00,218.10,220.20,11146100,220.20
2012-12-06,224.85,227.45,220.00,226.65,13102000,226.65
2012-12-05,214.80,223.95,213.90,222.30,16432300,222.30
2012-12-04,209.60,214.90,209.35,212.80,7067400,212.80
2012-12-03,212.05,212.10,209.25,210.35,4647900,210.35
2012-11-30,210.00,212.00,207.50,209.80,7549700,209.80
2012-11-29,206.00,210.25,205.95,208.55,6083400,208.55
2012-11-28,205.30,205.30,205.30,205.30,000,205.30
2012-11-27,201.70,206.80,200.80,205.30,5393200,205.30
2012-11-26,201.30,202.00,199.20,200.30,3897100,200.30
2012-11-23,201.20,202.40,197.50,200.70,4581200,200.70
2012-11-22,202.70,203.85,199.20,201.05,5162400,201.05
2012-11-21,199.90,203.35,196.90,201.80,5574400,201.80
2012-11-20,205.30,207.20,198.75,199.70,6226800,199.70
2012-11-19,203.70,205.75,200.50,204.55,4888100,204.55
2012-11-16,208.20,213.15,201.60,203.60,6964700,203.60
2012-11-15,200.20,210.40,199.50,209.25,5779300,209.25
2012-11-14,205.50,205.50,205.50,205.50,000,205.50
2012-11-13,205.50,205.50,205.50,205.50,000,205.50
2012-11-12,211.00,211.00,204.40,205.50,5314100,205.50
2012-11-09,214.75,217.40,209.85,211.15,5259600,211.15
2012-11-08,208.80,214.60,207.65,214.00,5237300,214.00
2012-11-07,205.55,212.75,205.55,211.50,6617200,211.50
2012-11-06,202.00,207.00,201.75,206.60,3751300,206.60
2012-11-05,204.95,205.10,201.55,202.80,2978700,202.80
2012-11-02,207.00,208.10,204.45,205.40,3842900,205.40
2012-11-01,202.10,205.00,201.55,204.35,3585300,204.35
2012-10-31,199.05,203.40,195.50,202.80,5383200,202.80
2012-10-30,203.15,205.65,197.10,199.10,4535300,199.10
2012-10-29,201.15,206.65,201.15,203.50,3089300,203.50
2012-10-26,204.65,204.65,204.65,204.65,000,204.65
