Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,226.90,226.90,226.90,226.90,000,226.90
2012-12-24,225.10,230.40,224.80,226.90,11500,226.90
2012-12-21,229.95,232.20,223.20,224.45,16700,224.45
2012-12-20,230.30,234.00,228.00,228.55,10100,228.55
2012-12-19,232.10,233.00,230.05,230.70,12500,230.70
2012-12-18,233.00,235.50,230.50,231.55,16400,231.55
2012-12-17,235.00,237.30,232.00,232.70,13800,232.70
2012-12-14,236.90,238.80,236.00,236.95,5700,236.95
2012-12-13,236.25,241.45,235.20,236.45,8400,236.45
2012-12-12,243.00,244.75,236.10,237.25,7500,237.25
2012-12-11,238.90,249.40,238.00,242.05,42300,242.05
2012-12-10,236.85,240.95,236.85,238.90,2200,238.90
2012-12-07,238.90,241.90,238.15,239.05,8300,239.05
2012-12-06,237.40,241.80,236.00,237.40,9300,237.40
2012-12-05,236.70,243.00,235.50,237.40,7300,237.40
2012-12-04,235.05,238.65,235.05,236.70,6500,236.70
2012-12-03,236.90,239.80,234.75,235.45,7000,235.45
2012-11-30,235.00,241.80,233.10,236.45,8900,236.45
2012-11-29,233.00,238.40,230.50,233.55,7600,233.55
2012-11-28,233.60,233.60,233.60,233.60,000,233.60
2012-11-27,235.95,239.25,232.70,233.60,7000,233.60
2012-11-26,236.00,236.00,230.00,235.25,9900,235.25
2012-11-23,234.95,239.00,227.15,236.50,41500,236.50
2012-11-22,231.50,250.00,230.10,242.25,109500,242.25
2012-11-21,234.00,234.90,229.15,230.70,6000,230.70
2012-11-20,237.00,239.85,231.50,233.00,8300,233.00
2012-11-19,238.85,244.50,235.60,236.40,9300,236.40
2012-11-16,240.10,247.55,236.75,238.55,25100,238.55
2012-11-15,243.00,244.00,236.80,237.25,4300,237.25
2012-11-14,241.45,241.45,241.45,241.45,000,241.45
2012-11-13,241.45,241.45,241.45,241.45,000,241.45
2012-11-12,240.65,247.00,238.00,241.45,8900,241.45
2012-11-09,239.15,244.45,236.00,236.65,6100,236.65
2012-11-08,244.45,244.45,239.25,239.70,5700,239.70
2012-11-07,247.10,247.10,241.25,242.10,8000,242.10
2012-11-06,245.10,247.95,244.00,246.05,10900,246.05
2012-11-05,250.00,253.05,243.60,245.15,23600,245.15
2012-11-02,238.90,253.00,236.50,249.90,78600,249.90
2012-11-01,234.90,237.65,233.30,236.20,4900,236.20
2012-10-31,234.15,237.40,234.00,234.90,4500,234.90
2012-10-30,242.00,244.70,235.15,235.90,7000,235.90
2012-10-29,241.25,248.00,241.25,243.55,6500,243.55
2012-10-26,245.80,245.80,245.80,245.80,000,245.80
2012-10-25,249.10,251.70,241.65,245.80,6300,245.80
2012-10-24,250.40,250.40,250.40,250.40,000,250.40
2012-10-23,246.50,255.90,246.50,250.40,20600,250.40
2012-10-22,248.30,248.30,245.10,246.50,3500,246.50
2012-10-19,249.00,251.75,246.25,246.90,11000,246.90
2012-10-18,246.10,250.50,246.10,248.50,4200,248.50
2012-10-17,246.00,250.05,246.00,247.05,4400,247.05
2012-10-16,248.85,253.00,244.35,245.45,8400,245.45
2012-10-15,250.00,251.95,248.10,248.85,5000,248.85
2012-10-12,249.10,253.95,248.60,249.10,8600,249.10
2012-10-11,251.40,253.00,248.25,250.60,8000,250.60
2012-10-10,255.90,255.90,249.10,250.05,8900,250.05
2012-10-09,253.00,258.85,252.30,254.80,18000,254.80
2012-10-08,254.20,259.00,250.45,251.05,14100,251.05
2012-10-05,264.00,264.00,253.00,254.50,10500,254.50
2012-10-04,257.55,265.90,257.55,261.10,39900,261.10
2012-10-03,253.40,259.20,253.40,257.55,21400,257.55
2012-10-02,253.30,253.30,253.30,253.30,000,253.30
2012-10-01,250.00,254.80,250.00,253.30,7600,253.30
2012-09-28,254.40,255.80,251.05,252.15,10800,252.15
2012-09-27,252.00,257.45,251.35,253.20,16200,253.20
2012-09-26,255.80,257.70,250.10,251.10,13400,251.10
2012-09-25,257.10,259.90,252.90,253.95,14500,253.95
2012-09-24,256.00,261.90,253.50,257.10,13500,257.10
2012-09-21,254.00,258.00,253.25,255.45,11800,255.45
2012-09-20,257.00,257.00,252.10,253.75,11200,253.75
2012-09-19,257.85,257.85,257.85,257.85,000,257.85
2012-09-18,253.80,259.95,251.50,257.85,27700,257.85
2012-09-17,255.05,258.70,251.50,253.30,12600,253.30
2012-09-14,256.45,258.00,252.00,253.75,19300,253.75
2012-09-13,254.00,261.45,251.35,253.00,31600,253.00
2012-09-12,251.00,259.45,251.00,255.10,50700,255.10
2012-09-11,248.95,255.95,247.50,250.80,26900,250.80
2012-09-10,254.95,256.05,247.10,248.90,21600,248.90
2012-09-07,248.00,257.45,248.00,255.40,43800,255.40
2012-09-06,244.00,255.35,242.80,247.65,40200,247.65
2012-09-05,242.00,247.75,242.00,243.90,10800,243.90
2012-09-04,242.65,246.00,241.55,244.40,15300,244.40
2012-09-03,243.00,247.30,241.70,242.65,17300,242.65
2012-08-31,237.00,250.90,236.25,240.70,72500,240.70
2012-08-30,234.00,242.00,230.55,236.75,23400,236.75
2012-08-29,242.25,243.20,234.95,235.30,15100,235.30
2012-08-28,247.95,248.75,238.50,240.40,15700,240.40
2012-08-27,254.95,256.65,245.20,246.75,17200,246.75
2012-08-24,260.00,260.80,252.45,253.45,16500,253.45
2012-08-23,259.70,262.90,255.85,258.80,20400,258.80
2012-08-22,252.50,266.00,242.65,256.55,39900,256.55
2012-08-21,260.75,262.40,255.00,256.20,18000,256.20
2012-08-20,258.40,258.40,258.40,258.40,000,258.40
2012-08-17,265.95,267.40,257.00,258.40,18800,258.40
2012-08-16,266.00,273.40,263.10,264.05,36000,264.05
2012-08-15,266.90,266.90,266.90,266.90,000,266.90
2012-08-14,268.00,277.50,265.65,266.90,45100,266.90
2012-08-13,267.00,277.45,262.50,272.90,64900,272.90
2012-08-10,269.20,279.95,264.00,267.05,103300,267.05
2012-08-09,274.70,284.50,265.65,268.65,163400,268.65
2012-08-08,254.70,285.60,252.50,275.05,477300,275.05
2012-08-07,253.00,254.00,248.50,251.90,7900,251.90
2012-08-06,251.30,252.75,247.10,248.70,6100,248.70
2012-08-03,251.50,251.50,247.35,247.90,2900,247.90
2012-08-02,248.95,254.25,246.00,250.15,6900,250.15
2012-08-01,240.40,250.20,240.40,248.50,5400,248.50
2012-07-31,243.10,244.50,241.25,243.00,2000,243.00
2012-07-30,242.05,244.05,239.10,242.05,7200,242.05
2012-07-27,247.80,251.00,237.00,239.15,9200,239.15
2012-07-26,251.50,255.60,245.00,246.25,4200,246.25
2012-07-25,252.80,256.30,247.10,252.05,16900,252.05
2012-07-24,247.10,254.05,247.00,251.30,5600,251.30
2012-07-23,255.00,257.65,248.05,249.00,9300,249.00
2012-07-20,261.85,264.60,256.20,257.35,11400,257.35
2012-07-19,255.50,263.90,255.50,260.10,17200,260.10
2012-07-18,255.40,258.70,252.60,254.90,9300,254.90
2012-07-17,257.00,264.00,256.00,256.85,11400,256.85
2012-07-16,255.00,264.00,255.00,259.25,9800,259.25
2012-07-13,263.75,264.80,256.30,257.10,8500,257.10
2012-07-12,262.35,266.00,260.30,261.25,5400,261.25
2012-07-11,267.40,269.95,264.20,265.05,12600,265.05
2012-07-10,270.90,273.00,261.35,265.70,38900,265.70
2012-07-09,270.80,273.00,266.30,268.10,6900,268.10
2012-07-06,276.10,277.40,268.25,270.55,25300,270.55
2012-07-05,272.00,279.50,272.00,276.45,65300,276.45
2012-07-04,277.00,280.40,270.10,272.90,17600,272.90
2012-07-03,277.40,284.50,272.15,274.75,26000,274.75
2012-07-02,268.15,278.90,264.00,273.60,14600,273.60
2012-06-29,267.50,270.05,266.15,268.05,10700,268.05
2012-06-28,262.00,272.50,261.00,266.05,52700,266.05
2012-06-27,260.45,264.45,259.15,260.40,6600,260.40
2012-06-26,259.55,264.90,258.75,261.85,8700,261.85
2012-06-25,258.30,262.80,258.30,260.40,7100,260.40
2012-06-22,259.00,262.60,257.20,258.40,7000,258.40
2012-06-21,258.60,264.50,258.60,261.90,6400,261.90
2012-06-20,257.00,264.90,257.00,260.80,13500,260.80
2012-06-19,259.00,263.75,256.80,257.85,10700,257.85
2012-06-18,264.30,269.00,261.20,262.45,17700,262.45
2012-06-15,269.40,274.35,262.25,263.95,65700,263.95
2012-06-14,252.55,272.80,252.00,267.95,119800,267.95
2012-06-13,253.05,262.00,253.05,254.80,10900,254.80
2012-06-12,259.00,259.00,251.55,255.15,6200,255.15
2012-06-11,260.00,267.30,256.45,259.20,9200,259.20
2012-06-08,262.25,262.70,256.30,259.10,6600,259.10
2012-06-07,266.90,268.50,261.10,262.25,10700,262.25
2012-06-06,250.15,268.00,250.15,264.10,22400,264.10
