Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,1923.90,1932.40,1910.75,1922.30,310500,1922.30
2013-01-22,1921.95,1921.95,1902.25,1912.45,459300,1912.45
2013-01-21,1891.00,1927.90,1890.50,1922.80,194100,1922.80
2013-01-18,1934.95,1934.95,1882.10,1891.15,357500,1891.15
2013-01-17,1935.00,1948.00,1925.05,1938.50,253100,1938.50
2013-01-16,1905.00,1954.10,1905.00,1929.90,344900,1929.90
2013-01-15,1916.00,1916.00,1897.10,1902.35,480300,1902.35
2013-01-14,1900.10,1918.90,1900.00,1913.05,451800,1913.05
2013-01-11,1915.00,1915.00,1880.90,1899.85,586200,1899.85
2013-01-10,1915.10,1922.85,1893.60,1910.05,462800,1910.05
2013-01-09,1905.25,1927.00,1896.10,1910.90,607100,1910.90
2013-01-08,1889.00,1921.75,1882.95,1908.15,370100,1908.15
2013-01-07,1895.00,1907.00,1871.70,1887.60,502700,1887.60
2013-01-04,1880.00,1895.00,1875.00,1889.35,403200,1889.35
2013-01-03,1849.00,1891.50,1841.10,1882.30,584700,1882.30
2013-01-02,1842.25,1852.75,1834.30,1837.70,192400,1837.70
2013-01-01,1831.60,1840.00,1821.10,1835.75,186300,1835.75
2012-12-31,1828.00,1831.80,1816.00,1829.75,113000,1829.75
2012-12-28,1827.70,1838.00,1818.60,1826.55,187700,1826.55
2012-12-27,1834.80,1854.40,1824.10,1828.95,461800,1828.95
2012-12-26,1822.00,1838.00,1812.00,1818.85,217900,1818.85
2012-12-25,1822.35,1822.35,1822.35,1822.35,000,1822.35
2012-12-24,1822.25,1840.00,1811.00,1822.35,220700,1822.35
2012-12-21,1847.00,1847.90,1812.00,1821.00,246200,1821.00
2012-12-20,1842.25,1860.20,1838.10,1845.80,288900,1845.80
2012-12-19,1830.00,1860.20,1829.20,1852.75,453900,1852.75
2012-12-18,1846.25,1860.25,1825.90,1839.00,474400,1839.00
2012-12-17,1831.90,1851.50,1831.15,1844.30,268600,1844.30
2012-12-14,1856.25,1863.70,1825.00,1830.05,266900,1830.05
2012-12-13,1878.00,1897.80,1847.10,1851.95,306100,1851.95
2012-12-12,1879.90,1884.90,1859.10,1873.65,265800,1873.65
2012-12-11,1895.00,1915.50,1864.75,1881.20,554000,1881.20
2012-12-10,1846.00,1905.05,1833.20,1883.75,296400,1883.75
2012-12-07,1849.00,1849.85,1830.10,1839.40,304100,1839.40
2012-12-06,1842.90,1850.00,1814.25,1846.55,119500,1846.55
2012-12-05,1843.00,1843.25,1822.65,1832.50,468100,1832.50
2012-12-04,1832.05,1845.50,1820.25,1831.75,218300,1831.75
2012-12-03,1822.25,1849.00,1822.25,1831.00,340600,1831.00
2012-11-30,1803.00,1830.00,1785.50,1819.40,755300,1819.40
2012-11-29,1801.00,1826.90,1791.40,1808.55,712900,1808.55
2012-11-28,1787.55,1787.55,1787.55,1787.55,000,1787.55
2012-11-27,1765.25,1795.00,1765.25,1787.55,167300,1787.55
2012-11-26,1738.00,1774.90,1738.00,1759.75,272500,1759.75
2012-11-23,1720.00,1749.80,1715.80,1743.00,122100,1743.00
2012-11-22,1743.95,1750.00,1726.00,1730.15,84100,1730.15
2012-11-21,1742.90,1742.90,1725.55,1736.10,171400,1736.10
2012-11-20,1745.00,1764.75,1720.55,1738.45,226500,1738.45
2012-11-19,1751.30,1774.80,1725.10,1738.00,283500,1738.00
2012-11-16,1711.05,1784.95,1711.05,1756.90,430200,1756.90
2012-11-15,1752.80,1762.25,1712.00,1721.65,202100,1721.65
2012-11-14,1776.80,1776.80,1776.80,1776.80,000,1776.80
2012-11-13,1776.80,1776.80,1776.80,1776.80,000,1776.80
2012-11-12,1768.00,1784.90,1750.50,1776.80,176700,1776.80
2012-11-09,1781.00,1790.00,1762.70,1768.85,136200,1768.85
2012-11-08,1787.00,1802.55,1768.95,1776.95,188600,1776.95
2012-11-07,1787.00,1810.00,1772.50,1794.10,250500,1794.10
2012-11-06,1785.00,1802.20,1778.55,1786.65,197300,1786.65
2012-11-05,1760.00,1812.90,1757.10,1797.60,568000,1797.60
2012-11-02,1766.00,1782.50,1766.00,1774.65,513600,1774.65
2012-11-01,1767.00,1771.65,1758.80,1765.10,533800,1765.10
2012-10-31,1736.00,1782.00,1736.00,1756.50,683000,1756.50
2012-10-30,1705.20,1739.00,1700.55,1724.30,652600,1724.30
2012-10-29,1682.35,1704.75,1681.05,1697.70,109000,1697.70
2012-10-26,1694.50,1694.50,1694.50,1694.50,000,1694.50
2012-10-25,1729.00,1737.20,1685.25,1694.50,414000,1694.50
2012-10-24,1731.20,1731.20,1731.20,1731.20,000,1731.20
2012-10-23,1727.90,1750.80,1725.55,1731.20,215100,1731.20
2012-10-22,1704.70,1731.95,1704.70,1728.75,243600,1728.75
2012-10-19,1698.00,1715.00,1691.00,1704.45,255200,1704.45
2012-10-18,1696.00,1708.50,1685.00,1695.65,164400,1695.65
2012-10-17,1709.90,1709.90,1680.35,1691.00,149500,1691.00
2012-10-16,1718.00,1718.00,1683.95,1691.25,165100,1691.25
2012-10-15,1694.75,1704.90,1685.30,1701.20,230400,1701.20
2012-10-12,1710.90,1718.00,1676.10,1683.95,163400,1683.95
2012-10-11,1691.90,1730.00,1682.20,1702.45,354100,1702.45
2012-10-10,1704.10,1706.75,1688.00,1691.70,175300,1691.70
2012-10-09,1710.00,1734.90,1696.10,1708.00,250400,1708.00
2012-10-08,1695.00,1714.00,1676.00,1701.95,244500,1701.95
2012-10-05,1729.90,1733.05,1527.55,1697.30,474800,1697.30
2012-10-04,1696.00,1726.90,1693.10,1720.20,639100,1720.20
2012-10-03,1652.25,1699.00,1647.00,1683.15,617300,1683.15
2012-10-02,1646.45,1646.45,1646.45,1646.45,000,1646.45
2012-10-01,1650.00,1657.00,1638.00,1646.45,232600,1646.45
2012-09-28,1629.95,1651.95,1624.00,1645.65,777200,1645.65
2012-09-27,1618.25,1639.40,1616.30,1622.80,678800,1622.80
2012-09-26,1650.00,1653.75,1618.00,1623.55,522300,1623.55
2012-09-25,1672.25,1675.00,1649.35,1655.00,287600,1655.00
2012-09-24,1647.35,1674.20,1647.35,1665.75,550500,1665.75
2012-09-21,1673.00,1704.70,1639.00,1643.70,822800,1643.70
2012-09-20,1674.00,1682.20,1658.00,1665.05,774300,1665.05
2012-09-19,1676.65,1676.65,1676.65,1676.65,000,1676.65
2012-09-18,1685.00,1689.00,1660.00,1676.65,662500,1676.65
2012-09-17,1756.30,1759.00,1662.00,1670.50,909400,1670.50
2012-09-14,1815.00,1815.00,1739.55,1747.50,467200,1747.50
2012-09-13,1775.00,1797.00,1754.20,1778.80,418500,1778.80
2012-09-12,1735.00,1785.75,1731.00,1769.40,469600,1769.40
2012-09-11,1720.00,1734.00,1712.80,1725.85,171100,1725.85
2012-09-10,1735.00,1750.00,1711.25,1716.65,583600,1716.65
2012-09-07,1686.00,1702.00,1681.25,1700.10,279500,1700.10
2012-09-06,1670.25,1677.65,1665.00,1673.70,114000,1673.70
2012-09-05,1679.25,1689.95,1654.20,1676.45,178200,1676.45
2012-09-04,1673.00,1686.65,1667.30,1681.20,189700,1681.20
2012-09-03,1675.05,1682.05,1662.25,1670.20,215000,1670.20
2012-08-31,1685.00,1702.85,1668.00,1677.60,199800,1677.60
2012-08-30,1688.00,1702.50,1667.00,1695.70,430400,1695.70
2012-08-29,1698.00,1708.00,1676.05,1687.65,219300,1687.65
2012-08-28,1672.50,1700.00,1667.05,1695.25,153700,1695.25
2012-08-27,1679.50,1698.00,1665.10,1671.10,170500,1671.10
2012-08-24,1678.00,1682.50,1662.70,1677.10,140400,1677.10
2012-08-23,1687.90,1707.25,1672.00,1675.05,236200,1675.05
2012-08-22,1656.80,1696.00,1656.80,1676.10,357200,1676.10
2012-08-21,1660.20,1665.90,1641.50,1659.95,241800,1659.95
2012-08-20,1669.00,1669.00,1669.00,1669.00,000,1669.00
2012-08-17,1664.90,1680.00,1643.20,1669.00,276200,1669.00
2012-08-16,1647.25,1669.30,1638.00,1658.60,202700,1658.60
2012-08-15,1645.65,1645.65,1645.65,1645.65,000,1645.65
2012-08-14,1652.00,1652.00,1630.00,1645.65,258300,1645.65
2012-08-13,1645.00,1645.15,1634.10,1640.15,177400,1640.15
2012-08-10,1649.80,1654.60,1637.95,1644.65,164800,1644.65
2012-08-09,1667.90,1667.90,1645.00,1649.35,174700,1649.35
2012-08-08,1645.00,1668.00,1642.60,1657.35,150900,1657.35
2012-08-07,1666.00,1674.75,1630.75,1659.30,161900,1659.30
2012-08-06,1681.80,1684.80,1652.50,1658.05,138100,1658.05
2012-08-03,1644.80,1678.00,1644.50,1673.45,320200,1673.45
2012-08-02,1637.00,1650.00,1619.00,1647.00,172000,1647.00
