Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,36.10,36.10,36.10,36.10,000,36.10
2012-12-24,36.10,36.50,35.10,36.10,438200,36.10
2012-12-21,35.05,37.30,34.05,36.10,453000,36.10
2012-12-20,35.90,36.25,35.10,35.25,215400,35.25
2012-12-19,36.10,38.95,35.80,36.00,1026100,36.00
2012-12-18,34.05,35.80,33.50,35.25,261100,35.25
2012-12-17,33.50,34.65,33.20,34.20,109700,34.20
2012-12-14,33.00,33.95,33.00,33.15,55600,33.15
2012-12-13,34.10,34.45,33.30,33.50,57500,33.50
2012-12-12,34.60,34.65,33.80,33.95,79600,33.95
2012-12-11,35.35,35.45,33.90,34.05,134300,34.05
2012-12-10,34.50,35.30,34.10,34.75,128000,34.75
2012-12-07,35.85,35.85,34.30,34.50,209200,34.50
2012-12-06,35.30,35.50,34.15,35.35,318200,35.35
2012-12-05,35.00,35.75,33.75,34.00,535700,34.00
2012-12-04,34.95,36.00,34.65,34.95,247700,34.95
2012-12-03,36.05,37.10,34.60,34.95,237900,34.95
2012-11-30,35.75,37.30,35.75,36.35,180100,36.35
2012-11-29,36.05,36.85,35.00,35.75,253900,35.75
2012-11-28,36.35,36.35,36.35,36.35,000,36.35
2012-11-27,35.95,37.20,35.35,36.35,2463700,36.35
2012-11-26,36.95,37.45,35.00,35.65,305700,35.65
2012-11-23,34.50,38.55,34.50,36.45,4963100,36.45
2012-11-22,33.90,35.60,33.65,34.55,96500,34.55
2012-11-21,34.00,34.45,33.35,33.70,44400,33.70
2012-11-20,35.00,35.50,33.10,34.10,47200,34.10
2012-11-19,36.45,36.80,34.70,34.90,82500,34.90
2012-11-16,34.10,36.80,29.10,35.60,566600,35.60
2012-11-15,34.60,35.60,34.35,35.05,128400,35.05
2012-11-14,34.55,34.55,34.55,34.55,000,34.55
2012-11-13,34.55,34.55,34.55,34.55,000,34.55
2012-11-12,34.70,35.60,34.35,34.55,43000,34.55
2012-11-09,35.20,35.25,34.60,34.70,56200,34.70
2012-11-08,35.15,36.20,34.65,35.15,92100,35.15
2012-11-07,36.00,37.00,35.05,35.20,127400,35.20
2012-11-06,36.05,37.70,35.30,35.70,415700,35.70
2012-11-05,35.10,36.40,35.00,35.95,63200,35.95
2012-11-02,35.35,35.80,34.75,35.40,106600,35.40
2012-11-01,33.80,36.00,33.30,34.95,169600,34.95
2012-10-31,35.75,35.75,33.65,33.95,46500,33.95
2012-10-30,35.95,36.80,34.40,34.95,96800,34.95
2012-10-29,36.20,36.95,35.60,35.90,77100,35.90
2012-10-26,37.00,37.00,37.00,37.00,000,37.00
2012-10-25,36.50,37.60,35.35,37.00,165600,37.00
2012-10-24,36.50,36.50,36.50,36.50,000,36.50
2012-10-23,35.70,37.70,35.65,36.50,144700,36.50
2012-10-22,35.80,36.95,35.55,35.75,85900,35.75
2012-10-19,37.10,37.75,35.80,36.45,455700,36.45
2012-10-18,37.95,38.40,36.60,37.00,332600,37.00
2012-10-17,39.15,39.80,37.50,38.00,185400,38.00
2012-10-16,42.00,42.65,38.15,38.80,491300,38.80
2012-10-15,41.90,42.10,39.85,41.55,258800,41.55
2012-10-12,42.75,42.85,41.25,42.00,285500,42.00
2012-10-11,43.00,43.10,41.00,42.55,370600,42.55
2012-10-10,45.00,45.00,42.40,42.95,415700,42.95
2012-10-09,44.90,46.00,43.35,45.20,2189300,45.20
2012-10-08,42.65,44.40,42.10,43.30,794700,43.30
2012-10-05,41.80,42.70,40.50,42.30,1261600,42.30
2012-10-04,39.90,42.40,37.80,40.70,2942800,40.70
2012-10-03,34.90,37.20,34.00,36.90,591500,36.90
2012-10-02,34.75,34.75,34.75,34.75,000,34.75
2012-10-01,33.60,35.00,32.60,34.75,160000,34.75
2012-09-28,32.90,34.15,32.50,33.75,293000,33.75
2012-09-27,33.00,33.20,32.00,32.25,90200,32.25
2012-09-26,33.00,33.10,32.00,32.85,114200,32.85
2012-09-25,32.20,33.25,31.75,32.90,268900,32.90
2012-09-24,31.60,32.60,31.60,31.85,832400,31.85
2012-09-21,30.00,31.45,29.65,31.25,336500,31.25
2012-09-20,31.00,31.00,29.60,29.90,126700,29.90
2012-09-19,31.05,31.05,31.05,31.05,000,31.05
2012-09-18,30.50,31.70,30.10,31.05,529000,31.05
2012-09-17,29.80,30.75,29.60,30.05,91800,30.05
2012-09-14,29.90,30.30,29.50,30.00,86700,30.00
2012-09-13,30.00,30.50,29.65,29.90,40900,29.90
2012-09-12,29.20,31.00,28.80,30.85,1101900,30.85
2012-09-11,29.20,30.00,29.10,29.20,33700,29.20
2012-09-10,29.75,29.95,29.30,29.45,26500,29.45
2012-09-07,30.30,30.90,29.65,29.75,53900,29.75
2012-09-06,31.00,31.25,29.75,30.00,34100,30.00
2012-09-05,29.00,31.50,29.00,31.40,1134000,31.40
2012-09-04,30.20,30.45,29.30,29.65,166600,29.65
2012-09-03,29.00,30.20,28.50,29.20,85200,29.20
2012-08-31,30.30,30.90,28.20,29.10,40300,29.10
2012-08-30,31.00,31.20,30.35,30.55,116400,30.55
2012-08-29,30.95,31.10,30.80,31.00,243200,31.00
2012-08-28,31.00,31.10,30.80,30.95,105300,30.95
2012-08-27,31.25,31.25,30.80,31.00,86900,31.00
2012-08-24,30.90,31.35,30.90,30.90,69800,30.90
2012-08-23,31.00,31.20,31.00,31.00,29500,31.00
2012-08-22,31.00,31.35,31.00,31.00,42700,31.00
2012-08-21,31.00,31.90,31.00,31.10,43200,31.10
2012-08-20,31.00,31.00,31.00,31.00,000,31.00
2012-08-17,31.10,31.40,31.00,31.00,35500,31.00
2012-08-16,31.00,31.55,30.60,31.20,46800,31.20
2012-08-15,31.00,31.00,31.00,31.00,000,31.00
2012-08-14,31.10,31.20,30.10,31.00,30500,31.00
2012-08-13,30.80,31.30,30.50,31.00,21000,31.00
2012-08-10,30.75,31.45,30.75,31.00,22100,31.00
2012-08-09,30.10,31.30,30.10,31.00,82100,31.00
2012-08-08,29.90,30.70,29.75,30.30,54500,30.30
2012-08-07,29.70,30.40,29.70,30.00,32600,30.00
2012-08-06,30.25,31.00,29.70,29.95,36100,29.95
2012-08-03,30.00,30.30,29.60,30.15,28600,30.15
2012-08-02,29.40,30.30,29.10,30.00,33900,30.00
2012-08-01,29.80,30.70,29.45,29.70,61100,29.70
2012-07-31,29.10,30.50,28.75,30.10,76200,30.10
2012-07-30,28.75,29.40,28.45,29.15,33700,29.15
2012-07-27,30.40,30.50,28.25,28.40,59800,28.40
2012-07-26,30.50,31.00,29.55,30.05,194300,30.05
2012-07-25,30.60,31.70,30.00,30.20,25500,30.20
2012-07-24,30.25,32.00,29.75,30.90,3091600,30.90
2012-07-23,31.20,31.25,29.80,30.05,2583000,30.05
2012-07-20,29.65,31.20,29.30,30.80,97600,30.80
2012-07-19,29.50,30.15,29.25,29.65,73400,29.65
2012-07-18,30.35,30.50,28.75,29.30,108700,29.30
2012-07-17,31.40,32.00,30.10,30.30,75500,30.30
2012-07-16,32.15,32.45,31.00,31.15,49200,31.15
2012-07-13,33.05,33.80,31.80,32.20,76700,32.20
2012-07-12,32.50,32.80,31.80,32.20,37800,32.20
2012-07-11,33.25,33.65,32.35,32.65,76300,32.35
2012-07-10,34.00,34.00,32.70,33.55,44500,33.24
2012-07-09,34.15,34.65,33.15,33.30,74600,32.99
2012-07-06,35.00,36.30,34.00,34.50,99500,34.18
2012-07-05,37.00,37.70,35.55,35.70,637600,35.37
2012-07-04,33.00,35.80,32.20,35.35,245400,35.03
2012-07-03,32.90,33.50,31.60,32.90,68100,32.60
2012-07-02,31.00,32.50,31.00,31.80,33200,31.51
2012-06-29,30.70,32.20,30.30,31.45,72300,31.16
2012-06-28,32.45,33.10,26.00,30.75,139800,30.47
2012-06-27,33.00,33.00,32.05,32.45,41800,32.15
2012-06-26,33.10,33.75,32.50,32.95,63200,32.65
2012-06-25,33.50,34.90,33.00,33.50,74000,33.19
2012-06-22,34.00,34.30,33.40,33.75,26200,33.44
2012-06-21,35.00,35.00,33.20,34.20,91100,33.89
2012-06-20,35.85,35.85,33.85,34.30,79800,33.98
2012-06-19,34.85,34.85,34.10,34.35,66000,34.03
2012-06-18,36.70,36.75,34.10,35.00,243500,34.68
2012-06-15,32.10,35.50,32.10,35.05,109700,34.73
2012-06-14,32.10,37.90,32.10,33.70,3057000,33.39
2012-06-13,32.05,40.65,32.05,33.55,27700,33.24
