Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,144.30,144.30,144.30,144.30,000,144.30
2012-12-24,155.80,155.80,142.65,144.30,268400,144.30
2012-12-21,147.00,147.00,142.50,143.25,480200,143.25
2012-12-20,149.35,149.35,146.00,147.75,344700,147.75
2012-12-19,148.15,151.25,147.90,148.70,508700,148.70
2012-12-18,147.30,148.25,145.40,147.50,335000,147.50
2012-12-17,147.00,148.60,145.35,147.05,400100,147.05
2012-12-14,149.85,150.85,146.10,146.60,438700,146.60
2012-12-13,154.00,154.00,148.25,149.35,470400,149.35
2012-12-12,153.85,154.70,151.15,151.80,455200,151.80
2012-12-11,152.00,157.30,151.75,152.60,769700,152.60
2012-12-10,156.80,158.40,152.85,153.50,549100,153.50
2012-12-07,154.50,159.50,151.00,155.10,898700,155.10
2012-12-06,156.05,157.20,153.70,155.60,550400,155.60
2012-12-05,153.85,157.90,153.85,155.15,1414000,155.15
2012-12-04,151.90,154.90,151.90,153.55,684600,153.55
2012-12-03,150.90,155.40,150.90,151.95,980200,151.95
2012-11-30,151.35,155.40,150.05,150.55,995700,150.55
2012-11-29,147.85,154.40,147.50,150.05,1330100,150.05
2012-11-28,147.35,147.35,147.35,147.35,000,147.35
2012-11-27,146.55,148.80,145.30,147.35,353300,147.35
2012-11-26,145.55,149.50,143.85,146.05,441000,146.05
2012-11-23,145.55,149.15,144.50,145.50,560700,145.50
2012-11-22,145.60,147.00,142.70,144.45,308200,144.45
2012-11-21,144.50,146.30,142.50,144.50,314900,144.50
2012-11-20,144.00,145.55,141.50,143.80,350400,143.80
2012-11-19,146.30,147.70,143.20,143.90,283100,143.90
2012-11-16,146.20,152.10,145.00,146.15,661700,146.15
2012-11-15,148.65,149.00,144.05,145.95,334300,145.95
2012-11-14,145.85,145.85,145.85,145.85,000,145.85
2012-11-13,145.85,145.85,145.85,145.85,000,145.85
2012-11-12,145.60,149.05,142.50,145.85,666800,145.85
2012-11-09,150.45,151.85,147.05,148.85,498000,148.85
2012-11-08,151.40,151.40,149.00,150.15,417300,150.15
2012-11-07,149.75,154.65,149.15,151.40,907600,151.40
2012-11-06,150.05,152.90,148.20,149.40,550500,149.40
2012-11-05,151.15,153.40,148.50,150.80,382600,150.80
2012-11-02,153.00,154.75,150.10,152.10,512500,152.10
2012-11-01,147.00,154.90,147.00,152.20,741100,152.20
2012-10-31,150.25,150.25,144.60,147.45,615000,147.45
2012-10-30,153.15,154.00,148.20,149.80,328900,149.80
2012-10-29,155.00,156.90,151.00,152.80,295300,152.80
2012-10-26,157.65,157.65,157.65,157.65,000,157.65
2012-10-25,159.00,159.00,155.50,157.65,363100,157.65
2012-10-24,158.15,158.15,158.15,158.15,000,158.15
2012-10-23,162.45,162.45,156.50,158.15,365200,158.15
2012-10-22,161.05,161.05,158.00,159.60,374700,159.60
2012-10-19,162.80,164.50,159.10,161.05,531400,161.05
2012-10-18,162.85,164.00,160.20,162.85,355500,162.85
2012-10-17,163.90,164.70,159.00,161.75,454600,161.75
2012-10-16,165.60,169.45,161.00,162.15,719800,162.15
2012-10-15,165.20,166.85,163.00,165.40,689000,165.40
2012-10-12,165.15,170.55,163.15,165.20,1112000,165.20
2012-10-11,167.40,167.40,161.00,164.50,790900,164.50
2012-10-10,173.00,173.00,165.25,167.05,633600,167.05
2012-10-09,174.25,175.65,170.00,172.40,747000,172.40
2012-10-08,175.65,180.25,171.10,172.70,1472500,172.70
2012-10-05,167.70,182.75,165.00,175.75,4756000,175.75
2012-10-04,164.40,166.40,162.10,164.40,830500,164.40
2012-10-03,162.95,165.40,160.50,162.85,677900,162.85
2012-10-02,163.25,163.25,163.25,163.25,000,163.25
2012-10-01,159.85,165.20,159.85,163.25,766600,163.25
2012-09-28,159.70,164.00,159.70,160.65,614800,160.65
2012-09-27,159.95,162.90,156.10,159.65,1708200,159.65
2012-09-26,159.70,163.95,157.10,160.05,1622500,160.05
2012-09-25,161.90,162.35,156.20,158.70,1161600,158.70
2012-09-24,163.50,167.70,159.60,160.90,1688800,160.90
2012-09-21,159.50,164.80,158.45,163.95,2020900,163.95
2012-09-20,152.40,162.35,152.40,160.00,2228200,160.00
2012-09-19,156.20,156.20,156.20,156.20,000,155.90
2012-09-18,155.70,158.30,154.15,156.20,933900,155.90
2012-09-17,153.85,156.90,152.10,155.10,1301600,154.80
2012-09-14,151.00,154.50,150.10,152.90,938300,152.61
