Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,2683.40,2683.40,2683.40,2683.40,000,2683.40
2012-12-24,2687.70,2700.05,2651.55,2683.40,4600,2683.40
2012-12-21,2711.55,2735.00,2670.05,2687.70,5000,2687.70
2012-12-20,2727.00,2744.10,2710.00,2723.40,5200,2723.40
2012-12-19,2700.00,2734.45,2691.10,2716.95,4900,2716.95
2012-12-18,2710.20,2734.00,2670.00,2694.70,2800,2694.70
2012-12-17,2787.85,2787.85,2700.05,2708.55,4000,2708.55
2012-12-14,2681.00,2731.80,2670.00,2706.70,8500,2706.70
2012-12-13,2712.15,2745.00,2652.85,2695.65,11400,2695.65
2012-12-12,2720.00,2749.00,2685.00,2707.00,10300,2707.00
2012-12-11,2675.05,2717.85,2651.75,2682.80,4700,2682.80
2012-12-10,2749.00,2795.00,2636.30,2670.05,10600,2670.05
2012-12-07,2769.50,2834.00,2670.55,2690.15,9700,2690.15
2012-12-06,2796.00,2796.00,2735.00,2777.45,54400,2777.45
2012-12-05,2860.00,2860.00,2751.00,2768.45,17800,2768.45
2012-12-04,2818.00,2875.00,2800.00,2861.85,112500,2861.85
2012-12-03,2738.00,2828.00,2735.00,2808.60,20400,2808.60
2012-11-30,2704.75,2760.00,2650.00,2738.25,83500,2738.25
2012-11-29,2612.60,2775.00,2465.75,2704.80,82500,2704.80
2012-11-28,2612.60,2612.60,2612.60,2612.60,000,2612.60
2012-11-27,2598.00,2659.00,2551.55,2612.60,28100,2612.60
2012-11-26,2449.95,2600.00,2449.95,2582.60,48100,2582.60
2012-11-23,2375.00,2477.00,2365.00,2427.00,18200,2427.00
2012-11-22,2345.05,2399.00,2345.05,2372.05,10200,2372.05
2012-11-21,2383.95,2390.00,2340.00,2372.80,6500,2372.80
2012-11-20,2409.95,2449.00,2335.45,2355.20,142200,2355.20
2012-11-19,2444.00,2444.00,2320.00,2336.50,11700,2336.50
2012-11-16,2500.00,2548.95,2371.15,2404.85,16000,2404.85
2012-11-15,2630.00,3049.85,2480.00,2507.15,25600,2507.15
2012-11-14,2576.10,2576.10,2576.10,2576.10,000,2576.10
2012-11-13,2576.10,2576.10,2576.10,2576.10,000,2576.10
2012-11-12,2480.00,2600.00,2405.00,2576.10,33900,2576.10
2012-11-09,2565.00,2574.25,2497.00,2503.25,11000,2503.25
2012-11-08,2590.00,2595.00,2521.50,2561.90,13800,2561.90
2012-11-07,2545.00,2622.00,2509.00,2599.55,19300,2599.55
2012-11-06,2424.95,2628.80,2413.10,2542.05,68100,2542.05
2012-11-05,2355.65,2414.70,2355.65,2410.35,95200,2410.35
2012-11-02,2380.00,2399.95,2301.10,2390.00,26100,2390.00
2012-11-01,2273.60,2375.00,2273.60,2350.80,17400,2350.80
2012-10-31,2369.00,2370.00,2290.05,2320.00,10400,2320.00
2012-10-30,2370.00,2370.00,2275.00,2314.95,16400,2314.95
2012-10-29,2382.85,2382.85,2314.95,2315.50,2100,2315.50
2012-10-26,2391.75,2391.75,2391.75,2391.75,000,2391.75
2012-10-25,2358.45,2405.00,2350.00,2391.75,33700,2391.75
2012-10-24,2346.90,2346.90,2346.90,2346.90,000,2346.90
2012-10-23,2293.25,2379.00,2289.85,2346.90,21500,2346.90
2012-10-22,2290.00,2307.95,2275.00,2288.95,3400,2288.95
2012-10-19,2285.05,2310.00,2252.55,2302.45,3600,2302.45
2012-10-18,2236.00,2314.95,2236.00,2299.20,4800,2299.20
2012-10-17,2245.00,2280.85,2230.00,2248.80,2700,2248.80
2012-10-16,2190.00,2227.00,2066.50,2222.90,1500,2222.90
2012-10-15,2227.50,2258.65,2205.00,2207.60,7500,2207.60
2012-10-12,2211.65,2271.90,2211.65,2225.10,6300,2225.10
2012-10-11,2350.00,2350.00,2230.00,2240.70,3500,2240.70
2012-10-10,2234.00,2286.00,2234.00,2238.50,7100,2238.50
2012-10-09,2297.95,2297.95,2251.05,2263.70,18500,2263.70
2012-10-08,2332.00,2332.00,2237.00,2248.50,38300,2248.50
2012-10-05,2285.95,2323.00,2282.20,2302.70,14000,2302.70
2012-10-04,2309.90,2309.95,2265.25,2272.90,38300,2272.90
2012-10-03,2240.00,2319.00,2239.95,2293.35,11500,2293.35
2012-10-02,2258.85,2258.85,2258.85,2258.85,000,2258.85
2012-10-01,2349.95,2357.95,2247.95,2258.85,11800,2258.85
2012-09-28,2270.25,2370.00,2213.30,2311.20,30800,2311.20
2012-09-27,2299.90,2399.90,2232.00,2238.40,2200,2238.40
2012-09-26,2257.95,2260.00,2234.00,2245.55,3500,2245.55
2012-09-25,2298.85,2298.85,2222.00,2230.75,2500,2230.75
2012-09-24,2301.10,2306.95,2219.85,2261.55,10300,2261.55
2012-09-21,2299.85,2300.00,2143.05,2208.85,40200,2208.85
2012-09-20,2270.85,2275.10,2215.00,2242.65,14900,2242.65
2012-09-19,2291.65,2291.65,2291.65,2291.65,000,2291.65
2012-09-18,2310.00,2314.95,2270.00,2291.65,5700,2291.65
2012-09-17,2272.95,2325.10,2269.60,2316.00,11300,2316.00
2012-09-14,2247.25,2275.00,2221.00,2269.60,13400,2269.60
2012-09-13,2194.00,2250.00,2165.00,2238.20,33800,2238.20
2012-09-12,2101.10,2188.00,2101.10,2160.20,7100,2160.20
2012-09-11,2099.00,2160.00,2080.00,2110.30,34500,2110.30
2012-09-10,2083.60,2099.00,2075.00,2089.15,8100,2089.15
2012-09-07,2076.00,2088.40,2072.50,2083.00,7100,2083.00
2012-09-06,2063.00,2099.00,2050.10,2065.55,6100,2065.55
2012-09-05,2080.00,2112.00,2055.05,2064.05,25400,2064.05
2012-09-04,2119.00,2121.95,2060.00,2079.90,22100,2079.90
2012-09-03,2150.00,2209.40,2075.00,2117.50,21400,2117.50
2012-08-31,2125.00,2199.00,2095.05,2144.80,9300,2144.80
2012-08-30,2135.40,2150.00,2092.80,2120.15,12500,2120.15
2012-08-29,2150.00,2158.65,2086.40,2140.10,8400,2140.10
2012-08-28,2186.65,2192.20,2110.70,2150.75,10400,2150.75
2012-08-27,2155.40,2227.60,2155.40,2172.50,30600,2172.50
2012-08-24,2201.00,2249.50,2062.00,2183.20,16500,2183.20
2012-08-23,2235.75,2319.95,2210.00,2222.45,9100,2222.45
2012-08-22,2232.15,2245.00,2220.00,2232.00,6100,2232.00
2012-08-21,2250.00,2284.80,2192.25,2229.85,8600,2229.85
2012-08-20,2225.25,2225.25,2225.25,2225.25,000,2225.25
2012-08-17,2225.05,2287.80,2211.05,2225.25,25100,2225.25
2012-08-16,2121.85,2299.95,2121.85,2221.25,38900,2221.25
2012-08-15,2101.80,2101.80,2101.80,2101.80,000,2101.80
2012-08-14,2075.00,2108.90,2075.00,2101.80,22400,2101.80
2012-08-13,2085.05,2098.95,2060.00,2079.35,5000,2079.35
2012-08-10,2050.00,2087.75,2030.00,2068.55,29400,2068.55
2012-08-09,2044.00,2118.95,2044.00,2087.85,7200,2087.85
2012-08-08,2075.00,2107.00,2075.00,2089.95,6400,2089.95
2012-08-07,2055.15,2085.00,2044.95,2075.65,45300,2075.65
2012-08-06,2008.75,2088.95,1990.05,2032.65,16800,2032.65
2012-08-03,1935.00,2000.00,1935.00,1993.55,10100,1993.55
2012-08-02,1912.00,1969.90,1910.00,1964.75,18900,1964.75
2012-08-01,1955.00,1955.00,1901.05,1923.90,20400,1923.90
2012-07-31,1943.65,1973.00,1940.05,1956.25,13400,1956.25
2012-07-30,1946.00,1986.85,1942.45,1959.80,58800,1959.80
2012-07-27,1942.65,1960.00,1942.65,1950.35,1800,1950.35
2012-07-26,1954.00,1983.90,1945.00,1952.05,6600,1952.05
2012-07-25,1948.90,1984.85,1925.00,1960.90,7000,1960.90
2012-07-24,1942.05,1970.00,1925.00,1945.85,3700,1945.85
2012-07-23,1950.00,1964.75,1930.00,1952.45,8000,1952.45
2012-07-20,1950.00,1964.60,1945.00,1951.60,2800,1951.60
2012-07-19,1940.65,1964.95,1940.65,1952.15,2500,1952.15
