Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,210.15,210.15,210.15,210.15,000,210.15
2012-12-24,214.80,214.80,209.00,210.15,24100,210.15
2012-12-21,215.80,216.40,210.55,211.40,52400,211.40
2012-12-20,216.90,219.25,213.50,214.80,52200,214.80
2012-12-19,215.75,219.90,215.25,216.90,20400,216.90
2012-12-18,221.00,224.00,214.20,215.15,39900,215.15
2012-12-17,223.50,224.00,218.70,219.40,72400,219.40
2012-12-14,228.50,230.95,222.25,222.95,46100,222.95
2012-12-13,229.50,230.55,225.85,226.45,119700,226.45
2012-12-12,227.15,234.40,225.00,229.55,52900,229.55
2012-12-11,229.00,229.45,226.55,228.80,14800,228.80
2012-12-10,230.40,232.00,228.00,229.45,56000,229.45
2012-12-07,228.00,230.00,228.00,229.30,29500,229.30
2012-12-06,230.00,230.00,225.00,228.05,63800,228.05
2012-12-05,228.50,230.90,225.50,226.40,24300,226.40
2012-12-04,230.25,233.50,227.55,228.50,16800,228.50
2012-12-03,234.95,235.90,230.25,231.90,25000,231.90
2012-11-30,238.00,238.00,230.00,231.40,50100,231.40
2012-11-29,222.80,230.00,222.80,229.60,87700,229.60
2012-11-28,226.15,226.15,226.15,226.15,000,226.15
2012-11-27,227.60,230.00,225.15,226.15,17500,226.15
2012-11-26,228.85,229.00,225.00,227.30,16000,227.30
2012-11-23,226.35,229.00,225.00,225.35,18400,225.35
2012-11-22,226.00,228.00,225.10,225.95,41000,225.95
2012-11-21,226.00,228.45,224.60,226.60,21800,226.60
2012-11-20,235.00,235.90,226.80,228.50,77500,228.50
2012-11-19,234.95,240.10,230.20,232.35,27000,232.35
2012-11-16,232.00,238.50,228.00,232.80,40800,232.80
2012-11-15,241.00,243.95,230.85,233.05,91100,233.05
2012-11-14,226.25,226.25,226.25,226.25,000,226.25
2012-11-13,226.25,226.25,226.25,226.25,000,226.25
2012-11-12,224.40,231.35,224.40,226.25,25600,226.25
2012-11-09,225.95,229.85,225.00,225.55,28300,225.55
2012-11-08,224.95,227.90,224.95,225.15,33300,225.15
2012-11-07,229.90,231.95,224.60,225.25,89500,225.25
2012-11-06,231.00,232.00,227.40,229.65,57800,229.65
2012-11-05,234.00,237.00,229.15,231.90,36600,231.90
2012-11-02,234.05,235.00,228.50,233.05,34700,233.05
2012-11-01,233.50,237.00,233.00,233.65,25800,233.65
2012-10-31,221.00,235.00,221.00,232.80,121000,232.80
2012-10-30,220.05,227.60,218.50,220.15,48900,220.15
2012-10-29,225.20,231.00,214.25,218.15,149700,218.15
2012-10-26,227.65,227.65,227.65,227.65,000,227.65
2012-10-25,228.50,229.00,224.10,227.65,32100,227.65
2012-10-24,224.10,224.10,224.10,224.10,000,224.10
2012-10-23,228.10,233.90,222.00,224.10,65700,224.10
2012-10-22,235.00,235.00,231.00,232.45,22200,232.45
2012-10-19,235.00,237.95,231.70,233.10,42200,233.10
2012-10-18,235.10,238.50,234.05,234.65,20000,234.65
2012-10-17,238.00,239.00,231.65,236.95,41500,236.95
2012-10-16,240.00,240.00,238.00,238.25,58200,238.25
2012-10-15,247.70,247.70,237.00,238.55,60600,238.55
2012-10-12,251.00,256.90,243.40,244.95,160600,244.95
2012-10-11,246.00,252.50,245.50,249.25,141500,249.25
2012-10-10,239.00,247.00,237.05,244.60,170800,244.60
2012-10-09,238.80,246.00,233.65,238.75,123100,238.75
2012-10-08,238.00,239.85,230.30,238.80,65000,238.80
2012-10-05,236.90,241.10,230.55,237.10,87700,237.10
2012-10-04,236.00,237.50,233.55,236.90,92900,236.90
2012-10-03,226.35,238.00,226.35,234.45,91800,234.45
2012-10-02,226.95,226.95,226.95,226.95,000,226.95
2012-10-01,231.00,235.20,225.10,226.95,73000,226.95
2012-09-28,239.50,240.40,225.65,227.80,115300,227.80
2012-09-27,228.80,235.50,226.05,234.55,86000,234.55
2012-09-26,225.60,229.50,221.70,224.35,36700,224.35
2012-09-25,230.00,230.50,223.50,225.60,40600,225.60
2012-09-24,232.00,238.00,231.00,232.90,67500,232.90
2012-09-21,228.30,232.90,228.30,230.30,19800,230.30
2012-09-20,227.35,234.50,221.60,228.25,47800,228.25
2012-09-19,226.90,226.90,226.90,226.90,000,226.90
2012-09-18,229.05,235.00,225.55,226.90,36500,226.90
2012-09-17,232.50,232.50,226.00,230.10,24900,230.10
2012-09-14,233.70,234.00,221.55,228.90,38100,228.90
2012-09-13,234.95,234.95,226.00,229.25,29100,229.25
2012-09-12,222.65,232.50,222.65,231.00,69400,231.00
2012-09-11,220.50,229.90,220.25,222.65,62800,222.65
2012-09-10,228.40,229.45,210.00,226.35,38800,226.35
2012-09-07,228.00,231.20,225.10,227.05,78300,227.05
2012-09-06,227.00,232.95,225.05,227.20,55600,227.20
2012-09-05,233.25,237.00,225.15,226.95,148300,226.95
2012-09-04,217.05,234.90,214.60,232.20,279300,232.20
2012-09-03,214.00,217.85,213.55,215.55,60800,215.55
2012-08-31,212.05,215.90,210.10,214.90,37400,214.90
2012-08-30,212.00,216.40,212.00,215.00,19500,215.00
2012-08-29,211.10,216.40,211.10,214.55,29800,214.55
2012-08-28,210.00,217.75,210.00,211.70,37300,211.70
2012-08-27,214.00,217.60,212.30,216.35,60300,216.35
2012-08-24,212.50,217.35,212.50,215.20,50000,215.20
2012-08-23,211.05,218.45,211.00,213.15,29800,213.15
2012-08-22,203.50,218.70,203.50,213.25,79400,213.25
2012-08-21,210.00,213.00,206.05,210.15,45500,210.15
2012-08-20,210.55,210.55,210.55,210.55,000,210.55
2012-08-17,209.00,213.95,209.00,210.55,26000,210.55
2012-08-16,214.00,216.75,209.50,210.20,42300,210.20
2012-08-15,214.30,214.30,214.30,214.30,000,214.30
2012-08-14,219.00,221.50,213.25,214.30,79900,214.30
2012-08-13,216.00,223.55,215.25,218.15,60100,218.15
2012-08-10,215.05,222.70,215.00,218.65,49200,218.65
2012-08-09,212.00,222.80,212.00,216.85,56800,216.85
2012-08-08,211.25,219.50,211.25,217.55,61300,217.55
2012-08-07,214.95,216.90,208.60,215.25,78200,215.25
2012-08-06,216.95,219.10,212.80,213.75,93700,213.75
2012-08-03,207.50,216.00,205.50,214.20,87900,214.20
2012-08-02,213.85,221.95,206.65,208.15,257800,208.15
2012-08-01,213.00,216.50,210.55,211.90,117500,211.90
2012-07-31,204.95,213.45,203.00,211.00,115200,211.00
2012-07-30,202.50,204.05,199.90,202.50,67900,202.50
2012-07-27,204.70,205.10,200.00,201.65,55100,201.65
2012-07-26,200.80,209.80,200.75,202.50,89100,202.50
2012-07-25,204.00,204.65,195.80,200.15,239600,200.15
2012-07-24,200.95,204.80,200.00,203.60,288100,203.60
2012-07-23,200.00,204.90,199.20,201.25,114200,201.25
2012-07-20,200.00,203.70,197.00,200.15,136100,200.15
2012-07-19,198.05,205.90,195.50,200.45,56500,200.45
2012-07-18,196.85,202.80,194.50,201.65,272300,201.65
2012-07-17,193.05,197.60,193.05,196.70,65300,196.70
2012-07-16,188.95,195.40,188.95,192.20,122500,192.20
2012-07-13,190.15,190.30,186.10,186.95,29500,186.95
2012-07-12,184.00,189.95,184.00,188.85,33400,188.85
2012-07-11,191.00,193.80,187.00,189.30,260900,189.30
2012-07-10,191.90,194.95,187.40,191.85,36600,191.85
2012-07-09,193.60,195.00,188.80,189.80,29500,189.80
2012-07-06,195.00,198.95,188.55,193.60,113000,193.60
2012-07-05,184.55,196.00,183.15,193.90,266700,193.90
2012-07-04,175.00,186.70,174.25,183.85,206700,183.85
2012-07-03,173.60,175.05,171.60,174.20,53200,174.20
2012-07-02,169.00,178.00,169.00,172.55,42100,172.55
2012-06-29,172.95,181.80,171.10,176.55,39500,176.55
2012-06-28,173.50,175.00,169.50,169.75,16900,169.75
2012-06-27,169.50,173.00,168.45,172.75,32000,172.75
2012-06-26,171.80,173.50,167.10,169.40,50100,169.40
2012-06-25,171.95,174.90,171.30,172.70,13000,172.70
2012-06-22,169.20,172.40,169.05,171.20,11800,171.20
2012-06-21,168.00,175.50,167.50,169.75,32800,169.75
2012-06-20,168.45,170.20,166.50,168.20,31100,168.20
2012-06-19,170.00,170.85,164.50,168.05,36800,168.05
2012-06-18,169.25,172.80,168.00,169.10,9000,169.10
