Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,88.20,88.20,88.20,88.20,000,88.20
2012-12-24,87.55,88.50,87.55,88.20,5400,88.20
2012-12-21,87.75,89.40,87.55,88.00,13600,88.00
2012-12-20,87.95,88.55,87.50,88.10,70000,88.10
2012-12-19,88.90,89.40,87.55,88.20,19100,88.20
2012-12-18,87.55,90.00,87.55,88.10,16200,88.10
2012-12-17,88.55,90.00,87.50,87.90,18900,87.90
2012-12-14,90.50,91.50,88.50,88.70,21400,88.70
2012-12-13,96.25,97.00,90.10,90.95,105900,90.95
2012-12-12,88.00,98.45,87.50,95.65,343000,95.65
2012-12-11,87.50,89.40,87.50,88.70,13800,88.70
2012-12-10,87.50,89.00,87.50,87.65,9900,87.65
2012-12-07,88.00,88.45,87.00,87.75,9600,87.75
2012-12-06,90.00,90.00,87.50,88.55,14900,88.55
2012-12-05,87.50,89.10,87.50,87.75,13500,87.75
2012-12-04,87.60,88.75,87.50,87.50,9600,87.50
2012-12-03,87.50,88.75,87.00,87.55,21000,87.55
2012-11-30,89.40,91.70,86.65,87.50,248500,87.50
2012-11-29,88.95,90.00,86.80,87.00,52500,87.00
2012-11-28,87.00,87.00,87.00,87.00,000,87.00
2012-11-27,87.00,88.50,86.00,87.00,16600,87.00
2012-11-26,86.00,87.50,85.50,87.35,10400,87.35
2012-11-23,88.35,88.35,85.65,87.15,110700,87.15
2012-11-22,88.00,89.00,85.55,86.55,6000,86.55
2012-11-21,88.60,88.60,87.10,88.00,6200,88.00
2012-11-20,87.75,88.85,87.50,88.00,10700,88.00
2012-11-19,87.20,89.40,87.20,87.95,7000,87.95
2012-11-16,89.95,90.00,87.00,88.40,110700,88.40
2012-11-15,88.20,90.75,87.05,89.60,28900,89.60
2012-11-14,88.55,88.55,88.55,88.55,000,88.55
2012-11-13,88.55,88.55,88.55,88.55,000,88.55
2012-11-12,86.50,91.50,86.00,88.55,771700,88.55
2012-11-09,86.60,87.00,86.00,86.45,112300,86.45
2012-11-08,87.50,87.50,86.10,86.55,12100,86.55
2012-11-07,86.00,90.40,85.05,86.80,14900,86.80
2012-11-06,80.00,89.00,80.00,87.25,72500,87.25
2012-11-05,84.00,87.50,83.70,86.10,256000,86.10
2012-11-02,89.00,89.00,85.50,86.10,17500,86.10
2012-11-01,92.90,93.40,87.10,87.40,61900,87.40
2012-10-31,85.10,93.20,84.05,91.25,1079700,91.25
2012-10-30,83.00,86.00,82.95,85.20,26700,85.20
2012-10-29,85.00,87.00,85.00,86.50,7500,86.50
2012-10-26,86.55,86.55,86.55,86.55,000,86.55
2012-10-25,90.00,90.00,83.35,86.55,31700,86.55
