Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,590.00,590.00,590.00,590.00,000,590.00
2012-12-24,586.05,593.10,582.15,590.00,80400,590.00
2012-12-21,591.75,593.90,584.55,586.05,88200,586.05
2012-12-20,601.70,609.50,584.05,593.05,23300,593.05
2012-12-19,606.55,609.50,600.10,601.70,10400,601.70
2012-12-18,600.80,610.00,598.30,605.85,13900,605.85
2012-12-17,596.45,603.00,595.00,600.80,12900,600.80
2012-12-14,585.00,601.60,582.05,595.10,36200,595.10
2012-12-13,600.10,604.05,585.00,586.95,44200,586.95
2012-12-12,612.50,617.00,600.75,604.05,29600,604.05
2012-12-11,619.75,622.00,613.00,615.30,105800,615.30
2012-12-10,611.80,620.00,611.80,616.95,36700,616.95
2012-12-07,604.65,623.90,602.20,608.35,484300,608.35
2012-12-06,603.70,614.65,596.00,599.60,26300,599.60
2012-12-05,606.15,611.50,594.20,597.70,45100,597.70
2012-12-04,618.65,619.95,602.00,605.10,32100,605.10
2012-12-03,600.00,624.85,597.40,611.60,113400,611.60
2012-11-30,604.95,606.00,599.35,602.50,150900,602.50
2012-11-29,596.00,606.00,592.20,599.95,147800,599.95
2012-11-28,590.85,590.85,590.85,590.85,000,590.85
2012-11-27,587.40,595.35,587.40,590.85,43000,590.85
2012-11-26,599.20,599.20,585.20,593.70,25200,593.70
2012-11-23,584.20,596.00,584.20,593.15,56100,593.15
2012-11-22,586.00,595.40,582.00,589.95,28400,589.95
2012-11-21,588.25,594.00,582.10,585.80,18100,585.80
2012-11-20,623.00,623.00,583.05,588.10,121800,588.10
2012-11-19,597.70,615.30,596.00,602.65,181900,602.65
2012-11-16,615.00,629.40,583.30,592.70,82700,592.70
2012-11-15,601.30,657.50,597.55,622.15,490700,622.15
2012-11-14,598.05,598.05,598.05,598.05,000,598.05
2012-11-13,598.05,598.05,598.05,598.05,000,598.05
2012-11-12,600.10,609.65,580.50,598.05,197200,598.05
2012-11-09,607.95,617.00,594.00,598.10,277300,598.10
2012-11-08,574.75,620.70,573.90,601.50,559400,601.50
2012-11-07,579.85,589.00,562.70,574.35,103800,574.35
2012-11-06,584.20,584.20,574.10,576.30,32300,576.30
2012-11-05,580.00,588.30,570.00,574.85,102000,574.85
2012-11-02,583.55,589.00,575.15,576.45,23700,576.45
2012-11-01,579.90,598.60,572.50,576.85,41200,576.85
2012-10-31,571.90,579.00,564.80,573.05,75500,573.05
2012-10-30,579.65,593.00,555.00,569.85,88000,569.85
2012-10-29,602.05,602.05,552.15,574.80,132400,574.80
2012-10-26,576.80,576.80,576.80,576.80,000,576.80
2012-10-25,576.00,586.50,564.95,576.80,161400,576.80
2012-10-24,575.80,575.80,575.80,575.80,000,575.80
2012-10-23,562.00,582.50,516.40,575.80,255800,575.80
2012-10-22,532.85,569.80,532.00,562.75,437800,562.75
2012-10-19,522.85,533.35,515.00,530.10,93000,530.10
2012-10-18,509.85,519.00,507.30,516.65,73200,516.65
2012-10-17,504.00,510.00,504.00,508.80,25000,508.80
2012-10-16,507.95,509.80,499.00,500.55,8800,500.55
2012-10-15,508.85,514.80,505.00,506.60,34700,506.60
2012-10-12,505.10,511.00,500.40,509.35,106900,509.35
2012-10-11,503.00,510.60,503.00,509.90,437400,509.90
2012-10-10,503.45,511.00,500.50,504.60,595100,504.60
2012-10-09,505.65,505.70,498.40,501.65,16000,501.65
2012-10-08,493.10,506.70,492.10,500.90,19700,500.90
2012-10-05,512.00,513.70,490.00,507.50,70100,507.50
2012-10-04,509.85,511.95,504.75,506.90,206700,506.90
2012-10-03,509.40,512.20,505.00,509.80,74100,509.80
2012-10-02,505.95,505.95,505.95,505.95,000,505.95
2012-10-01,499.65,520.60,498.50,505.95,745400,505.95
2012-09-28,504.95,505.55,493.25,498.40,898300,498.40
2012-09-27,496.00,501.00,495.05,498.85,317800,498.85
2012-09-26,482.00,506.70,481.55,495.35,160300,495.35
2012-09-25,489.90,489.95,479.60,481.50,63700,481.50
2012-09-24,505.00,507.80,483.30,484.50,478800,484.50
2012-09-21,506.95,513.90,498.00,503.65,279800,503.65
2012-09-20,496.00,508.50,487.30,504.95,246700,504.95
2012-09-19,499.05,499.05,499.05,499.05,000,499.05
2012-09-18,500.00,505.90,496.50,499.05,11800,499.05
2012-09-17,514.65,514.70,496.10,499.70,68300,499.70
2012-09-14,510.00,514.60,505.05,511.05,97200,511.05
2012-09-13,509.00,513.40,496.20,507.50,335900,507.50
2012-09-12,504.00,514.90,502.10,504.55,39700,504.55
2012-09-11,506.45,515.00,490.00,509.30,78500,509.30
2012-09-10,506.05,509.75,477.95,499.05,14400,499.05
2012-09-07,515.00,515.00,508.10,509.60,64100,509.60
2012-09-06,505.00,510.00,499.50,508.05,43800,508.05
2012-09-05,495.00,514.90,493.05,504.80,532500,504.80
2012-09-04,492.55,497.00,492.55,494.00,9500,494.00
2012-09-03,492.00,498.00,491.15,495.10,11600,495.10
2012-08-31,499.50,506.00,485.00,488.70,150200,488.70
2012-08-30,490.00,504.00,489.75,498.95,368000,498.95
2012-08-29,498.20,498.20,486.35,493.20,10300,493.20
2012-08-28,490.00,493.00,487.00,489.20,11800,489.20
2012-08-27,500.00,500.00,485.60,490.10,10400,490.10
2012-08-24,502.80,509.80,490.30,494.20,23300,494.20
2012-08-23,485.00,503.30,485.00,500.00,136900,500.00
2012-08-22,479.95,493.50,474.15,490.20,26600,490.20
2012-08-21,485.00,485.00,466.50,476.45,32000,476.45
2012-08-20,476.40,476.40,476.40,476.40,000,476.40
2012-08-17,477.95,479.00,472.55,476.40,9300,476.40
2012-08-16,471.00,482.80,470.25,474.80,23300,474.80
2012-08-15,479.60,479.60,479.60,479.60,000,479.60
2012-08-14,480.00,490.00,470.25,479.60,24800,479.60
2012-08-13,468.00,489.00,468.00,484.55,15600,484.55
2012-08-10,481.10,490.20,473.00,482.20,22200,482.20
2012-08-09,504.50,507.80,486.15,487.45,57400,487.45
2012-08-08,507.10,514.40,485.25,498.00,119100,498.00
2012-08-07,498.00,514.80,498.00,505.65,124700,505.65
2012-08-06,503.95,507.80,498.00,500.55,38400,500.55
2012-08-03,494.95,504.85,493.00,499.15,60500,499.15
2012-08-02,494.05,498.00,490.55,495.25,4100,495.25
2012-08-01,501.00,506.40,497.00,498.10,19400,494.10
2012-07-31,509.00,509.00,491.55,497.35,4700,493.36
2012-07-30,493.00,500.00,490.65,493.55,13800,489.59
2012-07-27,489.95,494.70,488.35,492.05,7600,488.10
2012-07-26,488.65,494.95,488.00,490.00,6200,486.07
2012-07-25,484.05,495.40,484.05,493.05,8500,489.09
2012-07-24,483.10,507.80,482.05,490.35,12700,486.41
2012-07-23,485.15,492.00,482.25,487.00,8100,483.09
2012-07-20,492.10,495.90,485.10,491.85,7100,487.90
2012-07-19,493.55,496.90,491.30,494.00,8900,490.03
2012-07-18,498.00,503.00,487.10,494.65,7200,490.68
2012-07-17,504.95,504.95,492.00,495.55,8700,491.57
2012-07-16,490.00,507.50,490.00,497.85,12800,493.85
2012-07-13,490.35,497.80,490.00,494.15,9300,490.18
2012-07-12,461.65,494.00,461.65,491.55,15700,487.60
2012-07-11,492.55,492.55,484.00,486.20,7300,482.30
2012-07-10,491.70,491.70,483.70,487.65,3800,483.73
2012-07-09,489.90,493.65,484.00,485.75,3500,481.85
2012-07-06,487.75,494.85,486.00,487.00,15700,483.09
2012-07-05,490.00,490.75,484.00,485.00,9200,481.11
2012-07-04,491.00,496.00,485.00,487.05,37300,483.14
2012-07-03,500.05,504.80,490.00,490.40,90000,486.46
2012-07-02,505.00,509.70,497.10,500.10,18100,496.08
2012-06-29,494.95,500.70,478.75,498.95,28300,494.94
2012-06-28,488.95,488.95,481.25,485.55,4800,481.65
2012-06-27,481.65,487.50,480.50,484.60,7500,480.71
2012-06-26,483.05,486.95,480.20,483.55,3900,479.67
2012-06-25,486.10,489.50,483.20,485.15,4500,481.25
2012-06-22,482.55,489.00,480.55,484.90,5800,481.01
2012-06-21,475.00,491.00,475.00,482.85,16500,478.97
2012-06-20,479.80,479.80,474.00,475.15,28700,471.33
2012-06-19,483.95,483.95,474.00,474.75,21400,470.94
2012-06-18,490.00,490.80,477.05,479.15,10700,475.30
2012-06-15,492.95,492.95,481.80,484.30,10500,480.41
2012-06-14,488.75,489.60,482.40,485.45,13400,481.55
2012-06-13,497.50,497.50,480.80,482.40,12800,478.53
2012-06-12,485.00,498.60,476.00,490.75,18300,486.81
2012-06-11,497.00,503.80,485.00,487.85,27700,483.93
2012-06-08,501.90,501.90,493.70,499.10,174300,495.09
2012-06-07,502.40,505.00,490.10,500.00,148100,495.98
2012-06-06,496.80,500.00,490.10,498.80,14100,494.79
2012-06-05,495.25,500.10,490.00,493.70,81900,489.74
2012-06-04,489.00,548.00,470.20,490.35,355100,486.41
2012-06-01,496.60,496.60,480.00,484.05,18700,480.16
2012-05-31,498.95,498.95,483.00,491.35,15800,487.40
2012-05-30,498.95,505.00,490.50,492.10,12900,488.15
2012-05-29,507.00,514.00,494.10,496.25,129100,492.26
2012-05-28,498.00,534.00,496.95,504.85,149000,500.80
2012-05-25,486.00,511.90,481.00,496.90,111500,492.91
2012-05-24,465.00,482.00,463.50,478.15,34500,474.31
2012-05-23,465.00,465.65,450.05,464.50,52500,460.77
2012-05-22,461.00,465.15,459.30,464.30,11900,460.57
2012-05-21,455.40,464.95,455.40,458.00,4200,454.32
2012-05-18,456.10,465.00,455.15,461.40,144100,457.69
2012-05-17,469.90,472.50,461.50,464.25,11900,460.52
2012-05-16,464.95,472.90,458.50,465.45,37300,461.71
2012-05-15,482.00,486.00,461.05,467.75,26500,463.99
2012-05-14,472.30,481.40,465.05,476.45,31400,472.62
2012-05-11,475.00,484.00,465.45,472.30,83900,468.51
2012-05-10,475.00,487.95,472.10,477.45,92700,473.62
2012-05-09,445.50,478.00,421.10,472.50,216700,468.71
2012-05-08,451.85,458.00,423.60,439.75,52500,436.22
2012-05-07,445.05,455.75,442.20,444.35,12400,440.78
2012-05-04,459.00,460.00,449.70,451.35,125300,447.73
2012-05-03,462.00,462.00,449.00,453.65,15300,450.01
2012-05-02,457.00,463.90,455.00,460.95,4200,457.25
2012-05-01,457.00,457.00,457.00,457.00,000,453.33
2012-04-30,451.30,459.00,451.00,456.95,40800,453.28
2012-04-27,459.00,459.00,445.10,451.40,13100,447.78
2012-04-26,450.05,459.00,450.00,452.75,10800,449.11
2012-04-25,459.00,459.00,450.00,450.90,9300,447.28
2012-04-24,445.00,456.95,445.00,454.55,9000,450.90
2012-04-23,430.05,465.00,430.05,449.75,40300,446.14
2012-04-20,460.00,460.00,448.05,453.30,46100,449.66
2012-04-19,457.45,458.00,450.50,455.95,26600,452.29
2012-04-18,448.95,456.75,442.30,451.65,19000,448.02
2012-04-17,530.00,530.00,438.05,444.90,142400,441.33
2012-04-16,406.85,445.00,406.85,442.65,298100,439.10
2012-04-13,438.50,440.00,431.10,437.10,15800,433.59
2012-04-12,432.85,439.50,428.50,435.55,205900,432.05
2012-04-11,420.15,435.20,420.15,429.85,55900,426.40
2012-04-10,420.00,432.80,415.10,427.15,188900,423.72
2012-04-09,414.50,423.30,410.00,415.45,29300,412.11
2012-04-06,413.95,413.95,413.95,413.95,000,410.63
2012-04-05,413.95,413.95,413.95,413.95,000,410.63
2012-04-04,408.00,420.00,406.00,413.95,51000,410.63
2012-04-03,407.00,412.00,396.15,408.85,95100,405.57
2012-04-02,408.90,408.90,395.10,398.45,12600,395.25
2012-03-30,404.85,405.70,402.00,404.25,7400,401.00
2012-03-29,410.00,410.00,397.50,403.95,267500,400.71
2012-03-28,408.80,413.80,394.90,400.00,638600,396.79
2012-03-27,398.00,404.70,390.00,400.95,12000,397.73
2012-03-26,395.00,397.70,387.00,391.90,12600,388.75
2012-03-23,392.00,403.00,392.00,396.15,4800,392.97
2012-03-22,400.50,408.00,397.00,398.05,15000,394.85
2012-03-21,400.00,408.70,395.30,405.10,34100,401.85
2012-03-20,387.05,399.90,387.00,398.75,43800,395.55
2012-03-19,399.85,401.00,390.05,392.85,25200,389.70
2012-03-16,395.00,399.85,387.30,396.35,30300,393.17
2012-03-15,394.90,397.00,388.00,395.05,60200,391.88
2012-03-14,398.00,398.00,392.05,394.85,96900,391.68
2012-03-13,392.50,405.00,387.00,392.20,139600,389.05
2012-03-12,386.00,391.55,383.00,389.60,455100,386.47
2012-03-09,377.10,386.00,371.30,382.55,15000,379.48
2012-03-08,377.95,377.95,377.95,377.95,000,374.91
2012-03-07,377.15,380.75,365.15,377.95,10300,374.91
2012-03-06,384.50,384.50,375.00,379.80,35200,376.75
2012-03-05,372.55,379.80,370.50,376.75,9700,373.72
2012-03-02,376.00,379.70,374.40,377.15,18900,374.12
2012-03-01,376.00,380.30,372.85,379.85,73900,376.80
2012-02-29,381.95,381.95,372.75,379.95,91600,376.90
2012-02-28,371.95,375.00,367.00,374.35,12400,371.34
2012-02-27,363.00,378.45,363.00,370.00,157800,367.03
2012-02-24,383.70,384.30,372.60,374.05,56700,371.05
2012-02-23,390.00,390.00,376.30,379.20,16600,376.15
2012-02-22,398.00,403.00,386.15,389.75,46300,386.62
2012-02-21,395.00,398.85,390.00,395.25,153600,392.08
2012-02-20,388.75,388.75,388.75,388.75,000,385.63
2012-02-17,388.90,393.50,384.00,388.75,72600,385.63
2012-02-16,388.00,390.00,380.10,384.55,14600,381.46
2012-02-15,396.75,396.75,379.85,385.25,54100,382.16
2012-02-14,377.00,401.90,370.00,380.25,223600,377.20
2012-02-13,388.80,392.00,375.00,376.05,45900,373.03
2012-02-10,378.00,385.00,378.00,381.25,34300,378.19
2012-02-09,371.85,384.90,366.30,378.65,55700,375.61
2012-02-08,369.50,371.20,364.05,370.05,45700,367.08
2012-02-07,365.00,372.95,361.15,364.70,6300,361.77
2012-02-06,371.10,378.00,365.95,368.25,17100,365.29
2012-02-03,375.00,375.00,365.00,370.05,28600,367.08
2012-02-02,350.15,379.90,350.15,370.80,89900,367.82
2012-02-01,353.00,357.95,347.50,353.95,53800,351.11
2012-01-31,350.00,354.75,346.00,352.90,15600,350.07
2012-01-30,350.00,352.15,345.05,348.15,12400,345.35
2012-01-27,354.50,357.00,345.30,347.75,17400,344.96
2012-01-26,350.75,350.75,350.75,350.75,000,347.93
2012-01-25,352.00,355.00,350.00,350.75,60800,347.93
2012-01-24,347.00,354.30,341.05,351.15,8600,348.33
2012-01-23,346.10,353.50,345.35,349.85,12100,347.04
2012-01-20,311.85,355.00,311.85,348.30,30600,345.50
2012-01-19,348.00,358.60,348.00,350.75,147100,347.93
2012-01-18,351.55,353.10,346.10,348.75,138900,345.95
2012-01-17,350.00,358.95,340.30,350.15,96000,347.34
2012-01-16,338.25,350.00,338.00,345.30,344100,342.53
2012-01-13,331.00,343.40,331.00,340.10,20900,337.37
2012-01-12,341.50,341.50,335.10,340.00,135800,337.27
2012-01-11,336.00,346.00,331.35,337.00,104400,334.29
2012-01-10,332.95,340.00,325.75,333.60,51400,330.92
2012-01-09,331.95,333.90,325.10,327.05,94900,324.42
2012-01-06,337.95,337.95,322.30,329.05,37500,326.41
2012-01-05,346.90,355.00,333.00,334.80,42700,332.11
2012-01-04,339.85,345.00,336.10,340.00,62600,337.27
2012-01-03,339.00,345.90,335.15,337.55,37400,334.84
2012-01-02,346.00,351.95,333.05,335.40,25500,332.71
2011-12-30,350.00,350.95,330.50,341.10,52400,338.36
2011-12-29,348.15,353.75,341.30,344.60,70300,341.83
2011-12-28,350.05,354.05,345.10,350.95,95400,348.13
2011-12-27,355.90,355.90,348.30,349.85,37400,347.04
2011-12-26,350.15,357.50,350.00,352.60,9200,349.77
2011-12-23,353.95,364.65,349.50,351.75,23500,348.93
2011-12-22,350.00,364.90,339.00,347.40,120900,344.61
2011-12-21,361.95,362.85,350.25,352.70,149400,349.87
2011-12-20,361.00,361.00,352.85,357.85,11100,354.98
2011-12-19,353.15,361.00,350.00,358.05,283400,355.17
2011-12-16,369.70,369.70,351.20,358.05,240800,355.17
2011-12-15,352.00,369.85,352.00,363.15,214800,360.23
2011-12-14,360.00,366.45,352.45,355.20,227900,352.35
2011-12-13,352.00,372.00,352.00,359.35,350800,356.46
2011-12-12,312.50,380.00,312.50,355.10,1937800,352.25
2011-12-09,391.00,399.50,387.15,389.80,114000,386.67
2011-12-08,402.15,405.00,395.80,399.95,151000,396.74
2011-12-07,382.00,408.00,382.00,402.15,335800,398.92
2011-12-06,402.70,402.70,402.70,402.70,000,399.47
2011-12-05,401.00,407.95,390.35,402.70,60800,399.47
2011-12-02,395.00,403.45,366.25,397.90,27300,394.70
2011-12-01,397.00,400.00,395.10,399.95,77000,396.74
2011-11-30,394.90,396.00,388.00,392.00,10700,388.85
2011-11-29,392.00,398.70,388.25,392.75,16100,389.60
2011-11-28,399.90,400.00,388.00,392.50,16000,389.35
2011-11-25,398.00,404.70,393.05,394.55,23000,391.38
2011-11-24,402.00,405.90,396.35,402.90,124200,399.66
2011-11-23,415.95,415.95,401.55,404.35,7100,401.10
2011-11-22,420.00,422.05,406.05,410.15,33900,406.86
2011-11-21,410.15,425.90,410.15,420.00,334900,416.63
2011-11-18,423.00,424.00,410.20,413.90,140700,410.58
2011-11-17,425.00,435.00,400.65,422.15,26500,418.76
2011-11-16,440.00,492.00,423.00,429.05,390100,425.60
2011-11-15,427.00,443.80,422.20,439.40,849700,435.87
2011-11-14,417.00,431.95,417.00,429.45,97600,426.00
2011-11-11,424.15,430.60,420.00,423.85,36500,420.45
2011-11-09,422.00,437.50,418.00,430.60,125000,427.14
2011-11-08,416.00,433.40,405.25,421.80,139400,418.41
2011-11-04,423.00,426.45,415.00,419.90,97000,416.53
2011-11-03,418.50,423.45,410.35,421.05,30900,417.67
2011-11-02,402.00,433.00,402.00,418.35,174000,414.99
