Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,239.30,239.30,239.30,239.30,000,239.30
2012-12-24,243.00,245.50,237.20,239.30,9500,239.30
2012-12-21,247.60,250.00,243.10,244.55,12800,244.55
2012-12-20,254.30,255.45,245.20,249.00,30800,249.00
2012-12-19,258.00,259.00,251.20,252.60,12800,252.60
2012-12-18,256.60,261.20,253.20,255.75,29600,255.75
2012-12-17,256.00,265.00,245.00,256.75,181900,256.75
2012-12-14,247.55,260.10,247.55,257.20,23500,257.20
2012-12-13,250.00,256.00,249.00,250.40,8100,250.40
2012-12-12,251.75,254.00,247.00,250.15,10000,250.15
2012-12-11,251.75,256.90,244.65,248.65,10800,248.65
2012-12-10,260.60,262.00,251.30,253.55,17300,253.55
2012-12-07,260.60,266.70,258.50,259.35,18800,259.35
2012-12-06,259.80,263.45,255.60,259.50,55000,259.50
2012-12-05,261.50,264.95,255.60,256.80,28900,256.80
2012-12-04,254.50,269.00,254.50,258.90,61200,258.90
2012-12-03,254.15,268.45,254.15,260.65,23000,260.65
2012-11-30,255.05,263.65,254.00,257.45,13600,257.45
2012-11-29,258.00,266.45,253.75,258.50,50200,258.50
2012-11-28,258.80,258.80,258.80,258.80,000,258.80
2012-11-27,253.50,269.00,253.50,258.80,189800,258.80
2012-11-26,253.50,267.00,253.50,258.80,44600,258.80
2012-11-23,259.00,259.00,248.30,253.10,240100,253.10
2012-11-22,257.05,261.90,252.05,253.95,20200,253.95
2012-11-21,248.00,260.00,243.15,254.35,22600,254.35
2012-11-20,256.80,258.30,245.00,246.50,15600,246.50
2012-11-19,258.70,264.70,249.70,254.30,108700,254.30
2012-11-16,238.80,276.80,238.80,254.20,445300,254.20
2012-11-15,240.90,243.00,234.00,236.25,7200,236.25
2012-11-14,240.05,240.05,240.05,240.05,000,240.05
2012-11-13,240.05,240.05,240.05,240.05,000,240.05
2012-11-12,235.05,241.75,234.00,240.05,223600,240.05
2012-11-09,229.15,245.00,229.15,235.50,6300,235.50
2012-11-08,236.55,244.00,236.55,242.55,500,242.55
2012-11-07,252.30,252.65,242.00,243.80,21100,243.80
2012-11-06,240.00,248.00,240.00,245.40,201300,245.40
2012-11-05,240.00,251.00,240.00,245.85,9400,245.85
2012-11-02,239.00,245.20,239.00,242.00,2100,242.00
2012-11-01,246.10,246.10,239.60,239.75,900,239.75
2012-10-31,238.00,243.70,238.00,242.10,1200,242.10
2012-10-30,231.40,241.00,231.40,240.15,7000,240.15
2012-10-29,230.00,244.05,230.00,237.00,8800,237.00
2012-10-26,233.10,233.10,233.10,233.10,000,233.10
2012-10-25,226.10,235.00,226.10,233.10,10400,233.10
2012-10-24,234.60,234.60,234.60,234.60,000,234.60
2012-10-23,227.80,236.30,227.80,234.60,1700,234.60
2012-10-22,223.65,237.50,223.65,232.30,2400,232.30
2012-10-19,230.15,237.65,230.15,234.80,10800,234.80
2012-10-18,230.00,238.00,230.00,236.30,7400,236.30
2012-10-17,235.05,236.90,232.05,233.30,4700,233.30
2012-10-16,231.25,236.65,231.25,234.85,6500,234.85
2012-10-15,236.45,244.00,234.30,236.45,66900,236.45
2012-10-12,228.80,233.00,228.20,232.15,5400,232.15
2012-10-11,230.00,232.95,228.25,229.75,6400,229.75
2012-10-10,236.05,237.40,230.10,231.60,4200,231.60
2012-10-09,232.10,237.70,232.05,233.40,15400,233.40
2012-10-08,242.60,253.00,235.00,236.65,120000,236.65
2012-10-05,243.20,250.00,243.05,247.55,6200,247.55
2012-10-04,242.40,254.00,242.00,249.85,20300,249.85
2012-10-03,232.70,245.00,232.70,242.05,5600,242.05
2012-10-02,238.15,238.15,238.15,238.15,000,238.15
2012-10-01,241.00,249.90,235.00,238.15,6200,238.15
2012-09-28,243.50,258.80,240.15,245.90,32400,245.90
2012-09-27,241.10,254.75,241.00,245.00,37600,245.00
2012-09-26,230.40,244.30,230.40,240.30,8400,240.30
2012-09-25,226.10,246.30,226.10,236.30,6100,236.30
2012-09-24,226.10,234.95,226.10,231.85,700,231.85
2012-09-21,226.20,235.70,226.10,233.20,4100,233.20
2012-09-20,225.75,230.90,225.75,228.70,1300,228.70
2012-09-19,231.30,231.30,231.30,231.30,000,231.30
2012-09-18,230.20,236.45,229.00,231.30,2700,231.30
2012-09-17,233.90,241.00,232.00,233.10,3300,233.10
2012-09-14,233.00,239.00,228.30,230.90,5800,230.90
2012-09-13,231.00,239.00,229.95,235.75,11600,235.75
2012-09-12,221.60,232.65,221.60,231.30,4900,231.30
2012-09-11,215.50,229.60,210.55,225.90,2500,225.90
2012-09-10,222.05,231.90,222.05,227.85,2700,227.85
2012-09-07,219.55,235.00,219.55,231.50,14800,231.50
2012-09-06,217.25,224.50,217.25,220.35,2700,220.35
2012-09-05,217.10,224.45,217.10,220.85,2000,220.85
2012-09-04,220.10,226.00,218.60,223.45,8500,223.45
2012-09-03,220.10,227.00,218.00,225.40,4900,225.40
2012-08-31,215.00,227.50,213.00,222.65,11100,222.65
2012-08-30,211.00,220.90,211.00,219.10,9800,219.10
2012-08-29,217.25,218.90,213.25,214.30,4100,214.30
2012-08-28,222.50,223.75,216.60,217.25,2400,217.25
2012-08-27,218.00,223.90,218.00,222.50,4800,222.50
2012-08-24,225.05,243.70,216.00,219.90,96600,219.90
2012-08-23,227.70,232.25,224.05,229.85,14700,229.85
2012-08-22,230.30,233.20,227.00,227.90,5200,227.90
2012-08-21,234.95,241.00,223.00,232.85,15500,232.85
2012-08-20,229.90,229.90,229.90,229.90,000,229.90
2012-08-17,236.00,237.50,225.00,229.90,19800,229.90
2012-08-16,222.00,237.00,217.20,234.00,49200,234.00
2012-08-15,224.25,224.25,224.25,224.25,000,224.25
2012-08-14,222.85,229.75,220.30,224.25,43500,224.25
2012-08-13,221.00,224.05,215.55,216.90,8600,216.90
2012-08-10,222.00,229.00,219.25,220.85,27700,220.85
2012-08-09,217.90,222.25,213.10,219.20,3600,219.20
2012-08-08,215.55,221.30,214.20,217.90,6400,217.90
2012-08-07,210.35,217.50,210.05,215.55,6500,215.55
2012-08-06,212.00,213.00,210.05,210.35,1400,210.35
2012-08-03,212.00,212.25,208.20,211.20,300,211.20
2012-08-02,206.40,213.70,206.40,210.95,2200,210.95
2012-08-01,206.50,215.00,206.50,211.45,5100,211.45
2012-07-31,208.60,213.00,208.20,211.00,10000,211.00
2012-07-30,203.60,209.70,202.00,207.25,3900,207.25
2012-07-27,206.20,213.00,201.10,202.00,8400,202.00
2012-07-26,210.15,210.85,205.05,206.20,1500,206.20
2012-07-25,212.50,212.50,210.00,210.15,1700,210.15
2012-07-24,212.20,214.50,210.90,212.65,2300,212.65
2012-07-23,210.30,218.75,210.30,212.85,1800,212.85
2012-07-20,218.55,224.65,215.65,216.45,3000,216.45
2012-07-19,206.50,223.00,206.50,220.50,45300,220.50
2012-07-18,205.00,213.10,205.00,208.60,4500,208.60
2012-07-17,212.00,215.00,207.00,208.50,3200,208.50
2012-07-16,211.65,216.00,211.10,211.50,3700,211.50
2012-07-13,212.10,220.00,211.15,212.50,5800,212.50
2012-07-12,216.00,222.00,214.70,217.35,225100,217.35
2012-07-11,208.00,214.65,208.00,212.60,3600,212.60
2012-07-10,207.60,212.00,207.60,211.40,2400,211.40
2012-07-09,211.05,213.75,208.00,209.95,2800,209.95
2012-07-06,211.00,218.95,211.00,213.95,5200,213.95
2012-07-05,204.85,223.70,204.80,214.70,31600,214.70
2012-07-04,203.00,208.90,203.00,207.40,3200,207.40
2012-07-03,203.00,207.90,203.00,206.40,9500,206.40
2012-07-02,203.60,206.30,201.50,202.85,15100,202.85
2012-06-29,202.20,212.00,201.60,204.60,45200,204.60
2012-06-28,202.10,206.85,201.75,203.95,17700,203.95
2012-06-27,201.00,207.80,201.00,204.55,18200,204.55
2012-06-26,205.00,207.35,199.00,200.20,17600,200.20
2012-06-25,210.00,210.00,205.50,207.20,4600,207.20
2012-06-22,205.10,209.90,205.10,207.45,9900,207.45
2012-06-21,208.00,211.40,207.95,209.55,2900,209.55
2012-06-20,208.00,214.90,208.00,210.40,1100,210.40
2012-06-19,208.00,214.85,208.00,211.05,400,211.05
2012-06-18,210.10,214.95,203.60,212.15,1800,212.15
2012-06-15,208.00,213.60,208.00,212.45,800,212.45
2012-06-14,208.15,213.80,208.15,209.85,1600,209.85
2012-06-13,210.10,214.70,209.90,210.45,1100,210.45
2012-06-12,211.10,214.50,209.05,212.20,6300,212.20
2012-06-11,216.15,223.90,215.00,215.45,1900,215.45
2012-06-08,215.00,220.40,215.00,219.65,400,219.65
2012-06-07,219.00,223.65,216.40,218.65,900,218.65
2012-06-06,212.95,221.30,212.95,219.40,3300,219.40
2012-06-05,210.10,218.00,210.10,216.90,3000,216.90
2012-06-04,208.00,217.00,205.60,211.05,7700,211.05
2012-06-01,211.55,218.00,208.20,210.00,2700,210.00
2012-05-31,206.20,217.00,206.15,215.05,2900,215.05
2012-05-30,210.00,214.80,210.00,211.05,500,211.05
2012-05-29,216.05,218.75,208.00,209.90,6000,209.90
2012-05-28,207.00,219.30,207.00,217.15,20500,217.15
2012-05-25,209.00,211.90,207.95,209.20,2900,209.20
2012-05-24,201.00,211.95,199.60,207.70,8300,207.70
2012-05-23,197.05,204.50,196.65,201.50,9000,201.50
2012-05-22,202.95,202.95,195.25,198.00,4000,198.00
2012-05-21,200.00,201.00,198.10,199.55,700,199.55
2012-05-18,193.00,200.00,193.00,197.40,1700,197.40
2012-05-17,203.00,209.75,196.05,198.20,6200,198.20
2012-05-16,210.90,210.95,201.05,204.10,8900,204.10
2012-05-15,213.00,215.00,208.00,210.00,14500,210.00
2012-05-14,213.15,223.20,210.00,214.40,10300,214.40
2012-05-11,210.25,222.00,210.25,217.60,2500,217.60
2012-05-10,212.10,220.00,212.10,215.40,1800,215.40
2012-05-09,218.00,220.00,211.00,217.20,5800,217.20
2012-05-08,215.00,217.50,212.00,215.10,4000,215.10
2012-05-07,210.00,219.50,210.00,214.70,3100,214.70
2012-05-04,210.00,212.00,210.00,210.00,3900,210.00
2012-05-03,206.00,211.95,206.00,211.00,7400,211.00
2012-05-02,207.70,211.70,207.00,208.05,6700,208.05
2012-05-01,207.45,207.45,207.45,207.45,000,207.45
2012-04-30,206.00,210.05,206.00,208.10,5100,208.10
2012-04-27,209.00,214.80,207.00,208.95,2700,208.95
2012-04-26,208.70,222.30,203.35,208.00,29800,208.00
2012-04-25,214.80,215.95,209.00,209.55,1500,209.55
2012-04-24,215.30,218.50,211.00,213.50,5400,213.50
2012-04-23,227.85,227.85,214.00,214.70,3200,214.70
2012-04-20,229.00,229.00,224.15,224.60,2000,224.60
2012-04-19,224.00,232.95,224.00,230.95,76800,230.95
2012-04-18,224.00,229.80,224.00,226.50,2700,226.50
2012-04-17,227.00,227.00,224.10,226.00,700,226.00
2012-04-16,220.10,231.60,220.10,227.25,6500,227.25
2012-04-13,222.00,226.30,222.00,225.20,4800,225.20
2012-04-12,221.60,225.90,221.60,224.55,3400,224.55
2012-04-11,218.10,226.00,216.00,222.65,4400,222.65
2012-04-10,220.10,224.50,218.10,222.35,4600,222.35
2012-04-09,220.60,227.20,220.60,223.10,8300,223.10
2012-04-06,223.05,223.05,223.05,223.05,000,223.05
2012-04-05,223.05,223.05,223.05,223.05,000,223.05
2012-04-04,223.25,227.85,221.25,223.05,17400,223.05
2012-04-03,217.50,234.00,217.50,229.25,46900,229.25
2012-04-02,216.00,223.25,216.00,220.30,3800,220.30
2012-03-30,215.15,224.50,215.15,219.70,20600,219.70
2012-03-29,212.10,223.40,212.10,221.45,14400,221.45
2012-03-28,216.00,223.50,214.00,216.45,13000,216.45
2012-03-27,216.00,228.80,212.50,217.90,23300,217.90
2012-03-26,212.00,216.00,207.25,213.15,12400,213.15
2012-03-23,201.25,213.90,201.25,211.80,13100,211.80
2012-03-22,205.00,210.00,202.20,203.35,6500,203.35
2012-03-21,200.20,208.50,200.20,207.40,8600,207.40
2012-03-20,200.00,205.30,195.10,203.50,39800,203.50
2012-03-19,208.00,211.55,197.20,199.45,43000,199.45
2012-03-16,212.00,216.50,207.10,208.05,11100,208.05
2012-03-15,212.25,221.90,212.25,214.05,17400,214.05
2012-03-14,218.05,220.00,213.00,216.40,38200,216.40
2012-03-13,215.00,219.40,211.65,217.95,58700,217.95
2012-03-12,207.50,222.10,207.25,213.15,151100,213.15
2012-03-09,211.70,211.70,206.10,207.30,16500,207.30
2012-03-08,207.95,207.95,207.95,207.95,000,207.95
2012-03-07,206.40,215.00,206.40,207.95,17100,207.95
2012-03-06,216.00,219.80,211.00,211.65,7700,211.65
2012-03-05,223.65,225.85,217.25,218.10,6900,218.10
2012-03-02,232.35,234.70,223.80,225.90,21100,225.90
2012-03-01,235.00,237.00,230.30,232.50,2400,232.50
2012-02-29,239.00,242.00,232.05,238.10,17100,238.10
2012-02-28,226.90,240.00,226.50,238.20,12200,238.20
2012-02-27,232.50,235.00,222.15,229.90,30800,229.90
2012-02-24,234.00,240.00,226.00,236.40,5900,236.40
2012-02-23,232.20,237.00,228.10,234.45,32200,234.45
2012-02-22,247.80,248.00,231.05,234.25,15200,234.25
2012-02-21,239.70,245.00,230.20,243.35,32400,243.35
2012-02-20,235.55,235.55,235.55,235.55,000,235.55
2012-02-17,228.00,238.40,224.10,235.55,234400,235.55
2012-02-16,230.50,235.00,224.00,226.25,16600,226.25
2012-02-15,222.95,234.50,220.50,231.10,42000,231.10
2012-02-14,217.70,225.70,217.70,220.80,7400,220.80
2012-02-13,215.60,220.95,215.60,220.05,12600,220.05
2012-02-10,217.25,222.00,217.05,218.35,9000,218.35
2012-02-09,216.05,222.50,216.05,218.30,7300,218.30
2012-02-08,223.80,223.80,217.15,218.35,9200,218.35
2012-02-07,222.00,223.85,218.25,222.55,10200,222.55
2012-02-06,218.10,227.00,218.10,220.20,20200,220.20
2012-02-03,217.60,221.90,215.10,218.35,12400,218.35
2012-02-02,220.20,224.75,217.50,217.95,23200,217.95
2012-02-01,226.10,231.70,222.15,223.90,30800,223.90
2012-01-31,224.80,234.00,217.00,230.95,258000,230.95
2012-01-30,220.00,223.50,213.10,219.80,85000,219.80
2012-01-27,214.05,224.45,213.80,219.25,61000,219.25
2012-01-26,212.75,212.75,212.75,212.75,000,212.75
2012-01-25,202.00,217.30,200.25,212.75,122000,212.75
2012-01-24,201.60,204.85,198.15,201.40,21200,201.40
2012-01-23,206.50,208.80,201.05,202.00,26200,202.00
2012-01-20,205.10,209.45,202.10,206.05,45700,206.05
2012-01-19,199.00,210.65,198.20,204.30,231800,204.30
2012-01-18,200.00,202.90,194.00,199.00,184600,199.00
2012-01-17,206.00,209.50,197.60,198.30,41900,198.30
2012-01-16,197.90,216.80,195.50,203.20,91100,203.20
2012-01-13,199.10,201.80,196.25,197.40,20600,197.40
2012-01-12,200.05,203.00,196.50,198.35,16300,198.35
2012-01-11,200.30,204.75,198.55,199.55,19300,199.55
2012-01-10,202.00,205.00,200.25,200.85,13400,200.85
2012-01-09,205.40,205.40,198.60,200.00,10400,200.00
2012-01-06,212.00,212.00,201.00,201.85,13100,201.85
