Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,135.95,135.95,135.95,135.95,000,135.95
2012-12-24,137.60,139.00,135.10,135.95,266200,135.95
2012-12-21,137.60,137.90,134.50,137.15,262200,137.15
2012-12-20,137.20,137.60,136.55,137.30,387600,137.30
2012-12-19,137.60,137.60,135.90,136.40,233700,136.40
2012-12-18,137.35,137.55,136.80,137.30,273700,137.30
2012-12-17,138.40,138.40,135.90,136.45,443700,136.45
2012-12-14,138.20,138.20,137.25,137.80,224000,137.80
2012-12-13,138.55,138.55,136.90,137.50,643800,137.50
2012-12-12,138.40,138.40,137.25,137.80,285700,137.80
2012-12-11,139.60,139.60,135.90,137.75,375100,137.75
2012-12-10,139.60,139.70,138.50,139.25,268600,139.25
2012-12-07,139.60,139.70,138.60,139.25,217500,139.25
2012-12-06,140.70,140.70,137.90,138.90,327500,138.90
2012-12-05,141.75,141.90,139.35,140.10,222800,140.10
2012-12-04,141.15,141.40,140.35,141.05,576500,141.05
2012-12-03,140.00,141.55,140.00,140.70,335700,140.70
2012-11-30,137.90,139.85,137.40,139.45,248600,139.45
2012-11-29,138.70,138.70,136.90,137.20,1011800,137.20
2012-11-28,137.70,137.70,137.70,137.70,000,137.70
2012-11-27,137.20,138.30,136.80,137.70,197500,137.70
2012-11-26,136.40,137.10,135.65,136.90,238200,136.90
2012-11-23,137.25,137.25,135.40,135.70,325500,135.70
2012-11-22,137.20,137.30,136.50,136.75,222400,136.75
2012-11-21,137.65,137.65,135.90,136.85,188800,136.85
2012-11-20,137.40,137.55,137.05,137.15,170300,137.15
2012-11-19,137.90,137.90,136.60,136.90,154400,136.90
2012-11-16,137.00,137.65,136.55,137.35,409600,137.35
2012-11-15,137.60,137.80,136.00,136.65,244100,136.65
2012-11-14,137.10,137.10,137.10,137.10,000,137.10
2012-11-13,137.10,137.10,137.10,137.10,000,137.10
2012-11-12,138.30,138.30,137.00,137.10,202500,137.10
2012-11-09,138.50,138.50,137.05,137.70,346000,137.70
2012-11-08,138.70,138.95,137.70,138.25,189900,138.25
2012-11-07,141.00,141.40,138.00,138.50,409500,138.50
2012-11-06,138.00,144.25,137.90,140.75,1266200,140.75
2012-11-05,137.25,137.85,136.70,137.40,225700,137.40
2012-11-02,137.10,137.40,136.00,136.80,295900,136.80
2012-11-01,136.70,136.90,136.05,136.55,383500,136.55
2012-10-31,137.70,138.00,135.90,136.35,197200,136.35
2012-10-30,139.20,139.20,136.70,136.85,308500,136.85
2012-10-29,138.50,139.00,138.00,138.65,230500,138.65
2012-10-26,139.15,139.15,139.15,139.15,000,139.15
2012-10-25,139.00,139.60,138.40,139.15,389100,139.15
2012-10-24,138.80,138.80,138.80,138.80,000,138.80
2012-10-23,139.50,139.50,138.40,138.80,175900,138.80
2012-10-22,139.60,139.90,138.35,139.25,143700,139.25
2012-10-19,139.90,140.00,137.55,139.65,157600,139.65
2012-10-18,139.50,139.95,139.20,139.60,388800,139.60
2012-10-17,138.50,139.95,138.00,139.30,858300,139.30
2012-10-16,138.05,138.90,138.00,138.60,186300,138.60
2012-10-15,138.10,138.15,137.00,137.85,148400,137.85
2012-10-12,138.60,138.75,137.50,137.90,341800,137.90
2012-10-11,138.00,138.90,137.30,138.50,324700,138.50
2012-10-10,139.00,139.00,136.50,137.60,404400,137.60
2012-10-09,138.70,139.10,138.50,138.60,177700,138.60
2012-10-08,138.60,139.30,137.90,138.25,169800,138.25
2012-10-05,139.00,139.00,137.00,138.30,186600,138.30
2012-10-04,138.80,141.00,138.00,138.85,396500,138.85
2012-10-03,138.30,139.00,137.85,138.75,1093000,138.75
2012-10-02,138.35,138.35,138.35,138.35,000,138.35
2012-10-01,138.30,138.90,137.95,138.35,238300,138.35
2012-09-28,137.30,138.20,137.00,138.10,374400,138.10
2012-09-27,137.15,137.40,136.30,137.15,419700,137.15
2012-09-26,136.95,137.25,136.20,136.90,442700,136.90
2012-09-25,136.50,137.45,136.00,136.95,393700,136.95
2012-09-24,133.10,136.45,132.60,135.80,311200,135.80
2012-09-21,137.00,140.90,130.15,131.65,1007800,131.65
2012-09-20,139.80,140.00,135.90,137.00,257100,137.00
2012-09-19,139.50,139.50,139.50,139.50,000,139.10
2012-09-18,139.50,139.75,138.50,139.50,564700,139.10
2012-09-17,139.50,139.80,138.85,139.25,488700,138.85
2012-09-14,135.20,139.50,134.00,138.80,462200,138.40
2012-09-13,138.00,139.50,132.40,133.70,442000,133.32
2012-09-12,139.50,140.30,139.00,139.35,182500,138.95
2012-09-11,138.95,139.50,138.90,139.15,944700,138.75
2012-09-10,138.00,139.25,137.80,139.10,247300,138.70
2012-09-07,135.00,137.00,135.00,136.60,186000,136.21
2012-09-06,133.70,135.30,133.50,134.65,240000,134.26
2012-09-05,133.80,133.85,132.80,133.65,361800,133.27
2012-09-04,133.00,133.80,132.10,133.30,348600,132.92
2012-09-03,135.50,135.65,129.60,131.35,272500,130.97
2012-08-31,133.80,135.50,133.30,134.90,215700,134.51
2012-08-30,134.00,134.00,131.30,133.40,327600,133.02
2012-08-29,131.80,134.00,131.10,133.50,267400,133.12
2012-08-28,134.00,134.10,129.90,130.90,228400,130.52
2012-08-27,133.60,133.80,132.05,133.30,207200,132.92
2012-08-24,134.30,134.30,131.20,132.05,192200,131.67
2012-08-23,134.80,134.80,133.10,133.45,195800,133.07
2012-08-22,134.90,134.90,133.50,134.10,273200,133.72
2012-08-21,135.00,135.00,134.20,134.30,408200,133.91
2012-08-20,134.30,134.30,134.30,134.30,000,133.91
2012-08-17,134.80,134.80,134.00,134.30,180900,133.91
2012-08-16,135.00,135.00,133.90,134.10,335700,133.72
2012-08-15,134.25,134.25,134.25,134.25,000,133.87
2012-08-14,136.00,136.00,134.00,134.25,228200,133.87
2012-08-13,136.00,136.00,134.90,135.20,198600,134.81
2012-08-10,136.10,136.10,134.70,135.10,116500,134.71
2012-08-09,136.50,136.50,133.90,135.25,157200,134.86
2012-08-08,136.00,136.25,134.90,135.50,881200,135.11
2012-08-07,135.70,137.35,134.00,134.70,470300,134.31
2012-08-06,137.00,140.60,130.90,133.75,698000,133.37
2012-08-03,138.90,138.90,137.50,137.75,122900,137.36
2012-08-02,138.70,138.70,137.50,137.90,120300,137.50
2012-08-01,140.00,140.10,136.30,137.85,238600,137.45
2012-07-31,140.00,140.00,132.50,138.85,223100,138.45
2012-07-30,144.90,144.90,135.50,138.55,430100,138.15
2012-07-27,95.10,138.00,92.00,138.00,1666400,137.60
2012-07-26,144.10,144.25,115.00,115.00,1082700,114.67
2012-07-25,143.70,144.00,143.30,143.75,451000,143.34
2012-07-24,143.20,143.85,142.95,143.30,328700,142.89
2012-07-23,144.00,144.05,142.20,143.05,373200,142.64
2012-07-20,144.10,144.15,143.50,143.80,210100,143.39
2012-07-19,143.50,144.45,143.15,143.90,237400,143.49
2012-07-18,143.50,143.50,143.05,143.20,277800,142.79
2012-07-17,142.80,143.50,142.80,143.10,302300,142.69
