Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,425.95,425.95,425.95,425.95,000,425.95
2012-12-24,430.00,433.35,422.70,425.95,2100,425.95
2012-12-21,425.00,432.60,425.00,429.55,2400,429.55
2012-12-20,422.00,442.00,354.00,424.05,7100,424.05
2012-12-19,431.00,432.70,430.00,430.40,800,430.40
2012-12-18,433.95,433.95,430.00,431.85,300,431.85
2012-12-17,432.00,433.65,427.00,428.20,1900,428.20
2012-12-14,429.95,432.05,428.00,429.20,500,429.20
2012-12-13,437.80,437.80,427.00,428.10,1000,428.10
2012-12-12,431.95,437.35,428.00,431.25,1300,431.25
2012-12-11,435.00,439.00,428.05,431.60,700,431.60
2012-12-10,438.00,442.00,434.00,435.05,3300,435.05
2012-12-07,433.95,442.80,433.95,436.20,2000,436.20
2012-12-06,433.95,442.90,430.15,433.55,1300,433.55
2012-12-05,436.05,439.90,431.00,434.95,2200,434.95
2012-12-04,427.50,440.00,425.00,438.00,5700,438.00
2012-12-03,437.95,437.95,418.50,430.00,2100,430.00
2012-11-30,437.95,437.95,428.65,428.90,1300,428.90
2012-11-29,436.95,436.95,428.15,428.60,2300,428.60
2012-11-28,429.95,429.95,429.95,429.95,000,429.95
2012-11-27,426.50,434.70,426.50,429.95,1800,429.95
2012-11-26,427.60,433.50,427.00,428.45,1200,428.45
2012-11-23,425.10,448.70,425.10,430.05,3100,430.05
2012-11-22,426.00,427.00,424.90,426.05,1200,426.05
2012-11-21,427.10,429.90,423.70,427.10,800,427.10
2012-11-20,432.00,432.00,425.10,426.50,2300,426.50
2012-11-19,437.00,438.90,428.00,430.75,1100,430.75
2012-11-16,438.00,440.00,434.50,434.50,1300,434.50
2012-11-15,443.95,443.95,437.25,438.40,300,438.40
2012-11-14,438.75,438.75,438.75,438.75,000,438.75
2012-11-13,438.75,438.75,438.75,438.75,000,438.75
2012-11-12,443.55,443.55,435.30,438.75,1700,438.75
2012-11-09,443.90,443.90,437.15,439.80,400,439.80
2012-11-08,444.35,444.35,438.00,439.55,600,439.55
2012-11-07,440.00,442.50,438.80,439.65,1000,439.65
2012-11-06,436.75,440.70,436.75,440.15,1000,440.15
2012-11-05,446.75,446.75,436.00,437.70,1700,437.70
2012-11-02,444.70,448.90,437.55,440.05,3400,440.05
2012-11-01,457.95,457.95,436.30,443.95,4100,443.95
2012-10-31,450.00,456.40,442.05,448.35,2300,448.35
2012-10-30,454.00,459.80,449.35,456.75,2200,456.75
2012-10-29,459.95,459.95,450.10,454.05,1100,454.05
2012-10-26,457.55,457.55,457.55,457.55,000,457.55
2012-10-25,463.90,463.90,456.15,457.55,400,457.55
2012-10-24,458.00,458.00,458.00,458.00,000,458.00
2012-10-23,461.80,463.45,457.00,458.00,500,458.00
2012-10-22,453.10,462.00,453.00,459.55,600,459.55
2012-10-19,455.55,458.80,451.10,452.95,1000,452.95
2012-10-18,460.00,460.00,453.50,455.25,1600,455.25
2012-10-17,464.85,465.00,456.50,457.20,1400,457.20
2012-10-16,461.00,464.00,459.00,461.85,1000,461.85
2012-10-15,468.85,468.85,460.00,461.10,1100,461.10
2012-10-12,459.75,461.85,455.50,458.60,300,458.60
2012-10-11,456.50,459.95,455.05,455.60,500,455.60
2012-10-10,468.90,468.90,455.00,455.35,300,455.35
2012-10-09,458.00,472.00,458.00,463.10,2400,463.10
2012-10-08,465.00,469.90,460.00,465.40,900,465.40
2012-10-05,465.00,465.00,456.05,463.05,2000,463.05
2012-10-04,473.80,473.80,465.05,467.70,1100,467.70
2012-10-03,468.95,472.00,464.05,467.75,4600,467.75
2012-10-02,463.80,463.80,463.80,463.80,000,463.80
2012-10-01,458.00,468.75,450.00,463.80,3500,463.80
2012-09-28,456.95,458.00,450.75,453.50,2500,453.50
2012-09-27,449.65,456.00,443.20,452.25,1200,452.25
2012-09-26,446.65,452.00,441.30,450.00,2100,450.00
2012-09-25,450.60,456.00,445.55,449.40,2000,449.40
2012-09-24,454.00,479.70,452.00,454.60,8000,454.60
2012-09-21,464.60,497.65,450.05,450.55,2900,450.55
2012-09-20,450.00,461.95,450.00,452.80,1300,452.80
2012-09-19,455.55,455.55,455.55,455.55,000,455.55
2012-09-18,459.70,459.70,447.00,455.55,2100,455.55
2012-09-17,456.20,462.20,450.00,456.75,2800,456.75
2012-09-14,451.00,461.80,451.00,455.20,2100,455.20
2012-09-13,455.00,469.00,450.15,455.80,2300,455.80
2012-09-12,448.00,465.00,441.65,450.85,5700,450.85
2012-09-11,437.00,447.30,434.05,444.40,2100,444.40
2012-09-10,438.00,438.00,431.00,436.30,13500,436.30
2012-09-07,440.00,440.00,434.00,435.50,1300,435.50
2012-09-06,443.00,443.00,435.00,435.65,600,435.65
2012-09-05,440.00,443.95,435.10,437.10,500,437.10
2012-09-04,436.00,442.90,436.00,440.00,600,440.00
2012-09-03,447.00,447.00,435.00,436.25,400,436.25
2012-08-31,440.00,440.00,430.00,431.50,3000,431.50
2012-08-30,447.00,447.00,438.00,440.30,300,440.30
2012-08-29,444.00,449.90,433.30,441.10,1700,441.10
2012-08-28,444.50,449.65,440.00,442.90,2300,442.90
2012-08-27,449.00,449.00,443.55,444.65,700,444.65
2012-08-24,447.00,452.00,439.05,448.30,2200,448.30
2012-08-23,449.55,455.00,444.05,448.80,600,448.80
2012-08-22,440.85,458.00,435.15,449.55,1700,449.55
2012-08-21,440.00,440.00,435.00,436.95,1400,436.95
2012-08-20,435.50,435.50,435.50,435.50,000,435.50
2012-08-17,430.00,440.00,430.00,435.50,3400,435.50
2012-08-16,446.00,446.00,437.00,438.10,1600,438.10
2012-08-15,438.85,438.85,438.85,438.85,000,438.85
2012-08-14,445.00,445.80,437.90,438.85,1500,438.85
2012-08-13,445.05,447.85,437.00,441.70,1800,441.70
2012-08-10,445.00,447.00,442.00,445.25,800,445.25
2012-08-09,445.00,452.20,445.00,448.30,800,448.30
2012-08-08,450.00,450.00,447.10,448.05,500,448.05
2012-08-07,464.85,464.85,444.90,450.05,5800,450.05
2012-08-06,444.25,467.50,444.25,463.10,3900,463.10
2012-08-03,446.90,451.90,443.00,449.30,800,449.30
2012-08-02,450.00,450.00,442.00,443.80,700,443.80
2012-08-01,442.00,449.90,442.00,447.10,600,447.10
2012-07-31,442.00,455.00,442.00,443.40,900,443.40
2012-07-30,449.05,459.70,446.55,449.80,300,449.80
2012-07-27,446.60,454.85,446.55,447.50,400,447.50
2012-07-26,463.85,463.85,446.00,446.55,700,446.55
2012-07-25,450.05,461.95,450.05,451.40,1200,451.40
2012-07-24,451.00,460.80,450.00,454.10,700,454.10
2012-07-23,450.00,461.85,450.00,455.40,700,455.40
2012-07-20,456.85,461.35,456.80,458.75,400,458.75
2012-07-19,468.60,468.60,456.05,459.30,600,459.30
2012-07-18,460.50,463.40,457.50,460.90,200,460.90
2012-07-17,468.55,468.55,457.20,461.10,1200,461.10
2012-07-16,468.00,470.00,457.00,465.30,300,465.30
2012-07-13,471.50,477.00,467.00,468.10,900,468.10
2012-07-12,477.00,477.00,470.00,471.15,400,471.15
2012-07-11,486.80,486.80,475.00,477.95,1800,477.95
2012-07-10,475.00,483.00,475.00,480.65,1500,480.65
2012-07-09,476.00,480.00,468.10,474.75,900,474.75
2012-07-06,465.60,483.90,465.60,476.80,1500,476.80
2012-07-05,472.90,483.50,472.90,475.65,700,475.65
2012-07-04,463.75,479.80,463.75,472.85,1500,472.85
2012-07-03,462.95,465.65,460.10,462.35,2600,462.35
2012-07-02,460.05,470.50,460.05,461.25,2600,461.25
2012-06-29,460.00,462.95,456.30,459.75,1600,459.75
2012-06-28,459.00,464.00,456.10,457.10,300,457.10
2012-06-27,460.10,462.90,458.00,459.00,200,459.00
2012-06-26,465.50,469.70,456.55,459.60,800,459.60
2012-06-25,466.00,466.90,455.50,464.55,300,464.55
2012-06-22,468.50,468.50,458.10,463.50,300,463.50
