Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,71.85,71.85,71.85,71.85,000,71.85
2012-12-24,69.65,72.25,69.60,71.85,2881700,71.85
2012-12-21,68.70,70.55,67.80,69.15,2555700,69.15
2012-12-20,66.70,69.65,66.20,68.40,2937700,68.40
2012-12-19,66.95,67.15,66.15,66.35,491000,66.35
2012-12-18,66.45,66.90,65.60,66.50,731100,66.50
2012-12-17,66.30,66.55,65.55,66.05,727600,66.05
2012-12-14,65.60,66.25,65.10,65.80,543800,65.80
2012-12-13,67.00,67.25,65.20,65.40,638800,65.40
2012-12-12,67.15,68.00,66.50,66.75,664300,66.75
2012-12-11,67.35,68.30,66.10,66.90,864800,66.90
2012-12-10,65.65,67.40,65.65,66.80,525400,66.80
2012-12-07,66.85,68.20,66.00,66.25,1068600,66.25
2012-12-06,66.80,67.45,65.20,66.85,1247500,66.85
2012-12-05,68.05,68.70,65.80,66.65,1416700,66.65
2012-12-04,68.55,69.80,67.55,68.05,1157600,68.05
2012-12-03,66.85,68.90,65.50,68.60,1754400,68.60
2012-11-30,66.90,67.90,66.20,66.45,1478500,66.45
2012-11-29,64.85,68.15,63.40,66.45,2590100,66.45
2012-11-28,62.40,62.40,62.40,62.40,000,62.40
2012-11-27,62.50,63.80,62.25,62.40,1154600,62.40
2012-11-26,61.60,62.40,61.25,62.05,725000,62.05
2012-11-23,61.20,61.70,60.80,61.20,336400,61.20
2012-11-22,61.20,61.90,60.80,60.95,468100,60.95
2012-11-21,60.85,61.25,60.25,60.65,336500,60.65
2012-11-20,61.90,62.30,60.25,60.60,476200,60.60
2012-11-19,63.20,63.20,61.25,61.40,404000,61.40
2012-11-16,63.60,65.15,62.50,62.70,582700,62.70
2012-11-15,63.10,63.95,62.80,63.40,457700,63.40
2012-11-14,63.35,63.35,63.35,63.35,000,63.35
2012-11-13,63.35,63.35,63.35,63.35,000,63.35
2012-11-12,64.70,64.85,63.05,63.35,383400,63.35
2012-11-09,64.85,65.75,64.00,64.30,359800,64.30
2012-11-08,64.35,65.45,63.75,64.90,415600,64.90
2012-11-07,64.00,65.35,63.60,64.70,446200,64.70
2012-11-06,64.30,64.75,63.75,64.00,345800,64.00
2012-11-05,65.75,65.75,64.25,64.55,312300,64.55
2012-11-02,65.70,66.65,65.10,65.65,489700,65.65
2012-11-01,66.30,66.45,64.85,65.15,351300,65.15
2012-10-31,63.20,66.20,63.00,65.80,639700,65.80
2012-10-30,64.75,65.25,62.80,62.95,402700,62.95
2012-10-29,66.15,66.70,64.25,64.45,337600,64.45
2012-10-26,66.95,66.95,66.95,66.95,000,66.95
2012-10-25,67.20,67.85,66.25,66.95,370900,66.95
2012-10-24,67.25,67.25,67.25,67.25,000,67.25
2012-10-23,67.15,69.00,67.05,67.25,408200,67.25
2012-10-22,67.30,68.15,67.20,67.45,288900,67.45
2012-10-19,69.25,69.75,67.40,67.90,973000,67.90
2012-10-18,67.90,69.25,67.45,68.55,730000,68.55
2012-10-17,68.15,68.60,67.25,67.80,519800,67.80
2012-10-16,68.55,69.90,67.40,67.85,1207800,67.85
2012-10-15,67.90,68.70,67.10,68.45,812800,68.45
2012-10-12,67.00,68.80,66.40,67.90,1314300,67.90
2012-10-11,66.00,67.65,65.40,67.25,966400,67.25
2012-10-10,68.50,68.55,66.00,66.25,949100,66.25
2012-10-09,71.00,71.00,67.75,68.70,1339300,68.70
2012-10-08,68.20,71.00,68.20,69.40,3175300,69.40
2012-10-05,67.55,69.65,64.65,68.80,3667800,68.80
2012-10-04,67.50,68.30,66.50,66.75,2007100,66.75
2012-10-03,64.90,67.45,63.60,66.45,2372600,66.45
2012-10-02,64.60,64.60,64.60,64.60,000,64.60
2012-10-01,64.40,65.15,64.00,64.60,1004300,64.60
2012-09-28,63.10,64.75,63.10,63.95,1058400,63.95
2012-09-27,63.80,64.90,62.40,62.70,3824700,62.70
2012-09-26,62.85,64.60,62.50,63.55,1896000,63.55
2012-09-25,63.95,64.70,62.55,63.05,1651800,63.05
2012-09-24,63.75,65.60,63.55,63.85,3033600,63.85
2012-09-21,62.50,64.10,62.20,63.30,2121600,63.30
2012-09-20,62.20,63.55,61.55,62.05,1118900,62.05
2012-09-19,62.70,62.70,62.70,62.70,000,62.70
2012-09-18,63.10,64.70,61.80,62.70,2133200,62.70
2012-09-17,61.80,63.65,60.80,63.00,2377200,63.00
2012-09-14,61.40,62.00,60.55,60.80,1618400,60.80
2012-09-13,60.65,61.20,60.10,60.40,642600,60.40
2012-09-12,61.00,61.65,60.45,60.60,824700,60.60
2012-09-11,61.40,61.60,60.50,60.85,652100,60.85
2012-09-10,62.90,63.15,61.40,61.75,659300,61.75
2012-09-07,61.75,62.90,61.75,62.35,594400,62.35
2012-09-06,62.25,62.60,60.80,61.00,702200,61.00
2012-09-05,62.15,64.00,61.75,62.00,1033900,62.00
2012-09-04,61.10,63.10,60.60,62.70,656700,62.70
2012-09-03,61.35,61.70,60.55,61.20,534000,61.20
2012-08-31,60.60,61.80,59.40,61.15,1128300,61.15
2012-08-30,59.90,60.75,58.60,60.45,725900,60.45
2012-08-29,61.75,62.50,60.10,60.35,1188500,60.35
2012-08-28,62.70,62.70,60.00,61.10,968900,61.10
2012-08-27,63.55,63.80,62.25,62.55,888000,62.55
2012-08-24,65.50,65.50,62.50,62.90,761900,62.90
2012-08-23,65.10,65.50,63.50,64.05,737000,64.05
2012-08-22,64.90,65.75,63.90,64.70,996800,64.70
2012-08-21,67.00,67.90,63.95,64.90,1430700,64.90
2012-08-20,64.55,64.55,64.55,64.55,000,64.55
2012-08-17,62.25,65.45,62.10,64.55,2383600,64.55
2012-08-16,63.15,63.40,62.10,62.45,867000,62.45
2012-08-15,62.50,62.50,62.50,62.50,000,62.50
2012-08-14,62.00,63.20,61.15,62.50,1363900,62.50
2012-08-13,61.40,62.00,60.15,61.45,868600,61.45
2012-08-10,60.25,62.20,59.40,61.40,1143200,61.40
2012-08-09,61.90,62.35,59.45,60.80,1019800,60.80
2012-08-08,62.95,63.25,61.05,61.45,1203500,61.45
2012-08-07,60.60,64.00,60.50,62.60,4107300,62.60
2012-08-06,59.00,60.40,58.75,59.00,1373800,59.00
2012-08-03,58.90,59.45,57.50,58.50,1109800,58.50
2012-08-02,58.70,59.85,58.10,59.75,999800,59.75
2012-08-01,58.05,59.60,58.00,58.65,783200,58.65
2012-07-31,58.90,58.90,56.55,58.10,695900,58.10
2012-07-30,56.50,58.65,56.35,58.25,721600,58.25
2012-07-27,60.00,60.00,55.30,56.10,1656700,56.10
2012-07-26,62.30,62.80,57.80,58.40,2252200,58.40
2012-07-25,64.30,64.60,62.55,62.80,947800,62.80
2012-07-24,64.30,65.60,64.15,64.90,435300,64.90
2012-07-23,64.60,65.20,64.25,64.70,450600,64.70
2012-07-20,66.10,67.00,65.50,65.90,651400,65.90
2012-07-19,66.15,67.45,66.00,66.60,1011600,66.60
2012-07-18,64.55,66.00,63.70,65.70,758100,65.70
2012-07-17,65.85,66.30,64.20,64.65,733400,64.65
2012-07-16,68.10,68.10,65.50,65.65,932500,65.65
2012-07-13,68.15,68.60,67.05,67.25,964300,67.25
2012-07-12,68.90,68.90,67.65,68.10,915500,68.10
2012-07-11,70.85,71.00,69.25,69.65,1418100,69.65
2012-07-10,69.50,70.85,69.00,70.50,1603800,70.50
2012-07-09,72.40,72.40,68.60,69.30,1525700,69.30
2012-07-06,71.90,72.60,69.75,71.65,1833200,71.65
2012-07-05,71.40,71.80,70.40,71.05,1952200,71.05
2012-07-04,69.85,71.20,69.40,70.80,2024300,70.80
2012-07-03,68.25,70.25,68.25,69.30,1973000,69.30
2012-07-02,69.00,69.00,67.55,67.90,1256600,67.90
2012-06-29,67.00,69.00,67.00,68.55,2322100,68.55
2012-06-28,67.50,67.50,65.85,66.40,1068400,66.40
2012-06-27,66.40,67.80,65.90,67.15,1413800,67.15
2012-06-26,65.60,66.50,65.40,65.85,523200,65.85
2012-06-25,66.60,67.65,65.60,65.90,842300,65.90
2012-06-22,67.75,68.00,64.85,66.25,1632200,66.25
2012-06-21,66.00,66.35,64.85,66.10,814400,66.10
2012-06-20,63.00,65.95,63.00,65.45,972000,65.45
2012-06-19,63.30,63.80,62.55,63.45,482800,63.45
2012-06-18,65.10,65.45,62.65,63.15,754700,63.15
2012-06-15,64.85,67.90,64.00,64.45,639800,64.45
2012-06-14,65.55,66.15,64.00,64.35,501900,64.35
2012-06-13,66.90,66.90,65.25,65.85,665100,65.85
2012-06-12,64.65,66.95,64.10,66.35,834200,66.35
2012-06-11,69.30,69.30,64.15,65.10,1369700,65.10
2012-06-08,66.25,66.25,64.30,65.60,727600,65.60
2012-06-07,66.20,66.85,64.75,66.20,983800,66.20
2012-06-06,62.20,66.20,62.20,65.90,1204900,65.90
2012-06-05,62.60,63.85,62.05,62.40,597600,62.40
2012-06-04,62.50,62.65,61.15,62.15,588300,62.15
2012-06-01,63.50,64.30,62.55,62.85,550200,62.85
2012-05-31,63.20,64.50,62.80,63.50,941100,63.50
2012-05-30,66.40,66.50,63.45,63.95,833500,63.95
2012-05-29,66.70,66.95,65.60,66.10,552300,66.10
2012-05-28,65.25,66.85,65.25,66.55,539700,66.55
2012-05-25,63.50,65.55,63.50,64.90,698000,64.90
2012-05-24,64.00,64.50,62.30,64.20,965000,64.20
2012-05-23,65.10,65.35,63.65,64.10,580100,64.10
2012-05-22,67.90,68.10,65.10,65.35,828100,65.35
2012-05-21,65.55,67.90,65.45,67.10,736900,67.10
2012-05-18,65.00,65.70,64.25,65.35,652300,65.35
2012-05-17,66.15,67.50,65.50,66.05,714000,66.05
2012-05-16,66.70,67.05,64.85,66.15,886100,66.15
