Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,136.65,136.65,136.65,136.65,000,136.65
2012-12-24,141.60,141.80,136.25,136.65,2304500,136.65
2012-12-21,143.25,144.30,140.75,141.10,1488800,141.10
2012-12-20,142.25,144.45,140.40,143.85,2060000,143.85
2012-12-19,142.65,145.25,141.50,142.10,1563700,142.10
2012-12-18,140.20,141.50,139.15,141.15,966600,141.15
2012-12-17,140.15,141.75,138.30,139.65,1695500,139.65
2012-12-14,142.90,143.45,140.30,141.00,1113800,141.00
2012-12-13,145.45,145.95,142.55,142.90,1245100,142.90
2012-12-12,148.95,148.95,144.00,145.05,1842900,145.05
2012-12-11,149.95,150.35,146.70,148.95,1114900,148.95
2012-12-10,148.45,150.25,147.00,149.40,1145100,149.40
2012-12-07,147.10,150.90,147.10,148.05,1563800,148.05
2012-12-06,147.35,147.75,145.55,147.10,956800,147.10
2012-12-05,146.90,147.75,144.75,145.80,1953300,145.80
2012-12-04,147.00,148.40,143.65,145.35,1173000,145.35
2012-12-03,142.50,147.70,142.50,147.05,4588200,147.05
2012-11-30,144.25,144.65,141.70,142.10,1372100,142.10
2012-11-29,146.00,146.50,141.05,143.35,4458500,143.35
2012-11-28,144.90,144.90,144.90,144.90,000,144.90
2012-11-27,141.80,145.40,141.05,144.90,1420300,144.90
2012-11-26,140.25,141.65,139.10,141.05,594100,141.05
2012-11-23,140.95,141.25,139.05,139.90,498900,139.90
2012-11-22,138.90,141.70,138.40,140.55,976700,140.55
2012-11-21,139.05,139.90,137.50,139.05,564800,139.05
2012-11-20,140.70,140.70,138.20,138.75,1290600,138.75
2012-11-19,138.95,140.40,137.10,139.05,542200,139.05
2012-11-16,136.60,140.90,136.10,138.95,1333700,138.95
2012-11-15,139.75,139.75,135.50,137.35,1566500,137.35
2012-11-14,139.00,139.00,139.00,139.00,000,139.00
2012-11-13,139.00,139.00,139.00,139.00,000,139.00
2012-11-12,138.90,139.60,136.25,139.00,3164400,139.00
2012-11-09,141.90,141.90,137.55,138.15,832500,138.15
2012-11-08,140.00,140.00,138.10,139.65,965400,139.65
2012-11-07,138.60,141.20,137.65,140.30,1352800,140.30
2012-11-06,141.00,141.00,137.25,138.50,1062500,138.50
2012-11-05,142.15,143.00,138.70,139.70,624000,139.70
2012-11-02,142.50,144.40,142.25,142.80,1029100,142.80
2012-11-01,142.10,143.45,141.20,141.70,879400,141.70
2012-10-31,138.20,142.00,137.10,141.55,851100,141.55
2012-10-30,140.85,141.30,139.45,140.05,1118600,139.05
2012-10-29,139.00,141.35,138.05,140.85,1046800,139.84
2012-10-26,140.00,140.00,140.00,140.00,000,139.00
2012-10-25,139.85,141.95,139.15,140.00,2381600,139.00
2012-10-24,139.60,139.60,139.60,139.60,000,138.60
2012-10-23,142.40,144.00,139.10,139.60,3120400,138.60
2012-10-22,148.00,148.00,141.30,142.25,5875800,141.23
2012-10-19,163.90,166.40,147.10,148.20,12651900,147.14
2012-10-18,158.00,163.25,157.20,162.60,3482700,161.44
2012-10-17,158.50,159.70,156.80,158.65,1861100,157.52
2012-10-16,153.80,157.70,153.05,156.75,2760500,155.63
2012-10-15,150.00,153.00,149.25,151.90,585900,150.82
2012-10-12,152.70,154.80,148.70,150.15,1591200,149.08
2012-10-11,155.00,156.00,151.70,152.85,1128700,151.76
2012-10-10,150.00,154.90,148.15,154.10,1119100,153.00
2012-10-09,154.40,154.40,149.80,150.85,576300,149.77
2012-10-08,152.90,154.20,148.15,153.35,2410400,152.26
2012-10-05,154.60,155.00,149.15,151.85,2051700,150.77
2012-10-04,152.00,154.25,150.40,151.40,983200,150.32
2012-10-03,153.65,154.40,150.15,151.15,590900,150.07
2012-10-02,153.60,153.60,153.60,153.60,000,152.50
2012-10-01,152.50,154.90,151.50,153.60,946000,152.50
2012-09-28,148.00,156.90,148.00,153.30,2488400,152.21
2012-09-27,148.95,149.45,145.60,147.55,1291800,146.50
2012-09-26,144.30,148.70,143.55,148.20,654800,147.14
2012-09-25,143.20,146.20,140.35,145.05,1024000,144.01
2012-09-24,149.95,149.95,142.10,142.70,1739300,141.68
2012-09-21,147.10,150.50,147.10,148.85,1839300,147.79
2012-09-20,143.55,148.90,142.00,146.20,1129000,145.16
2012-09-19,145.20,145.20,145.20,145.20,000,144.16
2012-09-18,144.60,146.25,142.65,145.20,948600,144.16
2012-09-17,145.60,145.60,141.85,144.15,736600,143.12
2012-09-14,144.50,147.65,143.60,144.60,1033300,143.57
2012-09-13,142.30,145.00,142.05,143.90,1087000,142.87
2012-09-12,142.50,143.40,139.70,141.40,603800,140.39
2012-09-11,143.00,144.00,141.00,142.25,434900,141.23
2012-09-10,144.50,144.50,141.75,143.10,251000,142.08
2012-09-07,145.95,145.95,141.20,142.15,1168300,141.14
2012-09-06,144.20,144.90,141.00,142.50,636300,141.48
2012-09-05,143.40,146.30,142.25,142.90,2032900,141.88
2012-09-04,138.75,144.45,138.50,143.10,2541300,142.08
2012-09-03,133.70,138.45,131.65,138.05,1079700,137.06
2012-08-31,131.50,135.10,128.10,133.90,887000,132.94
2012-08-30,132.05,133.40,130.10,131.40,1763600,130.46
2012-08-29,135.95,136.30,130.60,133.90,1122300,132.94
2012-08-28,135.25,136.50,134.05,135.55,1544800,134.58
2012-08-27,134.05,136.00,133.00,135.30,1099900,134.33
2012-08-24,129.05,134.80,129.05,134.05,1463400,133.09
2012-08-23,128.05,130.25,126.00,129.20,2619300,128.28
2012-08-22,128.35,128.85,127.00,127.15,1400200,126.24
2012-08-21,129.20,130.00,127.10,128.35,2147800,127.43
2012-08-20,129.40,129.40,129.40,129.40,000,128.48
2012-08-17,132.85,133.90,128.50,129.40,1685400,128.48
2012-08-16,134.10,134.90,131.60,132.80,1218800,131.85
2012-08-15,133.05,133.05,133.05,133.05,000,132.10
2012-08-14,131.50,133.90,131.10,133.05,2959400,132.10
2012-08-13,130.10,131.20,129.20,131.00,1999200,130.06
2012-08-10,130.10,130.85,128.10,130.10,656700,129.17
2012-08-09,131.00,132.00,128.00,129.75,717100,128.82
