Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,97.55,97.55,97.55,97.55,000,97.55
2012-12-24,95.40,104.40,93.05,97.55,6518800,97.55
2012-12-21,88.90,88.90,87.55,88.30,57200,88.30
2012-12-20,88.20,88.85,87.00,88.30,72100,88.30
2012-12-19,89.10,89.80,88.05,88.20,57400,88.20
2012-12-18,89.70,90.05,88.50,89.40,91900,89.40
2012-12-17,86.10,89.50,86.10,89.20,119500,89.20
2012-12-14,87.60,87.65,86.00,86.25,31700,86.25
2012-12-13,87.75,88.40,86.05,86.30,43900,86.30
2012-12-12,87.60,87.90,86.60,86.90,23900,86.90
2012-12-11,86.80,88.85,85.50,87.55,73200,87.55
2012-12-10,87.95,87.95,87.00,87.20,22900,87.20
2012-12-07,89.75,89.75,86.35,87.10,98500,87.10
2012-12-06,86.20,89.30,86.20,88.30,95500,88.30
2012-12-05,87.10,88.00,86.85,87.10,43900,87.10
2012-12-04,87.10,89.05,86.10,86.80,66100,86.80
2012-12-03,89.75,89.75,84.95,87.80,38800,87.80
2012-11-30,86.10,90.00,86.10,87.95,58800,87.95
2012-11-29,87.00,90.10,87.00,89.10,102300,89.10
2012-11-28,88.00,88.00,88.00,88.00,000,88.00
2012-11-27,89.85,90.40,87.55,88.00,105400,88.00
2012-11-26,84.50,91.45,83.05,88.40,291300,88.40
2012-11-23,86.25,86.80,83.25,84.35,90100,84.35
2012-11-22,87.70,87.70,85.65,86.05,33400,86.05
2012-11-21,87.00,88.35,85.40,85.85,67300,85.85
2012-11-20,88.10,88.95,86.65,86.90,36900,86.90
2012-11-19,89.00,89.90,87.75,88.05,41800,88.05
2012-11-16,89.50,90.50,88.50,88.80,70200,88.80
2012-11-15,91.80,91.80,89.10,89.85,114400,89.85
2012-11-14,90.20,90.20,90.20,90.20,000,90.20
2012-11-13,90.20,90.20,90.20,90.20,000,90.20
2012-11-12,89.20,91.85,89.00,90.20,173300,90.20
2012-11-09,88.00,90.10,88.00,88.85,235300,88.85
2012-11-08,86.65,87.70,86.25,86.75,52900,86.75
2012-11-07,87.60,90.50,86.65,87.45,135600,87.45
2012-11-06,88.00,90.50,88.00,89.55,181300,89.55
2012-11-05,86.55,89.50,86.55,87.95,371800,87.95
2012-11-02,85.90,88.20,85.70,88.05,77300,88.05
2012-11-01,85.30,86.40,85.00,85.45,38500,85.45
2012-10-31,83.25,86.45,83.25,85.85,50800,85.85
2012-10-30,86.05,86.50,84.25,84.45,35100,84.45
2012-10-29,86.00,87.00,85.40,86.15,24800,86.15
2012-10-26,85.85,85.85,85.85,85.85,000,85.85
2012-10-25,86.55,87.35,85.00,85.85,41100,85.85
2012-10-24,86.55,86.55,86.55,86.55,000,86.55
2012-10-23,87.90,88.00,86.00,86.55,80100,86.55
2012-10-22,86.70,88.00,86.35,87.90,52100,87.90
2012-10-19,88.00,88.00,86.50,86.70,59700,86.70
2012-10-18,86.00,89.00,86.00,87.65,358700,87.65
2012-10-17,87.00,87.30,85.30,85.80,38200,85.80
2012-10-16,88.00,88.10,86.40,86.55,76700,86.55
2012-10-15,84.40,88.00,84.40,87.90,206200,87.90
2012-10-12,85.45,85.75,84.00,84.40,94900,84.40
2012-10-11,84.75,86.20,84.15,84.85,87600,84.85
2012-10-10,84.80,86.85,84.40,84.65,88200,84.65
2012-10-09,86.55,86.80,84.75,85.70,65400,85.70
2012-10-08,85.50,86.90,85.00,85.60,59600,85.60
2012-10-05,86.25,87.95,85.20,85.60,97100,85.60
2012-10-04,88.00,88.50,86.60,87.10,72600,87.10
2012-10-03,89.45,89.50,87.50,87.70,99300,87.70
2012-10-02,88.15,88.15,88.15,88.15,000,88.15
2012-10-01,89.20,90.00,87.70,88.15,71900,88.15
2012-09-28,89.50,90.30,88.15,89.50,87100,89.50
2012-09-27,89.70,91.45,88.75,89.25,67900,89.25
2012-09-26,89.85,91.85,89.10,89.70,106400,89.70
2012-09-25,88.20,89.65,88.00,89.40,61600,89.40
2012-09-24,88.90,89.50,88.00,88.85,63400,88.85
2012-09-21,87.55,90.00,87.05,88.60,132300,88.60
2012-09-20,87.50,89.60,87.20,88.05,133800,88.05
2012-09-19,88.20,88.20,88.20,88.20,000,88.20
2012-09-18,88.75,90.50,87.30,88.20,208100,88.20
2012-09-17,90.00,92.00,87.50,88.25,359500,88.25
2012-09-14,93.25,93.50,89.25,91.40,285600,91.40
2012-09-13,94.00,95.00,91.05,92.10,374900,92.10
2012-09-12,93.00,95.60,92.00,93.45,1037900,93.45
2012-09-11,89.95,92.95,88.20,92.00,558800,92.00
2012-09-10,87.00,91.30,87.00,89.25,217200,89.25
2012-09-07,84.95,89.50,84.20,87.35,311000,87.35
2012-09-06,84.50,85.20,84.05,84.95,71300,84.95
2012-09-05,84.50,85.50,84.00,84.40,142500,84.40
2012-09-04,84.65,85.20,84.25,84.95,76300,84.95
2012-09-03,84.00,85.60,84.00,84.70,97600,84.70
2012-08-31,84.60,85.95,83.15,83.70,120300,83.70
2012-08-30,85.00,86.70,84.25,84.90,92200,84.90
2012-08-29,87.45,87.75,84.55,85.55,237000,85.55
2012-08-28,87.00,87.60,84.00,86.25,217000,86.25
2012-08-27,85.00,87.00,85.00,86.20,83600,86.20
2012-08-24,86.00,87.55,85.30,85.55,69700,85.55
2012-08-23,88.00,88.85,86.35,87.15,153400,87.15
2012-08-22,90.00,95.45,86.35,87.90,695000,87.90
2012-08-21,89.40,89.40,85.00,85.45,116900,85.45
2012-08-20,87.15,87.15,87.15,87.15,000,87.15
2012-08-17,86.95,89.55,85.60,87.15,1491400,87.15
2012-08-16,85.50,86.35,84.20,84.65,190500,84.65
2012-08-15,84.90,84.90,84.90,84.90,000,84.90
2012-08-14,85.50,85.50,84.15,84.90,19600,84.90
2012-08-13,85.00,85.85,84.20,84.90,56700,84.90
2012-08-10,85.15,85.45,83.00,84.80,52700,84.80
2012-08-09,85.10,85.50,84.00,84.70,18300,84.70
2012-08-08,85.60,86.00,84.75,85.00,111600,85.00
2012-08-07,85.10,87.80,84.00,85.35,386300,85.35
2012-08-06,83.00,84.80,81.80,83.70,289300,83.70
2012-08-03,82.00,82.70,81.60,81.95,87000,79.95
2012-08-02,83.70,84.50,81.50,81.80,82000,79.80
2012-08-01,82.00,83.50,81.60,82.70,45400,80.68
2012-07-31,81.90,82.50,80.90,82.35,59600,80.34
2012-07-30,83.85,85.90,80.30,81.45,370800,79.46
2012-07-27,82.00,82.20,80.95,81.60,86500,79.61
2012-07-26,81.95,82.50,81.60,81.80,78400,79.80
2012-07-25,82.00,83.55,81.60,82.15,69700,80.15
2012-07-24,81.00,84.00,81.00,81.95,235800,79.95
2012-07-23,80.00,81.90,79.25,81.50,67900,79.51
2012-07-20,80.20,81.75,79.00,80.70,57200,78.73
2012-07-19,79.35,80.40,78.30,79.00,294200,77.07
2012-07-18,77.00,79.20,76.55,78.45,37100,76.54
2012-07-17,77.50,77.60,76.65,77.00,57000,75.12
2012-07-16,78.00,79.00,77.10,77.65,81000,75.75
2012-07-13,79.00,79.00,77.50,77.85,27100,75.95
2012-07-12,78.05,78.90,78.00,78.25,18400,76.34
2012-07-11,78.00,79.50,78.00,78.70,27500,76.78
2012-07-10,79.00,80.80,79.00,79.15,32900,77.22
2012-07-09,80.00,80.25,79.00,79.20,46500,77.27
2012-07-06,79.05,81.00,78.75,79.60,296000,77.66
2012-07-05,78.45,80.00,78.15,79.70,175800,77.75
2012-07-04,78.35,78.75,77.70,78.45,22600,76.54
2012-07-03,79.35,80.40,77.10,77.90,82600,76.00
2012-07-02,78.05,79.40,78.00,78.40,28700,76.49
2012-06-29,78.05,78.50,77.60,77.80,18700,75.90
2012-06-28,77.90,78.50,77.50,78.00,17500,76.10
2012-06-27,77.15,78.00,77.15,77.55,20300,75.66
2012-06-26,77.20,78.00,77.20,77.55,18500,75.66
2012-06-25,78.50,78.50,77.55,77.75,17600,75.85
2012-06-22,78.00,78.00,77.00,77.35,23900,75.46
2012-06-21,78.65,78.90,77.50,77.85,17200,75.95
2012-06-20,78.00,78.65,77.60,77.80,44000,75.90
2012-06-19,77.70,78.50,77.55,78.45,39600,76.54
2012-06-18,77.00,80.00,75.50,78.35,91500,76.44
2012-06-15,77.05,77.95,77.00,77.05,23900,75.17
2012-06-14,77.50,78.50,77.10,77.65,12900,75.75
2012-06-13,77.50,78.50,77.45,77.80,24600,75.90
2012-06-12,78.00,78.50,77.10,77.45,18600,75.56
2012-06-11,79.40,79.70,77.65,77.95,31200,76.05
2012-06-08,78.05,79.05,77.50,78.00,81200,76.10
2012-06-07,78.60,79.65,78.10,78.25,140700,76.34
2012-06-06,78.10,79.50,78.10,78.80,23200,76.88
2012-06-05,79.25,79.50,77.60,78.50,31800,76.58
2012-06-04,78.50,80.70,77.00,78.80,78800,76.88
2012-06-01,77.10,81.40,75.50,78.70,52400,76.78
2012-05-31,80.85,80.85,77.70,78.20,47000,76.29
2012-05-30,82.70,82.70,80.10,80.85,56400,78.88
2012-05-29,86.00,86.00,81.60,82.05,127600,80.05
2012-05-28,85.35,92.50,84.50,85.10,1097500,83.02
2012-05-25,81.50,83.40,81.50,82.15,67700,80.15
2012-05-24,80.15,81.00,79.10,80.35,13100,78.39
2012-05-23,79.00,80.50,78.20,79.60,9900,77.66
2012-05-22,80.95,81.20,79.15,79.60,28800,77.66
2012-05-21,77.35,82.60,76.00,79.75,129200,77.80
2012-05-18,78.00,78.00,75.00,76.85,46500,74.97
2012-05-17,77.00,79.00,76.30,78.25,14400,76.34
2012-05-16,77.15,77.90,76.05,77.20,12500,75.32
2012-05-15,81.95,82.10,77.05,77.80,141200,75.90
