Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,509.80,509.80,493.00,500.30,711800,500.30
2013-01-22,504.90,509.40,500.20,503.90,609800,503.90
2013-01-21,507.35,509.15,493.00,499.95,889700,499.95
2013-01-18,507.85,511.75,499.60,503.00,1054000,503.00
2013-01-17,520.10,522.20,506.35,511.80,653800,511.80
2013-01-16,526.00,529.85,514.50,516.05,263400,516.05
2013-01-15,517.10,528.55,517.10,524.85,374800,524.85
2013-01-14,507.00,523.00,504.00,519.90,324300,519.90
2013-01-11,518.60,520.80,505.00,507.15,733400,507.15
2013-01-10,533.00,533.00,510.10,515.25,469200,515.25
2013-01-09,526.90,533.25,520.15,524.20,765200,524.20
2013-01-08,529.00,529.00,516.00,520.20,342400,520.20
2013-01-07,530.00,532.75,521.10,522.45,398100,522.45
2013-01-04,535.30,536.00,526.05,526.85,736800,526.85
2013-01-03,550.05,550.05,535.70,537.55,260400,537.55
2013-01-02,545.00,550.95,542.00,543.25,607900,543.25
2013-01-01,538.45,544.00,538.10,539.60,343400,539.60
2012-12-31,539.50,542.75,534.05,538.20,259200,538.20
2012-12-28,536.05,544.00,536.05,539.55,597800,539.55
2012-12-27,526.00,538.00,525.00,534.85,705300,534.85
2012-12-26,525.00,528.90,514.50,524.20,461300,524.20
2012-12-25,520.65,520.65,520.65,520.65,000,520.65
2012-12-24,520.00,525.30,518.00,520.65,184200,520.65
2012-12-21,518.65,527.40,512.40,518.65,555300,518.65
2012-12-20,528.45,530.00,516.00,523.30,420500,523.30
2012-12-19,504.90,529.50,502.20,527.80,1331400,527.80
2012-12-18,491.95,500.00,476.00,497.45,396800,497.45
2012-12-17,482.35,491.95,478.10,489.55,367200,489.55
2012-12-14,490.00,490.00,478.25,482.00,636300,482.00
2012-12-13,500.00,507.45,482.05,485.90,482800,485.90
2012-12-12,511.05,511.05,495.15,498.00,585000,498.00
2012-12-11,510.00,514.25,489.10,500.85,860600,500.85
2012-12-10,488.00,511.80,483.00,505.70,1707900,505.70
2012-12-07,480.15,495.00,480.05,482.30,816500,482.30
2012-12-06,486.05,488.80,473.25,478.40,528700,478.40
2012-12-05,484.00,488.90,480.00,481.40,180100,481.40
2012-12-04,479.40,489.00,479.15,483.20,216200,483.20
2012-12-03,479.00,492.60,479.00,483.30,456400,483.30
2012-11-30,477.05,485.50,466.55,481.80,397400,481.80
2012-11-29,463.15,475.00,461.00,472.60,575300,472.60
2012-11-28,462.80,462.80,462.80,462.80,000,462.80
2012-11-27,467.00,498.95,456.25,462.80,857100,462.80
2012-11-26,461.70,471.95,460.00,469.75,210500,469.75
2012-11-23,450.00,464.75,450.00,461.75,65700,461.75
2012-11-22,467.65,469.90,459.45,463.00,54000,463.00
2012-11-21,458.95,465.90,456.00,463.70,137300,463.70
2012-11-20,458.75,463.75,452.25,458.90,72300,458.90
2012-11-19,459.95,461.70,454.00,456.00,138100,456.00
2012-11-16,451.00,466.80,448.00,459.40,88600,459.40
2012-11-15,470.00,470.00,461.25,462.10,158100,462.10
2012-11-14,465.50,465.50,465.50,465.50,000,465.50
2012-11-13,465.50,465.50,465.50,465.50,000,465.50
2012-11-12,474.85,475.30,462.90,465.50,105900,465.50
2012-11-09,471.75,481.00,470.50,472.15,415800,472.15
2012-11-08,476.00,478.95,474.95,477.30,64900,477.30
2012-11-07,479.95,485.00,478.80,481.10,65000,481.10
2012-11-06,480.25,483.50,476.50,477.90,73000,477.90
2012-11-05,479.40,481.55,475.20,479.85,63600,479.85
2012-11-02,487.00,488.70,470.15,475.00,266900,475.00
2012-11-01,484.25,487.50,482.00,483.95,97200,483.95
2012-10-31,479.35,488.85,472.00,484.60,105600,484.60
2012-10-30,485.05,490.75,476.25,480.45,150300,480.45
