Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1099.45,1099.45,1099.45,1099.45,000,1099.45
2012-12-24,1090.00,1105.00,1082.00,1099.45,120700,1099.45
2012-12-21,1120.00,1129.00,1081.00,1087.75,355900,1087.75
2012-12-20,1084.00,1118.80,1073.00,1111.80,317200,1111.80
2012-12-19,1065.25,1094.00,1064.80,1082.80,173300,1082.80
2012-12-18,1044.20,1082.20,1044.20,1064.05,157600,1064.05
2012-12-17,1073.50,1083.20,1051.80,1069.55,162900,1069.55
2012-12-14,1048.00,1079.70,1027.00,1070.00,248600,1070.00
2012-12-13,1105.80,1108.95,1035.20,1048.35,193700,1048.35
2012-12-12,1118.55,1119.80,1095.75,1100.30,146800,1100.30
2012-12-11,1140.00,1143.70,1105.00,1113.50,135300,1113.50
2012-12-10,1161.40,1175.55,1122.00,1133.70,93700,1133.70
2012-12-07,1151.25,1157.35,1125.00,1133.05,134300,1133.05
2012-12-06,1136.20,1159.00,1112.40,1145.05,168200,1145.05
2012-12-05,1137.95,1152.00,1130.00,1135.55,143400,1135.55
2012-12-04,1142.00,1162.00,1125.10,1141.10,232200,1141.10
2012-12-03,1138.05,1148.05,1125.00,1139.60,177400,1139.60
2012-11-30,1126.60,1145.00,1105.90,1136.95,192800,1136.95
2012-11-29,1140.00,1164.00,1112.00,1120.55,216900,1120.55
2012-11-28,1138.65,1138.65,1138.65,1138.65,000,1138.65
2012-11-27,1095.90,1145.00,1090.05,1138.65,387700,1138.65
2012-11-26,1118.25,1121.75,1090.10,1095.90,133600,1095.90
2012-11-23,1126.60,1146.70,1100.05,1112.80,213100,1112.80
2012-11-22,1154.90,1158.70,1121.00,1126.55,216600,1126.55
2012-11-21,1156.90,1164.25,1136.00,1148.45,192400,1148.45
2012-11-20,1121.30,1169.90,1120.40,1147.10,380800,1147.10
2012-11-19,1142.00,1147.00,1102.20,1114.10,145900,1114.10
2012-11-16,1175.00,1186.70,1128.35,1136.15,182700,1136.15
2012-11-15,1192.35,1217.55,1145.55,1173.40,375800,1173.40
2012-11-14,1167.90,1167.90,1167.90,1167.90,000,1167.90
2012-11-13,1167.90,1167.90,1167.90,1167.90,000,1167.90
2012-11-12,1101.65,1179.00,1095.25,1167.90,594000,1167.90
2012-11-09,1099.80,1104.90,1079.80,1096.15,280100,1096.15
2012-11-08,1059.95,1083.35,1055.10,1080.90,246000,1080.90
2012-11-07,1041.50,1071.00,1035.15,1066.60,236800,1064.60
2012-11-06,1044.00,1047.85,1033.30,1041.20,101300,1039.25
2012-11-05,1033.70,1053.65,1031.30,1045.70,253100,1043.74
2012-11-02,1006.90,1034.90,1006.90,1030.80,309500,1028.87
