Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,57.55,57.55,57.55,57.55,000,57.55
2012-12-24,56.85,59.80,56.85,57.55,151000,57.55
2012-12-21,59.50,59.50,56.90,57.10,142800,57.10
2012-12-20,59.30,59.75,58.80,58.90,98700,58.90
2012-12-19,60.00,60.35,59.05,59.30,105500,59.30
2012-12-18,59.65,60.20,59.20,59.45,137400,59.45
2012-12-17,60.30,60.90,59.20,59.55,168000,59.55
2012-12-14,60.00,61.05,58.80,59.60,224000,59.60
2012-12-13,60.00,61.00,58.60,59.35,167000,59.35
2012-12-12,62.00,62.60,59.00,59.45,273200,59.45
2012-12-11,61.70,64.20,61.10,61.45,530400,61.45
2012-12-10,61.15,62.25,60.00,61.70,234900,61.70
2012-12-07,60.00,61.80,59.65,60.20,225300,60.20
2012-12-06,61.35,61.95,57.75,60.80,400400,60.80
2012-12-05,59.10,62.35,59.10,60.75,1238100,60.75
2012-12-04,55.40,59.55,55.00,58.85,1214100,58.85
2012-12-03,52.90,55.40,52.40,54.90,518500,54.90
2012-11-30,52.80,54.40,52.00,52.40,469900,52.40
2012-11-29,52.00,53.65,51.50,52.75,492100,52.75
2012-11-28,51.45,51.45,51.45,51.45,000,51.45
2012-11-27,50.00,51.95,49.65,51.45,908900,51.45
2012-11-26,49.50,49.80,47.90,49.60,437100,49.60
2012-11-23,48.10,49.75,47.10,49.25,277600,49.25
2012-11-22,48.50,49.05,47.70,47.85,236100,47.85
2012-11-21,49.25,50.40,47.65,48.35,304900,48.35
2012-11-20,51.15,51.80,48.60,49.05,832100,49.05
2012-11-19,49.75,52.30,48.70,49.90,740000,49.90
2012-11-16,51.85,52.20,49.25,49.75,251900,49.75
2012-11-15,52.80,52.90,51.10,51.25,171300,51.25
2012-11-14,51.75,51.75,51.75,51.75,000,51.75
2012-11-13,51.75,51.75,51.75,51.75,000,51.75
2012-11-12,53.65,54.45,51.15,51.75,756500,51.75
2012-11-09,50.00,53.45,50.00,52.75,1613300,52.75
2012-11-08,43.05,51.55,43.05,50.45,1912200,50.45
2012-11-07,43.15,44.60,43.15,43.55,106600,43.55
2012-11-06,41.50,43.80,41.50,43.05,87100,43.05
2012-11-05,43.75,44.35,42.60,42.75,92300,42.75
2012-11-02,43.00,44.65,43.00,44.00,74400,44.00
2012-11-01,42.60,43.95,42.60,43.45,64900,43.45
2012-10-31,42.90,43.45,42.60,42.85,75000,42.85
2012-10-30,43.40,44.45,42.70,43.10,90600,43.10
2012-10-29,44.55,45.35,43.65,43.90,67100,43.90
2012-10-26,45.15,45.15,45.15,45.15,000,45.15
2012-10-25,45.80,46.25,44.90,45.15,123400,45.15
2012-10-24,45.55,45.55,45.55,45.55,000,45.55
2012-10-23,46.00,47.30,45.30,45.55,278000,45.55
2012-10-22,48.25,48.90,45.50,46.30,1697700,46.30
2012-10-19,43.80,48.10,43.65,47.50,1141300,47.50
2012-10-18,45.30,45.30,43.60,43.95,231700,43.95
2012-10-17,44.95,46.25,44.50,44.90,560300,44.90
2012-10-16,44.10,46.10,43.20,43.55,196000,43.55
2012-10-15,43.70,45.50,43.70,44.00,107900,44.00
2012-10-12,44.00,45.25,43.45,43.85,147600,43.85
2012-10-11,45.50,46.80,43.80,44.20,195300,44.20
2012-10-10,47.00,47.80,45.60,45.95,131700,45.95
2012-10-09,48.00,48.10,46.70,47.10,231400,47.10
2012-10-08,45.35,46.70,45.10,46.30,134000,46.30
2012-10-05,47.00,47.00,44.25,45.35,125500,45.35
2012-10-04,46.10,47.25,46.10,46.65,297000,46.65
2012-10-03,43.70,51.50,43.15,45.85,767900,45.85
2012-10-02,42.95,42.95,42.95,42.95,000,42.95
2012-10-01,41.35,43.25,41.25,42.95,167900,42.95
2012-09-28,42.00,42.25,41.00,41.20,49000,41.20
2012-09-27,42.40,43.80,40.10,41.75,141500,41.75
2012-09-26,40.75,42.75,40.30,41.75,374500,41.75
2012-09-25,40.30,41.60,39.60,40.35,151000,40.35
2012-09-24,39.65,41.85,39.65,40.15,83300,40.15
2012-09-21,40.35,40.70,39.65,40.25,75500,40.25
2012-09-20,39.90,40.35,39.50,39.80,43000,39.80
2012-09-19,40.40,40.40,40.40,40.40,000,40.40
2012-09-18,42.00,42.00,40.20,40.40,51400,40.40
2012-09-17,42.30,42.40,40.40,40.70,101100,40.70
2012-09-14,44.50,45.90,40.95,41.40,963100,41.40
2012-09-13,38.85,42.80,38.85,42.20,312700,42.20
2012-09-12,39.05,39.90,38.60,38.90,52200,38.90
2012-09-11,40.00,40.50,38.65,38.95,88300,38.95
2012-09-10,38.60,39.90,38.50,39.55,69200,39.55
2012-09-07,36.50,37.80,36.50,37.55,22400,37.55
2012-09-06,36.50,36.80,36.05,36.50,23600,36.50
2012-09-05,35.75,36.40,35.75,36.25,30700,36.25
2012-09-04,36.10,36.60,35.35,36.00,31200,36.00
2012-09-03,30.00,37.00,30.00,36.15,31900,36.15
2012-08-31,36.30,37.25,36.05,36.20,18300,36.20
2012-08-30,37.00,37.35,36.50,36.70,12500,36.70
2012-08-29,37.00,37.25,36.85,37.00,24800,37.00
2012-08-28,36.80,37.30,36.25,37.10,46400,37.10
2012-08-27,38.20,38.65,36.50,36.90,41100,36.90
2012-08-24,38.85,39.25,38.25,38.40,29400,38.40
2012-08-23,38.35,39.95,38.35,39.00,82400,39.00
2012-08-22,38.30,39.20,37.65,38.85,68500,38.85
2012-08-21,38.30,39.35,38.30,38.70,36400,38.70
2012-08-20,38.60,38.60,38.60,38.60,000,38.60
2012-08-17,39.10,39.55,38.55,38.60,38300,38.60
2012-08-16,41.00,41.00,38.90,39.25,149200,39.25
2012-08-15,40.70,40.70,40.70,40.70,000,40.70
2012-08-14,39.50,41.45,39.00,40.70,268300,40.70
2012-08-13,39.00,39.85,38.30,39.40,46700,39.40
2012-08-10,39.25,39.75,38.90,39.05,25100,39.05
2012-08-09,40.20,40.90,39.15,39.60,37700,39.60
2012-08-08,39.95,40.80,39.90,40.35,47500,40.35
2012-08-07,39.20,40.20,39.20,39.95,27100,39.95
2012-08-06,39.90,40.25,39.60,39.70,42300,39.70
2012-08-03,40.45,40.45,39.10,39.60,45900,39.60
2012-08-02,40.75,41.50,39.90,40.45,46500,40.45
2012-08-01,39.50,42.50,39.50,41.45,162200,41.45
2012-07-31,40.90,41.20,39.70,39.90,45300,39.90
2012-07-30,39.00,40.60,39.00,40.05,49300,40.05
2012-07-27,39.55,40.50,39.50,39.60,56200,39.60
2012-07-26,39.90,40.80,38.65,39.55,95600,39.55
2012-07-25,40.50,41.00,39.90,40.20,104900,39.40
2012-07-24,41.00,41.00,40.25,40.45,45000,39.65
2012-07-23,40.10,41.35,40.00,40.40,40300,39.60
2012-07-20,42.10,42.30,40.75,41.00,87000,40.18
2012-07-19,42.00,42.80,42.00,42.10,37300,41.26
2012-07-18,41.50,42.20,41.00,42.00,49300,41.16
2012-07-17,42.40,44.45,41.65,41.95,140900,41.12
2012-07-16,42.00,42.70,41.60,41.70,50800,40.87
2012-07-13,42.50,43.00,42.00,42.05,61700,41.21
2012-07-12,43.10,43.90,42.30,42.65,171300,41.80
2012-07-11,42.00,43.00,42.00,42.75,69200,41.90
2012-07-10,42.00,43.00,42.00,42.40,96200,41.56
2012-07-09,42.00,43.00,41.50,42.25,72300,41.41
2012-07-06,43.50,44.80,42.30,42.65,214400,41.80
2012-07-05,43.10,43.90,42.90,43.10,101000,42.24
2012-07-04,43.00,44.50,42.20,43.10,241700,42.24
2012-07-03,43.40,43.40,41.90,42.45,91100,41.61
2012-07-02,42.25,43.00,41.05,42.55,84400,41.70
2012-06-29,40.75,42.30,40.75,41.55,84700,40.72
2012-06-28,41.95,41.95,33.50,40.55,77900,39.74
2012-06-27,41.60,42.60,41.10,41.60,50600,40.77
2012-06-26,41.00,42.25,41.00,41.60,73900,40.77
2012-06-25,42.35,43.40,41.10,41.45,150000,40.63
2012-06-22,39.30,43.40,39.25,41.50,300700,40.67
2012-06-21,40.50,41.15,40.05,40.25,69000,39.45
2012-06-20,42.00,42.30,40.75,40.90,100000,40.09
2012-06-19,43.20,43.20,41.00,41.50,185500,40.67
2012-06-18,43.20,43.75,42.05,42.55,1220900,41.70
2012-06-15,37.90,41.00,37.70,40.65,220400,39.84
2012-06-14,38.90,39.20,38.00,38.20,93600,37.44
2012-06-13,37.70,38.60,37.40,38.20,35600,37.44
2012-06-12,37.05,38.00,37.00,37.65,15600,36.90
2012-06-11,37.55,38.25,36.95,37.55,47500,36.80
2012-06-08,38.00,38.00,36.75,37.80,41300,37.05
2012-06-07,37.70,38.15,37.50,38.00,44200,37.24
2012-06-06,36.60,37.55,36.60,37.35,32200,36.61
2012-06-05,37.10,37.75,36.90,37.00,26900,36.26
2012-06-04,36.90,37.15,36.50,36.95,32200,36.21
2012-06-01,37.25,37.50,36.90,37.05,110600,36.31
2012-05-31,36.00,36.90,35.60,36.55,39600,35.82
2012-05-30,36.70,37.30,36.00,36.30,27600,35.58
2012-05-29,37.50,38.30,36.50,36.95,60000,36.21
2012-05-28,36.00,37.85,36.00,37.60,41100,36.85
2012-05-25,36.80,36.80,36.30,36.40,14100,35.68
2012-05-24,36.00,37.25,36.00,36.75,21100,36.02
2012-05-23,37.00,37.85,35.90,36.40,42500,35.68
2012-05-22,39.10,39.10,36.90,37.05,68200,36.31
2012-05-21,35.00,38.50,35.00,37.45,172600,36.70
2012-05-18,35.20,35.80,34.55,35.30,85000,34.60
2012-05-17,35.80,36.10,35.25,35.35,28600,34.65
2012-05-16,35.40,35.90,34.65,35.25,58200,34.55
2012-05-15,35.75,36.50,35.20,35.45,76600,34.74
2012-05-14,38.00,38.25,35.80,36.20,88700,35.48
2012-05-11,38.95,38.95,36.50,37.50,105700,36.75
2012-05-10,37.65,39.85,37.55,38.55,346800,37.78
2012-05-09,37.50,38.30,36.80,37.65,238500,36.90
2012-05-08,36.90,38.15,36.80,37.05,444500,36.31
2012-05-07,35.90,36.80,33.95,36.00,194400,35.28
2012-05-04,35.60,39.30,35.40,35.75,1317300,35.04
2012-05-03,33.80,34.40,32.90,33.65,69500,32.98
2012-05-02,35.20,35.20,33.55,33.65,65600,32.98
2012-05-01,34.50,34.50,34.50,34.50,000,33.81
2012-04-30,34.00,35.80,33.50,34.50,281700,33.81
