Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,62.85,62.85,62.85,62.85,000,62.85
2012-12-24,63.45,64.40,62.60,62.85,82900,62.85
2012-12-21,64.40,64.80,63.10,63.50,295800,63.50
2012-12-20,62.70,63.40,62.00,62.25,45700,62.25
2012-12-19,63.15,63.70,62.60,62.85,71100,62.85
2012-12-18,62.90,63.75,62.60,63.05,37100,63.05
2012-12-17,62.95,63.90,62.65,63.10,44800,63.10
2012-12-14,64.80,65.75,62.50,63.00,565300,63.00
2012-12-13,62.95,64.60,62.10,63.85,239600,63.85
2012-12-12,63.00,63.50,62.00,62.10,34800,62.10
2012-12-11,63.95,64.00,62.10,62.55,115200,62.55
2012-12-10,64.00,64.00,63.20,63.70,74700,63.70
2012-12-07,64.90,65.40,63.20,63.50,82600,63.50
2012-12-06,65.00,65.00,63.15,63.45,101700,63.45
2012-12-05,64.30,68.50,63.75,64.45,635900,64.45
2012-12-04,63.05,65.70,62.85,64.15,132500,64.15
2012-12-03,61.00,63.25,61.00,62.85,74700,62.85
2012-11-30,61.95,62.45,61.15,61.60,29600,61.60
2012-11-29,61.60,62.40,61.10,61.55,72200,61.55
2012-11-28,60.60,60.60,60.60,60.60,000,60.60
2012-11-27,61.45,62.00,60.25,60.60,42800,60.60
2012-11-26,62.00,62.50,59.30,60.60,87200,60.60
2012-11-23,59.80,62.05,59.20,61.45,74300,61.45
2012-11-22,59.90,59.95,59.00,59.40,20100,59.40
2012-11-21,60.40,60.40,59.10,59.45,22900,59.45
2012-11-20,61.80,62.05,59.10,59.50,58000,59.50
2012-11-19,62.90,63.50,60.45,61.10,34100,61.10
2012-11-16,63.50,64.00,62.05,62.10,24800,62.10
2012-11-15,64.05,65.00,62.60,63.00,51300,63.00
2012-11-14,64.30,64.30,64.30,64.30,000,64.30
2012-11-13,64.30,64.30,64.30,64.30,000,64.30
2012-11-12,64.80,65.25,63.80,64.30,30300,64.30
2012-11-09,66.00,66.75,64.15,64.50,91500,64.50
2012-11-08,66.40,67.35,64.60,66.35,349200,66.35
2012-11-07,65.25,66.00,64.60,65.55,66900,65.55
2012-11-06,64.00,66.00,63.70,65.15,54500,65.15
2012-11-05,64.55,64.60,64.05,64.30,16800,64.30
2012-11-02,64.55,65.35,64.05,64.20,28500,64.20
2012-11-01,64.50,64.75,64.00,64.25,34100,64.25
2012-10-31,64.60,65.80,63.70,64.80,52000,64.80
2012-10-30,66.20,67.50,64.10,64.80,58500,64.80
2012-10-29,65.50,68.30,65.10,65.95,217900,65.95
2012-10-26,65.40,65.40,65.40,65.40,000,65.40
2012-10-25,64.75,66.70,64.75,65.40,78300,65.40
2012-10-24,64.65,64.65,64.65,64.65,000,64.65
2012-10-23,65.20,65.20,64.00,64.65,17100,64.65
2012-10-22,63.00,65.75,62.80,64.60,26700,64.60
2012-10-19,64.80,65.55,63.60,64.95,61200,64.95
2012-10-18,63.50,64.55,63.50,64.15,26300,64.15
2012-10-17,63.95,64.25,62.70,63.10,30400,63.10
2012-10-16,64.95,65.00,63.00,63.20,44800,63.20
2012-10-15,64.55,65.30,63.60,63.75,32700,63.75
2012-10-12,64.50,66.40,64.15,64.55,57200,64.55
2012-10-11,63.20,65.25,63.20,64.95,39200,64.95
2012-10-10,66.15,66.20,64.30,64.50,53500,64.50
2012-10-09,65.90,68.00,65.60,65.85,47600,65.85
2012-10-08,68.10,68.70,65.15,65.70,118000,65.70
2012-10-05,70.25,71.65,66.55,67.50,356000,67.50
2012-10-04,65.20,70.05,65.00,68.90,799300,68.90
2012-10-03,64.70,66.10,64.10,64.95,139700,64.95
2012-10-02,64.70,64.70,64.70,64.70,000,64.70
2012-10-01,62.95,65.60,62.80,64.70,121700,64.70
2012-09-28,63.00,64.00,62.75,63.05,31700,63.05
2012-09-27,64.20,65.75,62.50,62.80,97400,62.80
2012-09-26,61.60,65.40,61.05,63.90,303700,63.90
2012-09-25,60.70,63.10,60.70,61.75,152900,61.75
2012-09-24,60.65,61.00,59.75,60.20,32900,60.20
2012-09-21,60.75,61.25,58.60,60.10,85700,60.10
2012-09-20,60.40,60.75,59.70,59.80,24000,59.80
2012-09-19,60.30,60.30,60.30,60.30,000,60.30
2012-09-18,60.75,61.90,60.10,60.30,46800,60.30
2012-09-17,61.85,61.85,60.10,60.70,39300,60.70
2012-09-14,62.85,63.50,60.15,60.70,162900,60.70
2012-09-13,61.05,61.95,60.70,61.10,22300,61.10
2012-09-12,61.40,61.95,60.70,61.30,24300,61.30
2012-09-11,61.65,63.00,60.55,61.00,29000,61.00
2012-09-10,59.80,64.10,59.25,62.25,186500,62.25
2012-09-07,59.70,60.50,57.50,59.25,24600,59.25
2012-09-06,61.25,62.00,58.95,59.65,68400,59.65
2012-09-05,57.50,60.25,57.50,59.45,65700,59.45
2012-09-04,58.35,58.40,57.10,57.65,22100,57.65
2012-09-03,58.10,58.60,57.25,57.40,30800,57.40
2012-08-31,57.95,58.95,57.50,57.85,14600,57.85
2012-08-30,59.00,59.00,57.50,58.15,20800,58.15
2012-08-29,59.75,59.75,57.55,58.90,28900,58.90
2012-08-28,60.75,62.50,59.05,59.45,118400,59.45
2012-08-27,63.00,63.40,60.70,60.95,30200,60.95
2012-08-24,62.00,64.75,61.10,63.40,213400,63.40
2012-08-23,56.65,63.50,56.25,62.65,317300,62.65
2012-08-22,56.00,56.40,55.55,56.00,27500,56.00
2012-08-21,56.55,58.50,55.60,55.80,56500,55.80
2012-08-20,57.85,57.85,57.85,57.85,000,57.85
2012-08-17,59.90,59.90,57.70,57.85,21700,57.85
2012-08-16,57.00,58.40,57.00,57.65,21900,57.65
2012-08-15,57.85,57.85,57.85,57.85,000,57.85
2012-08-14,58.50,58.50,56.35,57.85,17000,57.85
2012-08-13,59.50,59.50,56.55,57.50,57700,57.50
2012-08-10,60.90,60.90,58.80,59.20,34400,59.20
2012-08-09,61.00,61.55,59.30,59.95,109700,59.95
2012-08-08,57.10,58.85,57.10,58.45,17400,58.45
2012-08-07,57.00,58.75,57.00,58.35,14700,58.35
2012-08-06,57.00,59.40,57.00,58.00,22800,58.00
2012-08-03,57.30,59.90,57.30,58.80,16700,58.80
2012-08-02,58.10,59.35,58.10,59.00,7900,59.00
2012-08-01,56.90,59.80,56.90,59.60,16700,59.60
2012-07-31,57.00,58.20,57.00,57.85,10000,57.85
2012-07-30,54.10,57.70,54.10,57.45,11800,57.45
2012-07-27,56.50,58.70,55.15,56.05,36500,56.05
2012-07-26,57.30,60.40,57.10,57.25,20700,57.25
2012-07-25,58.00,59.90,58.00,58.75,34900,58.75
2012-07-24,59.10,60.70,59.10,59.80,20200,59.80
2012-07-23,60.75,61.90,60.00,60.35,21800,60.35
2012-07-20,62.90,63.20,61.60,62.85,22800,62.85
2012-07-19,61.55,63.50,61.55,62.80,29000,62.80
2012-07-18,60.00,62.45,60.00,62.15,31900,62.15
2012-07-17,60.50,62.50,60.10,60.45,38400,60.45
2012-07-16,63.25,63.80,60.40,61.20,40300,61.20
2012-07-13,65.00,65.50,63.10,63.25,46900,63.25
2012-07-12,64.10,66.80,64.10,64.80,82900,64.80
2012-07-11,67.05,69.95,67.05,68.80,89000,65.80
2012-07-10,66.15,69.00,66.15,68.65,67100,65.66
2012-07-09,68.05,70.25,67.15,67.60,119300,64.65
2012-07-06,71.80,73.00,68.50,70.60,1035700,67.52
2012-07-05,59.60,68.55,59.60,67.40,277400,64.46
2012-07-04,58.15,64.05,58.15,63.45,34200,60.68
2012-07-03,59.60,64.45,59.60,63.70,54700,60.92
2012-07-02,60.35,62.95,60.35,62.50,56100,59.77
2012-06-29,61.40,62.15,61.10,61.40,59000,58.72
2012-06-28,59.80,62.00,59.80,61.20,74600,58.53
2012-06-27,59.10,60.00,59.10,59.80,36400,57.19
2012-06-26,57.55,59.20,57.55,59.00,13000,56.43
2012-06-25,58.20,59.50,58.20,59.00,35600,56.43
2012-06-22,55.10,58.50,55.10,58.20,20400,55.66
2012-06-21,56.10,58.00,56.10,57.65,28500,55.14
2012-06-20,55.10,59.15,55.10,57.90,25900,55.38
2012-06-19,59.50,59.50,57.00,58.35,15300,55.81
2012-06-18,60.50,60.65,57.30,57.75,106600,55.23
2012-06-15,56.00,58.70,56.00,58.10,19000,55.57
2012-06-14,55.05,58.20,55.05,57.10,17500,54.61
2012-06-13,58.10,58.75,57.65,57.80,18100,55.28
2012-06-12,56.60,58.30,56.60,58.10,13600,55.57
2012-06-11,57.50,59.20,57.50,58.00,17900,55.47
2012-06-08,58.00,58.60,57.75,58.05,11400,55.52
2012-06-07,54.40,60.00,54.40,58.25,23700,55.71
2012-06-06,57.00,58.35,57.00,58.00,12300,55.47
2012-06-05,57.00,58.30,57.00,57.35,6000,54.85
2012-06-04,58.15,58.15,57.25,57.75,9200,55.23
2012-06-01,58.35,59.90,58.00,58.15,43100,55.61
2012-05-31,56.40,58.55,56.40,58.35,12700,55.81
2012-05-30,55.10,59.40,55.10,58.30,10300,55.76
2012-05-29,59.05,60.60,58.15,58.45,58700,55.90
2012-05-28,57.00,59.70,57.00,59.05,25400,56.48
2012-05-25,56.50,58.65,56.50,57.85,14600,55.33
2012-05-24,53.50,59.00,53.50,58.00,28500,55.47
2012-05-23,50.05,58.40,50.05,57.55,33100,55.04
2012-05-22,58.00,63.00,58.00,58.45,81400,55.90
2012-05-21,55.50,58.00,55.50,57.55,48400,55.04
2012-05-18,54.00,56.40,53.80,56.05,61900,53.61
2012-05-17,53.50,56.55,53.50,55.75,38500,53.32
2012-05-16,53.30,54.90,53.30,54.65,33400,52.27
2012-05-15,52.00,55.45,52.00,54.90,132400,52.51
2012-05-14,50.15,57.80,50.15,54.15,61400,51.79
2012-05-11,57.30,57.85,56.30,56.75,74200,54.28
2012-05-10,56.10,57.75,56.10,57.45,62400,54.94
2012-05-09,57.20,57.70,56.50,56.85,40900,54.37
2012-05-08,58.30,59.90,57.55,57.90,136900,55.38
2012-05-07,55.25,58.75,55.25,58.25,88800,55.71
2012-05-04,57.90,58.10,56.50,56.85,109500,54.37
2012-05-03,58.00,58.50,56.85,57.20,62900,54.71
2012-05-02,59.60,59.60,57.40,58.40,187800,55.85
2012-05-01,59.00,59.00,59.00,59.00,000,56.43
2012-04-30,56.25,62.60,55.30,58.85,1759700,56.28
2012-04-27,57.00,57.00,53.50,54.80,87100,52.41
2012-04-26,55.90,56.65,55.20,55.85,382400,53.41
2012-04-25,52.00,55.20,52.00,54.80,250800,52.41
2012-04-24,50.50,52.20,50.25,51.95,86400,49.68
2012-04-23,50.75,51.50,50.15,50.85,45700,48.63
2012-04-20,50.00,50.75,50.00,50.30,26600,48.11
2012-04-19,50.25,51.65,49.90,50.00,97100,47.82
2012-04-18,50.00,50.90,49.65,49.95,90100,47.77
2012-04-17,49.15,49.90,49.05,49.55,23800,47.39
2012-04-16,48.30,49.85,48.10,49.25,57400,47.10
2012-04-13,50.70,51.00,48.00,48.30,376800,46.19
2012-04-12,50.15,51.45,49.85,50.10,35700,47.92
2012-04-11,50.00,50.60,49.55,50.20,12100,48.01
2012-04-10,50.70,50.90,49.50,50.05,10700,47.87
2012-04-09,50.10,51.60,49.25,50.15,29700,47.96
2012-04-06,50.10,50.10,50.10,50.10,000,47.92
2012-04-05,50.10,50.10,50.10,50.10,000,47.92
2012-04-04,51.40,52.20,49.65,50.10,98400,47.92
2012-04-03,51.50,52.50,51.50,51.65,15000,49.40
2012-04-02,50.25,51.90,49.95,51.50,40800,49.25
2012-03-30,50.10,50.75,49.60,50.25,22300,48.06
2012-03-29,49.85,52.00,47.25,50.25,133200,48.06
2012-03-28,48.65,50.60,48.50,49.10,89300,46.96
2012-03-27,49.75,50.95,48.35,48.90,22700,46.77
2012-03-26,49.20,50.55,49.00,49.75,236400,47.58
2012-03-23,49.25,49.75,46.30,49.05,132800,46.91
2012-03-22,50.10,51.80,48.80,49.05,105400,46.91
2012-03-21,51.00,51.70,50.20,51.00,46200,48.78
2012-03-20,50.90,51.00,50.00,50.20,16800,48.01
2012-03-19,50.70,51.50,50.10,50.35,29700,48.15
2012-03-16,52.60,52.60,50.50,50.70,119800,48.49
2012-03-15,53.00,53.95,51.15,51.45,95700,49.21
2012-03-14,55.30,55.50,52.55,52.95,67700,50.64
2012-03-13,54.30,54.90,53.40,53.90,39400,51.55
2012-03-12,52.65,54.00,52.65,53.85,44000,51.50
2012-03-09,52.70,53.40,52.10,52.50,91800,50.21
2012-03-08,56.55,56.55,56.55,56.55,000,54.08
2012-03-07,52.70,53.80,52.10,52.40,47400,50.12
2012-03-06,54.50,54.50,52.60,52.80,67100,50.50
2012-03-05,55.25,56.00,53.60,54.00,28400,51.65
2012-03-02,56.00,57.00,54.90,55.10,69700,52.70
2012-03-01,56.30,57.50,56.15,56.55,14800,54.08
2012-02-29,56.25,58.15,56.25,56.90,57600,54.42
2012-02-28,54.75,57.00,54.75,56.80,76800,54.32
2012-02-27,57.10,58.30,54.55,54.75,83700,52.36
2012-02-24,58.80,58.85,56.70,57.55,24900,55.04
2012-02-23,57.50,58.45,56.25,58.00,26800,55.47
2012-02-22,59.50,61.80,56.35,57.25,80900,54.75
2012-02-21,58.65,59.70,58.65,59.35,40600,56.76
2012-02-20,59.05,59.05,59.05,59.05,000,56.48
2012-02-17,59.80,60.70,58.55,59.05,85100,56.48
2012-02-16,58.30,59.65,58.30,58.90,27300,56.33
2012-02-15,58.55,60.00,58.55,59.20,61300,56.62
2012-02-14,59.40,59.40,58.20,58.55,30400,56.00
2012-02-13,57.15,59.90,57.15,58.95,59800,56.38
2012-02-10,58.00,58.80,57.05,57.75,42100,55.23
2012-02-09,56.50,58.50,56.30,57.95,54700,55.42
2012-02-08,55.95,57.50,55.95,56.55,35800,54.08
2012-02-07,57.90,57.90,55.55,55.90,50900,53.46
2012-02-06,57.00,58.90,53.40,56.40,289200,53.94
2012-02-03,55.80,57.35,55.80,56.95,96900,54.47
