Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,199.65,199.65,199.65,199.65,000,199.65
2012-12-24,211.00,211.00,199.25,199.65,1300,199.65
2012-12-21,203.05,203.05,195.60,199.40,3100,199.40
2012-12-20,205.00,206.00,200.15,205.40,2900,205.40
2012-12-19,198.15,206.00,197.25,203.00,2000,203.00
2012-12-18,202.10,205.00,201.00,203.00,1100,203.00
2012-12-17,199.00,202.70,198.10,200.75,1900,200.75
2012-12-14,200.00,204.85,199.20,200.65,1700,200.65
2012-12-13,202.15,204.90,202.15,203.75,300,203.75
2012-12-12,202.00,205.55,201.70,204.10,900,204.10
2012-12-11,214.35,214.35,199.00,202.20,11800,202.20
2012-12-10,212.00,215.00,208.20,210.15,4500,210.15
2012-12-07,209.70,216.00,208.00,213.20,5600,213.20
2012-12-06,204.00,213.70,200.50,208.95,7100,208.95
2012-12-05,198.95,204.95,198.15,200.65,3400,200.65
2012-12-04,197.90,197.90,195.05,195.90,2900,195.90
2012-12-03,196.10,198.95,194.25,197.05,7300,197.05
2012-11-30,199.00,199.00,198.25,198.25,200,198.25
2012-11-29,200.90,205.00,198.00,198.65,3000,198.65
2012-11-28,197.05,197.05,197.05,197.05,000,197.05
2012-11-27,198.00,202.95,195.40,197.05,100,197.05
2012-11-26,195.00,199.70,191.60,196.10,900,196.10
2012-11-23,197.80,197.80,192.10,196.20,5700,196.20
2012-11-22,200.05,200.05,198.00,198.70,2300,198.70
2012-11-21,200.25,203.60,200.25,201.40,300,201.40
2012-11-20,199.40,201.00,198.15,200.00,2100,200.00
2012-11-19,200.00,200.25,199.35,199.35,1800,199.35
2012-11-16,198.20,203.00,198.15,200.15,5800,200.15
2012-11-15,203.00,203.90,195.05,200.85,8300,200.85
2012-11-14,204.65,204.65,204.65,204.65,000,204.65
2012-11-13,204.65,204.65,204.65,204.65,000,204.65
2012-11-12,205.90,206.00,201.05,204.65,100,204.65
2012-11-09,205.00,205.00,200.00,201.80,2500,201.80
2012-11-08,203.20,204.50,203.20,204.50,900,204.50
2012-11-07,214.00,214.00,202.65,204.30,3200,204.30
2012-11-06,202.50,204.85,201.60,204.00,2000,204.00
2012-11-05,205.00,205.00,201.65,203.55,700,203.55
2012-11-02,198.50,206.00,198.50,202.25,9800,202.25
2012-11-01,199.85,203.45,199.20,200.00,2300,200.00
2012-10-31,196.65,198.80,196.65,198.20,4100,198.20
2012-10-30,197.30,202.00,196.00,198.05,4600,198.05
2012-10-29,198.00,198.95,194.50,196.65,1000,196.65
2012-10-26,197.65,197.65,197.65,197.65,000,197.65
2012-10-25,199.80,202.80,196.90,197.65,2200,197.65
2012-10-24,198.30,198.30,198.30,198.30,000,198.30
2012-10-23,204.00,204.00,197.10,198.30,4900,198.30
2012-10-22,210.00,210.00,197.00,198.30,4900,198.30
2012-10-19,210.75,210.75,201.00,201.45,5700,201.45
2012-10-18,197.05,208.70,196.95,204.10,127400,204.10
2012-10-17,200.95,200.95,197.10,197.25,1200,197.25
2012-10-16,199.05,200.00,198.20,198.70,1000,198.70
2012-10-15,199.10,202.00,199.00,200.90,900,200.90
2012-10-12,200.00,200.00,198.05,198.50,800,198.50
2012-10-11,198.00,200.00,196.45,197.50,1600,197.50
2012-10-10,198.05,203.50,198.05,199.95,1200,199.95
2012-10-09,202.95,205.00,200.25,200.55,1900,200.55
2012-10-08,204.00,205.30,200.40,200.85,2000,200.85
2012-10-05,205.00,210.05,199.30,204.85,12300,204.85
2012-10-04,205.95,207.90,203.05,206.60,2200,206.60
2012-10-03,205.65,205.65,202.00,203.85,1400,203.85
2012-10-02,204.85,204.85,204.85,204.85,000,204.85
2012-10-01,205.95,208.00,203.05,204.85,800,204.85
2012-09-28,206.00,206.95,202.30,204.85,2100,204.85
2012-09-27,202.85,206.80,201.35,202.30,3100,202.30
2012-09-26,204.20,206.00,203.20,204.50,2400,204.50
2012-09-25,207.00,207.00,204.10,205.00,6900,205.00
