Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,113.60,113.60,113.60,113.60,000,113.60
2012-12-24,113.90,114.90,112.00,113.60,150500,113.60
2012-12-21,114.10,115.65,113.10,113.90,363500,113.90
2012-12-20,116.65,116.75,114.65,114.95,229400,114.95
2012-12-19,116.85,117.75,114.00,116.15,612700,116.15
2012-12-18,117.90,119.40,115.70,116.15,911200,116.15
2012-12-17,112.05,117.75,111.50,116.70,3170100,116.70
2012-12-14,109.80,109.85,107.75,109.20,183500,109.20
2012-12-13,111.20,112.00,108.70,109.10,219200,109.10
2012-12-12,112.80,113.00,110.20,110.60,147000,110.60
2012-12-11,113.40,114.45,111.00,112.35,395900,112.35
2012-12-10,109.95,113.90,109.00,112.85,891800,112.85
2012-12-07,111.15,111.70,108.60,109.25,247700,109.25
2012-12-06,112.05,112.90,110.30,111.00,178700,111.00
2012-12-05,113.15,113.90,111.15,111.70,308300,111.70
2012-12-04,112.90,113.50,110.25,112.40,350900,112.40
2012-12-03,112.50,114.45,111.55,112.40,458900,112.40
2012-11-30,109.35,116.35,107.10,112.15,1975700,112.15
2012-11-29,101.95,113.90,101.50,108.95,1614600,108.95
2012-11-28,101.20,101.20,101.20,101.20,000,101.20
2012-11-27,101.30,102.30,100.60,101.20,239000,101.20
2012-11-26,100.75,101.75,97.55,100.20,381000,100.20
2012-11-23,101.60,101.60,100.00,100.15,101100,100.15
2012-11-22,101.60,102.80,100.35,100.90,82900,100.90
2012-11-21,101.20,102.90,99.30,101.00,422200,101.00
2012-11-20,100.80,101.35,98.65,99.15,114500,99.15
2012-11-19,101.85,103.40,100.20,100.50,112500,100.50
2012-11-16,102.50,103.50,101.50,101.90,92200,101.90
2012-11-15,101.95,103.05,101.60,102.05,64400,102.05
2012-11-14,102.35,102.35,102.35,102.35,000,102.35
2012-11-13,102.35,102.35,102.35,102.35,000,102.35
2012-11-12,103.05,103.50,100.50,102.35,90000,102.35
2012-11-09,104.90,105.35,103.30,103.65,99300,103.65
2012-11-08,103.80,105.00,103.55,104.50,71100,104.50
2012-11-07,102.80,106.00,102.80,104.95,230300,104.95
2012-11-06,103.40,104.00,102.55,102.70,78000,102.70
2012-11-05,103.70,104.75,103.50,103.70,79900,103.70
2012-11-02,103.00,104.90,103.00,103.60,65600,103.60
2012-11-01,101.85,103.90,101.20,103.40,78700,103.40
2012-10-31,100.85,102.45,100.20,101.85,90900,101.85
2012-10-30,102.40,103.20,100.55,100.70,89600,100.70
2012-10-29,102.85,104.00,101.65,102.05,100500,102.05
2012-10-26,103.85,103.85,103.85,103.85,000,103.85
2012-10-25,102.55,104.50,102.55,103.85,105500,103.85
2012-10-24,103.05,103.05,103.05,103.05,000,103.05
2012-10-23,103.90,104.50,102.75,103.05,85900,103.05
2012-10-22,104.05,105.35,103.20,103.70,91500,103.70
2012-10-19,104.90,106.80,103.25,104.05,549300,104.05
2012-10-18,104.60,104.95,102.75,103.20,148200,103.20
2012-10-17,106.10,106.80,103.75,104.25,146700,104.25
2012-10-16,106.80,109.00,104.95,105.45,385900,105.45
2012-10-15,105.25,107.20,104.70,105.70,170200,105.70
2012-10-12,106.20,107.70,105.05,105.55,195700,105.55
2012-10-11,104.20,107.80,103.60,106.35,526300,106.35
2012-10-10,105.60,105.85,104.00,104.10,120200,104.10
2012-10-09,102.90,106.90,102.85,106.15,214100,106.15
2012-10-08,102.50,105.50,95.00,103.05,147400,103.05
2012-10-05,106.30,106.45,102.15,103.95,260200,103.95
2012-10-04,104.90,108.30,104.55,105.35,343300,105.35
2012-10-03,104.50,105.50,103.05,104.95,175600,104.95
2012-10-02,104.10,104.10,104.10,104.10,000,104.10
2012-10-01,103.75,105.85,103.00,104.10,190700,104.10
2012-09-28,105.05,105.50,102.55,102.90,191600,102.90
2012-09-27,104.75,105.85,102.80,105.25,1739400,105.25
2012-09-26,101.90,103.90,100.50,103.05,792000,103.05
2012-09-25,100.60,102.55,100.00,101.65,863600,101.65
2012-09-24,101.85,102.95,99.50,100.10,579300,100.10
2012-09-21,99.50,103.15,99.25,101.60,652600,101.60
2012-09-20,98.30,100.00,98.00,99.55,138900,99.55
2012-09-19,100.05,100.05,100.05,100.05,000,100.05
2012-09-18,99.00,101.40,99.00,100.05,342800,100.05
2012-09-17,97.40,99.50,95.70,99.20,374000,99.20
2012-09-14,97.75,97.80,96.15,96.60,196400,96.60
2012-09-13,98.45,98.90,96.05,96.50,233400,96.50
2012-09-12,95.50,98.40,94.75,97.90,484600,97.90
2012-09-11,95.65,95.65,94.90,95.05,187000,95.05
2012-09-10,95.15,96.30,94.90,95.25,210600,95.25
2012-09-07,94.25,95.25,94.00,94.35,143700,94.35
2012-09-06,92.90,94.25,92.85,93.85,87000,93.85
2012-09-05,93.60,94.00,93.00,93.60,95500,93.60
2012-09-04,93.10,94.70,92.60,93.60,239400,93.60
2012-09-03,91.65,93.95,90.60,92.95,308700,92.95
2012-08-31,90.65,93.20,90.55,90.90,305100,90.90
2012-08-30,94.15,94.15,89.55,90.85,520400,90.85
2012-08-29,94.85,95.10,93.00,93.40,260200,93.40
2012-08-28,94.50,94.95,92.45,94.45,227100,94.45
2012-08-27,95.00,95.85,91.35,94.00,411700,94.00
2012-08-24,99.85,100.95,91.75,93.70,1317200,93.70
2012-08-23,100.00,100.50,99.35,99.50,538300,99.50
2012-08-22,103.00,103.00,99.35,99.40,315900,99.40
2012-08-21,99.40,100.45,99.20,99.45,607700,99.45
2012-08-20,99.65,99.65,99.65,99.65,000,99.65
2012-08-17,99.00,100.55,99.00,99.65,440000,99.65
2012-08-16,102.05,102.50,97.90,99.35,510800,99.35
2012-08-15,101.30,101.30,101.30,101.30,000,101.30
2012-08-14,99.80,102.00,99.15,101.30,438100,101.30
2012-08-13,99.90,99.95,98.85,99.35,103500,99.35
2012-08-10,99.10,100.35,99.00,99.20,105200,99.20
2012-08-09,99.30,100.40,99.15,99.35,93900,99.35
2012-08-08,100.45,100.45,98.10,99.20,409400,99.20
2012-08-07,101.20,101.55,99.25,99.55,224100,99.55
2012-08-06,99.90,102.60,99.00,100.80,493300,100.80
2012-08-03,99.80,99.80,97.30,98.50,163500,98.50
2012-08-02,100.50,101.30,99.10,99.40,267900,99.40
2012-08-01,98.55,100.80,98.00,99.60,182900,99.60
2012-07-31,97.80,99.30,97.10,98.20,103200,98.20
2012-07-30,95.30,98.50,95.30,98.05,71400,98.05
2012-07-27,98.45,98.50,96.50,96.70,107800,96.70
2012-07-26,97.50,97.65,96.10,96.50,372600,96.50
2012-07-25,98.00,98.00,95.15,96.90,271200,96.90
2012-07-24,99.00,99.30,98.10,98.25,107200,98.25
2012-07-23,99.00,100.00,98.05,98.75,307900,98.75
2012-07-20,100.00,100.45,98.75,99.55,175000,99.55
2012-07-19,101.00,101.50,99.50,99.75,178100,99.75
2012-07-18,99.80,100.60,99.45,100.20,140500,100.20
2012-07-17,101.80,102.25,99.50,99.80,193600,99.80
2012-07-16,101.65,102.60,100.90,101.30,206100,101.30
2012-07-13,102.75,102.75,100.60,100.95,178700,100.95
2012-07-12,101.50,102.80,100.80,101.80,182100,101.80
2012-07-11,104.20,105.35,102.55,102.95,185400,102.95
2012-07-10,100.40,104.70,100.40,104.35,225100,104.35
2012-07-09,101.65,105.70,101.65,102.80,211100,102.80
2012-07-06,107.50,107.50,104.60,104.90,238500,104.90
2012-07-05,106.20,108.40,105.30,107.50,674300,107.50
2012-07-04,106.90,107.40,105.10,105.70,686900,105.70
2012-07-03,103.00,106.20,102.10,105.90,940500,105.90
2012-07-02,102.65,102.90,101.05,101.95,236600,101.95
2012-06-29,100.00,101.70,99.95,101.40,267500,101.40
2012-06-28,99.90,100.45,98.55,99.00,276700,99.00
2012-06-27,100.70,101.45,99.55,99.90,93000,99.90
2012-06-26,100.90,101.45,100.15,100.35,174800,100.35
2012-06-25,100.55,101.90,99.80,100.05,144000,100.05
2012-06-22,99.95,102.30,99.50,100.55,238000,100.55
2012-06-21,99.00,101.40,98.85,100.95,262500,100.95
2012-06-20,99.90,99.90,98.60,99.00,115900,99.00
2012-06-19,98.25,99.80,97.50,98.85,238700,98.85
2012-06-18,98.65,101.50,98.25,98.55,216400,98.55
2012-06-15,100.00,100.60,99.50,99.75,118000,99.75
2012-06-14,101.75,102.00,98.90,99.25,194600,99.25
2012-06-13,101.40,103.45,101.10,101.75,500400,101.75
2012-06-12,100.90,100.95,99.35,100.30,182800,100.30
2012-06-11,100.55,103.40,100.20,100.75,491200,100.75
2012-06-08,99.20,101.35,99.00,100.35,445500,100.35
2012-06-07,100.00,101.80,99.30,100.10,529600,100.10
2012-06-06,98.15,100.00,98.10,99.25,498900,99.25
2012-06-05,101.80,101.80,97.40,97.85,357400,97.85
2012-06-04,96.00,100.10,95.15,99.40,399600,99.40
2012-06-01,98.30,98.30,96.20,96.85,285800,96.85
2012-05-31,99.70,99.70,97.50,98.30,377200,98.30
2012-05-30,103.60,103.80,99.10,99.70,389400,99.70
2012-05-29,105.00,105.40,102.75,103.50,1388900,103.50
2012-05-28,100.75,101.90,99.10,101.20,274900,101.20
2012-05-25,98.95,100.65,97.55,100.10,354200,100.10
2012-05-24,95.80,99.70,94.05,99.00,517300,99.00
2012-05-23,94.00,96.60,93.30,95.65,505700,95.65
2012-05-22,95.80,95.80,93.20,93.80,452300,93.80
2012-05-21,94.00,95.60,94.00,94.35,252200,94.35
2012-05-18,91.95,94.85,91.95,93.50,669700,93.50
2012-05-17,96.00,96.95,92.10,93.20,353400,93.20
2012-05-16,97.10,98.70,94.15,94.80,335300,94.80
2012-05-15,96.50,98.90,95.10,97.85,375500,97.85
2012-05-14,100.05,100.45,95.60,96.70,248600,96.70
2012-05-11,100.95,101.40,98.75,99.95,257200,99.95
2012-05-10,101.20,102.00,99.90,100.90,307300,100.90
2012-05-09,100.05,101.85,99.55,100.20,377800,100.20
2012-05-08,104.40,104.50,99.55,100.35,150100,100.35
2012-05-07,100.75,104.00,98.60,103.25,249000,103.25
2012-05-04,105.55,106.45,101.15,101.80,435400,101.80
2012-05-03,108.00,108.70,105.05,106.40,250600,106.40
2012-05-02,107.90,109.65,107.15,108.10,360200,108.10
2012-05-01,107.45,107.45,107.45,107.45,000,107.45
2012-04-30,105.00,107.60,104.75,106.80,225900,106.80
2012-04-27,105.25,106.90,104.10,105.05,278100,105.05
2012-04-26,105.00,105.35,102.10,104.95,565600,104.95
2012-04-25,106.95,106.95,104.25,104.85,233800,104.85
2012-04-24,105.15,107.30,105.00,106.35,335300,106.35
2012-04-23,110.90,111.45,104.20,104.80,500400,104.80
2012-04-20,111.70,113.70,108.80,110.05,1376600,110.05
2012-04-19,107.55,112.00,107.15,111.10,926900,111.10
2012-04-18,109.00,109.90,107.00,107.50,397500,107.50
2012-04-17,108.30,108.90,106.25,108.25,547600,108.25
2012-04-16,105.30,109.00,105.00,108.30,651200,108.30
2012-04-13,100.95,107.85,100.95,105.20,1281200,105.20
