Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,12.05,12.05,12.05,12.05,000,12.05
2012-12-24,12.00,12.40,12.00,12.05,732100,12.05
2012-12-21,12.05,12.10,11.95,11.95,1053800,11.95
2012-12-20,12.05,12.10,12.00,12.00,693000,12.00
2012-12-19,12.10,12.15,12.00,12.00,855000,12.00
2012-12-18,12.10,12.20,12.05,12.05,1711100,12.05
2012-12-17,12.00,12.20,12.00,12.05,747500,12.05
2012-12-14,12.20,12.20,12.05,12.05,576200,12.05
2012-12-13,12.20,12.20,12.10,12.10,783800,12.10
2012-12-12,12.15,12.25,12.10,12.10,697200,12.10
2012-12-11,12.30,12.30,12.05,12.15,2095700,12.15
2012-12-10,12.30,12.45,12.15,12.15,912300,12.15
2012-12-07,12.40,12.40,12.10,12.15,922000,12.15
2012-12-06,12.60,12.60,12.05,12.15,1703900,12.15
2012-12-05,12.20,12.35,11.95,12.20,4267600,12.20
2012-12-04,12.20,12.60,12.00,12.00,3030000,12.00
2012-12-03,11.95,12.85,11.95,12.15,2637900,12.15
2012-11-30,11.95,12.15,11.90,12.00,2760800,12.00
2012-11-29,11.90,12.00,11.80,11.95,1228700,11.95
2012-11-28,11.85,11.85,11.85,11.85,000,11.85
2012-11-27,11.80,11.90,11.80,11.85,926400,11.85
2012-11-26,11.80,11.90,11.80,11.80,331200,11.80
2012-11-23,11.90,11.90,11.80,11.80,318400,11.80
2012-11-22,11.75,11.90,11.75,11.80,447400,11.80
2012-11-21,11.75,11.90,11.75,11.80,566900,11.80
2012-11-20,11.75,11.85,11.70,11.75,843900,11.75
2012-11-19,11.75,11.80,11.70,11.70,865900,11.70
2012-11-16,11.75,11.85,11.70,11.70,1739500,11.70
2012-11-15,11.85,11.90,11.70,11.75,869100,11.75
2012-11-14,11.80,11.80,11.80,11.80,000,11.80
2012-11-13,11.80,11.80,11.80,11.80,000,11.80
2012-11-12,11.65,11.90,11.65,11.80,895600,11.80
2012-11-09,11.75,11.80,11.65,11.65,4255100,11.65
2012-11-08,11.75,11.80,11.70,11.75,2756400,11.75
2012-11-07,11.80,11.90,11.70,11.85,1946800,11.85
2012-11-06,11.80,11.90,11.75,11.80,1526600,11.80
2012-11-05,11.80,11.95,11.75,11.80,1327900,11.80
2012-11-02,12.00,12.05,11.80,11.85,1899700,11.85
2012-11-01,11.85,12.10,11.75,11.90,2280900,11.90
2012-10-31,11.65,12.00,11.65,11.80,3174300,11.80
2012-10-30,12.20,12.25,11.55,11.65,3701600,11.65
2012-10-29,12.50,12.75,11.95,12.05,4854700,12.05
2012-10-26,14.25,14.25,14.25,14.25,000,14.25
2012-10-25,13.75,14.40,13.30,14.25,15698800,14.25
2012-10-24,13.20,13.20,13.20,13.20,000,13.20
2012-10-23,13.20,14.00,12.80,13.20,13386200,13.20
2012-10-22,12.65,13.40,12.60,13.15,5577900,13.15
2012-10-19,12.85,13.20,12.50,12.70,5545200,12.70
2012-10-18,12.70,13.05,12.45,12.65,4423500,12.65
2012-10-17,11.90,12.75,11.55,12.50,7327800,12.50
2012-10-16,12.15,12.40,11.60,11.70,2575400,11.70
2012-10-15,11.90,12.20,11.80,12.00,1313200,12.00
2012-10-12,12.35,12.70,11.80,11.90,4604400,11.90
2012-10-11,12.50,13.00,11.80,12.45,15152500,12.45
2012-10-10,10.80,12.40,10.60,12.15,13242700,12.15
2012-10-09,11.05,11.25,10.70,11.05,1035200,11.05
2012-10-08,11.35,11.55,10.80,10.90,1507300,10.90
2012-10-05,11.70,11.75,10.50,11.35,2998300,11.35
2012-10-04,11.55,11.95,11.45,11.50,3546000,11.50
2012-10-03,11.45,12.05,10.95,11.45,9508700,11.45
2012-10-02,11.00,11.00,11.00,11.00,000,11.00
2012-10-01,9.70,11.30,9.55,11.00,8859400,11.00
2012-09-28,9.65,9.75,9.40,9.50,960300,9.50
2012-09-27,9.60,9.85,9.25,9.50,1270300,9.50
2012-09-26,9.40,9.95,9.30,9.50,1979400,9.50
2012-09-25,9.40,9.60,9.35,9.45,620300,9.45
2012-09-24,9.40,9.75,9.30,9.35,1094200,9.35
2012-09-21,9.10,9.50,9.10,9.40,1176100,9.40
2012-09-20,9.25,9.40,8.80,8.95,1626600,8.95
2012-09-19,9.40,9.40,9.40,9.40,000,9.40
2012-09-18,9.50,9.75,9.35,9.40,1156000,9.40
2012-09-17,9.15,9.50,9.10,9.40,1010200,9.40
2012-09-14,9.15,9.45,9.10,9.15,853600,9.15
2012-09-13,9.05,9.25,8.95,8.95,813300,8.95
2012-09-12,9.10,9.25,9.05,9.10,723600,9.10
2012-09-11,9.25,9.25,9.00,9.10,836600,9.10
2012-09-10,9.30,9.40,9.00,9.10,1083300,9.10
2012-09-07,9.30,9.55,9.20,9.25,655900,9.25
2012-09-06,9.25,9.35,9.15,9.20,513800,9.20
2012-09-05,9.40,9.45,9.10,9.20,888900,9.20
2012-09-04,9.40,10.25,7.60,9.15,4008700,9.15
2012-09-03,9.45,9.65,9.35,9.45,484500,9.45
2012-08-31,9.10,9.85,9.10,9.40,1563600,9.40
2012-08-30,9.05,9.25,8.85,9.10,825800,9.10
2012-08-29,9.25,9.40,9.05,9.15,586200,9.15
2012-08-28,10.00,10.00,9.10,9.25,1658300,9.25
2012-08-27,10.10,10.20,9.50,9.55,1254100,9.55
2012-08-24,10.40,10.40,9.90,10.10,2045400,10.10
2012-08-23,9.85,10.60,9.25,10.25,6204300,10.25
2012-08-22,9.50,9.65,9.30,9.45,706500,9.45
2012-08-21,9.50,9.85,9.50,9.55,400400,9.55
2012-08-20,9.70,9.70,9.70,9.70,000,9.70
2012-08-17,9.25,9.85,9.25,9.70,1507600,9.70
2012-08-16,9.55,9.70,9.25,9.25,743300,9.25
2012-08-15,9.45,9.45,9.45,9.45,000,9.45
2012-08-14,9.25,9.95,9.20,9.45,1758400,9.45
2012-08-13,9.40,9.45,9.00,9.25,395900,9.25
2012-08-10,9.45,9.60,9.20,9.45,976400,9.45
2012-08-09,9.65,9.95,9.30,9.45,1379600,9.45
2012-08-08,9.15,9.90,9.10,9.55,1574700,9.55
2012-08-07,9.10,9.20,9.00,9.10,503400,9.10
2012-08-06,9.05,9.35,9.05,9.10,664600,9.10
2012-08-03,9.05,9.15,8.80,8.95,710700,8.95
2012-08-02,9.35,9.35,9.05,9.10,870100,9.10
2012-08-01,9.50,9.55,9.15,9.20,1017000,9.20
2012-07-31,8.75,9.80,8.70,9.30,3404300,9.30
