Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,352.15,352.15,352.15,352.15,000,352.15
2012-12-24,352.00,353.75,347.80,352.15,420600,352.15
2012-12-21,351.65,351.65,344.05,349.20,428500,349.20
2012-12-20,351.80,352.80,347.75,351.75,423200,351.75
2012-12-19,348.10,351.80,346.80,349.90,677600,349.90
2012-12-18,345.10,349.80,344.00,346.95,1071600,346.95
2012-12-17,343.25,347.60,342.75,344.15,512600,344.15
2012-12-14,347.25,350.20,345.30,346.45,528400,346.45
2012-12-13,347.80,354.40,344.80,347.60,619000,347.60
2012-12-12,354.35,355.00,345.45,347.80,787400,347.80
2012-12-11,354.25,356.85,351.10,354.95,485400,354.95
2012-12-10,353.00,358.25,352.00,354.35,749600,354.35
2012-12-07,353.15,354.00,351.50,352.85,691300,352.85
2012-12-06,352.75,354.90,348.55,353.80,362200,353.80
2012-12-05,353.50,355.00,352.25,353.80,931800,353.80
2012-12-04,348.10,354.45,348.10,352.30,505000,352.30
2012-12-03,353.00,356.95,347.45,348.55,990200,348.55
2012-11-30,342.25,355.95,341.25,353.35,1306000,353.35
2012-11-29,339.50,346.00,339.50,344.45,1255700,344.45
2012-11-28,339.65,339.65,339.65,339.65,000,339.65
2012-11-27,337.40,342.50,336.80,339.65,941900,339.65
2012-11-26,342.70,342.70,335.50,337.00,554000,337.00
2012-11-23,347.50,348.70,339.00,339.90,788900,339.90
2012-11-22,347.00,350.80,344.35,347.35,629000,347.35
2012-11-21,344.10,347.90,342.10,346.50,653100,346.50
2012-11-20,342.45,348.75,342.15,344.05,717100,344.05
2012-11-19,344.60,349.65,340.55,342.55,718600,342.55
2012-11-16,351.80,354.00,345.00,346.30,991000,346.30
2012-11-15,349.50,361.00,349.25,354.05,1700300,354.05
2012-11-14,352.15,352.15,352.15,352.15,000,352.15
2012-11-13,352.15,352.15,352.15,352.15,000,352.15
2012-11-12,356.10,360.85,351.15,352.15,901900,352.15
2012-11-09,359.80,361.50,353.15,355.00,469000,355.00
2012-11-08,364.00,365.50,355.10,358.60,1070900,358.60
2012-11-07,364.90,367.70,361.30,366.10,504000,366.10
2012-11-06,356.00,365.20,356.00,363.80,953900,363.80
2012-11-05,358.50,360.65,354.55,357.00,633100,357.00
2012-11-02,346.10,360.50,346.10,358.80,1051400,358.80
2012-11-01,346.25,350.80,344.85,345.50,1599300,345.50
2012-10-31,355.00,357.70,347.10,348.90,811600,348.90
2012-10-30,360.10,362.95,354.25,355.60,509300,355.60
2012-10-29,361.20,367.00,358.15,361.45,784100,361.45
2012-10-26,361.20,361.20,361.20,361.20,000,361.20
2012-10-25,355.25,363.00,354.55,361.20,1043700,361.20
2012-10-24,355.05,355.05,355.05,355.05,000,355.05
2012-10-23,360.90,360.90,353.30,355.05,553800,355.05
2012-10-22,358.00,363.70,358.00,358.80,876900,358.80
2012-10-19,365.25,370.00,355.55,360.55,1378900,360.55
2012-10-18,372.25,374.95,366.55,368.20,1185900,368.20
2012-10-17,380.00,380.00,369.60,371.05,1070800,371.05
2012-10-16,380.50,380.55,376.40,378.40,486200,378.40
2012-10-15,380.90,380.90,372.60,380.00,484500,380.00
2012-10-12,375.00,381.00,342.20,379.95,1025100,379.95
2012-10-11,377.20,380.80,370.80,376.35,1377000,376.35
2012-10-10,381.00,382.30,373.00,375.50,951600,375.50
2012-10-09,391.50,393.80,379.05,381.05,1565500,381.05
2012-10-08,395.00,395.00,386.20,391.45,1083000,391.45
2012-10-05,392.50,397.20,320.85,393.05,1970900,393.05
2012-10-04,384.00,394.00,383.80,391.40,999800,391.40
2012-10-03,386.00,386.90,380.70,384.85,948500,384.85
