Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,25.20,25.20,25.20,25.20,000,25.20
2012-12-24,25.50,25.60,24.50,25.20,100100,25.20
2012-12-21,25.90,25.90,25.00,25.20,141500,25.20
2012-12-20,26.10,26.55,25.20,26.10,147300,26.10
2012-12-19,26.95,27.10,26.50,26.60,156500,26.60
2012-12-18,26.25,26.95,26.00,26.30,184900,26.30
2012-12-17,26.75,27.25,26.30,26.45,149900,26.45
2012-12-14,27.30,27.55,26.65,26.75,221400,26.75
2012-12-13,28.60,28.70,27.10,27.35,515400,27.35
2012-12-12,27.10,28.25,27.00,27.90,1634200,27.90
2012-12-11,25.75,27.15,25.20,26.65,471600,26.65
2012-12-10,25.75,26.20,25.50,25.75,123600,25.75
2012-12-07,26.20,26.60,25.60,25.90,339200,25.90
2012-12-06,26.85,26.85,25.40,26.25,220600,26.25
2012-12-05,25.20,26.85,24.90,26.15,818100,26.15
2012-12-04,25.45,25.95,25.00,25.25,156100,25.25
2012-12-03,24.50,25.75,24.50,25.50,412800,25.50
2012-11-30,24.80,24.90,24.20,24.65,170100,24.65
2012-11-29,24.35,24.65,24.15,24.45,146400,24.45
2012-11-28,24.45,24.45,24.45,24.45,000,24.45
2012-11-27,24.25,24.75,24.00,24.45,158000,24.45
2012-11-26,23.80,24.40,23.30,24.15,162500,24.15
2012-11-23,23.50,24.40,23.50,23.90,93600,23.90
2012-11-22,23.45,24.80,23.45,23.80,164700,23.80
2012-11-21,23.50,23.95,22.80,23.35,112200,23.35
2012-11-20,24.00,24.40,23.50,23.60,101000,23.60
2012-11-19,25.60,25.60,23.60,24.00,234900,24.00
2012-11-16,24.00,26.50,23.80,24.45,1182000,24.45
2012-11-15,21.50,24.35,21.50,23.90,388900,23.90
2012-11-14,21.95,21.95,21.95,21.95,000,21.95
2012-11-13,21.95,21.95,21.95,21.95,000,21.95
2012-11-12,21.60,22.10,21.60,21.95,96200,21.95
2012-11-09,22.00,22.00,21.40,21.55,61800,21.55
2012-11-08,21.75,22.00,21.50,21.70,77500,21.70
2012-11-07,21.50,22.20,21.20,22.05,65300,22.05
2012-11-06,21.85,22.05,21.55,21.85,53500,21.85
2012-11-05,22.00,22.50,21.75,21.90,36000,21.90
2012-11-02,22.05,22.25,21.90,22.00,56500,22.00
2012-11-01,21.75,22.00,21.60,21.90,64000,21.90
2012-10-31,22.35,22.35,21.45,21.70,58200,21.70
2012-10-30,22.40,22.40,21.80,21.95,102600,21.95
2012-10-29,23.00,23.00,22.00,22.05,85000,22.05
2012-10-26,23.10,23.10,23.10,23.10,000,23.10
2012-10-25,22.75,23.40,22.75,23.10,81100,23.10
2012-10-24,23.25,23.25,23.25,23.25,000,23.25
2012-10-23,23.00,23.70,22.95,23.25,83300,23.25
2012-10-22,23.45,23.55,22.75,23.15,161900,23.15
2012-10-19,23.30,23.90,22.75,23.25,288900,23.25
2012-10-18,23.45,23.55,22.55,22.95,148400,22.95
2012-10-17,24.25,24.25,22.70,23.00,198000,23.00
2012-10-16,23.60,24.95,23.45,23.60,900900,23.60
2012-10-15,23.20,24.00,22.30,22.80,272500,22.80
2012-10-12,23.50,24.00,23.30,23.45,179900,23.45
2012-10-11,23.50,23.50,23.00,23.40,156800,23.40
2012-10-10,23.00,23.55,22.80,23.45,171200,23.45
2012-10-09,23.35,23.85,23.25,23.50,186200,23.50
2012-10-08,23.50,23.75,23.05,23.25,152100,23.25
2012-10-05,23.85,24.45,22.15,23.50,404100,23.50
2012-10-04,24.50,24.95,23.70,23.85,1144200,23.85
2012-10-03,22.10,23.60,21.70,23.30,629700,23.30
2012-10-02,22.10,22.10,22.10,22.10,000,22.10
2012-10-01,22.00,22.45,21.95,22.10,180700,22.10
2012-09-28,21.15,22.00,21.00,21.85,143200,21.85
2012-09-27,21.75,21.75,21.15,21.50,85500,21.50
2012-09-26,21.35,21.90,20.95,21.35,178400,21.35
2012-09-25,22.10,22.35,21.45,21.60,156900,21.60
2012-09-24,21.20,22.10,21.20,21.75,272600,21.75
2012-09-21,21.40,21.40,20.80,21.10,179600,21.10
2012-09-20,21.65,21.80,20.10,20.80,236100,20.80
2012-09-19,21.95,21.95,21.95,21.95,000,21.95
2012-09-18,22.75,23.00,21.75,21.95,1301400,21.95
2012-09-17,19.80,21.95,19.30,21.50,615400,21.50
2012-09-14,19.65,19.70,19.00,19.35,170100,19.35
2012-09-13,19.00,19.70,19.00,19.45,115000,19.45
2012-09-12,19.60,19.70,19.00,19.00,102500,19.00
2012-09-11,18.90,19.35,18.75,19.15,70000,19.15
2012-09-10,19.10,19.40,18.70,19.00,109500,19.00
2012-09-07,18.50,19.00,18.50,18.55,52400,18.55
2012-09-06,17.60,18.65,17.60,18.45,51900,18.45
2012-09-05,19.40,19.40,18.25,18.40,265500,18.40
2012-09-04,17.90,20.40,17.55,20.00,512200,20.00
2012-09-03,18.20,18.40,17.55,18.00,30500,18.00
2012-08-31,17.85,17.90,17.50,17.70,51200,17.70
2012-08-30,17.85,18.25,17.50,18.00,34400,18.00
2012-08-29,18.00,18.25,17.55,17.70,35400,17.70
2012-08-28,18.00,18.30,17.90,18.00,23700,18.00
2012-08-27,18.45,18.50,18.10,18.25,34100,18.25
2012-08-24,18.10,18.55,18.10,18.55,16600,18.55
2012-08-23,18.50,18.80,18.35,18.40,61800,18.40
2012-08-22,19.25,19.25,18.60,18.65,38600,18.65
2012-08-21,18.90,19.20,18.65,18.80,47800,18.80
2012-08-20,18.90,18.90,18.90,18.90,000,18.90
2012-08-17,19.05,19.25,18.80,18.90,76500,18.90
2012-08-16,19.00,19.45,18.80,19.00,66400,19.00
2012-08-15,19.15,19.15,19.15,19.15,000,19.15
2012-08-14,19.25,19.60,19.05,19.15,218600,19.15
2012-08-13,19.50,19.75,19.20,19.25,32900,19.25
2012-08-10,19.60,20.00,19.40,19.50,23300,19.50
2012-08-09,19.75,20.20,19.45,19.65,43600,19.65
2012-08-08,19.70,20.15,19.25,19.80,60700,19.80
2012-08-07,20.25,20.25,19.90,20.10,22200,20.10
2012-08-06,20.20,20.30,19.85,20.05,35500,20.05
2012-08-03,20.05,20.10,19.85,20.00,29400,20.00
2012-08-02,20.00,20.35,19.90,20.30,24500,20.30
2012-08-01,20.25,20.25,19.60,20.05,26200,20.05
2012-07-31,20.15,20.40,19.85,20.15,42700,20.15
2012-07-30,19.90,20.35,19.75,20.25,29200,20.25
2012-07-27,20.25,20.75,19.40,20.00,129500,20.00
2012-07-26,20.00,20.30,20.00,20.10,63100,20.10
2012-07-25,20.25,20.45,19.80,20.00,70700,20.00
2012-07-24,20.25,20.80,20.20,20.40,66000,20.40
2012-07-23,20.70,20.90,20.25,20.45,54000,20.45
2012-07-20,21.35,21.50,20.70,20.90,139800,20.90
2012-07-19,20.85,21.45,20.65,21.25,188700,21.25
2012-07-18,21.00,21.95,19.80,20.75,122000,20.75
2012-07-17,20.10,20.60,19.60,20.40,215700,20.40
2012-07-16,20.70,21.35,19.75,19.95,138400,19.95
2012-07-13,20.55,22.20,20.55,20.80,460600,20.80
2012-07-12,20.30,20.60,19.70,20.05,137600,20.05
2012-07-11,20.50,20.90,20.10,20.30,111900,20.30
2012-07-10,20.40,20.80,20.20,20.55,96500,20.55
2012-07-09,21.10,21.20,20.30,20.45,236200,20.45
2012-07-06,22.20,22.55,21.20,21.30,207200,21.30
2012-07-05,21.90,23.50,21.65,21.90,1451300,21.90
2012-07-04,19.90,21.65,19.65,21.40,500400,20.65
2012-07-03,19.90,20.15,19.75,19.85,124500,19.15
2012-07-02,20.15,20.20,19.50,19.90,77100,19.20
2012-06-29,19.80,19.85,19.50,19.65,65800,18.96
2012-06-28,19.50,20.00,19.35,19.55,57800,18.86
2012-06-27,19.90,19.90,19.50,19.50,40400,18.82
2012-06-26,19.55,19.75,19.50,19.50,27300,18.82
2012-06-25,19.80,20.15,19.20,19.55,161900,18.86
2012-06-22,19.00,19.80,19.00,19.75,194000,19.06
2012-06-21,19.00,19.50,18.80,19.25,95500,18.58
2012-06-20,18.80,19.35,18.55,19.00,50600,18.33
2012-06-19,18.50,18.80,18.30,18.75,97400,18.09
