Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,100.00,100.00,100.00,100.00,000,100.00
2012-12-24,100.55,101.65,98.30,100.00,149900,100.00
2012-12-21,102.55,102.60,99.00,99.65,116100,99.65
2012-12-20,104.00,104.25,100.90,102.20,97300,102.20
2012-12-19,105.00,106.70,102.95,103.70,147600,103.70
2012-12-18,103.65,107.30,101.50,104.90,239300,104.90
2012-12-17,101.55,103.75,101.55,102.70,81000,102.70
2012-12-14,101.95,102.75,99.30,101.45,218900,101.45
2012-12-13,104.00,104.50,100.10,101.05,111600,101.05
2012-12-12,104.85,106.00,103.50,104.00,163600,104.00
2012-12-11,103.05,106.00,102.25,103.95,239500,103.95
2012-12-10,105.00,105.45,101.80,102.75,161300,102.75
2012-12-07,104.55,107.50,103.25,104.25,136700,104.25
2012-12-06,106.65,106.65,104.25,105.40,117400,105.40
2012-12-05,106.40,107.90,105.20,105.50,107400,105.50
2012-12-04,107.35,109.00,105.00,107.05,181800,107.05
2012-12-03,106.80,109.70,105.60,107.30,235000,107.30
2012-11-30,107.00,108.35,105.10,105.95,157900,105.95
2012-11-29,108.50,110.50,106.30,106.95,228400,106.95
2012-11-28,108.50,108.50,108.50,108.50,000,108.50
2012-11-27,110.00,111.75,107.40,108.50,392000,108.50
2012-11-26,103.85,109.40,103.70,108.85,601000,108.85
2012-11-23,104.80,104.80,102.00,103.40,152100,103.40
2012-11-22,106.80,106.90,104.20,104.60,120100,104.60
2012-11-21,103.75,107.00,102.00,106.15,285000,106.15
2012-11-20,107.25,107.90,101.55,103.30,287300,103.30
2012-11-19,107.55,108.80,106.10,106.60,378100,106.60
2012-11-16,104.00,111.80,102.40,106.75,1660400,106.75
2012-11-15,103.00,103.00,100.80,101.45,136800,101.45
2012-11-14,102.85,102.85,102.85,102.85,000,102.85
2012-11-13,102.85,102.85,102.85,102.85,000,102.85
2012-11-12,103.00,103.90,101.90,102.85,133800,102.85
2012-11-09,104.55,106.70,101.40,101.85,203000,101.85
2012-11-08,105.40,106.45,103.85,104.40,149200,104.40
2012-11-07,106.90,107.50,105.75,106.50,261400,106.50
2012-11-06,106.40,106.90,105.00,106.05,339600,106.05
2012-11-05,104.35,107.80,104.35,105.20,251800,105.20
2012-11-02,105.50,107.90,104.50,105.90,502900,105.90
2012-11-01,104.80,105.75,103.75,104.95,222500,104.95
2012-10-31,106.30,108.30,102.40,104.80,350200,104.80
2012-10-30,104.30,105.65,100.00,104.05,1169400,104.05
2012-10-29,113.85,116.20,95.50,101.20,4483100,101.20
2012-10-26,116.20,116.20,116.20,116.20,000,116.20
2012-10-25,120.00,121.70,115.55,116.20,768200,116.20
2012-10-24,117.30,117.30,117.30,117.30,000,117.30
2012-10-23,118.20,119.00,115.70,117.30,293400,117.30
2012-10-22,117.20,118.50,113.70,117.70,342300,117.70
2012-10-19,113.75,118.35,113.25,116.35,580200,116.35
2012-10-18,114.90,114.95,110.40,113.85,315200,113.85
2012-10-17,115.90,116.45,113.00,113.95,180600,113.95
2012-10-16,115.00,118.45,114.40,115.05,362100,115.05
2012-10-15,116.15,117.90,114.30,114.85,317200,114.85
2012-10-12,116.20,118.90,115.15,115.65,526100,115.65
2012-10-11,118.00,119.70,115.50,116.05,420000,116.05
2012-10-10,120.45,121.50,116.60,117.30,402200,117.30
2012-10-09,124.80,124.80,120.40,120.85,542900,120.85
2012-10-08,121.00,125.70,118.65,122.55,2591000,122.55
2012-10-05,117.10,119.50,111.00,117.45,636100,117.45
2012-10-04,121.55,121.55,116.25,117.05,867200,117.05
2012-10-03,121.45,122.65,117.00,120.30,1424800,120.30
2012-10-02,120.25,120.25,120.25,120.25,000,120.25
2012-10-01,117.00,121.10,115.25,120.25,1735000,120.25
2012-09-28,115.90,119.50,115.15,116.75,1957600,116.75
2012-09-27,114.90,115.85,114.00,114.40,809800,114.40
2012-09-26,114.00,115.75,113.15,113.70,637900,113.70
2012-09-25,114.50,116.40,113.10,113.70,756400,113.70
2012-09-24,114.00,116.95,110.50,113.90,882600,113.90
2012-09-21,117.20,121.50,110.50,113.50,2686500,113.50
2012-09-20,106.95,119.00,105.15,116.30,1822700,116.30
2012-09-19,107.85,107.85,107.85,107.85,000,107.85
2012-09-18,109.00,109.75,106.90,107.85,341600,107.85
2012-09-17,114.20,115.00,106.40,108.70,427400,108.70
2012-09-14,115.00,116.30,112.70,113.90,405500,113.90
2012-09-13,113.80,113.80,110.50,113.00,310900,113.00
2012-09-12,114.65,115.40,109.30,111.80,527100,111.80
2012-09-11,114.35,115.80,112.55,114.05,720700,114.05
2012-09-10,113.50,115.40,111.35,114.35,883000,114.35
2012-09-07,109.80,112.00,107.50,108.60,453500,108.60
2012-09-06,104.80,108.30,104.40,107.10,647800,107.10
2012-09-05,104.50,107.30,103.25,104.00,467400,104.00
2012-09-04,104.30,105.80,103.05,104.65,241600,104.65
2012-09-03,104.20,105.00,102.55,103.55,252100,103.55
2012-08-31,107.10,108.95,102.30,103.20,559000,103.20
2012-08-30,102.50,108.65,102.25,106.50,792500,106.50
2012-08-29,103.90,104.90,102.10,103.00,273500,103.00
2012-08-28,104.70,104.90,100.60,102.90,446400,102.90
2012-08-27,106.00,107.45,103.25,104.40,430700,104.40
2012-08-24,102.50,105.40,100.35,104.00,687100,104.00
2012-08-23,105.25,107.20,102.00,103.25,804000,103.25
2012-08-22,107.25,108.35,103.30,104.35,447000,104.35
2012-08-21,107.75,109.80,105.80,107.10,918900,107.10
2012-08-20,106.95,106.95,106.95,106.95,000,106.95
2012-08-17,106.85,110.75,105.55,106.95,957600,106.95
2012-08-16,106.65,109.40,105.05,106.30,1081200,106.30
2012-08-15,105.95,105.95,105.95,105.95,000,105.95
2012-08-14,101.40,107.30,101.00,105.95,1502200,105.95
2012-08-13,104.50,104.60,100.00,100.90,608200,100.90
2012-08-10,104.05,106.80,103.35,104.20,1181100,104.20
2012-08-09,99.00,106.30,98.00,104.75,3174100,104.75
2012-08-08,93.40,99.80,92.85,98.10,1890900,98.10
2012-08-07,93.80,94.80,92.20,92.75,262800,92.75
2012-08-06,93.80,96.90,92.05,93.20,767900,93.20
2012-08-03,92.00,94.50,91.60,93.30,844800,93.30
2012-08-02,91.60,94.65,91.25,91.85,753900,91.85
2012-08-01,94.40,94.65,90.40,91.80,887500,91.80
2012-07-31,90.90,95.35,88.30,94.20,2582600,94.20
2012-07-30,85.35,91.00,83.55,90.40,1310800,90.40
2012-07-27,89.50,90.00,82.30,83.75,752100,83.75
2012-07-26,91.10,92.50,85.60,87.15,2654700,87.15
2012-07-25,87.50,91.40,85.55,90.10,4002200,90.10
2012-07-24,79.10,88.80,79.10,86.45,4369800,86.45
2012-07-23,71.40,85.90,70.85,79.25,5985300,79.25
2012-07-20,72.60,73.30,71.60,72.10,58500,72.10
2012-07-19,71.35,73.90,70.65,72.60,153100,72.60
2012-07-18,70.10,71.60,69.40,70.35,51200,70.35
2012-07-17,71.30,72.45,70.10,70.60,70900,70.60
2012-07-16,73.35,74.50,70.80,71.05,80800,71.05
2012-07-13,74.00,75.50,73.10,73.35,100700,73.35
2012-07-12,76.05,76.75,73.90,74.20,113500,72.60
2012-07-11,78.00,78.80,76.50,77.55,259000,75.88
2012-07-10,74.10,77.70,74.10,76.90,202100,75.24
2012-07-09,76.50,77.90,74.00,74.65,163500,73.04
2012-07-06,75.85,78.30,75.40,77.45,334400,75.78
2012-07-05,74.55,76.90,74.50,75.60,281900,73.97
2012-07-04,73.80,74.85,72.80,74.15,108800,72.55
2012-07-03,74.20,75.20,72.80,73.55,114900,71.96
2012-07-02,73.75,76.00,72.80,73.20,173000,71.62
2012-06-29,74.50,75.50,73.25,73.70,72300,72.11
2012-06-28,74.50,75.70,73.60,74.20,259300,72.60
2012-06-27,71.45,74.85,71.10,73.90,333300,72.31
2012-06-26,72.05,72.20,70.45,71.05,64100,69.52
2012-06-25,73.15,73.75,72.00,72.25,77900,70.69
2012-06-22,74.50,74.80,72.20,72.75,397000,71.18
2012-06-21,68.90,75.50,68.25,73.75,899300,72.16
2012-06-20,67.65,70.25,67.60,69.20,74700,67.71
2012-06-19,66.85,68.50,66.10,67.95,30900,66.48
2012-06-18,68.60,69.30,66.25,66.80,46600,65.36
2012-06-15,68.00,69.25,67.15,68.20,35400,66.73
2012-06-14,69.00,69.50,67.00,67.20,34900,65.75
2012-06-13,69.95,70.50,68.50,68.75,47800,67.27
2012-06-12,69.20,71.40,68.75,69.85,41100,68.34
2012-06-11,70.85,72.65,68.30,69.50,133400,68.00
2012-06-08,71.50,71.65,68.80,70.00,82600,68.49
2012-06-07,69.00,72.30,67.60,71.55,138800,70.01
2012-06-06,68.50,69.55,67.50,68.35,80100,66.88
2012-06-05,67.50,68.30,66.05,66.50,25000,65.07
2012-06-04,65.80,66.75,63.50,66.10,51200,64.67
2012-06-01,68.00,69.40,66.00,66.35,56700,64.92
2012-05-31,68.90,69.50,67.45,68.40,39500,66.93
2012-05-30,69.00,71.95,68.90,69.15,234000,67.66
2012-05-29,69.20,69.80,68.60,69.00,39500,67.51
2012-05-28,69.90,70.60,68.65,69.00,92100,67.51
2012-05-25,69.00,71.25,68.75,69.30,75300,67.81
2012-05-24,69.00,69.90,68.50,69.15,72100,67.66
2012-05-23,70.00,70.95,68.10,68.45,71600,66.97
2012-05-22,72.00,72.70,69.25,69.65,81800,68.15
2012-05-21,72.20,73.75,70.30,71.05,104400,69.52
2012-05-18,69.45,74.20,68.15,71.95,523800,70.40
2012-05-17,72.50,73.50,70.00,70.45,316500,68.93
2012-05-16,71.45,74.40,69.60,71.90,963900,70.35
2012-05-15,64.95,74.60,64.80,72.45,2022100,70.89
2012-05-14,62.80,65.00,62.00,63.05,669400,61.69
