Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,268.05,268.05,268.05,268.05,000,268.05
2012-12-24,273.65,277.10,264.00,268.05,41500,268.05
2012-12-21,279.15,281.75,270.15,273.65,94700,273.65
2012-12-20,276.70,284.85,275.00,279.15,326700,279.15
2012-12-19,264.70,291.40,260.05,274.55,468100,274.55
2012-12-18,259.95,265.25,259.00,261.65,217700,261.65
2012-12-17,258.95,260.00,257.00,259.00,163000,259.00
2012-12-14,257.05,260.00,257.00,258.05,143300,258.05
2012-12-13,256.10,258.75,255.45,257.10,36400,257.10
2012-12-12,256.10,259.00,256.00,258.00,27300,258.00
2012-12-11,258.70,259.00,257.25,258.70,33300,258.70
2012-12-10,258.50,262.75,256.90,258.50,18800,258.50
2012-12-07,258.50,260.00,256.80,258.45,19500,258.45
2012-12-06,259.95,261.60,257.00,258.10,19200,258.10
2012-12-05,259.00,259.95,256.55,257.80,673800,257.80
2012-12-04,256.00,259.00,255.00,257.85,15600,257.85
2012-12-03,253.45,259.00,252.70,255.90,26100,255.90
2012-11-30,253.05,254.95,253.00,253.65,16600,253.65
2012-11-29,252.20,255.00,252.20,253.35,35400,253.35
2012-11-28,253.95,253.95,253.95,253.95,000,253.95
2012-11-27,254.00,254.90,251.00,253.95,137300,253.95
2012-11-26,253.15,255.50,251.00,254.25,27100,254.25
2012-11-23,251.80,254.65,250.95,253.35,13100,253.35
2012-11-22,257.45,257.50,249.10,250.35,21700,250.35
2012-11-21,256.55,256.55,252.60,254.90,13400,254.90
2012-11-20,255.80,258.00,252.55,255.75,34600,255.75
2012-11-19,256.60,259.25,255.95,256.10,31800,256.10
2012-11-16,255.30,257.90,254.75,256.90,25100,256.90
2012-11-15,250.00,257.50,250.00,255.95,36600,255.95
2012-11-14,255.05,255.05,255.05,255.05,000,255.05
2012-11-13,255.05,255.05,255.05,255.05,000,255.05
2012-11-12,257.95,257.95,253.30,255.05,19300,255.05
2012-11-09,258.50,261.90,254.75,256.15,18500,256.15
2012-11-08,254.85,260.00,253.55,258.00,57700,258.00
2012-11-07,253.55,258.15,253.55,256.30,11600,256.30
2012-11-06,253.45,257.00,253.00,254.95,18600,254.95
2012-11-05,259.45,259.80,252.00,256.90,31000,256.90
2012-11-02,256.25,259.80,254.10,255.35,28800,255.35
2012-11-01,256.40,258.00,253.75,256.05,84900,256.05
2012-10-31,258.00,258.00,253.30,257.05,22500,257.05
2012-10-30,256.15,259.85,255.00,257.05,23500,257.05
2012-10-29,259.85,259.85,254.10,257.30,34800,257.30
2012-10-26,256.90,256.90,256.90,256.90,000,256.90
2012-10-25,255.70,257.50,253.50,256.90,33000,256.90
2012-10-24,254.00,254.00,254.00,254.00,000,254.00
2012-10-23,254.95,255.00,244.00,254.00,34200,254.00
2012-10-22,255.45,261.80,252.10,253.65,56900,253.65
2012-10-19,250.10,256.00,248.10,254.95,49100,254.95
2012-10-18,256.15,260.00,249.35,250.85,91600,250.85
2012-10-17,254.05,258.20,251.40,256.90,53300,256.90
2012-10-16,253.00,258.90,253.00,253.90,42000,253.90
2012-10-15,253.95,257.00,244.00,253.45,24100,253.45
2012-10-12,253.00,254.00,250.75,251.20,17900,251.20
2012-10-11,252.40,255.00,250.10,251.10,62000,251.10
2012-10-10,253.00,261.30,252.00,254.00,253500,254.00
2012-10-09,255.00,256.90,252.50,253.05,46300,253.05
2012-10-08,252.95,254.90,250.15,252.10,21900,252.10
2012-10-05,254.95,255.00,249.00,252.65,25000,252.65
2012-10-04,251.15,254.00,249.60,251.60,42700,251.60
2012-10-03,249.65,253.00,245.30,252.10,29200,252.10
2012-10-02,249.55,249.55,249.55,249.55,000,249.55
2012-10-01,245.75,250.90,245.75,249.55,16000,249.55
2012-09-28,244.65,249.00,242.10,247.20,138300,247.20
2012-09-27,243.00,247.50,242.00,243.45,48900,243.45
2012-09-26,249.05,251.80,243.30,244.40,47200,244.40
2012-09-25,253.95,254.00,250.00,251.10,29800,251.10
2012-09-24,252.15,256.75,250.10,250.80,69100,250.80
2012-09-21,250.00,255.85,250.00,253.90,150100,253.90
2012-09-20,254.65,254.65,251.05,252.25,13200,252.25
2012-09-19,255.95,255.95,255.95,255.95,000,255.95
2012-09-18,248.20,258.85,248.20,255.95,99700,255.95
2012-09-17,245.05,253.95,245.05,252.65,68400,252.65
2012-09-14,249.00,251.00,247.25,249.15,98200,249.15
2012-09-13,249.50,252.90,245.05,246.05,151300,246.05
2012-09-12,252.45,254.45,248.40,251.90,46700,251.90
2012-09-11,253.00,253.85,247.60,248.70,74900,248.70
2012-09-10,248.60,251.95,247.50,248.65,30800,248.65
2012-09-07,250.95,251.00,247.60,248.10,32100,248.10
2012-09-06,246.95,249.85,242.05,248.05,51200,248.05
2012-09-05,247.75,249.00,243.05,247.25,63200,247.25
2012-09-04,250.00,253.95,245.10,245.65,9800,245.65
2012-09-03,251.75,254.00,247.00,248.80,21900,248.80
2012-08-31,255.95,255.95,250.20,251.70,22600,251.70
2012-08-30,256.25,258.60,252.25,255.15,191000,255.15
2012-08-29,255.05,259.50,255.05,257.25,39100,257.25
2012-08-28,260.00,260.00,255.25,256.65,40100,256.65
2012-08-27,262.95,262.95,256.30,258.25,35100,258.25
2012-08-24,259.65,260.05,253.90,256.50,39500,256.50
2012-08-23,260.50,261.00,258.10,259.55,55000,259.55
2012-08-22,260.30,262.25,259.05,260.60,62000,260.60
2012-08-21,260.05,261.15,259.30,260.65,35300,260.65
2012-08-20,259.70,259.70,259.70,259.70,000,259.70
2012-08-17,260.00,265.60,258.05,259.70,87300,259.70
2012-08-16,260.00,261.35,254.00,259.40,99700,259.40
2012-08-15,260.65,260.65,260.65,260.65,000,260.65
2012-08-14,263.70,265.65,259.05,260.65,293000,260.65
2012-08-13,262.95,265.05,259.55,263.00,113400,263.00
2012-08-10,263.05,267.80,260.80,262.20,89800,262.20
2012-08-09,259.45,266.80,259.00,263.80,274500,263.80
2012-08-08,264.85,264.90,259.25,260.45,47200,260.45
2012-08-07,261.05,266.90,260.90,261.85,74600,261.85
2012-08-06,257.50,260.95,256.65,260.30,42000,260.30
2012-08-03,259.25,259.25,255.25,256.75,50400,256.75
