Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,2460.50,2460.50,2460.50,2460.50,000,2460.50
2012-12-24,2475.00,2475.00,2446.00,2460.50,400,2460.50
2012-12-21,2474.95,2475.00,2435.00,2449.40,1400,2449.40
2012-12-20,2475.00,2475.00,2425.25,2448.20,1700,2448.20
2012-12-19,2420.15,2470.00,2420.15,2464.20,1200,2464.20
2012-12-18,2430.50,2470.00,2430.50,2449.50,1600,2449.50
2012-12-17,2391.00,2448.00,2385.00,2440.30,2900,2440.30
2012-12-14,2399.90,2439.50,2380.20,2419.75,1200,2419.75
2012-12-13,2365.60,2424.25,2365.60,2400.35,1600,2400.35
2012-12-12,2374.95,2410.00,2374.95,2400.30,2100,2400.30
2012-12-11,2400.45,2429.90,2381.45,2398.55,2200,2398.55
2012-12-10,2418.85,2430.00,2395.70,2400.35,2400,2400.35
2012-12-07,2428.50,2439.70,2400.25,2416.90,1100,2416.90
2012-12-06,2353.10,2450.00,2353.10,2428.50,2800,2428.50
2012-12-05,2430.00,2450.00,2401.15,2418.65,3500,2418.65
2012-12-04,2420.00,2439.00,2395.60,2434.90,1800,2434.90
2012-12-03,2340.05,2436.00,2340.05,2420.85,5000,2420.85
2012-11-30,2349.00,2370.00,2340.05,2355.00,2500,2355.00
2012-11-29,2303.00,2368.70,2303.00,2342.50,4600,2342.50
2012-11-28,2313.05,2313.05,2313.05,2313.05,000,2298.05
2012-11-27,2201.75,2336.00,2201.75,2313.05,16000,2298.05
2012-11-26,2190.10,2245.00,2175.95,2215.70,2400,2201.33
2012-11-23,2161.50,2185.00,2160.10,2176.20,1500,2162.09
2012-11-22,2180.00,2195.00,2149.95,2161.60,5500,2147.58
2012-11-21,2200.00,2220.40,2170.00,2174.85,8300,2160.75
2012-11-20,2194.00,2197.00,2155.05,2187.60,1600,2173.41
2012-11-19,2208.90,2208.90,2176.00,2193.60,500,2179.37
2012-11-16,2204.00,2210.00,2175.10,2180.00,1100,2165.86
2012-11-15,2200.00,2219.95,2183.50,2195.65,1500,2181.41
2012-11-14,2213.10,2213.10,2213.10,2213.10,000,2198.75
2012-11-13,2213.10,2213.10,2213.10,2213.10,000,2198.75
2012-11-12,2200.00,2222.90,2183.05,2213.10,6100,2198.75
2012-11-09,2166.00,2239.60,2166.00,2222.45,1600,2208.04
2012-11-08,2190.00,2200.00,2176.00,2188.15,1100,2173.96
2012-11-07,2205.00,2210.00,2191.05,2193.05,1300,2178.83
2012-11-06,2185.00,2219.00,2176.00,2185.60,1600,2171.43
2012-11-05,2244.00,2244.00,2190.00,2196.00,1700,2181.76
2012-11-02,2215.00,2247.90,2205.00,2212.30,1000,2197.95
2012-11-01,2248.60,2387.60,2205.00,2218.55,15600,2204.16
2012-10-31,2234.00,2234.00,2210.00,2226.05,700,2211.61
2012-10-30,2249.00,2249.00,2201.10,2208.85,400,2194.53
2012-10-29,2221.50,2235.00,2210.20,2216.70,300,2202.32
2012-10-26,2218.75,2218.75,2218.75,2218.75,000,2204.36
2012-10-25,2244.85,2265.00,2212.95,2218.75,5500,2204.36
2012-10-24,2226.60,2226.60,2226.60,2226.60,000,2212.16
2012-10-23,2247.40,2248.95,2221.00,2226.60,600,2212.16
2012-10-22,2250.50,2250.50,2217.00,2226.50,3100,2212.06
2012-10-19,2250.00,2250.00,2209.00,2239.35,400,2224.83
2012-10-18,2244.00,2244.00,2205.10,2227.65,1500,2213.20
2012-10-17,2225.00,2243.95,2207.00,2218.55,1400,2204.16
2012-10-16,2245.00,2245.00,2216.10,2218.65,500,2204.26
2012-10-15,2250.00,2255.00,2211.00,2225.80,3900,2211.37
2012-10-12,2243.05,2270.00,2225.00,2241.90,1700,2227.36
2012-10-11,2237.00,2254.10,2212.00,2249.65,1700,2235.06
2012-10-10,2207.00,2233.00,2205.00,2226.10,8400,2211.66
2012-10-09,2200.00,2210.00,2191.50,2201.25,1500,2186.98
2012-10-08,2200.05,2210.00,2191.05,2195.05,2000,2180.82
2012-10-05,2210.00,2222.00,2175.00,2208.55,9200,2194.23
2012-10-04,2195.00,2205.00,2164.00,2178.70,4300,2164.57
2012-10-03,2183.00,2194.95,2171.00,2184.40,900,2170.23
2012-10-02,2183.45,2183.45,2183.45,2183.45,000,2169.29
2012-10-01,2149.00,2197.95,2131.00,2183.45,2400,2169.29
2012-09-28,2125.00,2159.90,2103.00,2129.25,800,2115.44
2012-09-27,2120.00,2147.90,2100.00,2123.80,900,2110.03
2012-09-26,2139.95,2149.90,2111.15,2121.30,1300,2107.54
2012-09-25,2113.05,2160.00,2092.00,2123.15,2500,2109.38
2012-09-24,2113.95,2158.15,2093.00,2113.00,1800,2099.30
2012-09-21,2160.00,2160.00,2103.00,2113.95,1900,2100.24
2012-09-20,2150.00,2179.00,2120.00,2136.60,1200,2122.74
2012-09-19,2135.30,2135.30,2135.30,2135.30,000,2121.45
2012-09-18,2110.00,2160.00,2110.00,2135.30,2500,2121.45
2012-09-17,2145.00,2179.50,2116.00,2126.55,2100,2112.76
2012-09-14,2155.10,2196.95,2116.00,2155.05,2900,2141.07
2012-09-13,2126.00,2178.95,2126.00,2153.45,2000,2139.48
2012-09-12,2166.00,2224.00,2139.55,2147.45,3700,2133.52
2012-09-11,2138.00,2224.90,2135.00,2181.20,3300,2167.06
2012-09-10,2185.00,2228.45,2146.00,2156.50,1400,2142.52
2012-09-07,2192.00,2259.90,2190.00,2193.45,900,2179.23
2012-09-06,2203.95,2209.00,2185.10,2191.20,1500,2176.99
2012-09-05,2189.00,2219.45,2189.00,2198.55,800,2184.29
2012-09-04,2190.10,2230.00,2190.10,2203.20,2300,2188.91
2012-09-03,2224.95,2248.95,2190.00,2202.15,1900,2187.87
