Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,475.90,475.90,475.90,475.90,000,475.90
2012-12-24,477.00,479.70,470.00,475.90,524400,475.90
2012-12-21,473.15,479.90,465.20,473.20,739600,473.20
2012-12-20,476.70,484.00,470.00,473.65,544500,473.65
2012-12-19,488.70,493.75,471.10,474.80,922800,474.80
2012-12-18,487.35,497.70,481.95,490.25,819900,490.25
2012-12-17,466.00,489.80,451.25,485.35,906600,485.35
2012-12-14,474.65,481.00,462.25,471.70,895600,471.70
2012-12-13,501.05,509.10,475.00,477.30,936000,477.30
2012-12-12,521.00,525.00,496.55,501.05,778100,501.05
2012-12-11,530.00,531.75,513.10,521.75,724400,521.75
2012-12-10,526.10,534.70,522.35,527.00,1060000,527.00
2012-12-07,485.00,526.85,481.00,520.50,2041300,520.50
2012-12-06,480.00,482.90,471.30,480.00,728900,480.00
2012-12-05,477.35,480.45,469.00,477.65,568200,477.65
2012-12-04,486.35,489.90,473.20,477.85,599500,477.85
2012-12-03,494.80,496.90,473.30,486.45,983200,486.45
2012-11-30,490.00,498.00,477.90,493.00,739400,493.00
2012-11-29,475.00,489.00,475.00,486.45,586200,486.45
2012-11-28,474.45,474.45,474.45,474.45,000,474.45
2012-11-27,469.40,476.00,463.10,474.45,729100,474.45
2012-11-26,447.00,465.00,442.25,463.15,904400,463.15
2012-11-23,454.80,456.00,442.50,447.15,578500,447.15
2012-11-22,445.15,455.65,438.30,453.00,834700,453.00
2012-11-21,446.15,450.00,435.00,446.05,1094000,446.05
2012-11-20,432.95,450.00,431.40,446.05,1156700,446.05
2012-11-19,418.50,434.70,415.15,430.00,689800,430.00
2012-11-16,424.05,431.75,416.05,423.35,999900,423.35
2012-11-15,418.70,425.00,409.80,422.75,782300,422.75
2012-11-14,417.00,417.00,417.00,417.00,000,417.00
2012-11-13,417.00,417.00,417.00,417.00,000,417.00
2012-11-12,401.45,423.25,321.80,417.00,1088100,417.00
2012-11-09,399.80,403.80,398.25,399.80,921100,399.80
2012-11-08,398.10,402.70,398.00,399.40,822500,399.40
2012-11-07,400.10,406.00,398.55,399.85,782200,399.85
2012-11-06,398.35,406.35,398.35,400.65,654000,400.65
2012-11-05,396.00,403.20,395.20,398.85,732100,398.85
2012-11-02,398.90,401.30,395.50,396.95,679200,396.95
2012-11-01,397.25,407.80,393.65,396.45,978200,396.45
2012-10-31,406.75,407.60,398.95,401.70,496600,401.70
2012-10-30,401.85,408.55,398.25,405.20,668900,405.20
2012-10-29,395.00,402.00,390.15,400.70,701700,400.70
2012-10-26,403.10,403.10,403.10,403.10,000,403.10
2012-10-25,394.90,404.80,392.20,403.10,871800,403.10
2012-10-24,395.65,395.65,395.65,395.65,000,395.65
2012-10-23,393.70,398.00,391.15,395.65,731800,395.65
2012-10-22,394.75,399.60,391.00,392.75,688600,392.75
2012-10-19,383.00,403.50,377.50,393.90,1184000,393.90
2012-10-18,377.60,383.90,374.15,382.40,1034400,382.40
2012-10-17,381.90,381.90,369.30,375.55,684200,375.55
2012-10-16,375.45,384.95,369.00,375.70,740600,375.70
2012-10-15,374.05,379.40,369.00,374.45,610100,374.45
2012-10-12,369.85,380.00,368.00,374.70,667500,374.70
2012-10-11,373.00,373.50,362.60,370.35,694700,370.35
2012-10-10,376.65,376.70,368.00,373.95,574500,373.95
2012-10-09,375.05,380.80,366.20,375.05,572100,375.05
2012-10-08,369.00,381.65,367.00,372.45,972200,372.45
2012-10-05,350.65,372.20,348.10,367.10,1129800,367.10
2012-10-04,345.15,352.40,344.25,348.45,542600,348.45
2012-10-03,345.60,349.30,343.00,344.00,591500,344.00
2012-10-02,345.15,345.15,345.15,345.15,000,345.15
2012-10-01,348.05,349.85,343.00,345.15,439600,345.15
2012-09-28,349.65,354.50,345.50,348.15,613200,348.15
2012-09-27,353.70,355.80,343.10,345.55,786000,345.55
2012-09-26,349.50,354.70,347.55,348.55,481200,348.55
2012-09-25,349.90,355.00,345.00,351.95,602700,351.95
2012-09-24,348.00,358.80,347.00,348.00,665700,348.00
2012-09-21,346.95,358.85,345.40,357.10,924400,357.10
2012-09-20,344.70,349.90,342.55,343.80,485100,343.80
2012-09-19,350.95,350.95,350.95,350.95,000,350.95
2012-09-18,354.70,357.50,348.30,350.95,697900,350.95
2012-09-17,344.90,356.00,343.50,352.00,493900,352.00
2012-09-14,341.00,344.00,337.95,341.30,690100,341.30
2012-09-13,339.85,344.25,335.80,340.55,628200,340.55
2012-09-12,343.80,344.30,337.00,339.55,627000,336.55
2012-09-11,343.30,343.95,335.80,340.00,619200,337.00
2012-09-10,348.55,355.30,340.20,343.30,666900,340.27
2012-09-07,347.05,348.15,340.00,342.40,441100,339.37
2012-09-06,347.25,347.95,342.85,343.00,533000,339.97
2012-09-05,345.15,349.00,345.10,347.10,434900,344.03
2012-09-04,340.45,347.30,340.45,345.20,599800,342.15
2012-09-03,336.05,342.70,335.15,339.65,763300,336.65
2012-08-31,336.80,338.10,334.50,335.15,427700,332.19
2012-08-30,335.30,339.70,334.15,335.40,454300,332.44
2012-08-29,334.70,340.80,334.30,335.10,602000,332.14
2012-08-28,345.00,346.40,337.05,340.70,1015800,337.69
2012-08-27,340.25,346.50,336.05,344.15,427200,341.11
2012-08-24,351.95,352.00,340.55,344.90,474100,341.85
2012-08-23,354.55,357.95,350.45,352.25,859400,349.14
2012-08-22,352.15,356.60,352.15,354.60,614600,351.47
2012-08-21,355.35,359.90,351.30,353.95,798200,350.82
2012-08-20,353.80,353.80,353.80,353.80,000,350.67
2012-08-17,350.30,356.35,348.50,353.80,814400,350.67
2012-08-16,347.40,348.90,347.25,347.95,619400,344.88
2012-08-15,347.05,347.05,347.05,347.05,000,343.98
2012-08-14,344.05,347.95,344.00,347.05,515000,343.98
2012-08-13,342.00,344.70,339.80,341.75,589100,338.73
2012-08-10,336.00,339.40,336.00,338.40,684300,335.41
2012-08-09,333.90,335.45,333.90,334.15,652600,331.20
2012-08-08,332.00,333.85,332.00,332.30,500100,329.36
2012-08-07,327.90,331.20,327.00,328.60,486900,325.70
2012-08-06,326.00,328.45,323.05,326.45,552200,323.57
2012-08-03,325.95,326.00,320.10,323.75,731700,320.89
2012-08-02,325.00,327.50,323.50,326.00,383100,323.12
2012-08-01,328.80,328.80,322.25,323.30,433100,320.44
2012-07-31,326.85,328.35,324.35,327.75,611200,324.85
2012-07-30,326.00,329.85,323.00,323.90,680700,321.04
2012-07-27,325.55,329.70,325.00,325.10,283800,322.23
2012-07-26,321.70,335.00,307.05,323.30,794500,320.44
2012-07-25,320.20,320.75,320.00,320.15,207400,317.32
2012-07-24,318.65,321.80,317.55,320.35,773900,317.52
2012-07-23,318.05,319.00,318.00,318.20,704200,315.39
2012-07-20,318.00,318.80,318.00,318.05,609000,315.24
2012-07-19,320.00,320.00,315.80,317.10,539800,314.30
2012-07-18,314.00,315.60,314.00,314.30,320100,311.52
2012-07-17,316.95,317.00,313.95,314.00,479100,311.23
2012-07-16,310.95,317.50,310.95,314.65,939700,311.87
2012-07-13,310.15,314.10,309.95,310.40,614600,307.66
2012-07-12,309.90,311.25,307.95,310.15,259800,307.41
2012-07-11,310.05,311.40,310.00,310.00,488700,307.26
2012-07-10,310.35,314.70,307.50,309.25,898500,306.52
2012-07-09,310.40,311.40,309.30,309.90,441600,307.16
2012-07-06,311.65,311.70,308.50,310.00,319100,307.26
2012-07-05,309.35,312.20,308.20,310.15,600300,307.41
2012-07-04,306.40,309.90,305.50,308.25,943300,305.53
2012-07-03,305.95,306.75,304.00,304.15,389200,301.46
2012-07-02,301.95,314.30,301.25,303.35,564700,300.67
2012-06-29,299.00,302.00,298.20,300.70,761100,298.04
2012-06-28,297.25,298.85,297.00,297.30,642800,294.67
2012-06-27,298.00,300.40,296.50,297.15,412100,294.52
2012-06-26,298.70,299.90,297.10,297.35,950300,294.72
2012-06-25,299.00,300.90,273.00,298.20,607400,295.57
2012-06-22,301.00,302.80,298.55,299.15,1099700,296.51
2012-06-21,302.60,302.60,300.00,300.40,734400,297.75
2012-06-20,302.50,303.00,301.60,302.05,528900,299.38
2012-06-19,303.00,304.55,301.15,301.80,445000,299.13
2012-06-18,303.05,305.00,302.30,302.85,472300,300.17
2012-06-15,304.00,304.95,301.00,301.00,385000,298.34
2012-06-14,302.00,303.00,301.15,302.05,244200,299.38
2012-06-13,304.50,304.90,298.00,301.55,780100,298.89
2012-06-12,304.00,304.00,302.80,303.00,348600,300.32
2012-06-11,304.10,305.00,302.90,303.10,861900,300.42
2012-06-08,303.65,306.00,303.00,303.85,542600,301.17
2012-06-07,306.90,308.80,303.00,303.80,256400,301.12
2012-06-06,304.00,306.00,303.10,305.50,252300,302.80
2012-06-05,304.50,306.65,302.95,303.05,230800,300.37
2012-06-04,303.00,304.50,302.00,302.50,279400,299.83
2012-06-01,303.50,307.45,303.00,303.00,182000,300.32
2012-05-31,302.60,304.50,300.15,303.85,338100,301.17
2012-05-30,305.70,305.70,301.15,302.75,415600,300.08
2012-05-29,306.00,306.00,302.00,303.10,287800,300.42
2012-05-28,303.05,306.55,300.05,303.00,541500,300.32
2012-05-25,310.05,310.05,302.70,303.00,509500,300.32
2012-05-24,307.00,307.00,304.00,304.90,904300,302.21
2012-05-23,309.50,310.50,306.00,306.25,840800,303.54
2012-05-22,312.00,316.25,309.00,310.75,1017200,308.00
2012-05-21,310.35,312.40,305.00,309.70,789600,306.96
2012-05-18,303.45,312.00,303.00,308.00,822600,305.28
2012-05-17,309.60,313.80,302.00,304.55,594900,301.86
2012-05-16,307.15,312.00,303.65,307.90,537000,305.18
2012-05-15,308.30,315.05,305.45,307.00,448500,304.29
2012-05-14,309.65,310.95,306.30,308.35,479900,305.63
2012-05-11,306.00,312.30,304.15,307.25,692100,304.54
2012-05-10,308.50,309.15,296.05,301.50,188600,298.84
2012-05-09,308.90,310.25,306.00,306.85,463300,304.14
2012-05-08,314.10,316.75,306.30,310.00,536900,307.26
2012-05-07,305.00,317.95,305.00,312.05,781400,309.29
2012-05-04,318.60,319.80,305.00,307.85,642000,305.13
2012-05-03,326.00,326.50,318.20,319.25,527800,316.43
2012-05-02,327.00,327.80,325.00,325.40,247600,322.53
2012-05-01,326.15,326.15,326.15,326.15,000,323.27
2012-04-30,324.00,328.50,321.25,326.80,162600,323.91
2012-04-27,320.80,322.90,318.00,320.25,87200,317.42
2012-04-26,326.55,329.80,320.00,320.30,539900,317.47
2012-04-25,331.65,333.80,324.00,325.30,185300,322.43
2012-04-24,334.95,336.00,329.80,332.85,1040300,329.91
2012-04-23,336.00,338.00,330.10,332.15,632500,329.22
2012-04-20,327.25,335.35,326.10,332.80,1141700,329.86
2012-04-19,333.40,333.40,324.15,325.15,916800,322.28
2012-04-18,348.00,348.00,327.20,329.10,350900,326.19
2012-04-17,327.00,337.95,325.25,337.00,514300,334.02
2012-04-16,325.00,329.00,321.30,327.10,213200,324.21
2012-04-13,323.00,326.50,320.00,324.55,438500,321.68
2012-04-12,323.95,325.50,316.70,318.80,166500,315.98
2012-04-11,324.70,325.85,319.00,321.05,536400,318.21
2012-04-10,332.80,332.90,323.40,325.25,646800,322.38
2012-04-09,326.55,338.50,326.55,330.55,1229400,327.63
2012-04-06,325.40,325.40,325.40,325.40,000,322.53
2012-04-05,325.40,325.40,325.40,325.40,000,322.53
2012-04-04,331.00,331.80,324.25,325.40,2230700,322.53
2012-04-03,334.80,337.50,328.15,331.40,764200,328.47
2012-04-02,325.65,332.90,321.15,330.15,1007100,327.23
2012-03-30,329.00,335.00,321.70,324.05,1045500,321.19
2012-03-29,324.95,333.50,316.00,326.00,756800,323.12
2012-03-28,349.95,349.95,325.10,328.80,1106000,325.89
2012-03-27,369.00,370.20,350.00,351.10,1411600,348.00
2012-03-26,373.55,373.90,364.10,368.95,934400,365.69
2012-03-23,370.20,374.95,366.65,374.15,1121500,370.84
2012-03-22,369.00,371.30,366.00,370.15,872000,366.88
2012-03-21,372.00,372.00,363.15,371.15,1002800,367.87
2012-03-20,366.65,370.70,364.10,369.75,459000,366.48
2012-03-19,376.55,376.75,362.00,372.05,1044900,368.76
2012-03-16,378.05,381.10,371.40,378.75,915500,375.40
2012-03-15,379.70,382.90,372.50,381.55,743100,378.18
2012-03-14,386.00,386.00,376.15,380.90,1095800,377.53
2012-03-13,381.95,418.80,341.70,383.30,1343000,379.91
2012-03-12,369.95,383.70,369.95,377.15,1370700,373.82
2012-03-09,370.35,374.65,360.65,364.35,1129800,361.13
2012-03-08,380.25,380.25,380.25,380.25,000,376.89
2012-03-07,366.00,368.90,361.10,365.90,858800,362.67
2012-03-06,375.00,378.80,361.85,365.80,1194500,362.57
2012-03-05,386.00,386.00,371.10,375.50,1511300,372.18
2012-03-02,377.50,383.70,374.00,382.50,967500,379.12
2012-03-01,384.00,384.35,372.95,380.25,1343100,376.89
2012-02-29,403.00,405.55,381.00,384.00,1428500,380.61
2012-02-28,399.75,410.90,398.25,402.60,1136500,399.04
2012-02-27,407.55,411.00,390.05,397.90,1086300,394.38
2012-02-24,405.00,420.55,401.00,405.25,1290600,401.67
2012-02-23,407.55,412.20,396.00,402.75,1091700,399.19
2012-02-22,394.00,407.35,386.10,405.70,1798100,402.12
2012-02-21,386.00,395.40,378.30,393.75,1076200,390.27
2012-02-20,383.85,383.85,383.85,383.85,000,380.46
2012-02-17,379.30,387.70,375.10,383.85,888500,380.46
2012-02-16,335.50,379.45,335.50,377.65,983500,374.31
2012-02-15,374.10,386.75,368.20,380.35,1700900,376.99
2012-02-14,350.00,375.50,348.00,373.20,2323700,369.90
2012-02-13,331.10,350.90,331.10,347.50,1558600,344.43
2012-02-10,312.95,329.80,312.95,328.75,1462300,325.85
2012-02-09,309.60,312.40,307.55,311.50,1630600,308.75
2012-02-08,307.80,309.45,303.85,308.70,432100,305.97
2012-02-07,311.00,311.40,302.60,308.90,1123500,306.17
2012-02-06,313.30,313.45,308.35,311.70,896300,308.95
2012-02-03,312.85,313.45,308.00,312.30,670400,309.54
2012-02-02,310.00,311.75,305.30,311.05,510400,308.30
2012-02-01,308.65,317.65,306.35,308.75,1290300,306.02
2012-01-31,308.00,312.00,306.10,310.30,666500,307.56
2012-01-30,312.30,318.30,303.85,306.90,1253300,304.19
2012-01-27,301.60,313.45,301.60,312.60,1897500,309.84
2012-01-26,300.15,300.15,300.15,300.15,000,297.50
2012-01-25,305.30,320.10,250.95,300.15,2790700,297.50
2012-01-24,305.40,307.45,301.20,305.95,2236200,303.25
2012-01-23,304.00,307.00,300.55,305.70,1248200,303.00
2012-01-20,307.00,307.00,300.30,305.00,215200,302.31
2012-01-19,303.05,307.70,300.35,303.55,974600,300.87
2012-01-18,305.00,305.00,298.30,302.00,561300,299.33
2012-01-17,300.65,304.05,300.05,303.30,285100,300.62
2012-01-16,304.00,305.70,300.30,302.25,86000,299.58
2012-01-13,303.40,307.90,302.20,306.25,1041900,303.54
2012-01-12,305.70,305.70,300.80,302.70,186000,300.03
2012-01-11,308.80,309.70,303.15,306.95,624500,304.24
2012-01-10,308.00,309.90,304.00,307.95,891700,305.23
2012-01-09,312.15,312.20,303.00,306.95,786000,304.24
2012-01-06,306.85,306.85,300.25,303.75,372000,301.07
2012-01-05,307.10,308.80,302.10,307.40,496400,304.68
2012-01-04,304.95,308.00,300.00,307.05,713100,304.34
2012-01-03,314.00,314.00,300.00,301.30,600600,298.64
2012-01-02,301.25,313.50,301.20,312.25,1084000,309.49
2011-12-30,303.00,306.50,287.00,301.75,1721900,299.08
2011-12-29,310.00,311.30,300.00,300.20,1653000,297.55
2011-12-28,308.80,312.05,308.80,310.55,265800,307.81
2011-12-27,311.00,312.00,308.05,310.70,158800,307.95
2011-12-26,312.00,313.00,310.00,312.40,720900,309.64
2011-12-23,313.15,315.00,310.00,311.75,381500,309.00
2011-12-22,310.00,313.45,310.00,312.15,1896400,309.39
2011-12-21,322.00,325.00,310.55,312.55,1164100,309.79
2011-12-20,325.05,325.05,319.00,321.15,1719800,318.31
2011-12-19,330.00,331.85,320.25,325.00,451000,322.13
2011-12-16,336.00,336.65,330.00,331.05,462500,328.13
2011-12-15,336.00,338.00,331.00,337.20,1799400,334.22
2011-12-14,335.05,339.70,333.20,337.85,968400,334.87
2011-12-13,330.50,339.00,330.50,337.50,317300,334.52
2011-12-12,331.50,338.30,330.10,336.25,809100,333.28
2011-12-09,333.20,334.30,330.00,331.50,383700,328.57
2011-12-08,342.45,343.95,335.50,338.25,311400,335.26
2011-12-07,342.50,345.75,339.00,342.45,1219300,339.42
2011-12-06,340.55,340.55,340.55,340.55,000,337.54
2011-12-05,339.00,341.60,336.60,340.55,372600,337.54
2011-12-02,336.80,341.40,333.60,339.75,1145400,336.75
2011-12-01,339.80,345.90,334.00,337.00,583700,334.02
2011-11-30,325.20,339.80,320.00,337.75,1575700,334.77
2011-11-29,337.25,339.40,324.70,331.00,2146300,328.08
2011-11-28,339.10,345.00,334.10,335.60,1146100,332.63
2011-11-25,321.75,338.40,315.00,334.95,1533200,331.99
2011-11-24,330.95,334.05,320.00,323.80,2495900,320.94
2011-11-23,334.90,335.50,330.00,333.65,562700,330.70
2011-11-22,336.70,339.80,330.00,336.80,1341400,333.82
2011-11-21,335.40,344.85,324.00,336.35,2979900,333.38
2011-11-18,345.00,347.25,330.00,341.65,1700500,338.63
2011-11-17,352.50,354.00,345.60,346.85,2305400,343.79
2011-11-16,352.80,354.40,345.10,352.95,1183900,349.83
2011-11-15,351.80,354.45,347.15,352.35,880900,349.24
2011-11-14,355.30,360.95,348.65,351.15,2374100,348.05
2011-11-11,350.10,355.70,338.45,353.30,3222000,350.18
2011-11-09,357.90,360.50,348.65,354.90,1735600,351.76
2011-11-08,354.75,359.70,350.20,357.45,1902100,354.29
2011-11-04,359.00,359.00,352.20,356.35,3600900,353.20
2011-11-03,354.20,354.80,347.55,352.05,1089800,348.94
2011-11-02,344.10,357.00,344.10,354.55,3158200,351.42
2011-11-01,343.95,364.40,339.00,354.35,2193400,351.22
2011-10-31,363.30,363.70,336.25,347.50,5005000,344.43
2011-10-28,379.70,383.00,362.00,366.85,1577100,363.61
2011-10-26,374.90,380.40,373.00,378.15,3265700,374.81
2011-10-25,373.90,374.30,365.25,372.05,2075000,368.76
2011-10-24,366.00,373.50,363.70,370.35,1912200,367.08
2011-10-21,360.55,362.45,358.00,361.65,1043800,358.45
2011-10-20,358.50,365.00,355.45,359.75,1242500,356.57
2011-10-19,365.00,368.30,357.00,360.05,282200,356.87
2011-10-18,362.00,367.40,359.35,363.15,1156500,359.94
2011-10-17,368.00,370.95,364.15,368.95,1311200,365.69
2011-10-14,372.70,376.30,362.00,365.55,2676200,362.32
2011-10-13,382.95,384.10,369.10,372.70,1441500,369.41
2011-10-12,384.50,386.90,379.10,383.80,2058100,380.41
2011-10-11,378.05,385.50,377.05,381.45,2722700,378.08
2011-10-10,359.95,378.00,358.35,375.20,3212700,371.89
2011-10-07,354.00,359.90,351.50,358.65,697100,355.48
2011-10-05,348.00,357.90,344.20,349.05,1534500,345.97
2011-10-04,345.30,353.45,341.50,347.10,2074700,344.03
2011-10-03,346.00,348.30,339.00,347.05,1182000,343.98
2011-09-30,346.00,349.90,342.30,348.80,1207800,345.72
2011-09-29,348.00,350.50,332.00,345.80,1777300,342.74
2011-09-28,360.00,360.75,345.10,348.60,398400,345.52
2011-09-27,348.65,360.75,346.75,359.60,1272900,356.42
2011-09-26,351.70,351.70,339.00,345.90,1928900,342.84
2011-09-23,355.00,364.00,340.80,350.30,2435800,347.21
2011-09-22,365.00,367.70,351.15,357.35,717100,354.19
2011-09-21,359.00,372.00,358.00,365.15,2335100,361.92
2011-09-20,350.60,360.00,346.85,357.00,1340600,353.85
2011-09-19,342.45,350.40,340.40,348.35,1237300,345.27
2011-09-16,342.00,347.40,338.30,342.45,1231500,339.42
2011-09-15,342.50,343.00,337.05,341.60,796300,338.58
2011-09-14,340.00,342.10,336.00,339.05,514700,336.05
2011-09-13,342.90,345.80,332.00,337.80,1247300,334.82
2011-09-12,345.25,351.50,337.45,339.50,1757600,336.50
2011-09-09,332.90,348.00,332.90,343.35,3816600,340.32
2011-09-08,327.35,334.95,326.10,332.90,1754100,326.99
2011-09-07,321.65,326.40,321.00,325.15,1288400,319.37
2011-09-06,320.10,328.70,318.30,320.10,1562300,314.41
2011-09-05,317.05,325.50,317.00,319.85,2211200,314.17
2011-09-02,315.50,320.95,313.00,319.05,1722900,313.38
2011-08-30,315.95,317.55,307.05,313.00,1557100,307.44
2011-08-29,307.35,315.00,306.00,313.85,1290800,308.27
2011-08-26,297.00,305.50,295.00,304.10,994100,298.70
2011-08-25,310.95,312.00,291.00,296.20,1118300,290.94
2011-08-24,311.90,317.50,308.10,310.40,632500,304.89
2011-08-23,312.40,315.45,308.10,313.10,1596200,307.54
2011-08-22,307.85,314.20,301.95,312.35,1304800,306.80
2011-08-19,306.50,311.45,296.15,306.05,1539900,300.61
2011-08-18,313.75,319.00,308.30,310.45,1796200,304.93
2011-08-17,311.75,319.00,307.00,314.85,1675500,309.26
2011-08-16,314.85,316.75,308.30,312.55,806600,307.00
2011-08-12,303.05,313.95,303.05,311.10,2143900,305.57
2011-08-11,299.90,306.00,299.05,301.50,511300,296.14
2011-08-10,299.50,310.80,294.25,299.15,2281900,293.83
2011-08-09,294.10,296.00,285.65,294.15,1006300,288.92
2011-08-08,294.00,308.10,283.35,302.10,2291400,296.73
2011-08-05,306.45,306.45,295.00,300.60,2721500,295.26
2011-08-04,307.30,314.80,304.00,313.05,1678700,307.49
2011-08-03,305.40,306.45,301.00,305.15,757100,299.73
2011-08-02,309.65,310.75,303.50,308.10,1471700,302.63
2011-08-01,311.60,315.70,306.20,310.80,1066900,305.28
2011-07-29,320.80,321.70,306.15,309.85,2460100,304.34
2011-07-28,322.70,326.50,316.10,324.55,6515300,318.78
2011-07-27,313.00,323.70,311.60,322.05,3327300,316.33
2011-07-26,312.70,312.70,308.00,311.45,986200,305.92
2011-07-25,310.60,314.75,309.40,310.65,1399400,305.13
