Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,206.05,206.05,206.05,206.05,000,206.05
2012-12-24,206.00,207.10,205.50,206.05,30100,206.05
2012-12-21,208.00,208.80,205.00,205.85,32300,205.85
2012-12-20,207.05,214.00,206.50,207.45,151500,207.45
2012-12-19,207.95,209.00,204.50,206.05,324900,206.05
2012-12-18,210.75,210.90,204.80,205.85,169800,205.85
2012-12-17,205.40,209.95,203.25,208.80,120500,208.80
2012-12-14,200.05,205.70,200.00,204.30,112800,204.30
2012-12-13,200.05,202.50,196.50,197.45,100700,197.45
2012-12-12,207.00,208.40,196.10,200.00,183400,200.00
2012-12-11,206.50,211.00,204.00,204.00,1572400,204.00
2012-12-10,211.60,211.70,205.00,206.30,93000,206.30
2012-12-07,207.05,209.50,206.20,207.90,76000,207.90
2012-12-06,211.90,211.90,206.00,207.05,90000,207.05
2012-12-05,209.00,210.65,207.00,208.20,56500,208.20
2012-12-04,211.30,213.35,206.30,207.65,124000,207.65
2012-12-03,210.05,214.00,209.35,211.00,71300,211.00
2012-11-30,209.00,214.50,207.15,209.95,371200,209.95
2012-11-29,206.60,209.90,205.00,207.95,77300,207.95
2012-11-28,206.60,206.60,206.60,206.60,000,206.60
2012-11-27,209.00,210.00,205.35,206.60,392100,206.60
2012-11-26,209.75,215.55,206.30,208.35,180300,208.35
2012-11-23,203.70,222.00,203.70,209.50,1389100,209.50
2012-11-22,206.35,209.00,202.20,203.65,360900,203.65
2012-11-21,208.80,208.85,202.50,205.45,72700,205.45
2012-11-20,209.65,211.95,205.25,207.90,121900,207.90
2012-11-19,205.00,210.70,205.00,208.80,27200,208.80
2012-11-16,211.00,213.50,209.00,210.05,25000,210.05
2012-11-15,213.70,214.50,210.60,212.05,39900,212.05
2012-11-14,209.15,209.15,209.15,209.15,000,209.15
2012-11-13,209.15,209.15,209.15,209.15,000,209.15
2012-11-12,209.55,213.10,207.50,209.15,29500,209.15
2012-11-09,213.70,214.05,207.10,209.55,108900,209.55
2012-11-08,210.30,215.40,210.25,213.40,88700,213.40
