Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,82.25,82.25,82.25,82.25,000,82.25
2012-12-24,82.00,82.95,82.00,82.25,17700,82.25
2012-12-21,83.85,85.25,82.60,82.70,43400,82.70
2012-12-20,84.90,85.70,83.15,83.75,52300,83.75
2012-12-19,85.00,85.25,84.00,84.60,343300,84.60
2012-12-18,83.80,85.00,82.55,84.75,56200,84.75
2012-12-17,84.20,84.90,82.70,83.00,31600,83.00
2012-12-14,83.05,85.70,82.95,84.05,171800,84.05
2012-12-13,82.30,83.00,81.75,82.05,17100,82.05
2012-12-12,83.40,83.40,82.05,82.20,29300,82.20
2012-12-11,82.80,83.90,82.35,83.20,31900,83.20
2012-12-10,83.00,83.85,82.00,82.80,31300,82.80
2012-12-07,83.65,84.90,82.85,83.25,37800,83.25
2012-12-06,84.50,85.00,82.90,83.60,46700,83.60
2012-12-05,86.00,86.00,83.75,84.25,41800,84.25
2012-12-04,84.50,86.25,83.10,85.35,92500,85.35
2012-12-03,81.50,85.60,81.50,83.80,83900,83.80
2012-11-30,81.15,81.85,81.15,81.50,39400,81.50
2012-11-29,81.05,82.20,81.05,81.75,21400,81.75
2012-11-28,81.60,81.60,81.60,81.60,000,81.60
2012-11-27,81.30,82.45,81.00,81.60,10900,81.60
2012-11-26,82.45,82.45,81.10,81.40,14500,81.40
2012-11-23,82.50,83.70,80.60,82.95,51400,82.95
2012-11-22,80.05,83.75,79.50,81.65,133800,81.65
2012-11-21,80.40,80.40,79.30,79.75,22900,79.75
2012-11-20,81.10,81.35,80.05,80.25,15400,80.25
2012-11-19,80.65,81.70,80.40,81.15,7200,81.15
2012-11-16,81.10,83.40,81.00,81.25,18700,81.25
2012-11-15,81.20,82.85,81.20,81.90,12800,81.90
2012-11-14,81.65,81.65,81.65,81.65,000,81.65
2012-11-13,81.65,81.65,81.65,81.65,000,81.65
2012-11-12,82.00,83.25,81.50,81.65,15200,81.65
2012-11-09,83.95,85.00,82.20,82.40,33400,82.40
2012-11-08,82.00,82.75,81.90,82.60,8700,82.60
2012-11-07,83.70,83.75,81.20,82.85,22300,82.85
2012-11-06,80.60,83.40,80.50,82.75,170200,82.75
2012-11-05,80.45,81.75,80.40,81.05,14100,81.05
2012-11-02,81.05,82.20,80.25,80.80,43700,80.80
2012-11-01,81.15,82.50,81.15,81.30,11600,81.30
2012-10-31,81.15,82.15,81.15,81.40,14200,81.40
2012-10-30,82.00,83.45,81.00,81.25,23100,81.25
2012-10-29,83.50,83.50,81.95,82.75,37400,82.75
2012-10-26,81.85,81.85,81.85,81.85,000,81.85
2012-10-25,83.50,83.50,81.50,81.85,14100,81.85
2012-10-24,82.00,82.00,82.00,82.00,000,82.00
2012-10-23,82.20,82.95,81.35,82.00,16400,82.00
2012-10-22,82.00,84.20,81.20,82.30,34100,82.30
2012-10-19,82.55,83.35,81.50,82.20,11700,82.20
2012-10-18,82.50,83.15,82.10,82.90,23800,82.90
2012-10-17,83.00,83.05,82.00,82.40,16300,82.40
2012-10-16,84.00,84.05,82.50,82.75,14400,82.75
2012-10-15,84.10,84.65,83.15,83.65,15100,83.65
2012-10-12,84.90,85.20,84.00,84.40,16500,84.40
2012-10-11,82.15,86.75,82.10,84.15,104800,84.15
2012-10-10,84.10,84.45,81.35,82.65,41300,82.65
2012-10-09,84.20,85.00,83.75,84.05,14200,84.05
2012-10-08,84.50,85.25,83.90,84.15,21900,84.15
2012-10-05,86.30,86.60,84.10,85.20,21500,85.20
2012-10-04,87.00,87.25,85.90,86.40,49700,86.40
2012-10-03,86.65,87.35,86.00,86.10,25500,86.10
2012-10-02,86.65,86.65,86.65,86.65,000,86.65
2012-10-01,86.85,87.90,86.50,86.65,42100,86.65
2012-09-28,84.20,87.70,84.00,86.85,176300,86.85
2012-09-27,84.30,86.25,83.75,84.65,62900,84.65
2012-09-26,83.00,83.80,82.05,83.15,28700,83.15
2012-09-25,84.15,84.60,82.50,83.70,25300,83.70
2012-09-24,85.65,86.70,83.60,83.95,54500,83.95
2012-09-21,81.60,87.00,81.60,85.55,153800,85.55
2012-09-20,82.00,83.00,81.20,81.70,26000,81.70
2012-09-19,83.35,83.35,83.35,83.35,000,83.35
2012-09-18,81.50,84.20,80.50,83.35,63900,83.35
2012-09-17,83.00,83.00,80.55,80.95,32700,80.95
2012-09-14,78.30,84.90,77.85,82.65,170800,82.65
2012-09-13,79.00,79.40,78.10,78.65,15400,78.65
2012-09-12,78.00,79.75,77.85,78.95,61300,78.95
2012-09-11,77.35,77.95,77.00,77.50,542500,77.50
2012-09-10,77.35,78.00,77.00,77.45,17200,77.45
2012-09-07,77.00,77.50,76.65,76.90,15100,76.90
2012-09-06,76.25,77.00,76.00,76.60,34500,76.60
2012-09-05,78.70,78.70,76.10,76.50,34900,76.50
