Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,3430.05,3430.05,3430.05,3430.05,000,3430.05
2012-12-24,3445.00,3448.00,3410.05,3430.05,300,3430.05
2012-12-21,3400.00,3477.00,3390.05,3444.85,17400,3444.85
2012-12-20,3401.00,3424.90,3389.95,3393.35,500,3393.35
2012-12-19,3400.05,3420.00,3399.95,3402.50,700,3402.50
2012-12-18,3400.00,3430.00,3398.50,3402.35,400,3402.35
2012-12-17,3400.00,3430.00,3400.00,3425.75,100,3425.75
2012-12-14,3448.95,3500.00,3301.00,3411.95,100,3411.95
2012-12-13,3411.00,3415.00,3398.00,3399.00,200,3399.00
2012-12-12,3499.95,3499.95,3400.00,3411.40,100,3411.40
2012-12-11,3603.30,3603.30,3400.00,3451.15,500,3451.15
2012-12-10,3598.00,3666.05,3400.00,3407.90,400,3407.90
2012-12-07,3134.00,3525.05,3134.00,3497.25,44700,3497.25
2012-12-06,3248.00,3248.00,3131.00,3164.15,100,3164.15
2012-12-05,3137.70,3197.00,3131.00,3150.45,200,3150.45
2012-12-04,3316.00,3316.00,3155.00,3155.00,100,3155.00
2012-12-03,3131.10,3224.00,3131.10,3189.25,500,3189.25
2012-11-30,3120.05,3200.00,3120.05,3193.05,100,3193.05
2012-11-29,3134.05,3193.55,2606.85,3158.80,500,3158.80
2012-11-28,3195.45,3195.45,3195.45,3195.45,000,3195.45
2012-11-27,3305.00,3305.00,3189.00,3195.45,100,3195.45
2012-11-26,3216.00,3239.00,3152.30,3200.60,4100,3200.60
2012-11-23,3200.00,3245.00,3165.10,3234.75,200,3234.75
2012-11-22,3160.00,3225.00,3160.00,3206.55,5900,3206.55
2012-11-21,3096.00,3199.95,3090.05,3128.80,000,3128.80
2012-11-20,3170.15,3175.00,3105.50,3117.75,200,3117.75
2012-11-19,3200.00,3200.00,3150.00,3159.05,300,3159.05
2012-11-16,3207.30,3249.95,3185.00,3185.00,100,3185.00
2012-11-15,3160.00,3288.90,3160.00,3205.85,100,3205.85
2012-11-14,3216.25,3216.25,3216.25,3216.25,000,3216.25
2012-11-13,3216.25,3216.25,3216.25,3216.25,000,3216.25
2012-11-12,3230.05,3260.00,3160.00,3216.25,100,3216.25
2012-11-09,3226.00,3338.90,3155.15,3270.95,1100,3270.95
2012-11-08,3310.05,3340.00,3240.00,3243.75,100,3243.75
2012-11-07,3300.00,3325.00,3195.00,3237.10,2900,3237.10
2012-11-06,3349.95,3379.50,3176.00,3223.45,1300,3223.45
2012-11-05,3387.10,3387.10,3315.00,3322.60,000,3322.60
2012-11-02,3310.00,3370.00,3302.00,3362.00,200,3362.00
2012-11-01,3284.00,3380.00,3284.00,3320.05,000,3320.05
2012-10-31,3339.00,3379.95,3300.00,3319.55,300,3319.55
2012-10-30,3370.00,3404.95,3313.00,3341.10,300,3341.10
2012-10-29,3406.00,3420.00,3352.55,3364.15,100,3364.15
2012-10-26,3400.35,3400.35,3400.35,3400.35,000,3400.35
2012-10-25,3479.00,3499.50,3355.60,3400.35,200,3400.35
2012-10-24,3424.35,3424.35,3424.35,3424.35,000,3424.35
2012-10-23,3460.00,3505.00,3410.00,3424.35,300,3424.35
2012-10-22,3470.00,3792.95,3410.00,3491.90,700,3491.90
2012-10-19,3362.00,3430.00,3362.00,3417.40,100,3417.40
2012-10-18,3465.00,3465.00,3400.05,3409.80,200,3409.80
2012-10-17,3380.00,3430.00,3375.00,3421.80,000,3421.80
2012-10-16,3400.00,3430.00,3400.00,3420.15,100,3420.15
2012-10-15,3424.45,3478.00,3400.00,3401.00,000,3401.00
2012-10-12,3410.00,3470.00,3361.20,3450.00,200,3450.00
2012-10-11,3391.80,3410.00,3350.05,3390.70,100,3390.70
2012-10-10,3395.00,3400.00,3325.90,3370.25,100,3370.25
2012-10-09,3379.95,3395.00,3260.05,3344.20,200,3344.20
2012-10-08,3300.00,3400.00,3300.00,3378.40,200,3378.40
2012-10-05,3510.00,3510.00,3370.00,3385.60,200,3385.60
2012-10-04,3495.00,3495.00,3402.25,3445.25,400,3445.25
2012-10-03,3490.00,3504.00,3400.50,3491.75,2900,3491.75
2012-10-02,3490.00,3490.00,3490.00,3490.00,000,3490.00
2012-10-01,3485.05,3519.00,3485.00,3490.00,300,3490.00
2012-09-28,3490.00,3520.00,3461.85,3490.25,1700,3490.25
2012-09-27,3525.00,3588.00,3285.30,3490.40,2000,3490.40
