Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,738.55,738.55,738.55,738.55,000,738.55
2012-12-24,740.70,767.15,735.25,738.55,80000,738.55
2012-12-21,747.25,748.95,739.00,744.80,65800,744.80
2012-12-20,737.60,749.95,720.20,747.25,199600,747.25
2012-12-19,731.95,737.80,717.05,730.50,103600,730.50
2012-12-18,719.00,728.40,715.50,725.40,218500,725.40
2012-12-17,716.00,728.50,706.10,714.05,59800,714.05
2012-12-14,722.10,738.85,713.35,719.05,120200,719.05
2012-12-13,721.75,732.20,715.15,722.10,80400,722.10
2012-12-12,715.25,722.00,713.00,720.10,34800,720.10
2012-12-11,719.80,723.65,704.80,715.50,89700,715.50
2012-12-10,718.70,724.80,710.00,719.80,143800,719.80
2012-12-07,719.95,719.95,700.10,713.30,111100,713.30
2012-12-06,729.00,738.60,708.60,716.65,139800,716.65
2012-12-05,741.70,741.70,727.55,729.90,107900,729.90
2012-12-04,740.00,744.00,730.40,739.55,90800,739.55
2012-12-03,741.85,741.90,726.85,729.05,146700,729.05
2012-11-30,729.95,742.00,715.70,736.35,268600,736.35
2012-11-29,712.00,853.05,710.90,735.65,279000,735.65
2012-11-28,710.90,710.90,710.90,710.90,000,710.90
2012-11-27,692.05,715.00,689.10,710.90,119700,710.90
2012-11-26,692.15,709.00,675.50,688.30,225600,688.30
2012-11-23,675.00,695.00,672.75,687.95,243600,687.95
2012-11-22,675.20,679.90,660.50,669.10,193100,669.10
2012-11-21,685.00,685.00,666.30,673.50,196100,673.50
2012-11-20,670.40,686.20,670.40,680.60,144600,680.60
2012-11-19,687.00,690.00,673.05,677.90,70000,677.90
2012-11-16,692.50,695.00,670.00,677.70,72800,677.70
2012-11-15,691.05,696.10,690.40,694.20,284900,694.20
2012-11-14,694.05,694.05,694.05,694.05,000,694.05
2012-11-13,694.05,694.05,694.05,694.05,000,694.05
2012-11-12,696.15,696.90,690.00,694.05,58600,694.05
2012-11-09,701.75,701.75,691.50,692.55,57000,692.55
2012-11-08,697.30,708.40,679.50,703.25,122000,703.25
2012-11-07,677.05,711.00,676.70,700.05,839700,699.05
2012-11-06,694.25,698.60,671.00,682.10,398800,681.13
2012-11-05,759.80,759.80,681.20,688.20,425300,687.22
2012-11-02,721.35,734.00,717.00,724.70,76700,723.66
2012-11-01,720.50,725.00,710.00,718.40,93100,717.37
2012-10-31,725.95,726.00,707.10,721.40,69200,720.37
2012-10-30,727.40,731.90,712.20,726.00,54600,724.96
2012-10-29,706.90,720.30,705.55,714.60,44700,713.58
2012-10-26,730.80,730.80,730.80,730.80,000,729.76
2012-10-25,705.40,745.00,697.00,730.80,267900,729.76
2012-10-24,708.35,708.35,708.35,708.35,000,707.34
2012-10-23,698.30,711.60,690.60,708.35,170800,707.34
2012-10-22,675.00,699.65,660.00,697.60,98400,696.60
2012-10-19,684.05,693.65,673.75,688.75,81900,687.77
2012-10-18,681.00,696.00,681.00,684.95,112100,683.97
2012-10-17,678.90,699.00,678.00,688.70,314700,687.72
2012-10-16,687.75,687.75,670.10,674.65,140000,673.69
2012-10-15,672.30,686.00,670.00,681.85,144100,680.88
2012-10-12,599.70,684.00,599.70,677.80,579000,676.83
2012-10-11,685.95,688.40,666.50,669.65,351300,668.69
2012-10-10,691.70,701.95,685.00,686.80,157800,685.82
2012-10-09,719.00,719.00,687.05,691.70,61600,690.71
2012-10-08,697.05,700.00,690.00,695.05,97800,694.06
2012-10-05,703.10,705.10,689.10,695.20,296700,694.21
2012-10-04,707.75,708.75,694.00,699.85,281300,698.85
2012-10-03,679.85,717.75,679.85,701.50,448300,700.50
2012-10-02,679.05,679.05,679.05,679.05,000,678.08
2012-10-01,667.35,688.00,667.35,679.05,234200,678.08
2012-09-28,677.90,685.00,662.00,668.95,284500,667.99
2012-09-27,661.55,677.85,658.60,674.00,198100,673.04
2012-09-26,676.00,680.00,658.35,662.95,345600,662.00
2012-09-25,666.90,676.00,660.65,672.50,163600,671.54
2012-09-24,659.95,668.10,656.85,663.40,201700,662.45
2012-09-21,669.55,669.55,657.25,659.95,153000,659.01
2012-09-20,643.05,668.00,643.00,662.70,146300,661.75
2012-09-19,649.10,649.10,649.10,649.10,000,648.17
2012-09-18,649.00,660.95,639.10,649.10,264900,648.17
2012-09-17,659.05,663.35,630.00,659.20,338000,658.26
2012-09-14,666.40,668.60,647.25,658.85,194500,657.91
2012-09-13,659.95,672.00,655.10,660.20,70500,659.26
2012-09-12,660.55,661.75,650.50,657.65,68100,656.71
2012-09-11,674.90,674.90,653.65,661.95,76400,661.00
2012-09-10,666.75,671.65,627.15,660.80,229700,659.86
2012-09-07,684.00,684.75,653.60,661.15,96900,660.21
2012-09-06,677.60,684.75,665.15,678.05,72800,677.08
2012-09-05,679.65,689.90,675.10,677.05,30000,676.08
2012-09-04,681.35,694.90,672.05,679.40,445300,678.43
2012-09-03,694.00,698.00,674.45,681.75,228800,680.78
2012-08-31,695.00,697.20,682.30,692.30,148600,691.31
2012-08-30,674.95,702.00,674.90,694.50,390700,693.51
2012-08-29,667.60,697.95,662.25,679.30,348400,678.33
2012-08-28,669.95,669.95,661.00,667.60,36500,666.65
2012-08-27,652.00,667.35,652.00,663.90,184900,662.95
2012-08-24,653.05,669.00,649.50,654.50,52200,653.57
2012-08-23,669.00,670.50,650.00,654.85,113400,653.91
2012-08-22,665.95,677.00,660.05,668.70,74400,667.74
2012-08-21,641.95,670.00,641.95,666.40,250800,665.45
2012-08-20,638.05,638.05,638.05,638.05,000,637.14
2012-08-17,636.00,644.00,633.25,638.05,75000,637.14
2012-08-16,635.00,639.00,627.80,632.80,669800,631.90
2012-08-15,631.15,631.15,631.15,631.15,000,630.25
2012-08-14,631.05,644.20,627.00,631.15,1335800,630.25
2012-08-13,619.00,637.90,617.90,633.05,366700,632.15
2012-08-10,640.80,646.10,613.00,619.95,328400,619.06
2012-08-09,619.45,627.95,612.25,623.70,137400,621.81
2012-08-08,621.00,621.95,607.45,617.85,72200,615.98
2012-08-07,617.30,624.90,600.55,606.10,137600,604.26
2012-08-06,640.00,643.95,609.20,617.30,229700,615.43
2012-08-03,631.60,637.00,625.00,636.25,106200,634.32
2012-08-02,634.80,640.00,629.75,632.25,124800,630.33
2012-08-01,622.90,646.50,621.25,629.65,1036600,627.74
2012-07-31,627.10,635.00,624.10,628.05,198700,626.15
2012-07-30,644.40,647.60,625.30,630.60,138000,628.69
2012-07-27,617.00,658.60,615.00,638.80,584100,636.86
2012-07-26,611.70,627.85,605.00,608.70,229200,606.86
2012-07-25,610.00,616.00,602.25,611.75,194000,609.90
2012-07-24,586.20,628.00,578.45,608.70,203200,606.86
2012-07-23,594.00,604.85,575.05,584.95,93300,583.18
2012-07-20,578.65,597.15,570.10,591.60,73100,589.81
2012-07-19,589.90,592.00,570.00,576.70,97900,574.95
2012-07-18,572.65,580.00,567.00,579.25,75200,577.50
2012-07-17,577.95,579.00,565.00,570.00,123000,568.27
2012-07-16,569.00,582.50,569.00,577.95,69000,576.20
2012-07-13,582.00,584.05,566.05,570.95,373900,569.22
2012-07-12,570.00,583.20,565.55,579.35,145000,577.59
2012-07-11,579.95,579.95,564.15,568.90,93900,567.18
2012-07-10,572.00,578.95,570.05,573.25,51100,571.51
2012-07-09,570.00,577.90,568.05,570.15,40900,568.42
2012-07-06,580.05,583.95,565.55,569.95,237700,568.22
2012-07-05,576.10,588.45,570.00,580.20,145400,578.44
2012-07-04,581.85,581.85,575.60,579.90,39900,578.14
2012-07-03,579.35,582.00,574.00,579.95,234400,578.19
