Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,301.65,301.65,301.65,301.65,000,301.65
2012-12-24,300.60,303.70,296.00,301.65,466400,301.65
2012-12-21,310.10,311.65,301.00,302.35,263900,302.35
2012-12-20,310.65,313.45,307.50,309.95,246700,309.95
2012-12-19,314.35,316.00,308.10,313.00,968500,313.00
2012-12-18,329.95,329.95,305.00,310.50,1355100,310.50
2012-12-17,308.00,311.85,305.30,307.50,364000,307.50
2012-12-14,309.75,314.25,307.65,311.20,439900,311.20
2012-12-13,316.95,317.90,306.20,307.65,482100,307.65
2012-12-12,309.15,316.00,305.10,315.05,1016500,315.05
2012-12-11,314.25,318.60,299.75,305.55,594600,305.55
2012-12-10,309.00,315.70,308.00,314.80,489600,314.80
2012-12-07,316.65,316.65,306.25,309.15,427900,309.15
2012-12-06,314.85,317.00,308.10,315.75,930700,315.75
2012-12-05,315.70,319.00,310.50,312.10,442400,312.10
2012-12-04,304.80,316.00,304.80,314.95,560100,314.95
2012-12-03,306.20,308.85,301.50,306.25,292300,306.25
2012-11-30,302.00,310.40,299.10,307.20,794400,307.20
2012-11-29,297.80,303.00,295.00,298.75,425900,298.75
2012-11-28,295.65,295.65,295.65,295.65,000,295.65
2012-11-27,290.50,298.00,290.15,295.65,510700,295.65
2012-11-26,288.90,291.30,287.25,289.70,221400,289.70
2012-11-23,288.15,292.20,284.00,287.70,387700,287.70
2012-11-22,292.00,294.70,287.50,289.80,248400,289.80
2012-11-21,285.10,292.40,283.85,290.90,246200,290.90
2012-11-20,294.00,297.00,284.20,286.75,329100,286.75
2012-11-19,300.20,302.75,292.00,293.30,331300,293.30
2012-11-16,307.20,309.30,298.35,300.25,275700,300.25
2012-11-15,300.90,308.95,297.90,306.55,496400,306.55
2012-11-14,303.80,303.80,303.80,303.80,000,303.80
2012-11-13,303.80,303.80,303.80,303.80,000,303.80
2012-11-12,314.00,314.00,302.10,303.80,274200,303.80
2012-11-09,314.20,318.35,306.30,308.50,634100,308.50
2012-11-08,317.90,322.50,314.30,318.90,275500,318.90
2012-11-07,318.00,325.95,315.50,319.25,1126600,319.25
2012-11-06,322.50,324.20,316.15,317.75,245800,317.75
2012-11-05,318.70,328.00,315.25,321.90,674600,321.90
2012-11-02,320.00,320.00,313.50,317.10,341800,317.10
2012-11-01,299.40,315.85,299.40,314.95,564400,314.95
2012-10-31,300.15,303.70,296.50,301.95,180800,301.95
2012-10-30,303.30,306.75,298.25,300.85,192600,300.85
2012-10-29,304.00,307.40,302.05,304.55,190400,304.55
2012-10-26,309.15,309.15,309.15,309.15,000,309.15
2012-10-25,310.70,311.30,306.10,309.15,364100,309.15
2012-10-24,311.05,311.05,311.05,311.05,000,311.05
2012-10-23,308.15,314.55,303.90,311.05,622700,311.05
2012-10-22,305.85,311.60,303.10,308.15,427900,308.15
2012-10-19,302.35,308.85,300.75,306.50,854300,306.50
2012-10-18,289.90,302.25,289.50,300.45,1077900,300.45
2012-10-17,262.30,291.35,262.30,289.85,384300,289.85
2012-10-16,293.55,294.30,285.20,286.40,609300,286.40
2012-10-15,282.50,292.80,280.20,291.55,779400,291.55
2012-10-12,280.00,287.90,279.20,280.85,172700,280.85
2012-10-11,280.40,285.45,276.55,283.95,282200,283.95
2012-10-10,282.80,286.75,278.25,279.10,214700,279.10
2012-10-09,285.50,288.35,281.40,284.60,176200,284.60
2012-10-08,288.90,292.90,280.55,283.45,438900,283.45
2012-10-05,298.50,299.40,285.10,288.35,584200,288.35
2012-10-04,291.75,299.90,291.60,296.95,1077900,296.95
2012-10-03,288.50,294.75,285.75,290.15,623400,290.15
2012-10-02,286.90,286.90,286.90,286.90,000,286.90
2012-10-01,289.45,289.50,283.50,286.90,280200,286.90
2012-09-28,289.00,296.95,283.10,287.10,853700,287.10
2012-09-27,290.80,292.40,286.20,287.90,249800,287.90
2012-09-26,292.40,298.65,288.35,290.80,814100,290.80
2012-09-25,275.10,293.60,271.20,291.55,1031200,291.55
2012-09-24,279.50,279.80,270.10,272.50,232200,272.50
2012-09-21,271.00,279.80,269.35,277.60,334100,277.60
2012-09-20,278.00,278.00,269.05,270.10,193300,270.10
2012-09-19,277.30,277.30,277.30,277.30,000,277.30
2012-09-18,270.65,282.50,270.65,277.30,433000,277.30
2012-09-17,268.00,277.90,268.00,273.75,175000,273.75
2012-09-14,275.00,281.00,271.50,273.25,332300,273.25
2012-09-13,276.25,281.30,272.10,276.00,385500,276.00
2012-09-12,280.00,283.90,275.05,278.45,535700,278.45
2012-09-11,266.55,282.50,265.65,280.50,1212800,280.50
2012-09-10,260.95,269.00,258.00,267.30,427800,267.30
2012-09-07,259.90,261.50,257.00,258.15,289200,258.15
2012-09-06,248.00,258.00,248.00,256.15,530400,256.15
2012-09-05,245.00,250.25,243.05,248.90,295600,248.90
2012-09-04,244.05,246.80,243.15,245.50,102700,245.50
2012-09-03,240.00,245.65,238.10,243.40,256000,243.40
