Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,47.15,47.15,47.15,47.15,000,47.15
2012-12-24,47.50,47.90,47.00,47.15,26700,47.15
2012-12-21,49.00,49.20,47.40,47.50,3115400,47.50
2012-12-20,48.30,49.00,47.75,48.85,171100,48.85
2012-12-19,49.50,49.50,47.50,47.85,227600,47.85
2012-12-18,49.20,49.25,48.15,48.90,52800,48.90
2012-12-17,49.45,49.80,48.10,48.75,29000,48.75
2012-12-14,47.65,49.90,47.15,49.35,870000,49.35
2012-12-13,49.70,49.85,47.05,48.30,129800,48.30
2012-12-12,49.85,50.25,48.55,49.45,505400,49.45
2012-12-11,48.85,50.00,48.60,49.95,112000,49.95
2012-12-10,50.10,50.50,48.65,49.05,553900,49.05
2012-12-07,49.05,49.95,49.05,49.40,63100,49.40
2012-12-06,49.45,49.90,48.00,49.15,69800,49.15
2012-12-05,48.35,49.15,47.90,48.20,45500,48.20
2012-12-04,48.65,49.80,47.50,48.90,165300,48.90
2012-12-03,46.20,48.90,46.15,48.20,100300,48.20
2012-11-30,47.65,47.65,45.50,46.75,1184200,46.75
2012-11-29,46.50,47.50,46.50,46.65,280800,46.65
2012-11-28,46.65,46.65,46.65,46.65,000,46.65
2012-11-27,46.10,47.00,46.00,46.65,1427000,46.65
2012-11-26,46.60,46.70,46.20,46.55,121000,46.55
2012-11-23,47.20,47.20,45.85,46.45,128300,46.45
2012-11-22,46.90,46.90,45.25,46.30,68800,46.30
2012-11-21,46.95,47.00,44.25,45.50,2262800,45.50
2012-11-20,46.95,47.20,46.05,46.90,241100,46.90
2012-11-19,46.95,47.25,46.00,46.35,129200,46.35
2012-11-16,47.45,47.50,46.60,46.70,336700,46.70
2012-11-15,49.60,49.60,47.10,47.45,261700,47.45
2012-11-14,47.90,47.90,47.90,47.90,000,47.90
2012-11-13,47.90,47.90,47.90,47.90,000,47.90
2012-11-12,48.50,48.95,46.95,47.90,50100,47.90
2012-11-09,48.50,49.00,47.00,47.10,1453800,47.10
2012-11-08,48.25,49.10,48.15,48.90,31700,48.90
2012-11-07,48.65,50.25,48.50,48.65,477700,48.65
2012-11-06,49.00,49.80,48.15,48.80,1874700,48.80
2012-11-05,48.20,49.50,48.20,49.15,145200,49.15
2012-11-02,49.10,49.10,48.20,48.55,72700,48.55
2012-11-01,47.60,48.80,47.20,48.50,230400,48.50
2012-10-31,50.00,50.25,47.10,47.60,1300300,47.60
2012-10-30,50.00,50.40,49.00,50.05,1050300,50.05
2012-10-29,50.00,50.50,50.00,50.00,25500,50.00
2012-10-26,50.10,50.10,50.10,50.10,000,50.10
2012-10-25,50.45,50.90,49.80,50.10,543900,50.10
2012-10-24,50.20,50.20,50.20,50.20,000,50.20
2012-10-23,50.85,50.90,49.75,50.20,995400,50.20
2012-10-22,50.10,50.90,50.10,50.30,190300,50.30
2012-10-19,51.10,51.45,50.35,50.60,57200,50.60
2012-10-18,51.30,51.30,50.65,51.00,251100,51.00
2012-10-17,51.85,51.85,50.90,51.45,29900,51.45
2012-10-16,50.00,51.80,50.00,51.00,150900,51.00
2012-10-15,50.55,51.50,50.05,50.25,82400,50.25
2012-10-12,51.05,51.60,50.35,50.50,642200,50.50
2012-10-11,51.75,52.10,51.00,51.10,751800,51.10
2012-10-10,52.40,52.40,51.50,51.70,268800,51.70
2012-10-09,52.00,52.40,51.40,51.90,320100,51.90
2012-10-08,51.35,52.90,51.25,51.55,207000,51.55
2012-10-05,53.45,53.50,51.10,52.00,362900,52.00
2012-10-04,52.20,53.30,51.30,53.00,521800,53.00
2012-10-03,52.00,52.35,50.50,51.85,436400,51.85
2012-10-02,51.90,51.90,51.90,51.90,000,51.90
2012-10-01,52.05,52.35,50.60,51.90,140500,51.90
2012-09-28,52.00,53.55,51.55,52.25,2307900,52.25
2012-09-27,52.00,53.00,50.25,50.40,21627500,50.40
2012-09-26,51.30,52.35,50.50,51.55,739400,51.55
2012-09-25,52.20,52.45,51.45,52.00,638600,52.00
2012-09-24,51.50,52.40,50.55,51.85,1723700,51.85
2012-09-21,49.00,51.50,49.00,50.80,578000,50.80
2012-09-20,50.50,50.50,49.90,50.00,358000,50.00
2012-09-19,50.45,50.45,50.45,50.45,000,50.45
2012-09-18,50.40,51.75,50.00,50.45,456800,50.45
2012-09-17,50.25,51.80,50.05,51.00,129400,51.00
2012-09-14,52.00,52.00,49.90,50.70,694800,50.70
2012-09-13,51.00,51.60,50.55,50.95,233600,50.95
2012-09-12,49.80,51.00,49.60,50.15,1811300,50.15
2012-09-11,49.80,49.85,49.00,49.55,70200,49.55
2012-09-10,48.50,49.50,48.25,49.00,1009900,49.00
2012-09-07,49.00,49.85,48.55,49.00,591300,49.00
2012-09-06,49.50,49.50,48.50,49.00,1901300,49.00
2012-09-05,50.00,50.55,48.50,49.20,2115400,49.20
2012-09-04,50.35,50.90,49.60,50.35,59300,50.35
2012-09-03,50.15,50.95,49.85,50.05,267600,50.05
2012-08-31,49.85,50.60,49.65,50.25,107800,50.25
2012-08-30,50.90,50.90,49.60,50.35,55700,50.35
2012-08-29,50.05,51.60,49.70,50.90,185200,50.90
2012-08-28,50.15,51.15,50.15,50.45,117300,50.45
2012-08-27,50.20,51.50,50.20,50.90,132400,50.90
2012-08-24,51.00,51.00,50.20,50.40,42400,50.40
2012-08-23,51.45,51.70,50.70,51.00,248200,51.00
2012-08-22,50.15,51.70,50.00,51.25,1878300,51.25
2012-08-21,50.70,51.10,49.30,50.85,738400,50.85
2012-08-20,50.70,50.70,50.70,50.70,000,50.70
2012-08-17,49.70,51.00,49.15,50.70,589300,50.70
2012-08-16,50.05,51.75,49.60,50.20,836600,50.20
2012-08-15,50.00,50.00,50.00,50.00,000,50.00
2012-08-14,50.00,50.20,49.80,50.00,100300,50.00
2012-08-13,49.80,50.95,49.25,50.15,355300,50.15
2012-08-10,51.00,51.10,48.80,49.80,261400,49.80
2012-08-09,51.35,52.00,51.00,51.20,45000,51.20
2012-08-08,52.65,53.15,50.75,51.35,45100,51.35
2012-08-07,53.25,53.75,52.10,52.20,52000,52.20
2012-08-06,53.60,54.00,52.95,53.25,36800,53.25
2012-08-03,54.20,55.00,53.05,53.40,71300,53.40
2012-08-02,54.05,55.40,54.05,54.55,26900,54.55
2012-08-01,55.00,55.80,54.60,54.80,20200,54.80
2012-07-31,56.85,56.85,54.55,55.15,24100,55.15
2012-07-30,55.00,55.50,54.50,55.25,93000,55.25
2012-07-27,59.00,59.00,54.80,55.50,186700,55.50
2012-07-26,57.10,58.60,56.50,58.20,252200,58.20
2012-07-25,56.10,57.75,56.10,57.60,56900,57.60
2012-07-24,56.10,57.20,56.10,56.60,50300,56.60
2012-07-23,56.85,57.20,56.05,56.95,49700,56.95
2012-07-20,55.50,57.00,55.45,56.60,39200,56.60
2012-07-19,55.20,56.80,54.90,56.30,127300,56.30
2012-07-18,55.30,56.25,55.00,55.05,46100,55.05
2012-07-17,57.00,57.60,54.75,55.10,93800,55.10
2012-07-16,55.55,56.85,55.55,56.10,5247900,56.10
2012-07-13,55.50,55.95,55.20,55.55,49300,55.55
2012-07-12,55.10,55.75,53.55,55.05,90800,55.05
2012-07-11,56.95,58.00,53.65,54.00,261800,54.00
2012-07-10,56.90,56.90,55.85,56.00,140900,56.00
2012-07-09,57.30,57.50,56.25,56.45,40500,56.45
2012-07-06,57.60,58.40,57.00,57.30,222200,57.30
2012-07-05,57.05,57.50,56.30,56.65,77700,56.65
2012-07-04,58.80,59.50,56.80,56.95,250200,56.95
2012-07-03,57.90,58.25,57.05,57.30,35000,57.30
2012-07-02,58.00,58.45,57.65,57.75,16700,57.75
