Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,81.00,81.00,81.00,81.00,000,81.00
2012-12-24,80.85,81.80,80.00,81.00,76800,81.00
2012-12-21,81.00,81.65,80.25,80.85,110500,80.85
2012-12-20,79.95,80.90,79.45,80.05,122500,80.05
2012-12-19,81.00,81.05,78.90,79.95,288000,79.95
2012-12-18,81.50,81.65,80.80,80.95,82000,80.95
2012-12-17,81.40,82.00,81.10,81.55,28400,81.55
2012-12-14,82.00,82.00,81.10,81.60,26900,81.60
2012-12-13,82.75,82.75,80.90,82.10,70100,82.10
2012-12-12,82.50,82.70,80.80,82.45,71400,82.45
2012-12-11,82.90,83.00,81.60,82.45,47900,82.45
2012-12-10,83.70,83.70,82.70,82.90,37800,82.90
2012-12-07,83.10,84.25,82.70,83.20,81800,83.20
2012-12-06,83.75,84.45,82.90,83.45,108700,83.45
2012-12-05,82.80,86.50,82.55,83.75,334000,83.75
2012-12-04,83.00,83.05,82.80,82.90,38500,82.90
2012-12-03,84.75,84.75,82.85,83.00,45800,83.00
2012-11-30,84.00,84.75,83.10,83.55,78900,83.55
2012-11-29,83.50,83.80,82.60,83.30,66600,83.30
2012-11-28,83.55,83.55,83.55,83.55,000,83.55
2012-11-27,83.55,84.60,83.15,83.55,69400,83.55
2012-11-26,83.50,85.50,83.25,83.85,70100,83.85
2012-11-23,84.50,85.85,84.50,84.90,26000,84.90
2012-11-22,86.25,86.35,84.00,85.25,29700,85.25
2012-11-21,83.00,85.50,82.50,85.05,28000,85.05
2012-11-20,85.70,86.30,82.85,83.40,95000,83.40
2012-11-19,89.55,90.00,84.85,85.60,399600,85.60
2012-11-16,86.20,89.00,85.00,87.50,339800,87.50
2012-11-15,85.05,85.70,83.50,85.00,10400,85.00
2012-11-14,84.70,84.70,84.70,84.70,000,84.70
2012-11-13,84.70,84.70,84.70,84.70,000,84.70
2012-11-12,86.50,86.80,81.75,84.70,33300,84.70
2012-11-09,87.40,87.50,85.05,86.30,22400,86.30
2012-11-08,86.50,87.70,85.35,86.80,59800,86.80
2012-11-07,82.85,86.20,82.85,85.30,50100,85.30
2012-11-06,82.90,83.45,82.10,82.85,14500,82.85
2012-11-05,83.95,83.95,82.40,82.80,9500,82.80
2012-11-02,83.85,83.90,83.00,83.15,9700,83.15
2012-11-01,83.10,84.00,82.75,83.80,12500,83.80
2012-10-31,84.25,84.30,83.00,83.65,13400,83.65
2012-10-30,83.80,84.85,82.50,83.25,9900,83.25
2012-10-29,85.75,85.75,83.75,83.80,14900,83.80
2012-10-26,84.70,84.70,84.70,84.70,000,84.70
2012-10-25,85.80,85.80,83.35,84.70,17900,84.70
2012-10-24,83.45,83.45,83.45,83.45,000,83.45
2012-10-23,84.65,84.65,83.20,83.45,7000,83.45
2012-10-22,84.35,84.50,83.45,84.00,20700,84.00
2012-10-19,83.55,84.85,83.25,83.55,11700,83.55
2012-10-18,83.60,84.50,83.50,83.85,46300,83.85
2012-10-17,83.85,84.75,83.05,83.95,12000,83.95
2012-10-16,84.05,85.90,83.70,83.95,24900,83.95
2012-10-15,83.05,85.00,83.05,84.00,32200,84.00
2012-10-12,84.95,85.10,82.50,83.90,28300,83.90
2012-10-11,83.00,83.80,82.25,83.65,12700,83.65
2012-10-10,84.00,84.00,82.80,83.40,19300,83.40
2012-10-09,84.60,85.00,83.25,83.75,28800,83.75
2012-10-08,83.70,83.95,83.00,83.70,11200,83.70
2012-10-05,85.65,85.65,82.50,83.70,16100,83.70
2012-10-04,84.30,86.00,83.50,84.05,62200,84.05
2012-10-03,82.95,84.40,82.85,83.45,21500,83.45
2012-10-02,82.80,82.80,82.80,82.80,000,82.80
2012-10-01,81.00,83.50,81.00,82.80,19200,82.80
2012-09-28,82.50,83.50,80.20,80.95,98500,80.95
2012-09-27,83.50,83.50,82.20,82.35,10500,82.35
2012-09-26,83.80,83.80,82.30,83.25,10800,83.25
2012-09-25,85.60,85.60,82.65,83.00,23000,83.00
2012-09-24,84.70,86.25,83.20,84.30,27700,84.30
2012-09-21,86.50,86.50,84.00,85.05,62500,85.05
2012-09-20,83.05,86.30,82.30,85.10,63500,85.10
2012-09-19,84.20,84.20,84.20,84.20,000,84.20
2012-09-18,81.85,85.80,81.00,84.20,85000,84.20
2012-09-17,83.00,83.70,81.40,82.20,22300,82.20
2012-09-14,84.00,84.50,81.25,82.20,32000,82.20
2012-09-13,83.00,84.40,82.55,83.10,25100,83.10
2012-09-12,83.20,83.55,82.30,82.70,30700,82.70
2012-09-11,82.90,83.45,82.40,82.60,38200,82.60
2012-09-10,80.00,82.85,80.00,82.05,142800,82.05
2012-09-07,79.30,79.85,77.60,78.90,30800,78.90
2012-09-06,77.15,80.00,77.15,79.15,12800,79.15
2012-09-05,77.50,79.25,77.20,78.55,20800,78.55
2012-09-04,77.35,78.70,77.15,78.15,14200,78.15
2012-09-03,78.15,79.05,77.00,78.10,21800,78.10
2012-08-31,83.00,83.00,77.15,78.75,78300,78.75
2012-08-30,78.00,78.50,77.00,77.95,22100,77.95
2012-08-29,80.70,81.50,78.25,78.60,26100,78.60
2012-08-28,79.00,82.55,77.90,80.60,77400,80.60
2012-08-27,82.00,82.05,79.10,79.30,21100,79.30
2012-08-24,80.90,81.35,80.00,80.45,19400,80.45
2012-08-23,82.65,85.50,80.55,80.90,117700,80.90
2012-08-22,81.45,83.00,80.80,81.60,24100,81.60
2012-08-21,81.95,82.95,81.45,81.75,9800,81.75
2012-08-20,81.95,81.95,81.95,81.95,000,81.95
2012-08-17,82.00,82.65,81.10,81.95,46400,81.95
2012-08-16,82.15,82.50,80.00,81.45,23300,81.45
2012-08-15,82.10,82.10,82.10,82.10,000,82.10
2012-08-14,83.15,83.15,82.05,82.10,12400,82.10
2012-08-13,82.30,82.70,82.10,82.35,8500,82.35
2012-08-10,82.25,82.70,82.10,82.20,9000,82.20
2012-08-09,82.80,84.95,82.10,83.00,47300,83.00
2012-08-08,82.50,82.65,81.80,82.10,32500,82.10
2012-08-07,82.10,82.65,82.10,82.35,20400,82.35
2012-08-06,84.45,84.50,82.10,82.15,40700,82.15
2012-08-03,83.15,84.80,83.00,83.65,38800,83.65
2012-08-02,85.00,85.60,83.50,84.10,32000,84.10
2012-08-01,83.65,84.70,83.50,84.10,22900,84.10
2012-07-31,82.15,85.00,82.15,83.60,72100,83.60
2012-07-30,83.00,83.00,82.10,82.35,10900,82.35
2012-07-27,83.35,83.35,81.15,82.10,38600,82.10
2012-07-26,82.10,86.00,82.10,82.20,103800,82.20
2012-07-25,84.00,84.50,81.95,82.20,30300,82.20
2012-07-24,81.90,83.50,81.00,82.65,32500,82.65
2012-07-23,82.50,82.50,81.70,82.20,31800,82.20
2012-07-20,83.00,83.65,82.10,82.25,25300,82.25
2012-07-19,83.75,84.75,83.00,83.50,43000,83.50
2012-07-18,88.00,89.00,83.15,83.75,58700,83.75
2012-07-17,88.80,90.00,87.50,87.70,50400,84.20
2012-07-16,88.90,88.90,87.75,88.30,23800,84.78
2012-07-13,87.35,88.70,87.35,87.80,45800,84.30
2012-07-12,87.95,88.00,87.05,87.25,44500,83.77
2012-07-11,88.00,88.80,87.20,88.10,48200,84.58
2012-07-10,87.80,88.90,87.20,87.85,85900,84.34
2012-07-09,90.70,92.15,85.45,87.05,261100,83.58
2012-07-06,92.50,93.00,90.25,90.60,134100,86.98
2012-07-05,89.60,91.50,89.60,91.05,62900,87.42
2012-07-04,89.15,90.30,88.35,89.75,36200,86.17
2012-07-03,88.75,89.85,88.30,89.35,18400,85.78
2012-07-02,90.00,90.90,87.35,88.75,66600,85.21
2012-06-29,88.00,90.35,87.40,89.70,87200,86.12
2012-06-28,87.70,89.65,87.70,88.00,14500,84.49
2012-06-27,86.60,88.40,86.60,87.90,18500,84.39
