Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,3171.80,3171.80,3171.80,3171.80,000,3171.80
2012-12-24,3212.00,3233.90,3157.80,3171.80,123200,3171.80
2012-12-21,3215.00,3247.75,3181.90,3211.05,79900,3211.05
2012-12-20,3233.50,3248.15,3201.00,3228.25,53000,3228.25
2012-12-19,3244.90,3245.40,3211.25,3233.45,38200,3233.45
2012-12-18,3185.25,3239.95,3181.15,3230.50,59000,3230.50
2012-12-17,3149.60,3193.00,3137.20,3183.45,42200,3183.45
2012-12-14,3140.25,3157.95,3126.00,3141.40,80600,3141.40
2012-12-13,3138.10,3166.55,3120.10,3136.55,80400,3136.55
2012-12-12,3211.15,3237.85,3135.10,3152.70,107900,3152.70
2012-12-11,3210.00,3244.00,3185.30,3209.25,61400,3209.25
2012-12-10,3260.00,3260.40,3181.00,3201.60,122200,3201.60
2012-12-07,3300.00,3300.05,3241.00,3248.25,70300,3248.25
2012-12-06,3290.00,3298.00,3225.00,3292.05,108600,3292.05
2012-12-05,3290.00,3321.40,3280.00,3293.35,62900,3293.35
2012-12-04,3340.00,3356.75,3275.00,3278.85,63100,3278.85
2012-12-03,3360.00,3405.00,3311.00,3322.60,50300,3322.60
2012-11-30,3310.00,3389.00,3285.80,3360.40,71300,3360.40
2012-11-29,3212.25,3324.00,3212.25,3307.50,114900,3307.50
2012-11-28,3209.05,3209.05,3209.05,3209.05,000,3209.05
2012-11-27,3200.15,3240.00,3199.65,3209.05,47000,3209.05
2012-11-26,3170.00,3223.80,3170.00,3200.15,51700,3200.15
2012-11-23,3240.00,3246.90,3172.00,3181.20,30600,3181.20
2012-11-22,3190.00,3253.80,3170.00,3241.95,27800,3241.95
2012-11-21,3165.00,3212.00,3145.00,3179.30,40500,3179.30
2012-11-20,3171.00,3176.60,3149.60,3161.40,92400,3161.40
2012-11-19,3187.90,3199.95,3160.05,3170.45,41300,3170.45
2012-11-16,3230.00,3238.90,3167.00,3179.65,90000,3179.65
2012-11-15,3315.00,3315.00,3212.35,3231.65,70800,3231.65
2012-11-14,3356.25,3356.25,3356.25,3356.25,000,3356.25
2012-11-13,3356.25,3356.25,3356.25,3356.25,000,3356.25
2012-11-12,3362.00,3378.70,3345.00,3356.25,18100,3356.25
2012-11-09,3366.50,3390.00,3341.00,3361.80,34500,3361.80
2012-11-08,3386.15,3391.20,3348.45,3359.70,69400,3359.70
2012-11-07,3338.00,3415.20,3334.00,3402.30,103200,3402.30
2012-11-06,3342.05,3400.00,3302.65,3359.95,77200,3359.95
2012-11-05,3362.00,3379.50,3335.10,3341.80,44000,3341.80
2012-11-02,3358.00,3384.90,3355.00,3361.80,53300,3361.80
2012-11-01,3311.55,3361.65,3280.00,3349.25,32300,3349.25
2012-10-31,3305.00,3342.80,3300.00,3313.00,41200,3313.00
2012-10-30,3389.00,3403.55,3293.75,3300.65,58300,3300.65
2012-10-29,3403.00,3445.60,3365.00,3380.80,41900,3380.80
2012-10-26,3422.05,3422.05,3422.05,3422.05,000,3422.05
2012-10-25,3388.00,3452.00,3378.00,3422.05,111100,3422.05
2012-10-24,3400.00,3400.00,3400.00,3400.00,000,3400.00
2012-10-23,3411.00,3430.00,3383.40,3400.00,59800,3400.00
2012-10-22,3413.25,3440.00,3394.05,3418.00,56700,3418.00
2012-10-19,3488.00,3488.00,3400.45,3412.25,67400,3412.25
2012-10-18,3504.95,3507.75,3440.90,3479.75,118700,3479.75
2012-10-17,3470.00,3510.00,3464.45,3499.20,283000,3499.20
2012-10-16,3429.95,3478.00,3429.95,3464.45,157100,3464.45
2012-10-15,3376.00,3434.00,3376.00,3422.65,44700,3422.65
2012-10-12,3355.90,3420.00,3341.00,3388.10,51300,3388.10
2012-10-11,3305.05,3361.00,3302.65,3346.15,46200,3346.15
2012-10-10,3283.90,3358.95,3283.90,3302.10,72700,3302.10
2012-10-09,3305.10,3326.00,3260.00,3310.15,60300,3310.15
2012-10-08,3348.00,3372.40,3286.00,3298.90,40100,3298.90
2012-10-05,3389.00,3436.00,2844.20,3362.15,154300,3362.15
2012-10-04,3389.00,3438.20,3381.50,3397.75,79300,3397.75
2012-10-03,3399.00,3419.00,3362.05,3375.60,111900,3375.60
2012-10-02,3393.90,3393.90,3393.90,3393.90,000,3393.90
2012-10-01,3276.05,3409.00,3276.05,3393.90,75200,3393.90
2012-09-28,3262.25,3348.50,3262.25,3314.25,83300,3314.25
2012-09-27,3232.05,3274.50,3225.25,3252.60,171200,3252.60
2012-09-26,3251.00,3273.35,3201.05,3231.00,84500,3231.00
2012-09-25,3204.05,3277.50,3204.05,3250.55,78900,3250.55
2012-09-24,3240.00,3240.00,3197.60,3203.20,90500,3203.20
2012-09-21,3111.00,3264.15,3100.05,3235.75,123700,3235.75
2012-09-20,3066.00,3126.75,3066.00,3110.55,39100,3110.55
2012-09-19,3110.05,3110.05,3110.05,3110.05,000,3110.05
2012-09-18,3099.95,3139.55,3080.30,3110.05,99500,3110.05
2012-09-17,3120.00,3150.00,3081.00,3098.00,61300,3098.00
2012-09-14,3055.00,3121.00,3051.15,3111.00,85400,3111.00
2012-09-13,3036.90,3039.95,3005.00,3035.95,69900,3035.95
2012-09-12,3025.00,3038.00,3000.05,3013.05,42000,3013.05
2012-09-11,2970.05,3029.50,2952.10,3019.70,80800,3019.70
2012-09-10,2979.95,2980.00,2941.05,2976.90,40500,2976.90
2012-09-07,2950.00,2995.40,2941.10,2973.80,35700,2973.80
2012-09-06,2920.05,2953.00,2887.00,2929.90,118900,2929.90
2012-09-05,2951.00,2963.70,2907.80,2926.55,46100,2926.55
2012-09-04,2960.05,2978.95,2951.00,2964.90,36800,2964.90
2012-09-03,2997.95,3000.00,2966.00,2977.25,22400,2977.25
2012-08-31,2980.00,3000.00,2960.00,2989.80,36100,2989.80
2012-08-30,2991.00,3020.00,2946.65,2975.90,154100,2975.90
2012-08-29,3008.75,3023.00,2990.55,3009.75,87200,3009.75
2012-08-28,3033.00,3040.00,2981.00,3008.75,50400,3008.75
2012-08-27,3011.00,3035.00,3000.50,3032.00,48100,3032.00
2012-08-24,3039.80,3039.80,3000.00,3031.35,46500,3008.85
2012-08-23,3050.00,3064.70,3014.75,3029.05,42100,3006.57
2012-08-22,3043.80,3069.50,3030.30,3046.35,150200,3023.74
2012-08-21,3022.00,3065.00,3010.40,3047.20,50800,3024.58
2012-08-20,3021.95,3021.95,3021.95,3021.95,000,2999.52
2012-08-17,3015.00,3032.30,2996.20,3021.95,61700,2999.52
2012-08-16,3025.00,3048.90,3008.00,3025.70,93100,3003.24
2012-08-15,3013.40,3013.40,3013.40,3013.40,000,2991.03
2012-08-14,2992.00,3025.00,2961.15,3013.40,145600,2991.03
2012-08-13,2995.00,3010.00,2951.50,2983.75,61500,2961.60
2012-08-10,3015.00,3025.00,2980.25,2994.80,78700,2972.57
2012-08-09,3006.00,3047.60,2985.10,3017.75,132500,2995.35
2012-08-08,2928.95,2980.00,2923.05,2970.80,121900,2948.75
2012-08-07,2904.95,2937.00,2887.30,2929.40,87300,2907.66
2012-08-06,2921.00,2949.00,2900.35,2915.40,64100,2893.76
2012-08-03,2890.50,2925.00,2886.45,2910.95,142600,2889.34
2012-08-02,2874.00,2923.00,2870.00,2918.25,99500,2896.59
2012-08-01,2869.00,2905.00,2846.00,2896.60,106200,2875.10
2012-07-31,2770.25,2885.00,2742.00,2870.25,244800,2848.95
2012-07-30,2719.90,2788.00,2702.00,2768.25,149600,2747.70
2012-07-27,2670.00,2720.05,2668.00,2699.60,74900,2679.56
2012-07-26,2639.00,2670.00,2615.10,2645.05,73400,2625.42
2012-07-25,2596.80,2646.95,2596.80,2634.70,60000,2615.14
2012-07-24,2620.00,2665.00,2599.15,2609.70,37300,2590.33
2012-07-23,2610.25,2646.35,2602.95,2613.40,45200,2594.00
2012-07-20,2640.25,2668.30,2620.00,2634.80,27800,2615.24
2012-07-19,2635.00,2665.00,2630.00,2652.70,18700,2633.01
2012-07-18,2587.05,2644.10,2576.50,2627.85,41500,2608.35
2012-07-17,2599.90,2614.65,2571.90,2586.30,26000,2567.10
2012-07-16,2638.40,2656.20,2575.20,2598.55,30000,2579.26
2012-07-13,2650.00,2669.90,2631.10,2638.55,15700,2618.97
2012-07-12,2630.00,2653.00,2620.00,2643.75,15200,2624.13
2012-07-11,2650.00,2671.00,2621.55,2635.20,65300,2615.64
2012-07-10,2627.00,2657.45,2606.85,2647.25,66500,2627.60
2012-07-09,2672.00,2672.00,2597.00,2633.95,56100,2614.40
2012-07-06,2679.00,2698.55,2657.10,2677.10,126000,2657.23
2012-07-05,2680.00,2700.00,2653.05,2663.55,91200,2643.78
2012-07-04,2698.00,2698.90,2659.35,2677.80,64000,2657.92
2012-07-03,2729.05,2729.05,2673.00,2697.05,116300,2677.03
2012-07-02,2641.00,2755.00,2622.10,2717.15,83300,2696.98
2012-06-29,2580.95,2662.50,2575.95,2640.90,85500,2621.30
2012-06-28,2577.60,2600.00,2552.00,2573.85,58800,2554.75
2012-06-27,2545.00,2688.00,2521.15,2562.40,90300,2543.38
2012-06-26,2469.90,2546.00,2469.90,2535.20,61100,2516.38
2012-06-25,2526.70,2540.00,2460.85,2469.45,56700,2451.12
2012-06-22,2444.00,2534.00,2403.90,2526.70,116300,2507.95
2012-06-21,2490.00,2513.85,2470.05,2504.00,59400,2485.41
2012-06-20,2437.05,2524.00,2437.05,2499.70,112800,2481.15
2012-06-19,2431.05,2505.00,2429.90,2479.55,100800,2461.15
2012-06-18,2489.00,2525.00,2431.00,2446.85,41900,2428.69
2012-06-15,2348.00,2507.00,2348.00,2485.80,81500,2467.35
2012-06-14,2385.00,2397.95,2337.00,2346.45,61100,2329.03
2012-06-13,2385.00,2396.00,2360.00,2372.75,29800,2355.14
2012-06-12,2345.00,2390.00,2310.00,2381.40,37900,2363.72
2012-06-11,2320.00,2355.80,2320.00,2340.20,55100,2322.83
2012-06-08,2305.50,2324.95,2261.35,2307.50,74200,2290.37
2012-06-07,2350.00,2350.00,2301.00,2309.90,87200,2292.75
2012-06-06,2323.50,2352.00,2280.10,2331.95,86100,2314.64
2012-06-05,2258.40,2320.00,2252.05,2311.25,67200,2294.09
2012-06-04,2238.95,2275.15,2210.00,2241.95,50800,2225.31
2012-06-01,2301.00,2329.95,2239.00,2246.00,50300,2229.33
2012-05-31,2356.05,2384.90,2290.30,2306.00,134600,2288.88
2012-05-30,2393.90,2393.90,2350.10,2359.70,38900,2342.19
2012-05-29,2400.25,2433.00,2370.00,2385.20,30500,2367.50
2012-05-28,2392.00,2428.95,2387.55,2412.05,36600,2394.15
2012-05-25,2378.00,2398.00,2352.00,2374.50,35900,2356.88
2012-05-24,2371.00,2410.00,2352.00,2393.95,27900,2376.18
2012-05-23,2371.00,2407.00,2341.00,2382.45,165300,2364.77
2012-05-22,2426.00,2447.40,2364.80,2392.60,85500,2374.84
2012-05-21,2383.00,2417.95,2370.85,2408.60,20800,2390.72
