Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,3850.00,3850.00,3772.00,3776.10,47200,3776.10
2013-01-22,3771.00,3788.00,3771.00,3781.25,20200,3781.25
2013-01-21,3791.30,3801.45,3761.25,3772.80,88800,3772.80
2013-01-18,3810.55,3816.00,3784.00,3789.45,68500,3789.45
2013-01-17,3831.65,3834.90,3802.00,3806.75,80500,3806.75
2013-01-16,3826.40,3840.00,3816.10,3825.35,70500,3825.35
2013-01-15,3805.00,3845.00,3804.95,3835.30,64600,3835.30
2013-01-14,3844.75,3855.00,3825.00,3837.35,67000,3837.35
2013-01-11,3895.00,3895.00,3862.15,3862.95,82800,3862.95
2013-01-10,3894.40,3894.40,3862.60,3868.60,99300,3868.60
2013-01-09,3880.00,3898.00,3855.10,3865.00,71800,3865.00
2013-01-08,3859.70,3862.70,3842.60,3857.60,82200,3857.60
2013-01-07,3846.00,3854.90,3830.50,3843.50,180500,3843.50
2013-01-04,3835.00,3844.95,3830.10,3841.15,18500,3841.15
2013-01-03,3835.80,3855.00,3826.00,3830.10,125400,3830.10
2013-01-02,3840.00,3840.00,3825.00,3826.95,27300,3826.95
2013-01-01,3815.05,3839.95,3806.50,3833.90,8700,3833.90
2012-12-31,3782.25,3815.00,3782.20,3804.30,36100,3804.30
2012-12-28,3817.50,3834.00,3765.05,3803.25,47300,3803.25
2012-12-27,3831.95,3845.10,3812.00,3816.60,22000,3816.60
2012-12-26,3809.95,3844.45,3780.10,3826.60,21800,3826.60
2012-12-25,3797.85,3797.85,3797.85,3797.85,000,3797.85
2012-12-24,3775.00,3810.00,3760.00,3797.85,8700,3797.85
2012-12-21,3774.95,3774.95,3753.00,3770.40,26200,3770.40
2012-12-20,3755.05,3765.00,3753.10,3761.55,35000,3761.55
2012-12-19,3774.95,3774.95,3750.20,3759.50,22000,3759.50
2012-12-18,3746.05,3759.10,3745.80,3758.50,3000,3758.50
2012-12-17,3740.00,3755.00,3737.00,3750.85,14100,3750.85
2012-12-14,3740.00,3757.90,3734.00,3749.55,5600,3749.55
2012-12-13,3768.65,3769.65,3733.00,3740.65,9600,3740.65
2012-12-12,3765.70,3770.00,3740.00,3741.25,13100,3741.25
2012-12-11,3775.00,3789.10,3750.00,3765.70,23100,3765.70
2012-12-10,3764.95,3789.10,3761.00,3770.85,13700,3770.85
2012-12-07,3825.00,3825.00,3751.15,3759.80,16600,3759.80
2012-12-06,3802.25,3805.35,3768.50,3775.20,20900,3775.20
2012-12-05,3808.60,3819.80,3781.20,3795.25,45000,3795.25
2012-12-04,3740.00,3797.70,3722.80,3777.90,41200,3777.90
2012-12-03,3705.00,3725.00,3681.10,3721.15,61400,3721.15
2012-11-30,3692.05,3709.95,3670.00,3690.90,43100,3690.90
2012-11-29,3705.00,3719.00,3661.15,3695.60,57800,3695.60
2012-11-28,3682.40,3682.40,3682.40,3682.40,000,3682.40
2012-11-27,4391.00,4391.00,3666.05,3682.40,184600,3682.40
2012-11-26,3659.20,3659.20,3659.20,3659.20,13600,3659.20
2012-11-23,3050.00,3062.95,3039.95,3049.35,17600,3049.35
2012-11-22,3049.65,3080.00,3025.20,3046.95,19000,3046.95
2012-11-21,3079.00,3079.00,3015.00,3032.75,7300,3032.75
2012-11-20,2982.65,3096.00,2982.65,3040.45,5800,3040.45
2012-11-19,3020.00,3062.95,3002.00,3042.45,28900,3042.45
2012-11-16,3000.75,3050.00,2989.00,3026.20,39000,3026.20
2012-11-15,3013.10,3047.00,2992.10,2999.95,31000,2999.95
2012-11-14,3011.95,3011.95,3011.95,3011.95,000,3011.95
2012-11-13,3011.95,3011.95,3011.95,3011.95,000,3011.95
2012-11-12,3079.90,3079.90,2976.25,3011.95,25000,3011.95
2012-11-09,3041.35,3076.20,3041.00,3051.50,26800,3051.50
2012-11-08,3042.15,3082.50,3007.25,3046.05,10200,3046.05
2012-11-07,3082.80,3088.30,3035.00,3049.70,54700,3049.70
2012-11-06,3057.00,3094.00,3056.95,3063.50,7600,3063.50
2012-11-05,3090.00,3144.85,3038.95,3052.50,34100,3052.50
2012-11-02,3059.00,3140.00,3015.55,3091.60,15800,3091.60
2012-11-01,3037.00,3055.00,2952.90,3020.05,36600,3020.05
2012-10-31,3010.00,3059.00,2987.00,3037.00,14100,3037.00
2012-10-30,3044.95,3044.95,2990.00,2994.90,2500,2994.90
2012-10-29,3075.05,3114.85,2984.65,3012.35,12300,3012.35
2012-10-26,3095.40,3095.40,3095.40,3095.40,000,3095.40
2012-10-25,3150.00,3150.00,3050.25,3095.40,7400,3095.40
2012-10-24,3078.70,3078.70,3078.70,3078.70,000,3078.70
2012-10-23,3099.00,3099.00,3031.10,3078.70,8900,3078.70
2012-10-22,2900.50,3070.45,2900.50,3040.20,8100,3040.20
2012-10-19,3029.45,3080.00,2998.00,3070.45,9400,3070.45
2012-10-18,2974.40,3050.00,2974.40,3018.25,8800,3018.25
2012-10-17,2926.00,3014.95,2925.00,2995.85,48100,2995.85
2012-10-16,2986.00,3009.70,2934.00,2947.55,6800,2947.55
2012-10-15,2972.25,3019.50,2964.00,2980.45,4400,2980.45
2012-10-12,3010.25,3019.00,2980.00,3011.75,4900,3011.75
2012-10-11,2979.65,3028.00,2969.95,3016.30,31200,3016.30
2012-10-10,2945.00,2995.10,2936.00,2984.40,55400,2984.40
2012-10-09,2965.05,2997.70,2882.35,2934.05,12200,2934.05
2012-10-08,2997.95,3000.00,2964.00,2967.20,43600,2967.20
2012-10-05,3020.50,3021.05,2951.65,2984.55,15400,2984.55
2012-10-04,3008.95,3066.00,2965.00,3012.40,27500,3012.40
2012-10-03,3010.05,3038.65,2960.00,2967.05,23600,2967.05
2012-10-02,3008.45,3008.45,3008.45,3008.45,000,3008.45
2012-10-01,2998.90,3084.65,2993.30,3008.45,17200,3008.45
2012-09-28,2949.95,3025.00,2913.55,3001.60,24300,3001.60
2012-09-27,2895.60,3000.00,2855.20,2913.00,26500,2913.00
2012-09-26,2950.05,2960.00,2905.05,2922.60,28000,2922.60
2012-09-25,2988.40,2988.40,2917.05,2955.70,59300,2955.70
2012-09-24,2999.00,2999.00,2912.40,2957.95,43800,2957.95
2012-09-21,2892.00,2950.00,2892.00,2923.75,42100,2923.75
2012-09-20,2904.95,2947.90,2890.55,2910.30,30100,2910.30
2012-09-19,2927.30,2927.30,2927.30,2927.30,000,2927.30
2012-09-18,2400.00,2984.80,2400.00,2927.30,73500,2927.30
2012-09-17,3120.00,3120.00,2962.00,2975.25,29600,2975.25
2012-09-14,3082.15,3142.75,3012.00,3070.10,10100,3070.10
2012-09-13,3029.00,3093.40,3000.00,3078.80,23500,3078.80
2012-09-12,2936.00,3030.00,2913.05,2996.85,22400,2996.85
2012-09-11,2940.00,2969.55,2913.00,2933.60,12700,2933.60
2012-09-10,2934.85,2967.00,2902.50,2926.35,11800,2926.35
2012-09-07,2938.00,2938.00,2875.00,2910.20,26600,2910.20
2012-09-06,2878.35,2928.00,2866.00,2922.00,11300,2922.00
2012-09-05,2875.30,2920.00,2864.10,2900.40,11700,2900.40
2012-09-04,2900.10,2943.85,2875.00,2885.00,11400,2885.00
2012-09-03,2965.00,2970.00,2882.35,2905.30,5000,2905.30
2012-08-31,2923.75,2965.90,2892.35,2956.45,19700,2956.45
2012-08-30,2915.05,2930.00,2885.00,2916.45,13800,2916.45
2012-08-29,2911.15,2915.00,2865.00,2895.55,72500,2895.55
2012-08-28,2919.80,2940.00,2880.05,2903.70,21700,2903.70
2012-08-27,2859.00,2953.95,2820.15,2909.00,10400,2909.00
2012-08-24,2849.00,2912.30,2786.00,2895.00,18300,2895.00
2012-08-23,2879.00,2889.00,2844.95,2856.55,2200,2856.55
2012-08-22,2840.00,2865.00,2815.00,2856.40,11100,2856.40
2012-08-21,2838.80,2855.00,2750.00,2807.50,28200,2807.50
2012-08-20,2819.10,2819.10,2819.10,2819.10,000,2819.10
2012-08-17,2824.95,2844.95,2804.90,2819.10,15500,2819.10
2012-08-16,2809.05,2835.00,2782.00,2809.40,11300,2809.40
2012-08-15,2792.40,2792.40,2792.40,2792.40,000,2792.40
2012-08-14,2778.20,2817.70,2751.25,2792.40,20700,2792.40
2012-08-13,2770.00,2838.65,2770.00,2784.65,8800,2784.65
2012-08-10,2855.00,2855.00,2799.00,2813.25,12600,2813.25
2012-08-09,2834.00,2838.00,2800.05,2829.60,48600,2829.60
2012-08-08,2838.00,2846.55,2792.00,2806.80,17800,2806.80
2012-08-07,2839.95,2840.00,2791.05,2809.65,3600,2809.65
2012-08-06,2772.95,2837.70,2733.40,2822.30,38300,2822.30
2012-08-03,2744.85,2748.00,2728.25,2732.05,59400,2732.05
2012-08-02,2700.00,2745.95,2700.00,2718.60,41000,2718.60
2012-08-01,2631.00,2710.00,2631.00,2689.00,20400,2689.00
2012-07-31,2680.25,2697.75,2630.00,2645.90,8900,2645.90
2012-07-30,2695.00,2718.90,2653.65,2667.80,16700,2667.80
2012-07-27,2629.00,2689.55,2629.00,2659.75,9000,2659.75
2012-07-26,2689.80,2719.10,2670.00,2675.75,10400,2675.75
2012-07-25,2668.50,2695.50,2646.55,2672.85,16800,2672.85
2012-07-24,2653.10,2670.00,2650.00,2668.30,34100,2668.30
2012-07-23,2650.00,2679.80,2639.00,2660.75,2500,2660.75
2012-07-20,2650.10,2670.00,2629.95,2663.30,2200,2663.30
2012-07-19,2630.05,2662.60,2630.05,2656.15,4300,2656.15
2012-07-18,2641.30,2674.95,2622.90,2642.80,13300,2642.80
2012-07-17,2688.50,2688.50,2653.75,2666.20,14200,2666.20
2012-07-16,2687.95,2690.00,2632.40,2669.00,10700,2669.00
2012-07-13,2643.00,2669.80,2626.05,2663.05,22700,2663.05
2012-07-12,2631.85,2655.00,2600.00,2634.30,67600,2634.30
2012-07-11,2632.30,2656.00,2610.00,2637.60,13200,2637.60
2012-07-10,2630.05,2652.55,2590.00,2602.50,16900,2602.50
2012-07-09,2650.05,2692.95,2607.50,2625.05,8400,2625.05
2012-07-06,2641.10,2718.00,2641.10,2667.90,23000,2667.90
2012-07-05,2723.45,2723.45,2641.05,2652.00,27500,2652.00
2012-07-04,2739.85,2739.85,2690.25,2704.05,6000,2704.05
2012-07-03,2703.00,2767.95,2698.00,2716.30,8300,2716.30
2012-07-02,2794.00,2794.00,2704.90,2739.30,11900,2739.30
2012-06-29,2738.95,2775.00,2710.00,2748.55,25800,2748.55
2012-06-28,2679.00,2753.00,2673.40,2746.00,16400,2746.00
2012-06-27,2656.80,2697.90,2631.00,2678.80,5400,2678.80
2012-06-26,2588.10,2674.85,2588.10,2659.85,23400,2659.85
2012-06-25,2613.00,2635.00,2605.00,2610.65,19200,2610.65
2012-06-22,2654.00,2669.80,2605.25,2612.10,15700,2612.10
