Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,75.50,75.50,75.50,75.50,000,75.50
2012-12-24,74.70,75.90,73.05,75.50,712900,75.50
2012-12-21,75.65,76.15,73.55,74.25,728900,74.25
2012-12-20,78.30,78.45,75.50,75.80,1502000,75.80
2012-12-19,75.25,78.25,75.00,77.70,2806800,77.70
2012-12-18,74.45,76.00,73.90,75.00,1516800,75.00
2012-12-17,73.50,74.55,72.20,73.80,544300,73.80
2012-12-14,72.75,74.15,72.50,74.00,536100,74.00
2012-12-13,75.20,75.30,72.55,72.75,592100,72.75
2012-12-12,74.10,75.35,74.10,74.85,512500,74.85
2012-12-11,77.25,77.90,73.75,74.25,1204700,74.25
2012-12-10,78.10,78.30,76.60,77.65,1325700,77.65
2012-12-07,76.15,77.80,76.05,77.25,849800,77.25
2012-12-06,76.75,76.75,74.30,76.10,457900,76.10
2012-12-05,75.45,78.50,75.15,75.55,1330000,75.55
2012-12-04,75.90,76.30,74.90,76.10,655200,76.10
2012-12-03,74.05,75.75,73.30,75.35,827400,75.35
2012-11-30,72.65,74.00,72.35,73.60,1604200,73.60
2012-11-29,72.25,73.35,71.45,72.15,916000,72.15
2012-11-28,72.30,72.30,72.30,72.30,000,72.30
2012-11-27,71.10,72.60,70.10,72.30,632500,72.30
2012-11-26,71.80,72.25,70.70,71.00,444100,71.00
2012-11-23,72.45,73.25,71.40,71.90,709000,71.90
2012-11-22,72.65,73.00,71.45,72.30,168900,72.30
2012-11-21,72.00,72.40,71.50,72.20,474900,72.20
2012-11-20,72.30,72.30,70.80,71.00,257300,71.00
2012-11-19,73.50,73.50,70.75,71.10,183500,71.10
2012-11-16,72.25,73.10,71.50,72.45,385900,72.45
2012-11-15,74.50,76.85,72.10,72.40,748800,72.40
2012-11-14,74.35,74.35,74.35,74.35,000,74.35
2012-11-13,74.35,74.35,74.35,74.35,000,74.35
2012-11-12,74.60,75.15,74.10,74.35,93200,74.35
2012-11-09,76.30,76.30,74.30,74.60,277600,74.60
2012-11-08,74.50,77.20,74.15,76.15,1208600,76.15
2012-11-07,75.10,75.50,74.25,74.65,432800,74.65
2012-11-06,75.25,76.30,74.80,75.35,174900,75.35
2012-11-05,74.55,75.85,74.50,75.20,207900,75.20
2012-11-02,76.50,76.50,74.50,74.90,527500,74.90
2012-11-01,75.85,75.85,74.35,75.45,336300,75.45
2012-10-31,75.00,75.90,74.35,75.45,388400,75.45
2012-10-30,75.85,75.90,74.25,74.90,329300,74.90
2012-10-29,76.65,76.85,75.55,75.70,166900,75.70
