Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,28.30,28.30,28.30,28.30,000,28.30
2012-12-24,28.20,28.80,28.15,28.30,200000,28.30
2012-12-21,28.15,28.80,28.05,28.15,341900,28.15
2012-12-20,28.30,29.15,27.80,28.50,402300,28.50
2012-12-19,27.15,28.65,27.15,28.15,432400,28.15
2012-12-18,27.60,28.10,27.40,27.55,233100,27.55
2012-12-17,28.00,28.35,27.35,27.75,327300,27.75
2012-12-14,28.50,28.50,27.35,28.00,515000,28.00
2012-12-13,30.30,30.95,25.00,28.50,1725000,28.50
2012-12-12,30.80,31.40,30.50,30.65,338000,30.65
2012-12-11,32.00,32.30,30.50,30.85,406900,30.85
2012-12-10,32.10,32.95,31.45,31.80,376000,31.80
2012-12-07,32.00,33.25,31.65,32.05,1274100,32.05
2012-12-06,31.65,32.75,31.10,31.90,1278600,31.90
2012-12-05,30.70,31.85,30.30,31.40,1094200,31.40
2012-12-04,30.85,31.55,30.05,30.30,563800,30.30
2012-12-03,29.70,31.70,29.30,30.85,1200500,30.85
2012-11-30,28.45,30.35,28.35,29.30,1265000,29.30
2012-11-29,28.00,28.50,27.50,28.10,416200,28.10
2012-11-28,27.65,27.65,27.65,27.65,000,27.65
2012-11-27,27.30,28.15,27.15,27.65,389500,27.65
2012-11-26,27.40,27.65,27.10,27.25,168300,27.25
2012-11-23,27.20,27.90,26.85,27.00,375200,27.00
2012-11-22,27.15,28.05,27.05,27.10,219300,27.10
2012-11-21,27.50,27.50,26.55,26.95,340300,26.95
2012-11-20,28.10,28.20,27.00,27.25,259300,27.25
2012-11-19,28.50,28.50,27.65,27.75,195100,27.75
2012-11-16,29.00,29.55,28.00,28.15,314000,28.15
2012-11-15,28.90,29.60,28.35,28.75,176000,28.75
2012-11-14,28.85,28.85,28.85,28.85,000,28.85
2012-11-13,28.85,28.85,28.85,28.85,000,28.85
2012-11-12,29.30,29.40,28.70,28.85,236000,28.85
2012-11-09,30.05,30.40,28.75,29.00,382600,29.00
2012-11-08,28.55,30.75,28.50,29.85,1407900,29.85
2012-11-07,28.30,29.45,28.30,29.00,364500,29.00
2012-11-06,28.60,28.85,28.15,28.30,200000,28.30
2012-11-05,28.80,29.10,28.45,28.60,149700,28.60
2012-11-02,29.50,29.80,28.65,28.75,335200,28.75
2012-11-01,28.35,30.10,28.05,29.20,774200,29.20
2012-10-31,28.30,28.55,27.65,28.20,264500,28.20
2012-10-30,28.70,29.60,28.00,28.10,433100,28.10
2012-10-29,29.55,29.75,28.50,28.65,229500,28.65
2012-10-26,30.35,30.35,30.35,30.35,000,30.35
2012-10-25,30.40,31.25,29.80,30.35,522100,30.35
2012-10-24,30.15,30.15,30.15,30.15,000,30.15
2012-10-23,30.65,30.95,30.05,30.15,227900,30.15
2012-10-22,31.00,31.40,30.50,30.70,311400,30.70
2012-10-19,32.00,32.95,31.05,31.20,341300,31.20
2012-10-18,32.00,32.30,31.50,31.75,436600,31.75
2012-10-17,32.60,32.95,31.35,31.60,316600,31.60
2012-10-16,33.55,34.00,32.00,32.20,494500,32.20
2012-10-15,32.90,34.00,32.50,33.50,1102100,33.50
2012-10-12,33.45,34.60,32.80,33.05,1654300,33.05
2012-10-11,32.75,33.55,31.40,33.10,1126200,33.10
2012-10-10,32.50,34.35,32.20,32.50,2183900,32.50
2012-10-09,31.00,33.60,30.55,33.15,3077300,33.15
2012-10-08,30.10,31.45,29.60,30.70,771500,30.70
2012-10-05,31.90,32.05,29.70,29.90,699900,29.90
2012-10-04,31.65,32.60,31.10,31.50,835900,31.50
2012-10-03,32.00,32.45,31.15,31.30,647600,31.30
2012-10-02,31.95,31.95,31.95,31.95,000,31.95
2012-10-01,31.40,33.10,31.40,31.95,1313400,31.95
2012-09-28,28.70,32.65,28.60,31.40,4257000,31.40
2012-09-27,28.65,29.05,28.30,28.45,258500,28.45
2012-09-26,28.50,29.30,28.15,28.30,473400,28.30
2012-09-25,29.05,29.25,28.30,28.65,390000,28.65
2012-09-24,27.55,29.60,27.50,28.70,970200,28.70
2012-09-21,27.60,28.20,27.40,27.55,650000,27.55
2012-09-20,27.20,27.80,27.10,27.30,291700,27.30
2012-09-19,27.90,27.90,27.90,27.90,000,27.90
2012-09-18,27.40,28.45,27.10,27.90,762700,27.90
2012-09-17,26.75,27.90,26.75,27.25,551800,27.25
2012-09-14,27.50,27.70,26.20,26.55,997600,26.55
2012-09-13,25.00,26.95,25.00,26.40,1267600,26.40
2012-09-12,25.05,25.90,24.95,25.15,277500,25.15
2012-09-11,25.10,25.75,25.00,25.30,327700,25.30
2012-09-10,24.60,25.55,23.80,25.35,465500,25.35
2012-09-07,24.50,24.85,24.25,24.40,257200,24.40
2012-09-06,25.10,25.25,23.80,24.05,462000,24.05
2012-09-05,25.10,25.45,24.95,25.00,163100,25.00
2012-09-04,25.30,25.55,24.90,25.25,201200,25.25
2012-09-03,25.00,25.75,24.80,25.20,253200,25.20
2012-08-31,24.95,25.70,24.50,24.80,463300,24.80
2012-08-30,25.30,25.75,24.50,24.75,384800,24.75
2012-08-29,25.45,26.30,25.20,25.35,425500,25.35
2012-08-28,27.30,27.30,25.30,25.45,600100,25.45
2012-08-27,28.50,28.50,26.85,27.05,391200,27.05
2012-08-24,29.25,29.50,28.05,28.20,513500,28.20
2012-08-23,29.90,30.20,29.10,29.40,355700,29.40
2012-08-22,29.45,30.40,29.45,29.60,287400,29.60
2012-08-21,29.90,30.65,29.70,29.80,403800,29.80
2012-08-20,29.65,29.65,29.65,29.65,000,29.65
2012-08-17,30.15,30.70,29.55,29.65,353000,29.65
2012-08-16,30.15,30.35,29.70,29.85,224800,29.85
2012-08-15,29.90,29.90,29.90,29.90,000,29.90
2012-08-14,30.85,30.85,29.80,29.90,495300,29.90
2012-08-13,30.95,31.10,30.25,30.50,223200,30.50
2012-08-10,31.00,31.10,30.35,30.50,281100,30.50
2012-08-09,31.00,31.80,30.60,30.80,398300,30.80
2012-08-08,32.25,32.75,30.80,30.90,378700,30.90
2012-08-07,32.45,33.25,31.90,32.00,367600,32.00
2012-08-06,32.00,33.60,32.00,32.40,699900,32.40
2012-08-03,31.90,32.25,31.55,31.65,213800,31.65
2012-08-02,31.00,32.70,31.00,32.10,219400,32.10
2012-08-01,31.65,32.70,30.00,31.65,688500,31.65
2012-07-31,32.20,32.60,31.60,31.95,297100,31.95
2012-07-30,31.50,32.00,31.10,31.80,269800,31.80
2012-07-27,31.75,32.90,30.75,31.15,367400,31.15
2012-07-26,33.80,33.90,31.50,31.75,501400,31.75
2012-07-25,34.30,34.80,33.50,33.60,451700,33.60
2012-07-24,34.50,35.70,33.35,34.40,840500,34.40
2012-07-23,34.95,35.95,34.10,34.20,413100,34.20
2012-07-20,35.45,35.45,34.75,34.80,278600,34.80
2012-07-19,36.15,36.25,35.10,35.25,319700,35.25
2012-07-18,35.60,37.20,35.15,35.60,1140300,35.60
2012-07-17,35.95,36.50,34.50,34.60,334700,34.60
2012-07-16,36.85,36.90,35.40,35.60,307600,35.60
2012-07-13,37.15,37.80,36.35,36.50,808200,36.50
2012-07-12,37.00,37.25,35.90,36.05,501100,36.05
2012-07-11,36.70,38.70,36.55,37.40,1317800,37.40
2012-07-10,36.50,37.65,36.35,36.70,654500,36.70
2012-07-09,38.15,38.15,36.10,36.25,538000,36.25
2012-07-06,37.30,39.25,36.10,38.10,1903500,38.10
2012-07-05,36.60,37.45,36.30,36.75,557000,36.75
2012-07-04,37.70,38.15,36.30,36.45,1164300,36.45
2012-07-03,34.35,38.75,34.15,37.30,3381100,37.30
2012-07-02,34.15,34.70,33.70,34.00,435900,34.00
2012-06-29,33.65,34.50,33.15,33.80,833200,33.80
2012-06-28,33.00,33.90,32.80,33.15,355700,33.15
2012-06-27,34.70,34.70,32.60,32.75,203600,32.75
2012-06-26,33.15,33.75,32.60,32.85,248100,32.85
2012-06-25,32.70,34.10,32.65,32.80,483800,32.80
2012-06-22,31.10,33.30,31.10,32.55,317000,32.55
2012-06-21,32.30,33.05,32.20,32.60,268300,32.60
2012-06-20,32.15,33.30,32.10,32.30,253400,32.30
2012-06-19,32.30,32.80,31.80,32.10,199300,32.10
2012-06-18,33.85,33.85,32.20,32.30,238200,32.30
2012-06-15,33.20,34.00,32.80,33.00,263400,33.00
2012-06-14,34.20,34.25,32.90,33.00,191900,33.00
2012-06-13,34.00,35.20,33.80,34.05,437800,34.05
2012-06-12,33.65,34.50,33.30,33.80,398300,33.80
2012-06-11,33.05,35.60,33.00,33.75,1084800,33.75
2012-06-08,33.00,33.80,32.25,33.00,331700,33.00
2012-06-07,32.50,34.50,31.80,33.40,811300,33.40
2012-06-06,31.50,32.40,31.25,31.85,331600,31.85
2012-06-05,31.05,31.60,30.80,31.00,177400,31.00
2012-06-04,31.20,31.40,30.50,30.95,186700,30.95
2012-06-01,32.30,32.70,31.10,31.45,181800,31.45
2012-05-31,32.90,32.90,32.15,32.35,179000,32.35
2012-05-30,32.55,34.45,32.20,32.85,528100,32.85
2012-05-29,32.95,33.60,32.60,32.75,279800,32.75
2012-05-28,33.60,33.60,32.60,32.85,255600,32.85
2012-05-25,32.75,33.80,32.50,32.70,321200,32.70
2012-05-24,31.55,33.40,31.00,32.65,318000,32.65
2012-05-23,33.00,33.00,32.15,32.25,480200,32.25
2012-05-22,34.75,35.20,33.35,33.55,561300,33.55
