Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,95.55,95.55,95.55,95.55,000,95.55
2012-12-24,96.05,97.45,95.00,95.55,55800,95.55
2012-12-21,99.90,100.75,96.25,96.45,71500,96.45
2012-12-20,99.35,102.45,98.25,100.10,312200,100.10
2012-12-19,95.95,100.85,95.75,98.90,283600,98.90
2012-12-18,96.50,97.00,94.50,95.25,56100,95.25
2012-12-17,96.05,96.90,95.10,96.05,65100,96.05
2012-12-14,96.40,96.70,93.65,95.00,55600,95.00
2012-12-13,98.45,99.50,96.05,96.35,49000,96.35
2012-12-12,97.75,100.00,97.30,98.05,41600,98.05
2012-12-11,100.85,101.50,96.55,97.30,70400,97.30
2012-12-10,100.45,102.00,99.55,99.95,52700,99.95
2012-12-07,103.05,104.70,100.00,100.30,139200,100.30
2012-12-06,102.80,104.20,101.20,102.70,128800,102.70
2012-12-05,103.90,104.90,101.50,101.85,97200,101.85
2012-12-04,103.25,105.95,101.80,102.60,100500,102.60
2012-12-03,102.00,106.00,101.05,103.60,296300,103.60
2012-11-30,99.90,103.00,98.30,101.85,259700,101.85
2012-11-29,98.00,101.00,96.30,99.00,175700,99.00
2012-11-28,97.30,97.30,97.30,97.30,000,97.30
2012-11-27,97.00,98.90,96.05,97.30,126200,97.30
2012-11-26,99.00,99.00,96.50,96.80,63500,96.80
2012-11-23,101.15,101.60,97.15,97.85,91100,97.85
2012-11-22,102.70,103.90,99.25,100.60,539400,100.60
2012-11-21,93.65,101.30,93.50,99.70,228000,99.70
2012-11-20,93.15,95.00,92.65,93.65,55000,93.65
2012-11-19,94.50,95.40,92.15,92.65,35700,92.65
2012-11-16,96.55,98.00,93.10,94.00,79400,94.00
2012-11-15,98.40,98.40,95.20,96.10,52600,96.10
2012-11-14,97.95,97.95,97.95,97.95,000,97.95
2012-11-13,97.95,97.95,97.95,97.95,000,97.95
2012-11-12,99.75,99.75,97.50,97.95,65900,97.95
2012-11-09,100.55,102.50,99.25,99.60,85400,99.60
2012-11-08,99.10,102.75,98.10,101.00,88700,101.00
2012-11-07,100.80,102.40,99.50,100.70,91200,100.70
2012-11-06,102.70,103.35,97.40,100.20,126600,100.20
2012-11-05,103.55,104.20,100.15,101.55,71600,101.55
2012-11-02,105.00,106.40,103.50,104.00,111800,104.00
2012-11-01,100.05,104.80,100.00,103.85,120700,103.85
2012-10-31,101.15,101.65,99.15,100.35,145600,100.35
2012-10-30,101.00,104.70,100.10,101.00,129500,101.00
2012-10-29,106.15,108.45,103.10,104.00,157200,104.00
2012-10-26,109.30,109.30,109.30,109.30,000,109.30
2012-10-25,109.10,112.45,108.60,109.30,111300,109.30
2012-10-24,109.85,109.85,109.85,109.85,000,109.85
2012-10-23,113.90,114.80,109.05,109.85,199400,109.85
2012-10-22,112.30,113.90,107.70,112.75,169400,112.75
2012-10-19,116.00,116.30,110.95,111.80,290700,111.80
2012-10-18,115.05,117.40,112.70,115.10,582600,115.10
2012-10-17,108.00,115.45,108.00,114.40,714900,114.40
2012-10-16,111.75,113.40,106.55,107.00,242900,107.00
2012-10-15,113.65,114.80,110.00,110.40,184400,110.40
2012-10-12,114.60,117.50,112.50,113.60,569500,113.60
2012-10-11,109.00,114.50,105.90,113.65,565400,113.65
2012-10-10,115.00,115.00,103.40,108.65,680900,108.65
2012-10-09,106.15,114.00,105.75,112.65,1326900,112.65
2012-10-08,105.15,110.45,104.25,105.50,865300,105.50
2012-10-05,105.05,105.80,99.00,103.90,294500,103.90
2012-10-04,105.00,107.70,104.00,104.65,321500,104.65
2012-10-03,103.75,104.90,101.30,104.00,189400,104.00
2012-10-02,103.05,103.05,103.05,103.05,000,103.05
2012-10-01,104.80,104.80,100.65,103.05,178100,103.05
2012-09-28,103.50,106.90,103.05,103.55,409400,103.55
2012-09-27,102.40,104.70,101.70,102.25,216400,102.25
2012-09-26,102.40,105.45,100.25,102.40,520900,102.40
2012-09-25,98.70,102.75,97.75,101.30,361900,101.30
2012-09-24,94.15,101.40,94.05,97.70,430300,97.70
2012-09-21,93.35,95.75,92.95,94.20,199900,94.20
2012-09-20,93.40,94.60,92.40,92.75,116300,92.75
2012-09-19,94.00,94.00,94.00,94.00,000,94.00
2012-09-18,93.35,95.55,92.65,94.00,173200,94.00
2012-09-17,96.90,96.90,92.05,93.05,106500,93.05
2012-09-14,97.50,97.50,94.00,94.40,134600,94.40
2012-09-13,97.90,98.45,95.55,95.90,138400,95.90
2012-09-12,95.00,97.85,94.20,96.70,180000,96.70
2012-09-11,95.80,98.25,94.80,95.80,520300,93.30
2012-09-10,92.15,96.50,91.60,94.35,312500,91.89
2012-09-07,91.30,94.00,91.30,91.65,103400,89.26
2012-09-06,93.40,94.20,90.75,91.30,127100,88.92
2012-09-05,93.50,95.70,92.20,92.55,180100,90.13
2012-09-04,91.40,94.10,90.35,93.30,220200,90.87
2012-09-03,90.05,93.65,89.50,90.65,186600,88.28
2012-08-31,87.00,93.50,87.00,90.15,504800,87.80
2012-08-30,87.00,88.95,85.10,87.65,187700,85.36
2012-08-29,92.50,93.20,86.65,87.45,218300,85.17
2012-08-28,96.75,97.75,90.40,91.45,345200,89.06
2012-08-27,98.85,101.35,96.30,96.75,324700,94.23
2012-08-24,100.00,101.50,97.35,98.00,366300,95.44
2012-08-23,100.35,104.00,97.95,99.85,899100,97.24
2012-08-22,96.00,107.50,94.20,99.00,3272100,96.42
2012-08-21,99.85,102.65,95.15,96.20,1035000,93.69
2012-08-20,99.10,99.10,99.10,99.10,000,96.51
2012-08-17,86.00,101.55,86.00,99.10,4242700,96.51
2012-08-16,80.20,85.60,79.00,84.65,151500,82.44
2012-08-15,80.00,80.00,80.00,80.00,000,77.91
2012-08-14,79.50,81.55,79.50,80.00,17300,77.91
2012-08-13,79.00,82.10,78.50,80.40,64900,78.30
2012-08-10,87.15,87.15,78.10,79.35,35700,77.28
2012-08-09,81.30,82.40,79.00,79.75,30200,77.67
2012-08-08,84.45,87.90,80.80,81.05,101300,78.93
2012-08-07,83.20,84.50,82.25,82.85,68200,80.69
2012-08-06,81.10,83.85,80.50,82.25,84800,80.10
2012-08-03,81.00,81.45,78.60,80.20,44900,78.11
2012-08-02,79.00,83.15,78.25,81.15,83700,79.03
2012-08-01,78.45,79.60,77.20,78.85,37000,76.79
2012-07-31,79.30,79.40,77.10,78.10,35200,76.06
2012-07-30,77.00,78.70,74.90,77.90,48300,75.87
2012-07-27,79.80,80.00,75.10,75.80,43300,73.82
2012-07-26,85.00,85.00,77.30,77.65,38500,75.62
2012-07-25,80.00,80.90,79.05,79.35,23100,77.28
2012-07-24,80.70,82.90,80.45,80.90,28500,78.79
2012-07-23,82.80,82.80,80.70,81.05,50400,78.93
2012-07-20,85.30,85.50,82.55,83.30,32000,81.13
2012-07-19,85.40,86.70,84.55,84.75,45400,82.54
2012-07-18,83.90,85.40,82.50,84.40,62400,82.20
2012-07-17,85.00,88.10,83.60,84.00,147700,81.81
2012-07-16,87.50,87.50,84.20,84.70,50600,82.49
2012-07-13,88.40,89.50,86.10,86.70,89000,84.44
2012-07-12,85.90,88.70,85.50,87.55,115700,85.27
2012-07-11,87.30,89.80,86.55,86.95,74900,84.68
2012-07-10,86.55,91.55,86.00,87.85,170500,85.56
2012-07-09,88.70,88.70,86.00,86.45,79600,84.19
2012-07-06,92.50,92.70,88.00,88.30,211100,86.00
2012-07-05,86.85,94.00,86.40,91.65,789400,89.26
2012-07-04,86.65,88.90,85.30,86.35,226300,84.10
2012-07-03,86.95,87.50,84.20,85.80,155400,83.56
2012-07-02,84.60,87.45,83.25,84.95,343100,82.73
2012-06-29,81.50,85.10,81.50,84.30,155200,82.10
2012-06-28,80.80,80.80,79.00,80.20,57400,78.11
2012-06-27,78.10,83.50,76.90,79.40,46200,77.33
2012-06-26,81.50,81.70,79.00,79.45,52200,77.38
2012-06-25,80.25,83.00,79.90,81.25,67200,79.13
2012-06-22,80.10,81.35,79.05,80.45,67900,78.35
2012-06-21,79.10,82.10,78.70,81.20,58700,79.08
2012-06-20,79.90,82.45,78.35,80.45,99300,78.35
2012-06-19,80.45,80.45,78.20,78.45,46800,76.40
2012-06-18,83.40,83.40,79.50,80.15,57200,78.06
2012-06-15,83.85,84.55,81.10,81.45,125600,79.32
2012-06-14,83.90,87.00,82.00,82.75,1102100,80.59
2012-06-13,79.15,82.30,77.00,81.60,163000,79.47
2012-06-12,80.00,80.45,77.50,77.95,82600,75.92
2012-06-11,83.10,84.70,79.75,80.40,60600,78.30
2012-06-08,78.00,87.80,78.00,82.15,191600,80.01
2012-06-07,79.00,80.00,77.30,79.20,28400,77.13
2012-06-06,76.20,78.50,76.20,78.05,24900,76.01
2012-06-05,75.00,77.00,74.20,76.15,19500,74.16
2012-06-04,75.50,75.95,73.55,75.35,11500,73.38
2012-06-01,76.30,78.15,75.00,75.80,19500,73.82
2012-05-31,76.85,78.75,76.00,77.00,13900,74.99
2012-05-30,78.10,79.50,76.80,77.10,14100,75.09
2012-05-29,79.05,80.50,78.10,78.65,14100,76.60
2012-05-28,73.50,81.90,73.50,79.25,41900,77.18
2012-05-25,81.25,81.50,78.00,78.95,46500,76.89
2012-05-24,77.65,81.25,77.10,80.40,27900,78.30
2012-05-23,78.55,79.00,77.05,78.05,18100,76.01
