Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,326.70,326.70,326.70,326.70,000,326.70
2012-12-24,327.50,329.90,317.05,326.70,164000,326.70
2012-12-21,333.00,337.00,318.50,322.45,65600,322.45
2012-12-20,332.15,339.40,327.55,334.20,177300,334.20
2012-12-19,328.80,334.45,314.00,331.15,301900,331.15
2012-12-18,337.90,337.90,329.00,330.10,144400,330.10
2012-12-17,329.85,334.75,328.00,332.10,85400,332.10
2012-12-14,336.00,336.70,326.60,329.60,99400,329.60
2012-12-13,356.00,356.00,334.40,335.65,41200,335.65
2012-12-12,348.90,348.90,342.00,344.05,58300,344.05
2012-12-11,346.50,348.75,333.75,340.10,114300,340.10
2012-12-10,343.00,349.80,340.25,346.50,68200,346.50
2012-12-07,353.40,354.00,344.00,346.40,114600,346.40
2012-12-06,352.45,354.40,339.10,349.20,194100,349.20
2012-12-05,331.15,350.90,331.00,348.45,372300,348.45
2012-12-04,324.05,339.25,322.15,332.85,158200,332.85
2012-12-03,331.00,336.20,322.00,329.60,178000,329.60
2012-11-30,337.00,345.80,328.50,331.15,125900,331.15
2012-11-29,325.15,345.00,323.45,338.80,232100,338.80
2012-11-28,322.70,322.70,322.70,322.70,000,322.70
2012-11-27,330.00,333.95,321.00,322.70,149700,322.70
2012-11-26,308.95,327.90,308.05,327.05,151500,327.05
2012-11-23,312.75,313.90,307.10,308.35,56200,308.35
2012-11-22,305.20,312.40,305.20,311.30,23700,311.30
2012-11-21,309.55,315.75,303.00,306.55,55500,306.55
2012-11-20,315.65,316.45,308.70,312.70,54000,312.70
2012-11-19,317.75,320.95,307.00,311.00,79900,311.00
2012-11-16,330.50,330.50,317.05,318.65,42500,318.65
2012-11-15,327.00,328.05,322.00,325.15,16000,325.15
2012-11-14,325.85,325.85,325.85,325.85,000,325.85
2012-11-13,325.85,325.85,325.85,325.85,000,325.85
2012-11-12,330.00,332.50,324.75,325.85,73900,325.85
2012-11-09,326.00,335.50,324.00,328.05,185400,328.05
2012-11-08,328.95,329.60,324.10,325.30,19200,325.30
2012-11-07,328.65,329.95,325.55,327.45,37800,327.45
2012-11-06,327.05,331.40,326.25,327.65,78700,327.65
2012-11-05,331.90,333.95,326.40,330.80,20700,330.80
2012-11-02,331.05,334.40,330.95,333.00,34600,333.00
2012-11-01,325.05,335.00,325.05,331.05,33200,331.05
2012-10-31,327.00,331.95,322.30,329.85,53200,329.85
2012-10-30,334.00,334.00,320.65,323.30,140200,323.30
2012-10-29,350.10,350.10,325.10,333.95,219600,333.95
2012-10-26,349.90,349.90,349.90,349.90,000,349.90
2012-10-25,358.05,361.40,346.00,349.90,292700,349.90
2012-10-24,358.30,358.30,358.30,358.30,000,358.30
2012-10-23,360.00,366.45,355.00,358.30,98400,358.30
2012-10-22,363.95,364.00,351.00,355.95,35300,355.95
2012-10-19,355.00,362.40,352.00,359.25,63600,359.25
2012-10-18,354.35,361.80,353.60,358.70,64900,358.70
2012-10-17,352.55,358.00,350.15,352.80,55000,352.80
2012-10-16,345.00,358.95,345.00,354.10,68700,354.10
2012-10-15,352.10,364.00,350.00,352.30,78400,352.30
2012-10-12,360.00,370.00,357.10,359.30,83300,359.30
2012-10-11,359.00,366.15,355.00,359.75,58500,359.75
2012-10-10,373.95,373.95,361.25,362.20,93600,362.20
2012-10-09,384.15,385.60,372.60,375.65,172700,375.65
2012-10-08,387.00,389.50,372.65,384.50,104200,384.50
2012-10-05,386.40,389.90,376.30,382.15,60200,382.15
2012-10-04,390.35,394.95,380.70,382.00,76600,382.00
2012-10-03,395.75,401.50,386.15,388.25,114100,388.25
2012-10-02,391.35,391.35,391.35,391.35,000,391.35
2012-10-01,386.00,398.80,382.10,391.35,186700,391.35
2012-09-28,380.55,388.90,379.05,385.05,129600,385.05
2012-09-27,388.35,390.95,376.20,379.10,158000,379.10
2012-09-26,385.00,395.75,379.10,383.95,221200,383.95
2012-09-25,378.00,386.85,375.50,384.60,98600,384.60
2012-09-24,389.00,389.00,373.20,375.00,112200,375.00
2012-09-21,370.00,389.00,345.95,379.65,367600,379.65
2012-09-20,370.00,370.75,362.15,365.60,24300,365.60
2012-09-19,371.25,371.25,371.25,371.25,000,371.25
2012-09-18,378.00,381.15,367.50,371.25,48400,371.25
2012-09-17,379.00,379.45,368.10,374.35,78900,374.35
2012-09-14,375.00,382.50,370.00,375.15,206700,375.15
2012-09-13,355.50,373.80,349.90,368.05,229700,368.05
2012-09-12,350.00,351.95,347.00,348.25,24000,348.25
2012-09-11,351.40,356.25,347.00,348.60,22900,348.60
2012-09-10,357.55,362.20,351.35,353.65,51600,353.65
2012-09-07,358.70,361.00,355.00,357.80,21400,357.80
2012-09-06,362.50,363.85,353.25,355.10,77500,355.10
2012-09-05,363.70,363.90,357.50,362.00,72400,362.00
2012-09-04,346.00,361.90,346.00,360.55,108900,360.55
2012-09-03,347.05,352.90,345.00,349.45,118500,349.45
2012-08-31,334.05,346.90,334.05,345.70,37500,345.70
2012-08-30,341.35,352.00,336.50,339.55,112000,339.55
2012-08-29,349.95,353.40,345.05,348.05,43000,348.05
2012-08-28,345.15,353.65,334.25,349.90,121700,349.90
2012-08-27,352.10,352.15,342.05,344.70,37200,344.70
2012-08-24,350.00,352.85,346.70,350.40,52500,350.40
2012-08-23,355.70,358.05,346.00,352.55,81400,352.55
2012-08-22,349.00,356.00,349.00,353.75,43200,353.75
2012-08-21,361.00,363.00,345.35,348.40,47300,348.40
2012-08-20,358.25,358.25,358.25,358.25,000,358.25
2012-08-17,348.40,364.50,348.40,358.25,91400,358.25
2012-08-16,343.00,351.80,341.45,349.30,52100,349.30
2012-08-15,342.85,342.85,342.85,342.85,000,342.85
2012-08-14,341.45,345.00,339.00,342.85,31200,342.85
2012-08-13,344.90,346.00,340.15,341.55,19900,341.55
2012-08-10,345.15,349.00,340.00,342.70,36400,342.70
2012-08-09,348.60,353.10,344.00,348.20,63000,348.20
2012-08-08,362.50,364.50,350.00,351.50,75100,351.50
2012-08-07,362.25,366.70,359.05,361.20,50200,361.20
2012-08-06,363.65,371.00,360.45,361.40,89400,361.40
2012-08-03,353.50,361.65,353.10,360.00,560100,360.00
2012-08-02,354.05,367.20,352.45,361.75,94900,361.75
2012-08-01,346.30,373.95,346.25,360.60,299900,360.60
2012-07-31,351.75,351.75,340.45,347.30,66600,347.30
2012-07-30,340.05,352.00,315.45,349.45,387400,349.45
2012-07-27,356.30,363.80,335.15,338.05,135500,338.05
2012-07-26,365.55,368.70,339.00,350.80,774200,350.80
2012-07-25,376.50,377.50,363.00,366.50,61900,366.50
2012-07-24,372.00,383.00,367.10,377.90,59400,377.90
2012-07-23,369.00,377.60,366.20,372.45,87300,372.45
2012-07-20,381.95,381.95,365.10,369.55,74400,369.55
2012-07-19,386.70,387.95,375.60,377.30,66000,377.30
2012-07-18,384.90,389.00,380.00,382.15,62500,380.65
2012-07-17,385.00,393.05,380.35,382.90,55400,381.40
2012-07-16,395.30,399.65,381.05,383.40,52700,381.90
2012-07-13,398.05,401.00,392.50,393.95,47400,392.40
2012-07-12,399.30,399.85,395.00,395.90,44800,394.35
2012-07-11,404.90,408.55,399.30,400.45,61700,398.88
2012-07-10,404.00,409.00,401.50,406.05,95200,404.46
