Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,20.55,20.55,20.55,20.55,000,20.55
2012-12-24,20.20,20.60,19.95,20.55,415800,20.55
2012-12-21,20.85,20.85,19.90,20.15,994600,20.15
2012-12-20,21.10,21.40,20.55,20.75,1717100,20.75
2012-12-19,21.35,21.50,20.70,20.85,1581300,20.85
2012-12-18,21.25,21.65,20.75,21.05,1707300,21.05
2012-12-17,20.05,21.10,20.05,20.90,1307700,20.90
2012-12-14,20.20,20.20,19.70,20.05,696700,20.05
2012-12-13,20.95,21.20,19.90,20.05,1374900,20.05
2012-12-12,20.80,21.00,20.45,20.85,883200,20.85
2012-12-11,20.20,21.30,20.05,20.65,2619600,20.65
2012-12-10,19.70,20.65,19.45,20.45,3055600,20.45
2012-12-07,19.30,19.80,19.15,19.60,1215800,19.60
2012-12-06,19.30,19.50,18.75,19.10,470400,19.10
2012-12-05,19.40,19.45,19.00,19.10,411300,19.10
2012-12-04,18.90,19.50,18.90,19.25,735100,19.25
2012-12-03,18.35,19.10,18.30,18.90,718400,18.90
2012-11-30,18.20,18.55,17.90,18.35,668400,18.35
2012-11-29,18.75,19.80,17.50,18.05,547400,18.05
2012-11-28,17.75,17.75,17.75,17.75,000,17.75
2012-11-27,17.40,17.85,17.30,17.75,400800,17.75
2012-11-26,17.20,17.80,17.00,17.25,463100,17.25
2012-11-23,17.20,17.35,17.00,17.10,310400,17.10
2012-11-22,17.40,17.70,16.95,17.10,548300,17.10
2012-11-21,17.75,17.75,17.40,17.55,317800,17.55
2012-11-20,18.00,18.15,17.65,17.75,332200,17.75
2012-11-19,18.30,18.45,17.90,18.00,409900,18.00
2012-11-16,18.25,18.65,18.20,18.25,455900,18.25
2012-11-15,18.60,18.60,18.20,18.25,263000,18.25
2012-11-14,18.40,18.40,18.40,18.40,000,18.40
2012-11-13,18.40,18.40,18.40,18.40,000,18.40
2012-11-12,18.90,18.90,18.25,18.40,464800,18.40
2012-11-09,18.70,18.95,18.45,18.55,246500,18.55
2012-11-08,18.85,18.90,18.55,18.70,327500,18.70
2012-11-07,19.25,19.50,18.75,18.95,766900,18.95
2012-11-06,19.15,19.30,18.15,19.20,575500,19.20
2012-11-05,18.30,18.70,18.30,18.50,304000,18.50
2012-11-02,18.40,18.70,18.30,18.45,447000,18.45
2012-11-01,18.10,18.45,18.00,18.25,282700,18.25
2012-10-31,18.20,18.40,17.80,18.10,308700,18.10
2012-10-30,18.50,18.60,18.00,18.05,364400,18.05
2012-10-29,18.85,18.95,18.35,18.45,413900,18.45
2012-10-26,19.05,19.05,19.05,19.05,000,19.05
2012-10-25,19.00,19.15,18.15,19.05,1304800,19.05
2012-10-24,18.80,18.80,18.80,18.80,000,18.80
2012-10-23,19.60,19.60,18.65,18.80,713800,18.80
2012-10-22,20.50,20.50,19.40,19.55,1686300,19.55
2012-10-19,18.65,20.40,18.50,19.95,7274900,19.95
2012-10-18,18.00,18.20,17.70,17.85,362100,17.85
2012-10-17,17.85,18.00,17.55,17.80,306200,17.80
2012-10-16,18.00,18.25,17.50,17.60,372900,17.60
2012-10-15,18.10,18.25,17.80,17.85,243900,17.85
2012-10-12,18.00,18.40,17.80,18.05,527600,18.05
2012-10-11,17.50,18.35,17.20,18.05,681800,18.05
2012-10-10,18.35,18.60,17.55,17.65,725300,17.65
2012-10-09,18.65,18.90,18.35,18.45,417000,18.45
2012-10-08,18.85,19.40,18.50,18.75,413400,18.75
2012-10-05,19.30,19.65,18.45,18.85,808200,18.85
2012-10-04,19.30,19.85,19.10,19.20,1164500,19.20
2012-10-03,18.85,19.30,18.55,18.90,458700,18.90
2012-10-02,18.90,18.90,18.90,18.90,000,18.90
2012-10-01,18.50,19.00,18.45,18.90,567000,18.90
2012-09-28,18.95,19.10,18.55,18.70,710600,18.70
2012-09-27,18.80,19.15,18.30,18.40,686500,18.40
2012-09-26,18.85,19.20,18.55,18.75,1427600,18.75
2012-09-25,18.70,18.80,18.10,18.50,866800,18.50
2012-09-24,17.70,18.75,17.50,18.40,1340700,18.40
2012-09-21,17.90,18.20,17.50,17.65,975500,17.65
2012-09-20,16.85,18.10,16.70,17.65,1818300,17.65
2012-09-19,17.05,17.05,17.05,17.05,000,17.05
2012-09-18,17.00,17.60,16.80,17.05,857000,17.05
2012-09-17,16.80,17.05,16.50,16.95,753700,16.95
2012-09-14,16.40,17.00,16.40,16.70,585900,16.20
2012-09-13,16.60,16.90,16.30,16.45,301600,15.96
2012-09-12,17.00,17.15,16.60,16.65,274200,16.15
2012-09-11,16.70,16.85,16.35,16.80,287900,16.30
2012-09-10,16.15,16.85,16.15,16.55,421500,16.05
2012-09-07,16.80,16.90,16.30,16.50,343300,16.01
2012-09-06,16.25,16.65,16.10,16.35,304200,15.86
2012-09-05,16.45,16.55,16.10,16.25,259600,15.76
2012-09-04,16.25,17.00,16.05,16.50,486100,16.01
2012-09-03,16.05,16.50,16.05,16.25,260800,15.76
2012-08-31,16.45,16.45,16.00,16.05,386400,15.57
2012-08-30,16.50,16.80,16.25,16.40,315100,15.91
2012-08-29,16.50,16.85,16.50,16.55,288100,16.05
2012-08-28,17.10,17.10,16.65,16.75,363500,16.25
2012-08-27,17.90,17.95,16.75,16.85,467600,16.35
2012-08-24,16.90,18.05,16.90,17.40,1573100,16.88
2012-08-23,16.75,17.00,16.65,16.70,281500,16.20
2012-08-22,17.00,17.00,16.50,16.70,302800,16.20
2012-08-21,16.80,17.05,16.80,16.90,243000,16.39
2012-08-20,16.80,16.80,16.80,16.80,000,16.30
2012-08-17,17.15,17.20,16.70,16.80,398200,16.30
2012-08-16,17.05,17.25,16.95,17.15,419600,16.64
2012-08-15,17.05,17.05,17.05,17.05,000,16.54
2012-08-14,17.00,17.45,17.00,17.05,294900,16.54
2012-08-13,17.05,17.50,16.90,17.15,297600,16.64
2012-08-10,17.50,17.65,17.30,17.40,368400,16.88
2012-08-09,17.90,17.90,17.45,17.50,344400,16.98
2012-08-08,18.00,18.05,17.35,17.55,2434900,17.02
2012-08-07,18.00,18.20,17.75,17.80,389600,17.27
2012-08-06,18.40,18.55,17.85,17.90,439700,17.36
2012-08-03,17.25,18.20,17.15,17.95,441300,17.41
2012-08-02,17.45,17.90,17.30,17.60,331300,17.07
2012-08-01,17.20,17.65,17.00,17.50,647400,16.98
2012-07-31,17.05,17.30,17.00,17.20,301800,16.69
2012-07-30,17.00,17.25,16.80,17.15,498900,16.64
2012-07-27,17.60,17.75,16.55,16.85,616400,16.35
2012-07-26,17.90,17.90,17.40,17.45,410100,16.93
2012-07-25,18.10,18.20,17.80,17.90,476500,17.36
2012-07-24,18.30,18.55,18.15,18.20,326200,17.66
2012-07-23,18.50,18.50,18.20,18.30,241500,17.75
2012-07-20,18.50,18.70,18.35,18.50,205600,17.95
2012-07-19,18.60,18.85,18.50,18.60,184800,18.04
2012-07-18,18.50,18.75,18.30,18.45,355700,17.90
2012-07-17,18.85,19.25,18.25,18.55,526100,17.99
2012-07-16,19.00,19.10,18.60,18.70,547400,18.14
2012-07-13,19.80,19.80,19.00,19.00,476100,18.43
2012-07-12,19.25,19.40,19.05,19.20,401200,18.63
2012-07-11,19.85,19.85,19.30,19.45,335700,18.87
2012-07-10,19.25,19.70,19.20,19.65,465200,19.06
2012-07-09,19.55,19.80,19.05,19.20,533000,18.63
2012-07-06,20.20,20.45,19.55,19.70,841500,19.11
2012-07-05,19.80,20.30,19.35,20.15,1723300,19.55
2012-07-04,18.70,19.90,18.60,19.65,1967300,19.06
2012-07-03,18.90,19.30,18.50,18.55,905500,17.99
2012-07-02,18.90,19.25,18.50,18.85,852900,18.29
2012-06-29,18.50,19.35,18.45,18.70,1837800,18.14
