Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,305.60,305.60,305.60,305.60,000,305.60
2012-12-24,305.40,305.95,305.25,305.60,53300,305.60
2012-12-21,306.00,306.00,305.10,305.45,59600,305.45
2012-12-20,308.00,308.40,305.10,305.55,67100,305.55
2012-12-19,305.30,306.50,305.00,305.70,147100,305.70
2012-12-18,304.05,305.85,303.20,304.80,120900,304.80
2012-12-17,301.75,303.95,301.75,303.80,24600,303.80
2012-12-14,301.80,302.65,301.15,302.30,32800,302.30
2012-12-13,302.00,303.40,301.00,301.35,67100,301.35
2012-12-12,304.70,306.60,300.65,301.30,266400,301.30
2012-12-11,304.10,304.10,302.10,302.65,16000,302.65
2012-12-10,303.70,303.75,302.55,302.70,25600,302.70
2012-12-07,303.20,303.45,302.10,302.55,25900,302.55
2012-12-06,304.90,304.90,302.10,303.15,21800,303.15
2012-12-05,304.95,305.70,303.00,303.15,49100,303.15
2012-12-04,304.45,306.90,304.25,304.85,70800,304.85
2012-12-03,301.85,305.50,300.30,304.45,94300,304.45
2012-11-30,300.85,301.80,299.60,300.45,161700,300.45
2012-11-29,300.30,300.30,299.05,299.85,37700,299.85
2012-11-28,299.50,299.50,299.50,299.50,000,299.50
2012-11-27,299.00,300.90,299.00,299.50,42300,299.50
2012-11-26,299.05,301.70,298.65,299.80,149800,299.80
2012-11-23,299.05,299.80,299.05,299.45,36000,299.45
2012-11-22,300.00,300.00,299.35,299.40,78500,299.40
2012-11-21,301.15,301.90,299.25,299.55,153000,299.55
2012-11-20,299.75,299.80,298.50,299.35,55800,299.35
2012-11-19,299.40,299.50,299.00,299.30,56200,299.30
2012-11-16,299.10,299.95,298.60,299.25,71500,299.25
2012-11-15,300.00,300.00,298.50,298.75,86900,298.75
2012-11-14,299.65,299.65,299.65,299.65,000,299.65
2012-11-13,299.65,299.65,299.65,299.65,000,299.65
2012-11-12,300.30,300.30,299.10,299.65,127200,299.65
2012-11-09,299.30,300.45,298.75,299.65,97400,299.65
2012-11-08,300.00,300.95,299.10,299.90,232600,299.90
2012-11-07,300.00,300.90,299.50,300.25,34000,300.25
2012-11-06,300.90,303.00,298.60,299.05,324100,299.05
2012-11-05,298.70,301.70,298.50,298.80,92800,298.80
2012-11-02,299.65,299.90,298.30,298.50,132600,298.50
2012-11-01,299.25,299.65,298.40,298.55,54000,298.55
2012-10-31,299.05,300.00,298.10,299.00,399200,299.00
2012-10-30,299.15,299.70,298.10,298.70,83800,298.70
2012-10-29,300.40,300.95,299.05,299.25,55800,299.25
2012-10-26,301.15,301.15,301.15,301.15,000,301.15
2012-10-25,300.00,302.00,298.10,301.15,99800,301.15
2012-10-24,299.65,299.65,299.65,299.65,000,299.65
2012-10-23,302.05,302.50,299.20,299.65,61500,299.65
2012-10-22,297.40,302.50,297.10,301.95,183100,301.95
2012-10-19,297.20,298.45,297.00,297.50,58900,297.50
2012-10-18,298.15,298.95,297.00,297.15,126600,297.15
2012-10-17,298.05,299.70,297.10,297.50,83100,297.50
2012-10-16,297.15,300.70,297.10,298.35,69100,298.35
2012-10-15,299.00,300.50,296.00,297.70,148500,297.70
2012-10-12,301.85,302.20,299.00,299.10,156300,299.10
2012-10-11,302.85,303.45,299.20,300.70,182300,300.70
2012-10-10,302.00,304.10,300.00,300.45,204500,300.45
2012-10-09,300.10,304.80,300.05,301.65,77400,301.65
2012-10-08,305.90,305.90,301.00,302.00,258100,302.00
2012-10-05,308.95,313.50,306.00,306.30,666300,299.30
2012-10-04,314.00,315.50,297.35,308.05,3251900,301.01
2012-10-03,344.75,346.40,330.00,336.00,121900,328.32
2012-10-02,343.05,343.05,343.05,343.05,000,335.21
2012-10-01,340.00,349.75,337.45,343.05,225100,335.21
2012-09-28,325.00,350.80,325.00,342.30,788000,334.48
2012-09-27,312.00,329.00,312.00,324.30,442100,316.89
2012-09-26,299.65,311.90,297.50,308.80,223900,301.74
2012-09-25,297.00,298.70,295.25,296.80,321500,290.02
2012-09-24,294.80,298.00,294.00,295.75,80900,288.99
2012-09-21,292.95,296.00,290.30,292.60,138500,285.91
2012-09-20,293.85,295.00,291.25,293.00,153400,286.30
2012-09-19,294.40,294.40,294.40,294.40,000,287.67
2012-09-18,295.75,297.00,293.25,294.40,44800,287.67
2012-09-17,296.80,304.45,295.70,296.60,58000,289.82
2012-09-14,302.50,302.50,294.95,296.80,77200,290.02
2012-09-13,297.80,297.90,293.95,295.30,33400,288.55
2012-09-12,292.50,297.80,292.00,294.85,22500,288.11
2012-09-11,293.75,295.50,292.05,294.65,40400,287.92
2012-09-10,298.85,298.85,293.50,293.90,13900,287.18
2012-09-07,299.90,304.00,295.50,299.15,20500,292.31
2012-09-06,296.00,299.00,293.10,296.40,21500,289.63
2012-09-05,291.45,298.90,291.45,296.10,33200,289.33
2012-09-04,293.10,293.75,289.45,291.80,14500,285.13
2012-09-03,295.05,298.70,292.00,292.60,13300,285.91
2012-08-31,292.45,296.90,291.50,294.75,53600,288.01
2012-08-30,293.00,296.95,289.50,294.65,17300,287.92
2012-08-29,297.35,300.00,291.05,292.55,34500,285.86
2012-08-28,298.70,299.50,293.00,294.10,24900,287.38
2012-08-27,303.70,303.85,298.70,299.90,28300,293.05
2012-08-24,302.35,305.00,297.10,298.15,83900,291.34
2012-08-23,303.05,304.00,300.35,302.35,21100,295.44
2012-08-22,302.00,303.50,301.00,302.15,50000,295.24
2012-08-21,302.25,304.60,301.00,302.55,11800,295.64
2012-08-20,302.10,302.10,302.10,302.10,000,295.20
2012-08-17,304.45,305.50,301.30,302.10,62000,295.20
2012-08-16,305.10,308.40,302.65,303.65,22300,296.71
2012-08-15,305.40,305.40,305.40,305.40,000,298.42
2012-08-14,303.65,311.85,303.65,305.40,97800,298.42
2012-08-13,303.80,306.65,302.00,302.95,19600,296.03
2012-08-10,310.95,319.00,301.00,302.50,195400,295.59
2012-08-09,310.95,311.85,309.00,309.10,10800,302.04
2012-08-08,308.40,310.95,308.35,309.70,19700,302.62
2012-08-07,311.95,312.00,306.00,309.10,34200,302.04
2012-08-06,307.95,319.50,307.95,310.55,106700,303.45
2012-08-03,304.15,314.00,304.15,306.90,29400,299.89
2012-08-02,306.75,309.10,305.05,306.35,6500,299.35
2012-08-01,309.95,310.00,305.00,306.75,18400,299.74
2012-07-31,311.85,311.85,304.70,309.35,13200,302.28
2012-07-30,304.00,311.90,303.50,309.60,38700,302.52
2012-07-27,309.15,315.20,301.70,307.70,223700,300.67
2012-07-26,309.90,316.90,307.00,308.70,83800,301.65
2012-07-25,301.50,308.25,293.30,305.60,51000,298.62
2012-07-24,302.05,310.00,300.00,301.50,17300,294.61
2012-07-23,302.25,305.95,300.10,301.10,13300,294.22
2012-07-20,306.20,307.25,303.50,304.35,9100,297.39
2012-07-19,307.00,311.50,304.60,305.60,19400,298.62
2012-07-18,305.40,307.90,304.00,305.30,11700,298.32
2012-07-17,306.00,310.90,304.60,307.05,19200,300.03
