Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,45.80,45.80,45.80,45.80,000,45.80
2012-12-24,45.80,45.80,45.80,45.80,000,45.80
2012-12-21,45.80,45.80,45.80,45.80,000,45.80
2012-12-20,45.80,45.80,45.80,45.80,000,45.80
2012-12-19,45.80,45.80,45.80,45.80,000,45.80
2012-12-18,45.80,45.80,45.80,45.80,000,45.80
2012-12-17,45.80,45.80,45.80,45.80,000,45.80
2012-12-14,45.80,45.80,45.80,45.80,000,45.80
2012-12-13,45.80,45.80,45.80,45.80,000,45.80
2012-12-12,45.80,45.80,45.80,45.80,000,45.80
2012-12-11,45.80,45.80,45.80,45.80,000,45.80
2012-12-10,45.80,45.80,45.80,45.80,000,45.80
2012-12-07,45.80,45.80,45.80,45.80,000,45.80
2012-12-06,45.80,45.80,45.80,45.80,000,45.80
2012-12-05,45.80,45.80,45.80,45.80,000,45.80
2012-12-04,45.80,45.80,45.80,45.80,000,45.80
2012-12-03,45.80,45.80,45.80,45.80,000,45.80
2012-11-30,45.80,45.80,45.80,45.80,000,45.80
2012-11-29,45.80,45.80,45.80,45.80,000,45.80
2012-11-28,45.80,45.80,45.80,45.80,000,45.80
2012-11-27,45.80,45.80,45.80,45.80,000,45.80
2012-11-26,45.80,45.80,45.80,45.80,000,45.80
2012-11-23,45.80,45.80,45.80,45.80,000,45.80
2012-11-22,45.80,45.80,45.80,45.80,000,45.80
2012-11-21,45.80,45.80,45.80,45.80,000,45.80
2012-11-20,45.80,45.80,45.80,45.80,000,45.80
2012-11-19,45.80,45.80,45.80,45.80,000,45.80
2012-11-16,45.80,45.80,45.80,45.80,000,45.80
2012-11-15,45.80,45.80,45.80,45.80,000,45.80
2012-11-14,45.80,45.80,45.80,45.80,000,45.80
2012-11-13,45.80,45.80,45.80,45.80,000,45.80
2012-11-12,45.80,45.80,45.80,45.80,000,45.80
2012-11-09,45.80,45.80,45.80,45.80,000,45.80
2012-11-08,45.80,45.80,45.80,45.80,000,45.80
2012-11-07,45.80,45.80,45.80,45.80,000,45.80
2012-11-06,45.80,45.80,45.80,45.80,000,45.80
2012-11-05,45.80,45.80,45.80,45.80,000,45.80
2012-11-02,45.80,45.80,45.80,45.80,000,45.80
2012-11-01,45.80,45.80,45.80,45.80,000,45.80
2012-10-31,45.80,45.80,45.80,45.80,000,45.80
2012-10-30,45.80,45.80,45.80,45.80,000,45.80
2012-10-29,45.80,45.80,45.80,45.80,000,45.80
2012-10-26,45.80,45.80,45.80,45.80,000,45.80
2012-10-25,45.80,45.80,45.80,45.80,000,45.80
2012-10-24,45.80,45.80,45.80,45.80,000,45.80
2012-10-23,45.80,45.80,45.80,45.80,000,45.80
2012-10-22,45.80,45.80,45.80,45.80,000,45.80
2012-10-19,45.80,45.80,45.80,45.80,000,45.80
2012-10-18,45.80,45.80,45.80,45.80,000,45.80
2012-10-17,45.80,45.80,45.80,45.80,000,45.80
2012-10-16,45.80,45.80,45.80,45.80,000,45.80
2012-10-15,45.80,45.80,45.80,45.80,000,45.80
2012-10-12,45.80,45.80,45.80,45.80,000,45.80
2012-10-11,45.80,45.80,45.80,45.80,000,45.80
2012-10-10,45.80,45.80,45.80,45.80,000,45.80
2012-10-09,45.80,45.80,45.80,45.80,000,45.80
2012-10-08,45.80,45.80,45.80,45.80,000,45.80
2012-10-05,45.80,45.80,45.80,45.80,000,45.80
2012-10-04,45.80,45.80,45.80,45.80,000,45.80
2012-10-03,45.80,45.80,45.80,45.80,000,45.80
2012-10-02,45.80,45.80,45.80,45.80,000,45.80
2012-10-01,45.80,45.80,45.80,45.80,000,45.80
2012-09-28,45.80,45.80,45.80,45.80,000,45.80
2012-09-27,45.80,45.80,45.80,45.80,000,45.80
2012-09-26,45.80,45.80,45.80,45.80,000,45.80
2012-09-25,45.80,45.80,45.80,45.80,000,45.80
2012-09-24,45.80,45.80,45.80,45.80,000,45.80
2012-09-21,45.80,45.80,45.80,45.80,000,45.80
2012-09-20,45.80,45.80,45.80,45.80,000,45.80
2012-09-19,45.80,45.80,45.80,45.80,000,45.80
2012-09-18,45.80,45.80,45.80,45.80,000,45.80
2012-09-17,45.80,45.80,45.80,45.80,000,45.80
2012-09-14,45.80,45.80,45.80,45.80,000,45.80
2012-09-13,45.80,45.80,45.80,45.80,000,45.80
2012-09-12,45.80,45.80,45.80,45.80,000,45.80
2012-09-11,45.80,45.80,45.80,45.80,000,45.80
2012-09-10,45.80,45.80,45.80,45.80,000,45.80
2012-09-07,45.80,45.80,45.80,45.80,000,45.80
2012-09-06,45.80,45.80,45.80,45.80,000,45.80
2012-09-05,45.80,45.80,45.80,45.80,000,45.80
2012-09-04,45.80,45.80,45.80,45.80,000,45.80
2012-09-03,45.80,45.80,45.80,45.80,000,45.80
2012-08-31,45.80,45.80,45.80,45.80,000,45.80
2012-08-30,45.80,45.80,45.80,45.80,000,45.80
2012-08-29,45.80,45.80,45.80,45.80,000,45.80
2012-08-28,45.80,45.80,45.80,45.80,000,45.80
2012-08-27,45.80,45.80,45.80,45.80,000,45.80
2012-08-24,45.80,45.80,45.80,45.80,000,45.80
2012-08-23,45.80,45.80,45.80,45.80,000,45.80
2012-08-22,45.80,45.80,45.80,45.80,000,45.80
2012-08-21,45.80,45.80,45.80,45.80,000,45.80
2012-08-20,45.80,45.80,45.80,45.80,000,45.80
2012-08-17,45.80,45.80,45.80,45.80,000,45.80
2012-08-16,45.80,45.80,45.80,45.80,000,45.80
2012-08-15,45.80,45.80,45.80,45.80,000,45.80
2012-08-14,45.80,45.80,45.80,45.80,000,45.80
2012-08-13,45.80,45.80,45.80,45.80,000,45.80
2012-08-10,45.80,45.80,45.80,45.80,000,45.80
2012-08-09,45.80,45.80,45.80,45.80,000,45.80
2012-08-08,45.80,45.80,45.80,45.80,000,45.80
2012-08-07,45.80,45.80,45.80,45.80,000,45.80
2012-08-06,45.80,45.80,45.80,45.80,000,45.80
2012-08-03,45.80,45.80,45.80,45.80,000,45.80
2012-08-02,45.80,45.80,45.80,45.80,000,45.80
2012-08-01,45.80,45.80,45.80,45.80,000,45.80
2012-07-31,45.80,45.80,45.80,45.80,000,45.80
2012-07-30,45.80,45.80,45.80,45.80,000,45.80
2012-07-27,45.80,45.80,45.80,45.80,000,45.80
2012-07-26,45.80,45.80,45.80,45.80,000,45.80
2012-07-25,45.80,45.80,45.80,45.80,000,45.80
2012-07-24,45.80,45.80,45.80,45.80,000,45.80
2012-07-23,45.80,45.80,45.80,45.80,000,45.80
2012-07-20,45.80,45.80,45.80,45.80,000,45.80
2012-07-19,45.80,45.80,45.80,45.80,000,45.80
2012-07-18,45.80,45.80,45.80,45.80,000,45.80
2012-07-17,45.80,45.80,45.80,45.80,000,45.80
2012-07-16,45.80,45.80,45.80,45.80,000,45.80
2012-07-13,45.80,45.80,45.80,45.80,000,45.80
2012-07-12,45.80,45.80,45.80,45.80,000,45.80
2012-07-11,45.80,45.80,45.80,45.80,000,45.80
2012-07-10,45.80,45.80,45.80,45.80,000,45.80
2012-07-09,45.80,45.80,45.80,45.80,000,45.80
2012-07-06,45.80,45.80,45.80,45.80,000,45.80
2012-07-05,45.80,45.80,45.80,45.80,000,45.80
2012-07-04,45.80,45.80,45.80,45.80,000,45.80
2012-07-03,45.80,45.80,45.80,45.80,000,45.80
2012-07-02,45.80,45.80,45.80,45.80,000,45.80
2012-06-29,45.80,45.80,45.80,45.80,000,45.80
2012-06-28,45.80,45.80,45.80,45.80,000,45.80
2012-06-27,45.80,45.80,45.80,45.80,000,45.80
2012-06-26,45.80,45.80,45.80,45.80,000,45.80
2012-06-25,45.80,45.80,45.80,45.80,000,45.80
2012-06-22,45.80,45.80,45.80,45.80,000,45.80
2012-06-21,45.80,45.80,45.80,45.80,000,45.80
2012-06-20,45.80,45.80,45.80,45.80,000,45.80
2012-06-19,45.80,45.80,45.80,45.80,000,45.80
2012-06-18,45.80,45.80,45.80,45.80,000,45.80
2012-06-15,45.80,45.80,45.80,45.80,000,45.80
