Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,636.45,636.45,636.45,636.45,000,636.45
2012-12-24,632.50,641.50,627.35,636.45,300100,636.45
2012-12-21,638.50,638.50,626.25,629.95,448700,629.95
2012-12-20,644.70,647.45,635.60,639.50,430400,639.50
2012-12-19,635.05,643.00,632.90,641.45,1041800,641.45
2012-12-18,634.25,637.50,623.85,632.75,527700,632.75
2012-12-17,627.50,636.70,627.50,632.95,1046800,632.95
2012-12-14,622.00,633.95,622.00,630.90,815000,630.90
2012-12-13,622.00,626.70,617.55,621.15,887200,621.15
2012-12-12,615.20,630.00,613.05,616.30,1426700,616.30
2012-12-11,618.15,626.75,608.05,614.35,815700,614.35
2012-12-10,611.00,625.00,611.00,621.35,576700,621.35
2012-12-07,625.00,627.95,611.00,614.05,1285200,614.05
2012-12-06,640.00,642.00,616.20,625.45,886700,625.45
2012-12-05,650.20,652.00,635.00,639.00,943800,639.00
2012-12-04,648.30,650.00,639.75,648.20,819700,648.20
2012-12-03,654.90,656.00,646.55,647.85,996700,647.85
2012-11-30,640.00,660.95,631.55,656.50,10377700,656.50
2012-11-29,641.50,650.00,635.80,638.80,1802300,638.80
2012-11-28,642.90,642.90,642.90,642.90,000,642.90
2012-11-27,641.20,646.80,639.05,642.90,1079800,642.90
2012-11-26,639.85,646.10,635.15,639.95,1434100,639.95
2012-11-23,630.00,639.75,628.90,636.45,1746300,636.45
2012-11-22,615.80,629.00,615.80,627.30,879800,627.30
2012-11-21,618.50,619.00,608.15,617.50,1190000,617.50
2012-11-20,615.85,619.90,606.15,613.65,670500,613.65
2012-11-19,609.00,618.10,602.00,615.85,722100,615.85
2012-11-16,624.00,624.00,605.05,607.75,991200,607.75
2012-11-15,614.00,632.45,612.05,620.65,2389800,620.65
2012-11-14,620.00,620.00,620.00,620.00,000,620.00
2012-11-13,620.00,620.00,620.00,620.00,000,620.00
2012-11-12,614.75,622.85,611.25,620.00,435800,620.00
2012-11-09,616.00,617.90,611.30,614.70,217800,614.70
2012-11-08,612.10,619.90,612.00,618.50,330400,618.50
2012-11-07,607.05,620.45,607.05,616.15,498800,616.15
2012-11-06,613.05,616.85,606.70,608.40,686600,608.40
2012-11-05,614.30,616.80,611.20,613.85,396100,613.85
2012-11-02,611.00,620.90,611.00,614.20,825700,614.20
2012-11-01,612.00,613.45,605.25,608.10,551400,608.10
2012-10-31,606.05,611.90,603.00,608.00,509800,608.00
2012-10-30,609.95,616.00,602.40,606.40,687500,606.40
2012-10-29,606.00,614.00,606.00,610.00,530400,610.00
2012-10-26,609.25,609.25,609.25,609.25,000,609.25
2012-10-25,610.90,619.55,605.00,609.25,1213700,609.25
2012-10-24,608.70,608.70,608.70,608.70,000,608.70
2012-10-23,613.00,613.00,602.75,608.70,557800,608.70
2012-10-22,605.00,613.45,599.95,611.15,1079400,611.15
2012-10-19,598.00,608.35,589.25,605.35,1911100,605.35
2012-10-18,582.00,604.00,581.70,601.00,2573200,597.00
