Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,106.55,106.55,106.55,106.55,000,106.55
2012-12-24,107.80,108.00,105.40,106.55,10749600,106.55
2012-12-21,113.00,113.00,105.70,107.00,16487100,107.00
2012-12-20,117.10,117.10,112.50,113.40,16888600,113.40
2012-12-19,118.90,119.90,116.10,117.00,11543800,117.00
2012-12-18,116.85,118.80,113.40,118.25,12254600,118.25
2012-12-17,115.60,117.30,115.40,116.15,8097500,116.15
2012-12-14,115.65,116.50,112.25,115.85,13771600,115.85
2012-12-13,118.20,119.70,115.15,115.60,10798600,115.60
2012-12-12,117.25,118.80,115.25,118.10,11729300,118.10
2012-12-11,120.00,120.95,115.05,117.15,15744200,117.15
2012-12-10,117.85,120.50,116.65,119.75,12729900,119.75
2012-12-07,118.75,120.20,116.15,117.10,15755200,117.10
2012-12-06,118.05,119.20,114.30,118.60,15987300,118.60
2012-12-05,115.55,118.80,115.55,117.75,13454000,117.75
2012-12-04,114.00,117.20,113.40,116.00,15519800,116.00
2012-12-03,113.00,115.00,112.20,114.05,13940800,114.05
2012-11-30,114.20,115.00,111.25,112.90,17801200,112.90
2012-11-29,106.95,113.90,106.55,112.60,25810100,112.60
2012-11-28,106.35,106.35,106.35,106.35,000,106.35
2012-11-27,104.00,107.85,104.00,106.35,14850900,106.35
2012-11-26,104.50,104.90,102.00,103.45,12683600,103.45
2012-11-23,104.75,105.30,102.25,104.05,12965500,104.05
2012-11-22,105.00,106.85,103.05,104.70,17497000,104.70
2012-11-21,100.45,105.50,99.55,104.60,17798600,104.60
2012-11-20,105.05,106.55,99.55,100.15,18995100,100.15
2012-11-19,102.50,104.90,101.10,104.30,15572100,104.30
2012-11-16,106.70,107.90,100.80,101.85,16033400,101.85
2012-11-15,107.00,107.70,102.55,106.30,23543500,106.30
2012-11-14,110.45,110.45,110.45,110.45,000,110.45
2012-11-13,110.45,110.45,110.45,110.45,000,110.45
2012-11-12,104.95,111.20,104.40,110.45,24864000,110.45
2012-11-09,105.95,108.20,103.55,104.35,28960200,104.35
2012-11-08,104.00,106.70,101.80,105.75,19930500,105.75
2012-11-07,106.40,108.00,104.50,105.25,19101100,105.25
2012-11-06,100.25,106.30,99.60,105.90,22413100,105.90
2012-11-05,99.95,100.85,98.65,100.05,10226700,100.05
2012-11-02,99.90,101.70,98.75,99.85,12830300,99.85
2012-11-01,95.80,99.45,95.15,99.05,15880600,99.05
2012-10-31,93.00,96.40,91.60,95.95,18625200,95.95
2012-10-30,97.95,99.50,92.50,93.00,18050500,93.00
2012-10-29,98.20,99.20,96.30,97.75,12868900,97.75
2012-10-26,101.10,101.10,101.10,101.10,000,101.10
2012-10-25,103.50,104.50,98.60,101.10,20965800,101.10
2012-10-24,103.35,103.35,103.35,103.35,000,103.35
