Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1886.35,1886.35,1886.35,1886.35,000,1886.35
2012-12-24,1910.00,1918.00,1876.10,1886.35,144100,1886.35
2012-12-21,1900.00,1914.40,1893.25,1900.30,222500,1900.30
2012-12-20,1923.90,1932.85,1885.60,1910.50,266300,1910.50
2012-12-19,1891.25,1922.00,1883.00,1916.30,284900,1916.30
2012-12-18,1871.25,1891.00,1857.40,1884.55,138900,1884.55
2012-12-17,1855.25,1882.00,1855.00,1865.55,94000,1865.55
2012-12-14,1882.25,1887.05,1851.20,1863.55,247700,1863.55
2012-12-13,1900.00,1911.00,1874.10,1878.50,475200,1878.50
2012-12-12,1862.00,1894.00,1858.05,1889.95,563400,1889.95
2012-12-11,1850.00,1861.90,1840.00,1853.25,364600,1853.25
2012-12-10,1825.25,1847.00,1825.25,1842.25,342700,1842.25
2012-12-07,1821.10,1833.25,1817.10,1826.20,836300,1826.20
2012-12-06,1828.00,1839.45,1802.25,1825.20,299600,1825.20
2012-12-05,1815.25,1834.90,1806.60,1821.50,352200,1821.50
2012-12-04,1805.00,1817.80,1802.00,1810.25,309300,1810.25
2012-12-03,1823.35,1830.00,1802.40,1821.20,347000,1821.20
2012-11-30,1831.00,1865.50,1816.10,1826.65,429400,1826.65
2012-11-29,1845.00,1869.80,1813.00,1816.00,1256500,1816.00
2012-11-28,1840.30,1840.30,1840.30,1840.30,000,1840.30
2012-11-27,1835.00,1851.00,1826.65,1840.30,226900,1840.30
2012-11-26,1827.00,1842.00,1822.25,1832.45,174100,1832.45
2012-11-23,1805.00,1833.50,1801.00,1825.25,211200,1825.25
2012-11-22,1815.25,1823.00,1797.95,1803.30,149300,1803.30
2012-11-21,1823.65,1833.15,1791.35,1807.30,177200,1807.30
2012-11-20,1852.00,1857.90,1811.75,1821.75,193800,1821.75
2012-11-19,1824.00,1850.00,1812.20,1842.50,168600,1842.50
2012-11-16,1849.00,1855.60,1801.55,1815.65,375500,1815.65
2012-11-15,1855.00,1861.90,1825.00,1839.65,350500,1839.65
2012-11-14,1872.40,1872.40,1872.40,1872.40,000,1872.40
2012-11-13,1872.40,1872.40,1872.40,1872.40,000,1872.40
2012-11-12,1914.65,1915.00,1867.45,1872.40,276700,1872.40
2012-11-09,1920.95,1920.95,1892.50,1908.20,247000,1908.20
2012-11-08,1932.00,1946.00,1915.50,1923.05,262600,1923.05
2012-11-07,1934.05,1963.95,1920.00,1946.20,302700,1946.20
2012-11-06,1945.20,1954.95,1914.35,1935.75,227500,1935.75
2012-11-05,1947.00,1966.00,1935.10,1949.15,214400,1949.15
2012-11-02,1920.25,1950.00,1920.25,1945.80,393300,1945.80
2012-11-01,1880.00,1917.80,1867.50,1910.00,473600,1910.00
2012-10-31,1872.10,1893.90,1853.65,1880.00,186500,1880.00
2012-10-30,1900.05,1909.10,1827.15,1872.10,399200,1872.10
2012-10-29,1870.00,1919.65,1868.20,1904.70,550000,1904.70
2012-10-26,1832.30,1832.30,1832.30,1832.30,000,1832.30
2012-10-25,1755.00,1840.00,1751.00,1832.30,915900,1832.30
2012-10-24,1795.75,1795.75,1795.75,1795.75,000,1795.75
2012-10-23,1808.10,1814.00,1782.30,1795.75,391800,1795.75
2012-10-22,1844.45,1847.55,1819.00,1827.65,143600,1827.65
