Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,40.75,40.75,40.75,40.75,000,40.75
2012-12-24,40.90,41.20,40.10,40.75,83600,40.75
2012-12-21,42.00,42.00,40.75,40.90,99600,40.90
2012-12-20,42.60,42.60,41.55,41.80,129600,41.80
2012-12-19,43.30,43.50,42.60,42.75,66400,42.75
2012-12-18,44.95,44.95,43.05,43.25,56500,43.25
2012-12-17,43.40,44.50,43.20,43.55,100300,43.55
2012-12-14,45.25,45.25,42.55,43.40,100900,43.40
2012-12-13,44.90,45.90,43.65,44.00,386900,44.00
2012-12-12,42.90,45.40,42.55,44.40,767900,44.40
2012-12-11,43.50,44.20,42.50,42.90,274700,42.90
2012-12-10,40.95,42.65,40.45,42.45,407500,42.45
2012-12-07,40.55,41.00,40.35,40.50,60000,40.50
2012-12-06,40.85,41.40,40.50,40.90,51400,40.90
2012-12-05,41.20,41.45,40.25,40.60,55600,40.60
2012-12-04,41.05,41.25,40.10,40.70,155100,40.70
2012-12-03,38.85,41.50,38.40,40.60,362400,40.60
2012-11-30,38.00,39.10,38.00,38.85,92100,38.85
2012-11-29,38.05,38.75,38.05,38.35,102700,38.35
2012-11-28,38.10,38.10,38.10,38.10,000,38.10
2012-11-27,37.90,38.35,37.25,38.10,116300,38.10
2012-11-26,39.85,39.85,37.25,37.60,386800,37.60
2012-11-23,37.20,37.95,37.00,37.55,49300,37.55
2012-11-22,38.20,38.20,37.25,37.45,21300,37.45
2012-11-21,38.10,38.15,37.40,37.65,37300,37.65
2012-11-20,38.50,39.15,37.75,38.10,172400,38.10
2012-11-19,38.95,38.95,37.55,38.05,207400,38.05
2012-11-16,37.80,39.35,37.00,37.50,54600,37.50
2012-11-15,38.45,38.55,37.60,38.00,85300,38.00
2012-11-14,38.60,38.60,38.60,38.60,000,38.60
2012-11-13,38.60,38.60,38.60,38.60,000,38.60
2012-11-12,37.95,39.20,37.50,38.60,106600,38.60
2012-11-09,39.45,39.45,37.30,37.85,84300,37.85
2012-11-08,36.70,39.60,36.25,38.50,357000,38.50
2012-11-07,35.50,37.25,35.50,37.00,58900,37.00
2012-11-06,35.05,36.95,35.05,36.45,25600,36.45
2012-11-05,36.00,36.75,36.00,36.45,35500,36.45
2012-11-02,36.00,37.15,36.00,36.60,127400,36.60
2012-11-01,35.05,36.45,35.05,36.35,18100,36.35
2012-10-31,36.00,36.30,35.50,36.00,30200,36.00
2012-10-30,35.50,36.00,35.40,35.95,28300,35.95
2012-10-29,35.70,36.95,35.50,35.80,21500,35.80
2012-10-26,36.05,36.05,36.05,36.05,000,36.05
2012-10-25,35.55,36.45,35.55,36.05,27600,36.05
2012-10-24,36.10,36.10,36.10,36.10,000,36.10
2012-10-23,34.00,36.45,34.00,36.10,88300,36.10
