Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,102.70,102.70,102.70,102.70,000,102.70
2012-12-24,103.10,104.90,102.00,102.70,831100,102.70
2012-12-21,100.75,106.20,100.20,102.25,2860800,102.25
2012-12-20,101.55,102.40,100.60,101.10,592800,101.10
2012-12-19,100.70,103.40,100.50,100.85,904600,100.85
2012-12-18,100.70,102.10,99.65,100.15,612700,100.15
2012-12-17,101.65,102.40,99.50,100.65,413600,100.65
2012-12-14,100.85,103.30,99.40,100.65,830900,100.65
2012-12-13,105.90,106.05,99.40,100.20,825900,100.20
2012-12-12,107.40,109.30,104.70,105.45,945200,105.45
2012-12-11,107.75,111.15,105.35,106.65,1734300,106.65
2012-12-10,108.80,110.40,106.65,107.25,1308100,107.25
2012-12-07,101.10,111.20,100.50,107.95,4369400,107.95
2012-12-06,101.50,101.90,99.10,100.55,439300,100.55
2012-12-05,101.35,101.95,99.50,99.95,432900,99.95
2012-12-04,101.00,102.90,99.50,100.40,613500,100.40
2012-12-03,99.60,102.50,98.40,100.70,812800,100.70
2012-11-30,97.50,100.20,97.50,98.60,402600,98.60
2012-11-29,98.50,101.45,97.35,98.50,849200,98.50
2012-11-28,97.85,97.85,97.85,97.85,000,97.85
2012-11-27,95.95,99.40,95.85,97.85,752400,97.85
2012-11-26,93.80,97.65,92.35,95.60,615800,95.60
2012-11-23,94.45,94.90,92.30,92.65,242400,92.65
2012-11-22,94.50,95.35,94.00,94.40,229400,94.40
2012-11-21,94.70,95.00,93.20,94.45,225400,94.45
2012-11-20,96.90,97.50,93.75,94.40,283500,94.40
2012-11-19,97.75,98.40,96.10,96.40,247400,96.40
2012-11-16,101.95,109.00,96.65,97.15,479400,97.15
2012-11-15,98.80,98.80,95.70,97.05,329500,97.05
2012-11-14,98.45,98.45,98.45,98.45,000,98.45
2012-11-13,98.45,98.45,98.45,98.45,000,98.45
2012-11-12,99.85,100.05,97.65,98.45,263400,98.45
2012-11-09,100.15,102.40,98.70,99.50,615800,99.50
2012-11-08,97.00,101.80,96.10,100.40,1177400,100.40
2012-11-07,95.95,99.20,95.50,97.70,687800,97.70
2012-11-06,98.25,98.60,95.30,95.55,579000,95.55
2012-11-05,98.85,99.90,97.75,98.10,739700,98.10
2012-11-02,99.30,100.75,98.55,99.00,701100,99.00
2012-11-01,101.00,101.70,97.90,99.20,840100,99.20
2012-10-31,99.25,102.25,99.25,101.20,323700,101.20
2012-10-30,101.40,101.70,98.50,99.55,292500,99.55
2012-10-29,102.50,103.80,99.10,100.65,437200,100.65
2012-10-26,103.85,103.85,103.85,103.85,000,103.85
2012-10-25,101.10,106.20,101.10,103.85,300500,103.85
2012-10-24,105.45,105.45,105.45,105.45,000,105.45
2012-10-23,119.00,119.00,105.00,105.45,647500,105.45
2012-10-22,106.00,106.90,104.20,105.30,378100,105.30
2012-10-19,109.40,109.80,106.15,106.60,453200,106.60
2012-10-18,110.25,110.40,108.35,109.35,440800,109.35
2012-10-17,111.60,111.90,108.50,109.45,423800,109.45
2012-10-16,111.80,113.65,110.25,110.60,682900,110.60
2012-10-15,112.65,112.95,110.65,111.15,462600,111.15
2012-10-12,113.95,114.90,112.25,112.65,593700,112.65
2012-10-11,113.80,114.90,111.80,113.50,658000,113.50
2012-10-10,115.75,115.90,112.70,113.00,519500,113.00
2012-10-09,115.95,117.90,114.00,114.70,735300,114.70
2012-10-08,119.30,119.40,114.50,115.45,672800,115.45
2012-10-05,122.00,122.00,116.00,119.20,789100,119.20
2012-10-04,118.35,122.50,118.25,121.00,1199600,121.00
2012-10-03,120.00,120.55,117.10,118.25,529500,118.25
2012-10-02,119.35,119.35,119.35,119.35,000,119.35
2012-10-01,116.30,120.70,116.10,119.35,527600,119.35
2012-09-28,118.00,119.20,114.90,116.30,646700,116.30
2012-09-27,115.75,118.20,114.20,117.10,1644900,117.10
2012-09-26,114.90,117.00,114.00,114.85,1106500,114.85
2012-09-25,119.45,120.25,114.40,114.70,1118000,114.70
2012-09-24,120.00,123.75,118.10,118.65,1213900,118.65
2012-09-21,118.20,121.80,118.20,120.00,803500,120.00
2012-09-20,121.45,121.45,117.00,117.75,750300,117.75
2012-09-19,123.00,123.00,123.00,123.00,000,123.00
2012-09-18,122.20,125.00,121.75,123.00,834600,123.00
2012-09-17,118.95,123.60,117.95,122.65,1638100,122.65
2012-09-14,118.20,120.20,117.20,117.80,919300,117.80
2012-09-13,118.45,119.15,115.50,116.45,533600,116.45
2012-09-12,118.00,119.80,116.90,118.00,498200,118.00
2012-09-11,119.00,119.00,116.00,117.65,405900,117.65
2012-09-10,120.05,120.80,118.10,119.30,472000,119.30
2012-09-07,117.15,119.80,116.85,118.90,831000,118.90
2012-09-06,114.10,117.45,110.55,116.15,397700,116.15
2012-09-05,116.00,116.90,113.00,114.65,541900,114.65
2012-09-04,115.75,117.20,115.45,116.65,356600,116.65
2012-09-03,115.85,117.80,114.80,115.75,419100,115.75
2012-08-31,115.50,116.45,114.20,115.30,431500,115.30
2012-08-30,115.35,116.55,113.25,115.20,612300,115.20
2012-08-29,116.05,117.40,114.55,115.85,708700,115.85
2012-08-28,120.70,120.70,113.20,115.95,844400,115.95
2012-08-27,125.25,126.45,119.60,120.20,881600,120.20
2012-08-24,123.80,127.25,122.10,125.25,1657400,125.25
2012-08-23,121.15,124.35,121.00,123.35,1065900,123.35
2012-08-22,121.25,122.65,120.10,121.15,636200,121.15
2012-08-21,120.65,123.15,119.10,122.55,807700,122.55
2012-08-20,119.75,119.75,119.75,119.75,000,119.75
2012-08-17,121.65,123.15,118.30,119.75,703300,119.75
2012-08-16,123.80,123.80,119.80,120.85,531700,120.85
2012-08-15,123.10,123.10,123.10,123.10,000,123.10
2012-08-14,122.30,124.45,121.05,123.10,417300,123.10
2012-08-13,122.05,133.80,119.80,122.30,714500,122.30
2012-08-10,120.15,123.00,118.65,122.10,759000,122.10
2012-08-09,123.70,123.70,119.60,120.20,616900,120.20
2012-08-08,125.70,126.10,121.50,122.40,795900,122.40
2012-08-07,124.10,126.70,123.65,124.80,864600,124.80
2012-08-06,127.00,127.00,121.30,124.10,1123300,124.10
2012-08-03,119.00,123.45,118.25,122.65,1007000,122.65
2012-08-02,119.00,122.65,118.20,121.55,925000,121.55
2012-08-01,115.75,121.35,115.20,119.80,1140200,119.80
2012-07-31,117.55,119.50,112.70,118.70,1062100,118.70
2012-07-30,112.80,117.80,111.55,116.95,789000,116.95
2012-07-27,113.80,116.80,109.70,111.90,786900,111.90
2012-07-26,115.00,115.40,111.00,112.15,954400,112.15
2012-07-25,117.00,117.05,110.20,114.95,1464200,114.95
2012-07-24,118.60,120.95,116.10,117.40,636200,117.40
2012-07-23,120.15,123.30,118.05,118.55,821200,118.55
2012-07-20,126.30,127.60,123.80,124.50,648900,124.50
2012-07-19,126.35,128.30,125.30,126.30,1014800,126.30
2012-07-18,126.00,126.95,121.05,124.40,908700,124.40
2012-07-17,130.50,130.50,126.00,126.85,847100,126.85
2012-07-16,134.00,134.25,128.00,128.80,961500,128.80
2012-07-13,130.25,133.90,129.40,133.05,1436200,133.05
2012-07-12,130.75,130.75,127.50,129.05,988100,129.05
2012-07-11,132.25,134.75,131.10,132.10,950300,132.10
2012-07-10,129.00,134.75,129.00,133.55,1342400,133.55
2012-07-09,133.40,133.45,128.70,129.55,1154700,129.55
2012-07-06,140.25,140.25,133.20,134.60,1070300,134.60
2012-07-05,136.00,140.00,133.80,139.45,1886600,139.45
2012-07-04,137.35,138.45,133.60,135.85,1909700,135.85
2012-07-03,133.55,135.45,132.50,134.75,2595300,134.75
2012-07-02,132.00,132.85,128.30,131.30,1040900,131.30
2012-06-29,128.50,132.60,128.30,131.50,1330600,131.50
2012-06-28,129.20,131.00,126.10,127.40,1054000,127.40
2012-06-27,128.60,131.80,126.80,128.70,1608400,128.70
2012-06-26,127.70,130.40,125.60,127.80,1057900,127.80
2012-06-25,134.90,136.90,126.55,127.55,2596000,127.55
2012-06-22,130.40,136.40,125.40,133.65,3320000,133.65
2012-06-21,122.90,133.45,121.00,131.50,3764800,131.50
2012-06-20,116.00,126.70,115.50,123.45,1803800,123.45
2012-06-19,112.20,116.80,111.50,115.60,852200,115.60
2012-06-18,117.95,118.70,110.55,112.15,933300,112.15
2012-06-15,116.20,118.75,114.60,117.05,775900,117.05
2012-06-14,121.25,121.25,114.60,115.20,1129200,115.20
2012-06-13,113.60,123.50,110.85,120.75,3258400,120.75
2012-06-12,108.85,114.75,108.15,113.45,799700,113.45
2012-06-11,111.05,114.00,108.85,109.55,1166600,109.55
2012-06-08,106.45,111.50,105.50,110.20,1349100,110.20
2012-06-07,104.00,109.50,103.10,108.25,1174500,108.25
2012-06-06,100.45,104.40,100.15,103.20,829900,103.20
2012-06-05,100.95,101.60,97.65,99.00,625500,99.00
2012-06-04,96.95,99.80,95.15,98.95,767700,98.95
2012-06-01,100.95,102.20,97.50,98.25,733400,98.25
2012-05-31,98.10,102.00,97.20,101.60,561500,101.60
2012-05-30,103.15,103.15,99.40,100.05,562900,100.05
2012-05-29,111.00,111.00,102.65,103.15,541700,103.15
2012-05-28,104.10,104.80,102.75,104.30,546400,104.30
2012-05-25,101.40,104.45,100.40,103.20,1144700,103.20
2012-05-24,101.60,102.45,99.75,101.80,1264800,101.80
2012-05-23,100.00,101.35,98.70,99.65,913800,99.65
2012-05-22,105.50,106.75,99.80,100.90,1309600,100.90
2012-05-21,102.00,105.90,101.15,104.65,1229300,104.65
2012-05-18,99.00,103.40,97.85,102.45,1209500,102.45
2012-05-17,104.40,106.70,100.70,102.15,1227100,102.15
2012-05-16,100.90,105.80,98.00,104.20,1230400,104.20
2012-05-15,99.00,103.80,97.55,102.80,1343300,102.80
2012-05-14,102.90,104.65,99.20,100.20,892500,100.20
2012-05-11,108.00,108.85,101.55,102.90,1330900,102.90
2012-05-10,109.55,112.40,107.15,108.90,1028200,108.90
2012-05-09,110.00,113.35,107.75,109.50,864800,109.50
2012-05-08,117.00,118.80,111.85,112.70,1196800,112.70
2012-05-07,114.00,117.60,107.05,116.70,1555200,116.70
2012-05-04,119.75,119.80,111.70,113.00,1175400,113.00
2012-05-03,125.20,125.20,119.40,120.65,1031900,120.65
2012-05-02,122.55,126.25,122.55,124.35,1308100,124.35
2012-05-01,122.40,122.40,122.40,122.40,000,122.40
2012-04-30,121.80,123.50,119.65,121.90,1062500,121.90
2012-04-27,119.40,122.90,115.90,119.20,1228900,119.20
2012-04-26,120.90,120.90,118.15,119.05,704200,119.05
2012-04-25,122.10,124.50,117.60,119.90,783000,119.90
2012-04-24,120.00,123.50,117.25,122.65,1101600,122.65
2012-04-23,127.40,130.50,118.20,119.00,1531700,119.00
2012-04-20,130.95,132.00,125.00,126.55,949000,126.55
2012-04-19,130.70,132.80,128.45,131.45,1158200,131.45
2012-04-18,133.00,136.65,129.10,129.85,1926200,129.85
2012-04-17,128.00,133.35,122.60,132.55,2107500,132.55
2012-04-16,121.45,124.50,120.50,122.75,986100,122.75
2012-04-13,123.60,129.80,121.60,122.40,1775100,122.40
2012-04-12,121.50,124.50,117.75,123.05,1433200,123.05
2012-04-11,116.45,123.80,114.50,121.05,1668300,121.05
2012-04-10,119.90,120.50,115.00,117.40,915100,117.40
2012-04-09,125.00,125.00,118.15,119.00,1043800,119.00
2012-04-06,124.70,124.70,124.70,124.70,000,124.70
2012-04-05,124.70,124.70,124.70,124.70,000,124.70
2012-04-04,123.45,125.60,120.65,124.70,1103500,124.70
2012-04-03,120.20,124.90,120.20,124.20,2050300,124.20
2012-04-02,112.50,120.20,112.05,119.00,1539500,119.00
2012-03-30,109.15,113.00,109.05,112.05,1483300,112.05
2012-03-29,106.95,110.45,105.05,108.60,1816300,108.60
2012-03-28,113.10,113.10,107.40,107.95,864200,107.95
2012-03-27,115.30,116.00,110.80,113.90,1134500,113.90
2012-03-26,117.45,117.95,112.50,113.30,1024500,113.30
2012-03-23,108.25,119.30,108.25,117.95,1305400,117.95
2012-03-22,121.75,123.45,111.60,112.45,1143500,112.45
2012-03-21,116.50,122.80,115.20,121.55,1198300,121.55
2012-03-20,116.50,119.60,113.05,116.35,1154600,116.35
2012-03-19,119.95,124.55,114.10,116.60,878500,116.60
2012-03-16,126.85,129.90,122.50,123.60,1056400,123.60
2012-03-15,133.00,133.00,125.40,126.30,757500,126.30
2012-03-14,135.00,136.40,130.35,132.60,1076800,132.60
2012-03-13,130.40,134.90,130.00,133.35,913000,133.35
2012-03-12,130.45,131.25,125.50,129.15,644300,129.15
2012-03-09,126.30,129.95,126.00,129.00,797800,129.00
2012-03-08,135.65,135.65,135.65,135.65,000,135.65
2012-03-07,122.50,124.80,120.30,123.95,1398700,123.95
2012-03-06,129.00,135.60,122.20,124.15,1281200,124.15
2012-03-05,133.00,133.00,127.00,129.15,719100,129.15
2012-03-02,136.80,138.25,132.70,133.90,1125400,133.90
2012-03-01,137.85,138.65,132.50,135.65,840200,135.65
2012-02-29,135.45,139.90,130.40,137.50,1274600,137.50
2012-02-28,126.15,135.35,126.15,134.70,870400,134.70
2012-02-27,134.45,134.80,124.00,125.70,1308200,125.70
2012-02-24,139.50,141.60,131.30,133.50,1369800,133.50
2012-02-23,134.00,140.30,129.00,137.70,1531600,137.70
2012-02-22,151.40,151.40,134.50,136.15,1810000,136.15
2012-02-21,138.40,151.25,137.85,149.95,2797100,149.95
2012-02-20,137.10,137.10,137.10,137.10,000,137.10
2012-02-17,137.45,142.15,135.50,137.10,1812000,137.10
2012-02-16,133.70,137.30,131.00,135.65,1557300,135.65
2012-02-15,132.40,135.20,129.30,133.35,1692900,133.35
2012-02-14,125.85,129.80,125.10,128.10,956900,128.10
2012-02-13,125.50,127.75,123.40,126.70,851500,126.70
2012-02-10,128.90,130.60,122.30,124.35,1327300,124.35
2012-02-09,124.45,129.00,123.00,128.20,2033100,128.20
2012-02-08,118.90,127.30,118.90,122.85,1849200,122.85
2012-02-07,123.85,126.40,119.45,121.10,1447900,121.10
2012-02-06,123.10,128.40,121.70,123.90,1670100,123.90
2012-02-03,122.25,123.70,121.10,122.25,859500,122.25
2012-02-02,120.00,124.90,119.20,122.25,1610500,122.25
2012-02-01,117.85,122.00,115.05,121.25,1428700,121.25
2012-01-31,113.00,118.00,113.00,117.30,902500,117.30
2012-01-30,121.00,123.50,111.45,112.65,1319200,112.65
2012-01-27,117.85,122.95,117.85,121.45,1358700,121.45
2012-01-26,117.65,117.65,117.65,117.65,000,117.65
2012-01-25,118.40,120.40,116.15,117.65,983100,117.65
2012-01-24,117.45,120.90,114.10,118.10,1719600,118.10
2012-01-23,113.85,119.50,113.00,117.25,1557800,117.25
2012-01-20,113.65,119.05,112.60,114.40,1910400,114.40
2012-01-19,111.70,115.00,111.00,114.20,1080400,114.20
2012-01-18,112.55,116.50,109.25,110.05,1223700,110.05
2012-01-17,114.30,116.70,111.70,112.55,1396200,112.55
2012-01-16,106.00,113.90,104.10,113.25,1755700,113.25
2012-01-13,104.00,109.00,104.00,106.25,1133600,106.25
2012-01-12,104.00,108.00,103.10,104.85,1144300,104.85
2012-01-11,104.35,106.50,103.25,104.10,1091900,104.10
2012-01-10,98.75,104.40,98.55,103.50,1528200,103.50
2012-01-09,97.05,98.80,93.60,97.75,1051600,97.75
2012-01-06,95.95,97.65,92.65,96.00,952700,96.00
2012-01-05,98.50,100.85,95.75,96.60,1126500,96.60
2012-01-04,96.70,100.60,95.40,98.15,1725000,98.15
2012-01-03,93.00,95.50,92.35,94.95,1025600,94.95
2012-01-02,90.00,92.00,87.20,91.00,938900,91.00
2011-12-30,90.60,93.35,89.00,89.70,971900,89.70
2011-12-29,90.40,91.80,89.10,89.65,748500,89.65
2011-12-28,91.60,92.85,89.60,91.05,684300,91.05
2011-12-27,95.55,96.15,91.05,91.95,950800,91.95
2011-12-26,93.80,96.65,91.30,95.25,895900,95.25
2011-12-23,96.50,97.20,92.00,92.90,1067300,92.90
2011-12-22,90.90,95.70,88.20,95.10,1949600,95.10
2011-12-21,95.90,96.55,86.35,91.65,2639400,91.65
2011-12-20,99.80,101.60,92.10,92.85,1279100,92.85
2011-12-19,100.10,102.90,96.20,98.90,1184000,98.90
2011-12-16,110.55,114.00,102.70,104.10,1034500,104.10
2011-12-15,109.60,113.00,107.00,111.05,811900,111.05
2011-12-14,115.65,116.85,111.40,112.50,781200,112.50
2011-12-13,111.05,116.90,109.10,115.45,1261400,115.45
2011-12-12,120.05,121.25,111.00,113.10,771000,113.10
2011-12-09,122.30,123.00,117.70,119.45,891900,119.45
2011-12-08,128.40,128.70,122.40,123.20,976500,123.20
2011-12-07,133.00,134.20,126.70,128.95,1892600,128.95
2011-12-06,131.10,131.10,131.10,131.10,000,131.10
2011-12-05,123.60,132.30,121.10,131.10,2168800,131.10
2011-12-02,120.90,124.75,118.60,123.80,882300,123.80
2011-12-01,122.40,132.30,118.30,120.60,1102100,120.60
2011-11-30,124.40,125.15,117.05,119.10,1487200,119.10
2011-11-29,119.10,125.70,118.60,124.60,3194000,124.60
2011-11-28,110.90,118.60,110.30,117.95,1153400,117.95
2011-11-25,107.90,112.85,107.90,109.30,983000,109.30
2011-11-24,106.00,110.90,102.00,109.40,1626300,109.40
2011-11-23,116.60,116.60,103.50,105.95,1666200,105.95
2011-11-22,116.00,121.60,113.20,116.55,1187800,116.55
2011-11-21,140.00,140.00,114.00,114.70,926700,114.70
2011-11-18,120.50,124.55,118.05,123.75,815600,123.75
2011-11-17,125.95,128.80,120.60,122.30,1136700,122.30
2011-11-16,122.80,127.90,112.40,124.90,1823700,124.90
2011-11-15,127.80,132.90,121.30,122.75,1631600,122.75
2011-11-14,136.00,136.00,127.00,128.30,2198000,128.30
2011-11-11,120.15,135.00,118.55,133.70,3526900,133.70
2011-11-09,130.00,130.60,121.80,123.10,2326200,123.10
2011-11-08,120.00,128.20,118.60,126.85,1731900,126.85
2011-11-04,119.80,120.70,116.50,118.30,551500,118.30
2011-11-03,117.30,121.00,115.05,117.95,744900,117.95
2011-11-02,113.00,118.80,113.00,117.30,708500,117.30
2011-11-01,117.05,119.50,113.30,114.55,560600,114.55
2011-10-31,118.80,122.80,117.00,119.80,1104900,119.80
2011-10-28,111.95,119.00,111.55,117.10,1181400,117.10
2011-10-26,109.40,110.25,108.75,109.10,102600,109.10
2011-10-25,107.20,109.75,105.20,108.95,480800,108.95
2011-10-24,107.70,110.00,104.50,105.80,310800,105.80
2011-10-21,110.95,110.95,104.10,105.10,390000,105.10
2011-10-20,109.00,109.00,106.60,108.10,293400,108.10
2011-10-19,107.85,110.90,107.50,110.25,386000,110.25
2011-10-18,109.00,109.00,104.80,106.35,365300,106.35
2011-10-17,112.20,112.20,108.55,109.65,319200,109.65
2011-10-14,110.50,111.60,109.30,110.70,368600,110.70
2011-10-13,113.45,114.35,109.35,110.95,527700,110.95
2011-10-12,109.60,113.00,109.10,112.50,699200,112.50
2011-10-11,109.00,112.20,106.70,108.60,697000,108.60
2011-10-10,106.00,108.30,103.80,107.85,545600,107.85
2011-10-07,103.00,107.00,102.10,105.55,767100,105.55
2011-10-05,102.15,103.20,99.10,100.35,483000,100.35
2011-10-04,103.00,106.85,99.60,101.15,676200,101.15
