Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,280.40,280.40,280.40,280.40,000,280.40
2012-12-24,278.05,281.80,278.05,280.40,568000,280.40
2012-12-21,281.90,282.65,277.30,278.80,238300,278.80
2012-12-20,283.50,285.35,280.90,282.55,313700,282.55
2012-12-19,280.00,286.05,280.00,283.75,978000,283.75
2012-12-18,281.65,282.80,278.50,280.00,698800,280.00
2012-12-17,282.00,284.10,278.35,280.65,487700,280.65
2012-12-14,281.50,283.50,280.25,281.60,434000,281.60
2012-12-13,281.85,283.05,279.30,282.05,619700,282.05
2012-12-12,284.95,285.75,280.05,281.05,344400,281.05
2012-12-11,289.00,290.25,283.70,284.90,642200,284.90
2012-12-10,290.90,292.40,286.90,288.20,220700,288.20
2012-12-07,289.00,294.85,289.00,290.05,501500,290.05
2012-12-06,286.80,289.80,284.40,288.00,388200,288.00
2012-12-05,285.00,288.40,282.40,286.80,1034400,286.80
2012-12-04,288.90,292.55,283.35,284.25,1072200,284.25
2012-12-03,286.95,290.85,282.80,289.35,367800,289.35
2012-11-30,286.00,289.10,283.50,286.95,374700,286.95
2012-11-29,279.50,286.10,278.00,285.00,739600,285.00
2012-11-28,277.30,277.30,277.30,277.30,000,277.30
2012-11-27,276.00,280.80,275.35,277.30,803300,277.30
2012-11-26,282.55,282.55,275.50,275.80,413300,275.80
2012-11-23,281.95,283.30,279.25,279.65,471500,279.65
2012-11-22,285.90,286.00,280.75,281.50,553600,281.50
2012-11-21,285.00,286.30,283.00,284.70,221400,284.70
2012-11-20,288.00,288.80,282.00,284.35,372300,284.35
2012-11-19,292.80,295.35,286.40,286.95,1078800,286.95
2012-11-16,296.95,298.30,293.30,295.00,421800,295.00
2012-11-15,302.00,302.45,295.10,296.05,868100,296.05
2012-11-14,301.15,301.15,301.15,301.15,000,301.15
2012-11-13,301.15,301.15,301.15,301.15,000,301.15
2012-11-12,302.00,305.20,300.15,301.15,306900,301.15
2012-11-09,307.15,309.70,300.10,301.50,247300,301.50
2012-11-08,300.20,309.50,300.10,307.50,979000,307.50
2012-11-07,300.15,300.65,297.55,299.45,396500,299.45
2012-11-06,302.05,303.00,297.60,299.00,630500,299.00
2012-11-05,301.70,304.35,301.65,303.25,264900,303.25
2012-11-02,301.00,304.65,299.70,300.65,989100,300.65
2012-11-01,298.70,300.35,298.00,299.00,332400,299.00
2012-10-31,298.70,300.80,295.60,298.70,362900,298.70
2012-10-30,300.00,301.25,296.00,297.95,369500,297.95
2012-10-29,303.50,303.50,298.55,299.25,112600,299.25
2012-10-26,302.50,302.50,302.50,302.50,000,302.50
2012-10-25,302.00,304.55,300.55,302.50,920500,302.50
2012-10-24,300.95,300.95,300.95,300.95,000,300.95
2012-10-23,300.90,303.50,300.10,300.95,243600,300.95
2012-10-22,301.00,302.40,298.55,299.75,444700,299.75
2012-10-19,300.45,303.10,299.05,300.15,366400,300.15
2012-10-18,301.70,302.95,299.10,301.30,546900,301.30
2012-10-17,301.05,304.00,299.75,300.85,354800,300.85
2012-10-16,307.55,307.90,299.50,300.55,681000,300.55
2012-10-15,308.50,310.60,304.60,306.05,422400,306.05
2012-10-12,310.50,314.80,306.50,308.20,550100,308.20
