Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,451.20,463.60,447.85,460.05,18353600,460.05
2013-01-22,496.40,505.50,463.40,480.90,13295900,480.90
2013-01-21,490.05,499.85,482.35,497.25,4409800,497.25
2013-01-18,502.00,502.80,488.00,490.40,3953900,490.40
2013-01-17,498.05,504.55,496.60,500.55,2527300,500.55
2013-01-16,504.45,505.10,498.00,500.15,2197500,500.15
2013-01-15,504.95,508.30,497.60,503.70,2537900,503.70
2013-01-14,500.00,508.40,492.00,505.30,2522300,505.30
2013-01-11,517.00,518.00,495.10,498.10,2134700,498.10
2013-01-10,520.00,521.90,513.70,516.60,1651000,516.60
2013-01-09,526.00,529.85,518.20,519.30,1566600,519.30
2013-01-08,523.00,527.10,520.00,525.50,1646500,525.50
2013-01-07,533.65,534.65,522.80,525.40,2310000,525.40
2013-01-04,534.00,536.30,529.10,534.70,1159500,534.70
2013-01-03,532.00,533.70,526.50,532.35,1059000,532.35
2013-01-02,531.10,534.00,528.05,530.50,1523000,530.50
2013-01-01,525.55,533.50,525.25,530.60,538600,530.60
2012-12-31,522.10,526.90,520.05,524.85,807900,524.85
2012-12-28,519.80,523.00,516.95,522.10,1300000,522.10
2012-12-27,525.00,525.00,515.75,518.20,3096900,518.20
2012-12-26,529.20,530.75,522.30,523.40,1066100,523.40
2012-12-25,531.70,531.70,531.70,531.70,000,531.70
2012-12-24,528.00,536.55,524.30,531.70,974800,531.70
2012-12-21,530.70,534.50,525.10,527.15,1643200,527.15
2012-12-20,522.05,534.25,520.95,532.70,2607500,532.70
2012-12-19,525.45,527.00,520.65,522.95,3281900,522.95
2012-12-18,523.70,525.50,517.25,524.75,1239800,524.75
2012-12-17,518.00,523.55,515.00,522.75,1515900,522.75
2012-12-14,520.00,524.20,513.60,516.65,2918200,516.65
2012-12-13,528.00,531.95,513.85,519.75,6190000,519.75
2012-12-12,545.60,546.55,528.00,529.75,6114100,529.75
2012-12-11,534.10,554.25,534.10,544.90,6021800,544.90
2012-12-10,531.10,536.55,531.00,534.85,1907800,534.85
2012-12-07,533.35,537.35,527.30,530.65,3273600,530.65
2012-12-06,533.00,537.00,522.35,535.25,2297800,535.25
2012-12-05,534.25,537.80,530.35,531.75,1159500,531.75
2012-12-04,536.05,538.10,532.00,533.70,710700,533.70
2012-12-03,540.80,542.30,535.20,536.50,1541300,536.50
2012-11-30,548.00,549.70,536.00,538.10,2283300,538.10
2012-11-29,540.20,550.90,540.20,548.15,2396300,548.15
2012-11-28,541.65,541.65,541.65,541.65,000,541.65
2012-11-27,537.50,543.90,537.20,541.65,1737700,541.65
2012-11-26,530.00,540.00,528.10,537.40,1089400,537.40
2012-11-23,526.50,532.50,524.20,530.20,1034900,530.20
2012-11-22,524.10,528.85,521.75,524.35,1068300,524.35
2012-11-21,518.60,526.15,517.65,524.60,1414100,524.60
2012-11-20,517.85,522.90,514.50,520.20,1387800,520.20
2012-11-19,521.00,521.00,512.10,516.65,1503300,516.65
2012-11-16,532.45,533.90,516.60,521.00,1544600,521.00
2012-11-15,531.50,535.95,528.65,533.80,2065800,533.80
2012-11-14,529.80,529.80,529.80,529.80,000,529.80
2012-11-13,529.80,529.80,529.80,529.80,000,529.80
2012-11-12,528.05,533.10,528.00,529.80,1292600,529.80
2012-11-09,532.35,536.40,525.80,529.15,1541500,529.15
2012-11-08,532.25,536.90,530.60,533.35,1192200,533.35
2012-11-07,532.10,536.30,527.10,534.55,1835600,534.55
2012-11-06,530.50,535.00,526.60,532.85,1590900,532.85
2012-11-05,536.40,537.25,530.35,533.00,1500500,533.00
2012-11-02,541.45,541.45,532.20,533.00,2005200,533.00
2012-11-01,537.40,540.60,531.00,537.45,1843000,537.45
2012-10-31,550.20,551.05,541.50,546.60,2000300,542.10
2012-10-30,545.70,554.20,543.35,550.60,1615900,546.07
2012-10-29,550.00,551.75,541.05,546.05,2311700,541.55
2012-10-26,563.95,563.95,563.95,563.95,000,559.31
2012-10-25,570.95,570.95,559.85,563.95,3283000,559.31
2012-10-24,570.35,570.35,570.35,570.35,000,565.65
2012-10-23,569.90,573.15,567.00,570.35,781600,565.65
2012-10-22,566.65,572.00,565.25,569.45,1019600,564.76
2012-10-19,574.00,574.05,564.65,566.55,2057300,561.89
2012-10-18,573.30,580.00,571.00,575.60,979600,570.86
2012-10-17,575.05,575.90,569.25,573.05,904100,568.33
2012-10-16,578.50,580.45,568.65,574.25,1456700,569.52
2012-10-15,575.00,579.90,569.20,578.55,1092700,573.79
2012-10-12,573.95,576.25,570.25,575.05,1314200,570.32
2012-10-11,566.75,572.95,558.75,571.35,1409000,566.65
2012-10-10,567.00,568.75,562.85,563.90,1058500,559.26
2012-10-09,561.25,570.60,561.25,568.85,1351300,564.17
2012-10-08,563.05,564.90,557.55,560.05,1027200,555.44
2012-10-05,559.00,568.70,444.45,565.40,3291100,560.75
2012-10-04,556.50,561.90,554.50,555.50,2203900,550.93
2012-10-03,542.25,557.70,542.25,555.50,1781300,550.93
2012-10-02,542.85,542.85,542.85,542.85,000,538.38
2012-10-01,543.00,546.20,541.55,542.85,726100,538.38
2012-09-28,538.25,549.00,536.55,545.85,2379100,541.36
2012-09-27,529.90,540.00,527.65,537.75,2452800,533.32
2012-09-26,527.90,535.90,524.40,526.85,1743100,522.51
2012-09-25,518.00,530.10,511.40,528.40,2698300,524.05
2012-09-24,530.00,531.05,508.70,518.05,4620900,513.79
2012-09-21,531.20,536.80,528.30,529.70,3416000,525.34
2012-09-20,525.50,540.95,525.50,527.50,3448000,523.16
2012-09-19,532.40,532.40,532.40,532.40,000,528.02
2012-09-18,531.00,537.90,528.20,532.40,3898200,528.02
2012-09-17,554.00,554.05,529.15,531.85,4246900,527.47
2012-09-14,552.00,554.70,545.55,548.05,3526200,543.54
2012-09-13,540.00,548.00,539.05,547.05,1786500,542.55
2012-09-12,534.00,542.50,533.00,541.00,1763000,536.55
2012-09-11,534.40,539.05,530.10,531.85,1168000,527.47
2012-09-10,542.00,542.30,533.40,535.15,1855800,530.74
2012-09-07,531.00,539.50,526.90,538.95,2340700,534.51
2012-09-06,531.10,533.50,523.60,526.45,1744100,522.12
2012-09-05,518.05,532.45,518.05,531.20,2837100,526.83
2012-09-04,514.05,522.45,514.05,521.05,1312200,516.76
2012-09-03,517.95,518.90,511.20,515.10,1740300,510.86
2012-08-31,527.90,529.45,514.05,515.10,3416200,510.86
2012-08-30,519.05,550.85,519.05,528.70,3526900,524.35
