Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,137.80,137.80,137.80,137.80,000,137.80
2012-12-24,135.00,139.90,135.00,137.80,426200,137.80
2012-12-21,137.25,139.70,136.05,138.75,944400,138.75
2012-12-20,138.15,138.90,136.50,137.25,839900,137.25
2012-12-19,138.00,141.80,137.40,138.05,1022600,138.05
2012-12-18,143.75,147.00,136.05,138.85,3472600,138.85
2012-12-17,144.00,144.00,141.55,142.75,718600,142.75
2012-12-14,136.60,143.50,135.95,142.70,1421500,142.70
2012-12-13,137.85,138.80,135.55,136.60,247000,136.60
2012-12-12,139.05,139.50,137.00,137.35,155900,137.35
2012-12-11,138.70,140.85,137.00,139.10,488700,139.10
2012-12-10,139.00,140.30,137.45,137.90,498100,137.90
2012-12-07,139.60,139.95,138.00,138.75,1238100,138.75
2012-12-06,140.75,140.75,135.55,138.90,618300,138.90
2012-12-05,141.40,141.95,138.05,138.40,1061500,138.40
2012-12-04,141.70,142.45,139.30,140.90,815400,140.90
2012-12-03,136.65,143.45,136.65,141.65,1445200,141.65
2012-11-30,139.85,141.75,138.55,139.40,707000,139.40
2012-11-29,138.50,142.40,137.00,137.90,2325500,137.90
2012-11-28,135.95,135.95,135.95,135.95,000,135.95
2012-11-27,137.95,139.70,135.60,135.95,746500,135.95
2012-11-26,132.60,138.50,132.20,137.95,775200,137.95
2012-11-23,132.75,134.20,130.75,131.40,516000,131.40
2012-11-22,134.95,135.10,132.20,132.50,769500,132.50
2012-11-21,135.00,135.90,133.10,134.90,344800,134.90
2012-11-20,135.75,135.75,134.00,134.70,487000,134.70
2012-11-19,135.50,135.80,132.75,134.05,267200,134.05
2012-11-16,133.75,137.70,133.00,135.00,584500,135.00
2012-11-15,133.20,136.25,132.05,133.15,735400,133.15
2012-11-14,135.75,135.75,135.75,135.75,000,135.75
2012-11-13,135.75,135.75,135.75,135.75,000,135.75
2012-11-12,136.80,137.00,135.35,135.75,193700,135.75
2012-11-09,138.35,138.55,134.60,137.25,779700,137.25
2012-11-08,135.40,138.60,135.40,137.50,261700,137.50
2012-11-07,140.85,141.35,137.55,139.10,366000,139.10
2012-11-06,137.90,140.90,136.65,139.90,1019100,139.90
2012-11-05,137.35,137.80,135.60,137.35,1021300,137.35
2012-11-02,136.50,137.40,134.65,136.95,679200,136.95
2012-11-01,134.05,135.85,132.50,135.60,385200,135.60
2012-10-31,130.25,134.40,128.70,133.90,733600,133.90
2012-10-30,134.00,134.00,129.20,129.95,841500,129.95
2012-10-29,132.90,132.90,131.25,131.90,689200,131.90
2012-10-26,132.25,132.25,132.25,132.25,000,132.25
2012-10-25,131.80,133.40,131.25,132.25,889000,132.25
2012-10-24,131.70,131.70,131.70,131.70,000,131.70
2012-10-23,132.00,132.75,130.90,131.70,758700,131.70
2012-10-22,134.35,134.35,132.60,133.35,296800,131.75
2012-10-19,136.65,137.70,134.00,134.25,955200,132.64
2012-10-18,138.00,138.00,134.15,134.85,1251900,133.23
2012-10-17,132.40,136.05,131.25,135.35,794700,133.73
2012-10-16,135.55,135.85,131.10,132.15,362300,130.56
2012-10-15,137.00,137.90,134.55,134.90,557100,133.28
2012-10-12,137.05,138.60,135.60,136.65,544500,135.01
