Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,131.00,131.00,131.00,131.00,000,131.00
2012-12-24,123.55,132.90,122.20,131.00,324800,131.00
2012-12-21,127.50,128.00,122.40,123.05,166500,123.05
2012-12-20,129.90,131.00,127.60,127.85,138200,127.85
2012-12-19,132.40,133.90,129.20,129.90,133600,129.90
2012-12-18,129.90,133.70,129.90,132.20,90600,132.20
2012-12-17,131.60,135.55,131.30,131.65,97600,131.65
2012-12-14,132.40,133.20,129.60,131.20,64700,131.20
2012-12-13,133.00,134.45,130.40,131.05,38900,131.05
2012-12-12,136.10,136.65,132.00,132.85,103200,132.85
2012-12-11,138.95,140.00,134.25,135.50,72100,135.50
2012-12-10,140.65,141.00,138.05,138.20,190400,138.20
2012-12-07,140.25,141.00,138.60,139.25,95800,139.25
2012-12-06,140.95,141.00,137.50,139.70,132500,139.70
2012-12-05,137.05,141.00,135.50,139.40,297300,139.40
2012-12-04,137.40,140.70,136.00,136.95,161500,136.95
2012-12-03,134.00,141.80,133.05,137.40,611100,137.40
2012-11-30,127.80,136.00,126.00,132.85,136100,132.85
2012-11-29,127.55,129.45,126.35,126.80,58300,126.80
2012-11-28,126.60,126.60,126.60,126.60,000,126.60
2012-11-27,126.50,128.50,126.00,126.60,38000,126.60
2012-11-26,123.60,127.00,123.35,126.20,52800,126.20
2012-11-23,123.00,123.85,123.00,123.30,16800,123.30
2012-11-22,121.70,126.00,121.70,123.30,23200,123.30
2012-11-21,124.00,127.00,123.00,123.90,93100,123.90
2012-11-20,119.05,124.85,118.00,123.50,49700,123.50
2012-11-19,122.05,128.00,121.30,121.90,91800,121.90
2012-11-16,125.05,128.40,120.00,125.05,79900,125.05
2012-11-15,119.05,126.50,118.10,124.40,94000,124.40
2012-11-14,117.85,117.85,117.85,117.85,000,117.85
2012-11-13,117.85,117.85,117.85,117.85,000,117.85
2012-11-12,117.55,119.00,117.10,117.85,39100,117.85
2012-11-09,120.20,122.00,116.45,119.65,36900,119.65
2012-11-08,120.95,123.80,119.95,121.65,43300,121.65
2012-11-07,120.25,123.40,119.30,121.90,85700,121.90
2012-11-06,115.10,119.95,114.55,119.15,99000,119.15
2012-11-05,115.25,117.80,113.80,115.45,84900,115.45
2012-11-02,116.75,119.80,115.65,115.95,87500,115.95
2012-11-01,119.35,120.60,116.10,116.90,135500,116.90
2012-10-31,121.60,121.60,118.60,119.35,52100,119.35
2012-10-30,126.15,128.00,121.00,121.60,77300,121.60
2012-10-29,128.50,128.95,125.50,126.15,24800,126.15
2012-10-26,128.85,128.85,128.85,128.85,000,128.85
2012-10-25,130.85,132.00,128.50,128.85,26700,128.85
2012-10-24,131.05,131.05,131.05,131.05,000,131.05
2012-10-23,135.00,136.10,129.70,131.05,184500,131.05
2012-10-22,128.80,133.75,127.35,130.60,64700,130.60
2012-10-19,130.50,131.75,128.00,128.70,39900,128.70
2012-10-18,130.95,132.00,130.15,131.85,321300,131.85
2012-10-17,129.70,135.00,129.00,130.10,377400,130.10
2012-10-16,127.35,133.95,127.35,128.10,81500,128.10
2012-10-15,128.65,131.20,128.00,129.30,39200,129.30
2012-10-12,126.60,131.40,126.60,128.00,51800,128.00
2012-10-11,127.40,129.35,125.25,127.65,45100,127.65
2012-10-10,132.45,133.70,126.60,126.90,95600,126.90
2012-10-09,130.10,133.70,129.15,131.90,61800,131.90
2012-10-08,135.75,135.75,130.05,130.70,57700,130.70
2012-10-05,137.40,139.55,132.90,134.95,125200,134.95
2012-10-04,131.05,142.35,131.00,136.60,426900,136.60
2012-10-03,129.10,132.25,125.90,130.60,84300,130.60
2012-10-02,129.85,129.85,129.85,129.85,000,129.85
2012-10-01,130.65,132.45,129.50,129.85,33100,129.85
2012-09-28,132.50,135.80,130.55,132.50,65800,132.50
2012-09-27,134.65,135.85,131.00,132.05,56600,132.05
2012-09-26,130.05,135.90,128.30,134.10,273300,134.10
2012-09-25,122.05,131.00,121.65,129.85,361100,129.85
2012-09-24,118.45,120.90,117.00,120.60,125500,120.60
2012-09-21,118.85,120.70,115.10,117.50,242300,117.50
2012-09-20,123.55,125.00,116.50,118.05,123900,118.05
2012-09-19,125.05,125.05,125.05,125.05,000,125.05
2012-09-18,126.50,127.00,124.55,125.05,19000,125.05
2012-09-17,124.75,127.80,122.60,126.30,106700,126.30
2012-09-14,126.35,127.70,123.00,123.60,40200,123.60
2012-09-13,123.65,127.50,123.60,125.85,106600,125.85
2012-09-12,126.85,127.80,122.00,123.35,110800,123.35
2012-09-11,125.40,128.40,123.55,126.15,188300,126.15
2012-09-10,116.60,127.00,115.60,125.45,206700,125.45
2012-09-07,116.70,118.80,113.00,116.80,99500,116.80
2012-09-06,109.95,118.00,109.85,116.70,377700,113.70
2012-09-05,108.50,113.50,108.35,109.60,318200,106.78
2012-09-04,105.90,108.20,104.10,107.65,77500,104.88
2012-09-03,106.45,108.50,105.10,105.40,80700,102.69
2012-08-31,109.00,111.30,105.00,105.85,96300,103.13
2012-08-30,108.00,111.40,107.00,109.05,64800,106.25
