Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,100.85,100.85,100.85,100.85,000,100.85
2012-12-24,99.60,101.95,97.60,100.85,9800,100.85
2012-12-21,100.90,101.00,98.10,98.60,4200,98.60
2012-12-20,102.00,102.20,99.00,99.55,14200,99.55
2012-12-19,102.80,103.00,101.15,101.45,18100,101.45
2012-12-18,103.50,103.50,102.00,102.80,8500,102.80
2012-12-17,104.00,105.00,103.15,103.35,9600,103.35
2012-12-14,103.60,105.15,102.45,104.75,62900,104.75
2012-12-13,103.00,105.05,102.25,104.60,35400,104.60
2012-12-12,103.00,105.50,102.70,102.80,8200,102.80
2012-12-11,105.40,105.80,101.20,103.40,22500,103.40
2012-12-10,104.40,107.50,101.90,105.80,14800,105.80
2012-12-07,105.10,106.00,101.60,103.65,26500,103.65
2012-12-06,109.80,109.80,104.10,105.10,14300,105.10
2012-12-05,107.50,110.00,105.60,106.55,19300,106.55
2012-12-04,108.25,112.70,105.00,107.25,561400,107.25
2012-12-03,102.85,112.00,102.05,108.25,89000,108.25
2012-11-30,102.25,104.85,99.20,102.80,1482400,102.80
2012-11-29,101.00,102.45,99.60,101.55,17800,101.55
2012-11-28,100.50,100.50,100.50,100.50,000,100.50
2012-11-27,99.30,101.30,97.75,100.50,26100,100.50
2012-11-26,96.00,99.45,95.50,98.55,26300,98.55
2012-11-23,97.25,98.25,95.10,95.25,19400,95.25
2012-11-22,98.75,99.00,96.50,98.05,26300,98.05
2012-11-21,100.50,101.00,97.30,98.50,54100,98.50
2012-11-20,102.50,102.50,96.05,99.50,1169900,99.50
2012-11-19,97.05,103.50,95.05,100.60,54300,100.60
2012-11-16,100.75,101.35,95.50,96.35,530000,96.35
2012-11-15,96.30,102.00,94.15,99.60,58400,99.60
2012-11-14,95.65,95.65,95.65,95.65,000,95.65
2012-11-13,95.65,95.65,95.65,95.65,000,95.65
2012-11-12,96.40,96.90,93.20,95.65,22300,95.65
2012-11-09,97.00,98.95,94.70,95.40,10200,95.40
2012-11-08,97.15,100.80,95.50,96.45,20400,96.45
