Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,13.95,13.95,13.95,13.95,000,13.95
2012-12-24,14.05,14.40,13.80,13.95,5399200,13.95
2012-12-21,14.35,14.75,13.85,14.10,7658600,14.10
2012-12-20,14.90,15.00,14.25,14.35,5885700,14.35
2012-12-19,15.20,15.65,14.75,14.90,15688300,14.90
2012-12-18,13.65,15.20,13.30,14.90,12808400,14.90
2012-12-17,13.90,14.20,13.45,13.60,7247800,13.60
2012-12-14,12.95,14.15,12.75,13.85,8078800,13.85
2012-12-13,13.65,13.75,12.80,12.95,5545200,12.95
2012-12-12,13.85,14.10,12.90,13.40,6056500,13.40
2012-12-11,14.10,14.35,13.55,13.75,5532700,13.75
2012-12-10,14.30,14.55,13.85,14.00,3091900,14.00
2012-12-07,14.30,14.85,14.00,14.10,4652700,14.10
2012-12-06,14.50,14.50,13.80,14.15,3627200,14.15
2012-12-05,13.90,14.40,13.65,14.20,4404700,14.20
2012-12-04,14.40,14.60,13.60,13.75,4174500,13.75
2012-12-03,12.85,14.60,12.65,14.25,10463000,14.25
2012-11-30,12.25,13.45,12.10,12.55,7772800,12.55
2012-11-29,11.90,12.60,11.70,12.20,3200100,12.20
2012-11-28,11.75,11.75,11.75,11.75,000,11.75
2012-11-27,11.25,12.20,11.00,11.75,2399800,11.75
2012-11-26,11.20,11.35,11.05,11.10,959100,11.10
2012-11-23,11.35,11.45,11.15,11.20,503100,11.20
2012-11-22,11.40,11.50,11.20,11.25,340100,11.25
2012-11-21,11.15,11.50,11.15,11.30,388700,11.30
2012-11-20,11.70,11.80,11.20,11.25,576000,11.25
2012-11-19,11.75,11.80,11.45,11.50,815000,11.50
2012-11-16,12.00,12.35,11.60,11.70,1141400,11.70
2012-11-15,12.10,12.10,11.85,12.05,627600,12.05
2012-11-14,11.80,11.80,11.80,11.80,000,11.80
2012-11-13,11.80,11.80,11.80,11.80,000,11.80
2012-11-12,11.90,12.00,11.70,11.80,465500,11.80
2012-11-09,11.80,12.15,11.70,11.75,611300,11.75
2012-11-08,11.60,11.95,11.60,11.85,688500,11.85
2012-11-07,11.85,12.10,11.60,11.90,1050300,11.90
2012-11-06,11.85,11.90,11.70,11.75,681600,11.75
2012-11-05,12.05,12.10,11.60,11.75,741800,11.75
2012-11-02,12.25,12.35,12.00,12.05,928700,12.05
2012-11-01,12.20,12.20,11.95,12.15,557300,12.15
2012-10-31,12.00,12.15,11.90,11.95,401900,11.95
2012-10-30,12.35,12.70,11.90,12.00,1486200,12.00
2012-10-29,12.55,13.00,12.30,12.45,1041300,12.45
2012-10-26,12.85,12.85,12.85,12.85,000,12.85
2012-10-25,12.65,12.95,12.55,12.85,749200,12.85
2012-10-24,12.70,12.70,12.70,12.70,000,12.70
2012-10-23,13.00,13.15,12.55,12.70,2488900,12.70
2012-10-22,12.40,12.85,12.35,12.55,1080200,12.55
2012-10-19,13.10,13.30,12.25,12.50,1767300,12.50
2012-10-18,12.35,13.30,12.20,13.00,1264000,13.00
2012-10-17,12.40,12.60,12.15,12.25,639700,12.25
2012-10-16,12.50,12.85,12.10,12.15,673100,12.15
2012-10-15,12.75,12.90,12.30,12.45,522500,12.45
2012-10-12,12.60,13.10,12.50,12.65,1171700,12.65
2012-10-11,12.20,12.60,12.00,12.50,1013200,12.50
2012-10-10,13.20,13.20,12.15,12.20,2631500,12.20
2012-10-09,13.50,13.70,13.25,13.35,700700,13.35
2012-10-08,13.85,13.90,13.30,13.40,1062500,13.40
2012-10-05,14.40,14.40,13.55,13.70,1584100,13.70
2012-10-04,13.85,14.45,13.60,13.95,3307500,13.95
2012-10-03,13.60,13.90,13.60,13.65,1138300,13.65
2012-10-02,13.55,13.55,13.55,13.55,000,13.55
2012-10-01,13.45,13.85,13.40,13.55,992900,13.55
2012-09-28,13.85,14.10,13.40,13.45,1698000,13.45
2012-09-27,13.55,14.60,13.55,13.65,2659600,13.65
2012-09-26,14.00,14.10,13.30,13.55,1630700,13.55
2012-09-25,15.00,16.80,14.00,14.10,3020400,14.10
2012-09-24,13.30,14.70,13.25,14.00,4908700,14.00
2012-09-21,11.85,13.95,11.85,13.15,5916500,13.15
2012-09-20,12.30,12.45,11.20,12.25,1162700,12.25
2012-09-19,12.45,12.45,12.45,12.45,000,12.45
2012-09-18,11.90,12.60,11.70,12.45,1854100,12.45
2012-09-17,11.60,12.00,11.50,11.70,1350500,11.70
2012-09-14,11.20,11.60,11.15,11.35,1305300,11.35
2012-09-13,11.35,11.35,10.95,11.10,740700,11.10
2012-09-12,11.10,11.30,10.90,11.05,368700,11.05
2012-09-11,10.95,11.15,10.70,10.90,346500,10.90
2012-09-10,11.35,11.40,10.50,10.95,394400,10.95
2012-09-07,11.55,11.55,11.05,11.15,395400,11.15
2012-09-06,11.30,11.65,11.05,11.15,993600,11.15
2012-09-05,10.95,11.85,10.75,11.55,3855800,11.55
2012-09-04,10.30,10.70,10.05,10.55,917800,10.55
2012-09-03,10.00,10.40,10.00,10.25,533600,10.25
2012-08-31,10.00,10.10,9.85,9.90,543300,9.90
2012-08-30,10.45,10.70,9.90,10.00,1401800,10.00
2012-08-29,10.95,11.10,10.50,10.65,686900,10.65
2012-08-28,11.00,11.15,10.70,10.85,627700,10.85
2012-08-27,11.80,11.80,10.80,11.05,757200,11.05
2012-08-24,11.65,11.75,11.40,11.55,597500,11.55
2012-08-23,12.00,12.00,11.50,11.55,350200,11.55
2012-08-22,11.90,12.05,11.60,11.80,431100,11.80
2012-08-21,11.65,12.20,11.65,11.85,1007700,11.85
2012-08-20,11.80,11.80,11.80,11.80,000,11.80
2012-08-17,11.70,12.05,11.50,11.80,925200,11.80
2012-08-16,11.70,12.00,11.50,11.60,801200,11.60
2012-08-15,11.65,11.65,11.65,11.65,000,11.65
2012-08-14,12.05,12.15,11.55,11.65,948700,11.65
2012-08-13,12.00,12.35,11.90,12.00,732500,12.00
2012-08-10,12.50,12.85,11.80,12.00,1458700,12.00
2012-08-09,13.00,13.25,12.55,12.70,784800,12.70
2012-08-08,13.40,13.70,11.80,13.00,10279400,13.00
2012-08-07,13.70,13.85,13.40,13.50,725800,13.50
2012-08-06,14.00,14.00,13.25,13.35,628400,13.35
2012-08-03,13.50,13.70,13.10,13.25,540100,13.25
2012-08-02,13.45,14.10,13.35,13.55,1022200,13.55
2012-08-01,12.85,13.75,12.80,13.45,1059900,13.45
2012-07-31,13.00,13.55,12.65,12.80,659000,12.80
2012-07-30,11.80,13.30,11.80,13.20,1017100,13.20
2012-07-27,12.55,12.85,11.45,11.70,1217400,11.70
2012-07-26,12.85,12.85,12.20,12.25,399300,12.25
2012-07-25,13.05,13.20,12.55,12.60,768700,12.60
2012-07-24,13.10,13.45,13.00,13.25,381200,13.25
2012-07-23,13.35,13.45,13.10,13.20,442600,13.20
2012-07-20,14.05,14.05,13.40,13.50,441800,13.50
2012-07-19,14.05,14.40,13.80,13.90,837000,13.90
2012-07-18,13.35,14.00,13.25,13.60,1030600,13.60
2012-07-17,14.05,14.10,13.35,13.40,545600,13.40
2012-07-16,14.15,14.35,13.75,13.80,809800,13.80
2012-07-13,14.35,14.80,14.00,14.10,746400,14.10
2012-07-12,14.50,14.65,14.15,14.30,647800,14.30
2012-07-11,14.85,15.20,14.35,14.50,1762200,14.50
2012-07-10,14.75,14.95,14.60,14.85,1021800,14.85
2012-07-09,14.80,14.90,14.50,14.60,706100,14.60
2012-07-06,15.45,15.45,14.80,14.85,2088400,14.85
2012-07-05,14.60,15.50,14.60,15.15,1474300,15.15
2012-07-04,15.00,15.25,14.70,14.85,1299000,14.85
