Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,11.15,11.15,11.15,11.15,000,11.15
2012-12-24,11.20,11.55,11.10,11.15,228700,11.15
2012-12-21,11.55,11.70,11.30,11.35,257600,11.35
2012-12-20,11.75,11.95,11.55,11.65,247700,11.65
2012-12-19,12.00,12.40,11.70,11.85,578100,11.85
2012-12-18,11.50,12.15,11.30,11.95,510100,11.95
2012-12-17,10.60,11.50,10.60,11.35,190200,11.35
2012-12-14,11.45,11.50,11.20,11.30,181000,11.30
2012-12-13,11.60,11.70,11.40,11.45,313800,11.45
2012-12-12,11.75,11.90,11.55,11.65,325700,11.65
2012-12-11,11.95,12.25,11.60,11.75,401300,11.75
2012-12-10,12.35,12.45,11.80,11.85,844100,11.85
2012-12-07,12.65,12.70,12.20,12.30,675000,12.30
2012-12-06,12.75,12.75,12.25,12.45,516400,12.45
2012-12-05,12.75,12.85,12.35,12.50,472700,12.50
2012-12-04,12.05,12.90,12.05,12.45,989800,12.45
2012-12-03,11.45,12.70,11.20,12.15,2893900,12.15
2012-11-30,11.90,11.90,11.30,11.50,955200,11.50
2012-11-29,10.95,11.90,10.95,11.60,2160700,11.60
2012-11-28,10.85,10.85,10.85,10.85,000,10.85
2012-11-27,10.90,11.10,10.75,10.85,876400,10.85
2012-11-26,10.50,11.10,10.50,10.75,694400,10.75
2012-11-23,10.20,10.60,10.00,10.45,387500,10.45
2012-11-22,10.30,10.45,10.20,10.30,151700,10.30
2012-11-21,10.25,10.50,10.10,10.35,266300,10.35
2012-11-20,11.00,11.15,10.10,10.25,458700,10.25
2012-11-19,11.00,11.40,10.75,10.90,731000,10.90
2012-11-16,10.40,11.70,10.20,10.75,1668300,10.75
2012-11-15,10.05,10.55,10.00,10.40,589400,10.40
2012-11-14,10.00,10.00,10.00,10.00,000,10.00
2012-11-13,10.00,10.00,10.00,10.00,000,10.00
2012-11-12,10.00,10.15,9.75,10.00,266200,10.00
