Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1477.25,1477.25,1477.25,1477.25,000,1477.25
2012-12-24,1460.10,1480.60,1442.05,1477.25,6300,1477.25
2012-12-21,1450.05,1477.85,1450.00,1462.70,3800,1462.70
2012-12-20,1444.00,1489.00,1427.80,1468.90,7200,1468.90
2012-12-19,1425.20,1490.00,1425.20,1475.90,13300,1475.90
2012-12-18,1455.00,1455.05,1430.00,1441.00,2800,1441.00
2012-12-17,1539.00,1539.00,1422.00,1451.35,10600,1451.35
2012-12-14,1410.00,1469.00,1381.00,1436.95,16100,1436.95
2012-12-13,1450.25,1465.00,1415.70,1426.85,8400,1426.85
2012-12-12,1473.00,1495.00,1435.00,1447.90,17200,1447.90
2012-12-11,1414.50,1540.00,1401.00,1471.75,83700,1471.75
2012-12-10,1401.00,1422.50,1381.00,1410.15,10400,1410.15
2012-12-07,1390.00,1426.60,1342.30,1408.55,24700,1408.55
2012-12-06,1405.05,1424.95,1365.00,1384.50,16300,1384.50
2012-12-05,1430.00,1447.00,1385.65,1395.55,22900,1395.55
2012-12-04,1576.00,1578.80,1413.00,1425.95,109900,1425.95
2012-12-03,1309.80,1583.20,1304.00,1577.10,313500,1577.10
2012-11-30,1300.00,1338.00,1295.00,1319.35,4000,1319.35
2012-11-29,1280.00,1312.00,1280.00,1302.20,6100,1302.20
2012-11-28,1277.85,1277.85,1277.85,1277.85,000,1277.85
2012-11-27,1285.95,1309.00,1270.60,1277.85,4100,1277.85
2012-11-26,1310.00,1320.00,1279.60,1290.65,800,1290.65
2012-11-23,1309.00,1337.00,1281.90,1288.10,2200,1288.10
2012-11-22,1154.00,1345.80,1154.00,1296.40,5800,1296.40
2012-11-21,1284.00,1284.00,1251.00,1257.15,2200,1257.15
2012-11-20,1325.00,1325.00,1274.00,1284.20,6500,1284.20
2012-11-19,1340.00,1340.05,1300.00,1317.70,600,1317.70
2012-11-16,1322.05,1339.50,1318.95,1322.90,2700,1322.90
2012-11-15,1326.10,1330.00,1317.25,1321.50,1000,1321.50
2012-11-14,1342.55,1342.55,1342.55,1342.55,000,1342.55
2012-11-13,1342.55,1342.55,1342.55,1342.55,000,1342.55
2012-11-12,1339.95,1350.00,1330.00,1342.55,1600,1342.55
2012-11-09,1315.90,1380.00,1311.05,1339.90,700,1339.90
2012-11-08,1316.00,1325.00,1311.00,1322.60,1800,1322.60
2012-11-07,1330.00,1350.45,1306.80,1321.25,12500,1321.25
2012-11-06,1332.05,1347.00,1327.00,1334.70,2200,1334.70
2012-11-05,1384.95,1387.00,1320.40,1347.55,9800,1347.55
2012-11-02,1370.00,1405.00,1343.70,1370.00,14900,1370.00
2012-11-01,1369.95,1374.00,1356.00,1358.05,1100,1358.05
2012-10-31,1330.05,1375.00,1330.05,1364.95,600,1364.95
2012-10-30,1367.45,1375.00,1348.90,1355.35,2500,1355.35
2012-10-29,1379.90,1379.90,1360.00,1363.35,800,1363.35
2012-10-26,1354.10,1354.10,1354.10,1354.10,000,1354.10
2012-10-25,1390.00,1390.00,1346.00,1354.10,6100,1354.10
2012-10-24,1386.30,1386.30,1386.30,1386.30,000,1386.30
2012-10-23,1392.00,1395.00,1370.05,1386.30,500,1386.30
2012-10-22,1398.95,1398.95,1370.00,1391.35,6300,1391.35
2012-10-19,1370.00,1400.00,1352.00,1387.90,2900,1387.90
2012-10-18,1389.95,1389.95,1380.00,1386.40,1400,1386.40
2012-10-17,1394.35,1400.00,1375.50,1384.80,2600,1384.80
2012-10-16,1350.00,1393.90,1340.00,1381.15,8900,1381.15
2012-10-15,1320.00,1368.00,1320.00,1357.25,4600,1357.25
