Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,170.45,170.45,170.45,170.45,000,170.45
2012-12-24,169.95,171.10,167.75,170.45,1971000,170.45
2012-12-21,173.40,173.95,168.45,169.00,4834900,169.00
2012-12-20,176.75,176.80,174.00,175.30,4211600,175.30
2012-12-19,176.60,179.45,176.40,177.00,9060300,177.00
2012-12-18,173.70,175.80,169.55,174.05,4931500,174.05
2012-12-17,174.00,175.50,172.65,173.60,2516400,173.60
2012-12-14,173.00,175.90,172.10,174.20,2921200,174.20
2012-12-13,177.00,179.40,171.10,172.65,4381300,172.65
2012-12-12,174.25,177.40,173.50,176.50,4712200,176.50
2012-12-11,174.00,174.95,170.75,173.70,4288200,173.70
2012-12-10,174.95,175.80,170.00,172.60,6101500,172.60
2012-12-07,175.35,179.50,174.15,175.45,8329700,175.45
2012-12-06,173.90,177.20,170.05,175.50,6056900,175.50
2012-12-05,173.50,175.40,172.20,173.60,5796000,173.60
2012-12-04,169.30,173.05,169.00,171.70,11151900,171.70
2012-12-03,172.20,173.00,168.35,169.30,5313600,169.30
2012-11-30,168.85,174.70,168.85,173.20,12012800,173.20
2012-11-29,163.35,168.00,162.45,167.25,7831800,167.25
2012-11-28,163.30,163.30,163.30,163.30,000,163.30
2012-11-27,162.15,163.85,161.70,163.30,4328300,163.30
2012-11-26,157.55,162.50,157.10,161.90,4394800,161.90
2012-11-23,156.10,158.30,154.20,157.75,4899400,157.75
2012-11-22,158.15,158.70,155.25,156.50,2959800,156.50
2012-11-21,157.00,158.95,155.00,157.85,3902100,157.85
2012-11-20,156.40,157.40,154.70,157.00,5701100,157.00
2012-11-19,160.10,161.25,153.05,154.40,7102600,154.40
2012-11-16,164.95,166.05,158.75,159.35,4653400,159.35
2012-11-15,161.00,165.90,159.10,164.90,5118600,164.90
2012-11-14,163.35,163.35,163.35,163.35,000,163.35
2012-11-13,163.35,163.35,163.35,163.35,000,163.35
2012-11-12,159.80,164.00,159.50,163.35,6155400,163.35
2012-11-09,163.00,164.50,158.10,158.70,7806500,158.70
2012-11-08,163.90,165.30,163.10,163.60,4719700,163.60
2012-11-07,162.55,168.80,161.00,166.40,8363900,166.40
2012-11-06,165.80,165.80,162.10,162.55,8163200,162.55
2012-11-05,167.50,168.75,164.80,166.45,3863900,166.45
2012-11-02,167.90,169.25,167.00,168.30,5758600,168.30
2012-11-01,162.00,167.00,161.35,166.20,5846600,166.20
2012-10-31,161.40,162.50,160.20,162.25,5672100,162.25
2012-10-30,157.70,161.45,155.10,160.00,12847100,160.00
2012-10-29,157.30,159.80,157.00,158.35,10358400,158.35
2012-10-26,157.40,157.40,157.40,157.40,000,157.40
2012-10-25,153.65,157.75,152.80,157.40,8661500,157.40
2012-10-24,153.65,153.65,153.65,153.65,000,153.65
2012-10-23,152.10,154.80,152.10,153.65,3792100,153.65
2012-10-22,151.70,153.00,150.00,152.65,3960600,152.65
2012-10-19,152.00,156.35,151.30,152.10,8941900,152.10
2012-10-18,151.35,153.60,150.00,153.10,6499500,153.10
2012-10-17,152.00,152.55,149.35,150.80,5985700,150.80
2012-10-16,152.20,152.20,149.45,149.90,5509000,149.90
2012-10-15,151.00,152.45,149.05,150.55,6402200,150.55
2012-10-12,154.50,155.40,150.55,151.05,5983000,151.05
2012-10-11,150.85,154.90,148.20,154.10,8351900,154.10
2012-10-10,155.30,155.30,150.65,151.30,6431600,151.30
2012-10-09,158.00,158.65,155.45,156.15,4796200,156.15
2012-10-08,160.00,161.90,155.05,155.70,6458400,155.70
2012-10-05,164.80,164.80,134.00,159.10,8643700,159.10
2012-10-04,162.80,163.70,160.45,163.05,5177000,163.05
2012-10-03,155.80,162.75,154.75,161.90,9074300,161.90
2012-10-02,154.70,154.70,154.70,154.70,000,154.70
2012-10-01,154.80,156.50,151.50,154.70,6625200,154.70
2012-09-28,157.50,160.25,153.80,154.45,6280600,154.45
2012-09-27,156.05,158.15,153.60,156.35,7811400,156.35
2012-09-26,159.10,159.95,153.50,155.75,9131300,155.75
2012-09-25,158.10,161.90,154.80,160.30,10620100,160.30
2012-09-24,154.00,159.80,154.00,158.30,9935300,158.30
2012-09-21,146.35,155.90,146.35,154.20,9857300,154.20
2012-09-20,146.00,148.70,144.00,146.25,5759900,146.25
2012-09-19,147.75,147.75,147.75,147.75,000,147.75
2012-09-18,147.85,151.80,146.75,147.75,6869400,147.75
2012-09-17,142.00,149.60,141.00,147.50,11234400,147.50
2012-09-14,134.70,139.65,134.40,138.95,8061000,138.95
2012-09-13,132.00,133.40,131.30,132.10,4708000,132.10
2012-09-12,132.95,133.60,131.10,132.70,6217500,132.70
2012-09-11,126.55,132.15,126.50,131.45,5333400,131.45
2012-09-10,127.50,128.70,126.00,127.70,3172900,127.70
2012-09-07,126.75,128.00,124.75,127.25,8581800,127.25
2012-09-06,125.55,125.60,122.00,124.05,10413100,124.05
2012-09-05,129.00,129.20,125.50,125.90,4806100,125.90
2012-09-04,131.85,131.85,128.15,129.50,5479900,129.50
2012-09-03,134.75,136.45,131.30,131.90,3766200,131.90
2012-08-31,138.00,138.30,132.10,134.05,10868200,134.05
2012-08-30,134.05,139.90,133.75,138.45,7201400,138.45
2012-08-29,137.90,137.95,134.50,135.05,3734400,135.05
2012-08-28,137.55,138.00,134.75,137.50,4433000,137.50
