Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,33.90,33.90,33.90,33.90,000,33.90
2012-12-24,34.30,34.30,33.65,33.90,9232400,33.90
2012-12-21,35.50,35.50,33.20,33.90,16095800,33.90
2012-12-20,36.65,36.80,35.40,36.00,12546400,36.00
2012-12-19,37.15,37.20,35.80,35.90,24543400,35.90
2012-12-18,35.15,36.20,34.10,35.90,25899400,35.90
2012-12-17,34.20,35.30,34.00,35.15,17111400,35.15
2012-12-14,33.75,34.45,33.30,34.20,13588000,34.20
2012-12-13,35.10,35.50,33.40,33.60,18500100,33.60
2012-12-12,34.25,35.45,33.90,34.85,21890500,34.85
2012-12-11,35.05,35.60,33.80,34.20,22393300,34.20
2012-12-10,34.50,35.05,34.00,34.85,17007800,34.85
2012-12-07,34.75,35.35,34.10,34.45,20896400,34.45
2012-12-06,34.00,34.55,32.60,34.40,26183400,34.40
2012-12-05,33.50,34.10,33.05,33.80,23624300,33.80
2012-12-04,31.50,33.60,31.35,33.30,26662800,33.30
2012-12-03,31.75,32.30,31.20,31.95,16027100,31.95
2012-11-30,30.50,31.55,30.30,31.30,16859500,31.30
2012-11-29,29.20,30.50,29.00,30.20,10729700,30.20
2012-11-28,29.40,29.40,29.40,29.40,000,29.40
2012-11-27,28.95,29.60,28.50,29.40,6833100,29.40
2012-11-26,28.30,28.95,28.25,28.60,5142100,28.60
2012-11-23,28.60,28.60,27.90,28.20,4613300,28.20
2012-11-22,29.70,29.70,28.10,28.40,6836900,28.40
2012-11-21,27.95,28.65,27.80,28.25,6444700,28.25
2012-11-20,29.20,29.30,27.70,27.95,8282500,27.95
2012-11-19,29.10,29.55,28.60,28.90,5212400,28.90
2012-11-16,30.30,30.55,28.90,29.20,7854100,29.20
2012-11-15,29.70,30.70,28.80,30.20,10953600,30.20
2012-11-14,29.80,29.80,29.80,29.80,000,29.80
2012-11-13,29.80,29.80,29.80,29.80,000,29.80
2012-11-12,29.65,30.10,29.30,29.80,6012200,29.80
2012-11-09,30.45,30.60,29.30,29.50,8847400,29.50
2012-11-08,29.40,30.65,28.90,30.30,14543500,30.30
2012-11-07,28.50,29.90,28.35,29.55,10585700,29.55
2012-11-06,28.20,28.70,28.05,28.45,3819600,28.45
2012-11-05,28.65,28.85,28.20,28.45,3460500,28.45
2012-11-02,28.40,28.90,28.30,28.65,4555900,28.65
2012-11-01,27.85,28.40,27.60,28.25,4976100,28.25
2012-10-31,26.85,27.95,26.60,27.75,9216900,27.75
2012-10-30,28.45,28.75,26.70,26.95,10852300,26.95
2012-10-29,29.30,29.30,28.00,28.40,4403200,28.40
2012-10-26,29.00,29.00,29.00,29.00,000,29.00
2012-10-25,29.30,29.60,28.90,29.00,5913000,29.00
2012-10-24,29.30,29.30,29.30,29.30,000,29.30
2012-10-23,29.45,29.90,29.20,29.30,4270500,29.30
2012-10-22,29.60,29.90,29.20,29.70,4498200,29.70
2012-10-19,30.40,30.90,29.70,29.95,8350400,29.95
2012-10-18,30.10,30.65,29.80,30.45,6584600,30.45
2012-10-17,30.30,30.55,29.65,30.00,7784200,30.00
2012-10-16,30.60,31.00,29.80,29.90,6947500,29.90
2012-10-15,30.20,30.75,30.05,30.45,5081800,30.45
2012-10-12,30.85,31.05,30.05,30.20,6917600,30.20
2012-10-11,29.95,30.80,29.25,30.60,8048300,30.60
2012-10-10,30.45,30.60,29.70,29.85,7341200,29.85
2012-10-09,31.10,31.55,30.25,30.55,10711900,30.55
2012-10-08,30.35,31.30,29.80,31.00,18132800,31.00
2012-10-05,30.25,30.50,29.30,29.90,16685200,29.90
2012-10-04,30.70,31.90,28.90,29.60,28456600,29.60
2012-10-03,31.35,31.65,30.50,30.85,8606800,30.85
2012-10-02,31.15,31.15,31.15,31.15,000,31.15
2012-10-01,31.35,32.00,30.85,31.15,8698300,31.15
2012-09-28,31.10,31.80,30.70,31.00,12298200,31.00
2012-09-27,30.60,31.40,30.15,31.00,14645700,31.00
2012-09-26,32.50,32.50,26.10,30.25,28365000,30.25
2012-09-25,33.20,33.80,31.35,32.10,14670600,32.10
2012-09-24,32.00,33.70,32.00,32.80,19455600,32.80
2012-09-21,31.00,32.85,31.00,32.50,23832800,32.50
2012-09-20,31.75,31.75,30.55,30.95,18015000,30.95
2012-09-19,32.05,32.05,32.05,32.05,000,32.05
2012-09-18,28.45,33.10,28.20,32.05,64787000,32.05
2012-09-17,27.25,28.55,27.10,28.30,18186600,28.30
2012-09-14,26.85,27.20,26.40,26.95,11468100,26.95
2012-09-13,26.75,26.75,26.00,26.20,8794700,26.20
2012-09-12,26.25,26.90,26.10,26.65,17388600,26.65
2012-09-11,25.20,26.05,24.95,25.80,9733500,25.80
2012-09-10,25.50,25.65,24.95,25.40,11489600,25.40
2012-09-07,25.50,25.75,25.25,25.55,12216700,25.55
2012-09-06,25.25,25.70,24.80,25.00,14800800,25.00
2012-09-05,24.95,25.45,24.55,25.20,26534600,25.20
2012-09-04,25.00,25.15,24.00,25.05,23159100,25.05
2012-09-03,25.80,26.25,24.55,24.85,18091300,24.85
2012-08-31,26.95,27.20,25.25,25.60,20399700,25.60
2012-08-30,27.25,27.50,26.25,27.20,18140800,27.20
2012-08-29,27.90,28.25,26.95,27.35,13822100,27.35
2012-08-28,27.35,28.40,26.90,27.80,29320100,27.80
2012-08-27,29.50,29.50,27.50,27.60,31598700,27.60
2012-08-24,34.00,35.60,28.95,29.30,80407600,29.30
2012-08-23,35.60,35.80,34.45,34.95,7645400,34.95
2012-08-22,35.70,36.00,35.05,35.20,5283300,35.20
2012-08-21,35.25,35.95,34.90,35.75,4784500,35.75
2012-08-20,35.05,35.05,35.05,35.05,000,35.05
2012-08-17,35.65,36.05,34.60,35.05,7800800,35.05
2012-08-16,36.10,36.50,35.30,35.50,5260700,35.50
2012-08-15,36.05,36.05,36.05,36.05,000,36.05
2012-08-14,35.70,36.50,35.45,36.05,4545100,36.05
